"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","4,680.00","4,783.70","4,658.60","4,580.10","4,698.00","4,693.10","4,721.52","5,955.50","2,410.00",434912,"2,053,445,260.55",44125
"28-Jan-2022","EQ","4,378.30","4,654.00","4,374.00","4,355.40","4,585.00","4,580.10","4,570.65","5,955.50","2,301.00",494659,"2,260,913,495.55",55946
"27-Jan-2022","EQ","4,560.00","4,560.00","4,313.15","4,587.85","4,374.00","4,355.40","4,383.07","5,955.50","2,301.00",434640,"1,905,056,393.30",55401
"25-Jan-2022","EQ","4,460.00","4,634.95","4,332.00","4,557.60","4,595.00","4,587.85","4,523.98","5,955.50","2,301.00",465308,"2,105,043,208.10",57479
"24-Jan-2022","EQ","4,800.00","4,820.00","4,477.05","4,810.40","4,565.00","4,557.60","4,591.66","5,955.50","2,301.00",580400,"2,664,997,186.10",69002
"21-Jan-2022","EQ","5,118.00","5,118.00","4,790.00","5,119.50","4,800.00","4,810.40","4,920.69","5,955.50","2,301.00",571137,"2,810,387,341.90",66429
"20-Jan-2022","EQ","5,100.00","5,149.85","5,044.65","5,077.55","5,145.40","5,119.50","5,097.51","5,955.50","2,301.00",323018,"1,646,588,026.30",40278
"19-Jan-2022","EQ","5,080.00","5,153.00","4,980.00","5,420.50","5,092.00","5,077.55","5,066.74","5,955.50","2,301.00",1324020,"6,708,464,016.45",124918
"18-Jan-2022","EQ","5,610.00","5,614.00","5,401.30","5,575.15","5,409.00","5,420.50","5,512.73","5,955.50","2,301.00",218879,"1,206,621,436.70",25729
"17-Jan-2022","EQ","5,555.80","5,602.45","5,520.00","5,542.40","5,570.05","5,575.15","5,569.88","5,955.50","2,301.00",174200,"970,272,377.60",18693
"14-Jan-2022","EQ","5,650.00","5,650.00","5,504.15","5,658.85","5,537.00","5,542.40","5,557.64","5,955.50","2,301.00",255238,"1,418,521,188.80",31095
"13-Jan-2022","EQ","5,625.00","5,715.40","5,584.55","5,625.10","5,659.50","5,658.85","5,660.06","5,955.50","2,301.00",185927,"1,052,358,039.95",17795
"12-Jan-2022","EQ","5,699.95","5,699.95","5,575.00","5,646.95","5,635.00","5,625.10","5,629.57","5,955.50","2,301.00",278048,"1,565,291,853.25",23584
"11-Jan-2022","EQ","5,599.95","5,690.00","5,581.95","5,597.90","5,641.00","5,646.95","5,642.32","5,955.50","2,301.00",313913,"1,771,196,414.00",25905
"10-Jan-2022","EQ","5,828.90","5,828.90","5,580.00","5,776.80","5,608.00","5,597.90","5,639.92","5,955.50","2,301.00",420390,"2,370,967,164.95",45687
