"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","878.90","888.85","872.10","869.65","884.00","885.80","882.71","979.00","724.65",2335040,"2,061,160,127.25",71194
"28-Jan-2022","EQ","864.40","896.00","860.40","858.05","871.00","869.65","881.51","979.00","724.65",4208702,"3,710,021,034.30",111928
"27-Jan-2022","EQ","845.60","862.85","841.20","854.50","857.35","858.05","853.36","979.00","724.65",2927566,"2,498,266,055.10",85813
"25-Jan-2022","EQ","846.10","858.25","845.25","854.70","851.50","854.50","852.29","979.00","724.65",4742388,"4,041,899,665.10",121727
"24-Jan-2022","EQ","871.20","878.35","848.05","875.20","855.40","854.70","859.95","979.00","724.65",3386669,"2,912,368,867.40",92127
"21-Jan-2022","EQ","875.80","884.90","865.20","880.50","874.00","875.20","876.60","979.00","724.65",1872843,"1,641,739,120.25",70377
"20-Jan-2022","EQ","896.00","897.60","872.85","894.40","882.30","880.50","883.20","979.00","724.65",2486026,"2,195,646,871.65",105006
"19-Jan-2022","EQ","908.95","908.95","880.80","892.15","894.20","894.40","894.07","979.00","724.65",4215758,"3,769,170,462.15",98330
"18-Jan-2022","EQ","902.00","910.10","888.30","900.80","892.15","892.15","899.70","979.00","724.65",3468168,"3,120,320,542.15",82848
"17-Jan-2022","EQ","884.20","904.00","882.65","881.20","899.70","900.80","895.26","979.00","724.65",3617269,"3,238,396,767.55",84807
"14-Jan-2022","EQ","889.80","895.95","879.65","896.00","881.00","881.20","886.10","979.00","724.65",2027852,"1,796,888,169.50",52749
"13-Jan-2022","EQ","880.55","909.50","868.00","880.55","892.40","896.00","889.19","979.00","724.65",5658001,"5,031,022,146.30",124908
"12-Jan-2022","EQ","846.80","884.20","842.50","841.40","879.50","880.55","868.13","979.00","724.65",9022415,"7,832,645,843.75",180565
"11-Jan-2022","EQ","842.00","848.75","835.55","841.95","841.25","841.40","841.02","979.00","724.65",2117911,"1,781,208,720.00",87140
"10-Jan-2022","EQ","835.95","846.75","829.70","829.00","842.00","841.95","840.37","979.00","724.65",3403434,"2,860,140,754.30",78268
"07-Jan-2022","EQ","841.00","849.75","822.50","839.85","829.00","829.00","835.03","979.00","724.65",2531717,"2,114,065,517.80",113315
"06-Jan-2022","EQ","839.00","842.25","827.50","839.50","840.30","839.85","836.27","979.00","724.65",2962301,"2,477,296,516.70",66379
"05-Jan-2022","EQ","830.00","847.00","830.00","831.85","839.00","839.50","840.24","979.00","724.65",2634010,"2,213,213,490.85",76339
"04-Jan-2022","EQ","837.95","842.00","825.65","829.80","832.45","831.85","833.68","979.00","724.65",1886453,"1,572,700,898.80",57221
