"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","160.00","160.20","157.05","157.10","157.70","157.70","158.32","224.50","139.10",3149967,"498,712,440.30",29672
"28-Jan-2022","EQ","154.00","160.50","153.95","153.35","157.10","157.10","158.58","224.50","139.10",4667236,"740,123,846.55",37790
"27-Jan-2022","EQ","150.05","154.30","148.65","153.05","153.20","153.35","151.33","224.50","139.10",3502885,"530,106,017.95",25461
"25-Jan-2022","EQ","149.05","153.75","147.05","149.05","152.85","153.05","150.88","224.50","139.10",5135410,"774,843,391.30",46217
"24-Jan-2022","EQ","156.50","156.50","146.60","155.15","149.25","149.05","151.36","224.50","139.10",5637013,"853,225,947.40",49207
"21-Jan-2022","EQ","161.90","162.00","154.05","162.20","155.70","155.15","157.29","224.50","139.10",6642122,"1,044,715,031.70",51323
"20-Jan-2022","EQ","165.00","165.60","160.25","164.60","162.35","162.20","162.47","224.50","139.10",3496472,"568,055,526.55",35594
"19-Jan-2022","EQ","160.20","165.00","159.20","162.95","164.80","164.60","162.65","224.50","139.10",5515266,"897,040,355.75",53796
"18-Jan-2022","EQ","169.50","173.75","161.85","168.00","163.40","162.95","168.33","224.50","139.10",9900346,"1,666,511,584.70",82542
"17-Jan-2022","EQ","168.95","170.75","167.10","168.95","168.15","168.00","168.32","224.50","139.10",2010362,"338,378,726.15",16008
"14-Jan-2022","EQ","168.95","171.00","167.80","169.50","168.85","168.95","169.08","224.50","139.10",2109676,"356,710,290.05",13768
"13-Jan-2022","EQ","170.95","171.00","167.60","170.20","169.30","169.50","169.14","224.50","139.10",2410394,"407,699,791.85",16270
"12-Jan-2022","EQ","168.30","171.30","166.60","166.90","170.00","170.20","168.80","224.50","139.10",3476955,"586,897,629.95",22152
"11-Jan-2022","EQ","170.20","170.25","166.10","169.20","167.20","166.90","167.35","224.50","139.10",2294975,"384,063,663.30",13271
"10-Jan-2022","EQ","167.70","173.00","166.80","165.85","169.35","169.20","169.87","224.50","139.10",4390326,"745,787,806.35",35150
"07-Jan-2022","EQ","168.00","169.20","164.15","167.00","166.25","165.85","166.44","224.50","139.10",1656057,"275,633,624.60",15628
"06-Jan-2022","EQ","166.00","167.70","163.60","166.85","166.80","167.00","165.67","224.50","139.10",1482933,"245,684,676.25",11443
"05-Jan-2022","EQ","164.95","167.90","164.25","164.55","167.05","166.85","165.97","224.50","139.10",2220343,"368,513,543.95",13815
"04-Jan-2022","EQ","168.70","169.40","163.00","167.75","165.00","164.55","165.42","224.50","139.10",4153975,"687,130,205.20",21915
"03-Jan-2022","EQ","165.50","170.00","164.35","164.60","168.10","167.75","167.12","224.50","139.10",3285600,"549,098,569.75",22284
"31-Dec-2021","EQ","162.55","166.40","162.30","162.55","164.90","164.60","164.81","224.50","139.10",2344064,"386,314,672.65",13281
