"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","865.00","881.10","856.55","854.95","864.90","866.40","870.05","1,019.95","507.50",1556154,"1,353,936,192.55",42085
"28-Jan-2022","EQ","852.00","875.40","845.75","842.10","855.00","854.95","860.64","1,019.95","507.50",2246342,"1,933,283,435.45",53959
"27-Jan-2022","EQ","874.80","874.80","823.30","874.95","843.00","842.10","845.65","1,019.95","507.50",3179684,"2,688,910,880.55",84216
"25-Jan-2022","EQ","850.00","882.40","831.50","855.35","873.10","874.95","864.88","1,019.95","507.50",2057540,"1,779,534,623.80",49641
"24-Jan-2022","EQ","896.00","899.30","846.65","899.30","851.50","855.35","868.96","1,019.95","507.50",1910110,"1,659,807,725.30",53327
"21-Jan-2022","EQ","910.00","921.20","890.15","910.45","901.00","899.30","908.13","1,019.95","507.50",1141509,"1,036,638,282.80",32401
"20-Jan-2022","EQ","930.00","930.85","902.20","923.55","911.00","910.45","914.71","1,019.95","507.50",2049119,"1,874,342,691.20",53118
"19-Jan-2022","EQ","921.40","934.25","906.75","917.55","922.00","923.55","920.97","1,019.95","507.50",1132268,"1,042,789,799.85",33300
"18-Jan-2022","EQ","947.00","956.50","913.45","946.55","920.45","917.55","937.54","1,019.95","507.50",1587776,"1,488,599,488.55",65869
"17-Jan-2022","EQ","946.00","958.00","937.55","944.20","942.60","946.55","949.59","1,019.95","507.50",1597608,"1,517,066,014.05",49810
"14-Jan-2022","EQ","939.80","958.00","932.10","942.35","942.70","944.20","947.30","1,019.95","507.50",1892243,"1,792,516,210.60",43748
"13-Jan-2022","EQ","916.05","950.60","910.20","914.70","943.25","942.35","935.48","1,019.95","507.50",4088111,"3,824,363,834.80",110345
"12-Jan-2022","EQ","886.80","916.05","881.25","881.40","913.20","914.70","903.38","1,019.95","507.50",1883589,"1,701,601,719.60",49839
"11-Jan-2022","EQ","898.50","899.60","877.00","896.80","881.40","881.40","886.97","1,019.95","507.50",934861,"829,189,926.30",30674
"10-Jan-2022","EQ","885.95","899.95","884.95","885.50","896.80","896.80","893.16","1,019.95","507.50",667948,"596,584,339.70",19454
"07-Jan-2022","EQ","898.90","902.80","883.55","896.90","886.50","885.50","891.51","1,019.95","507.50",630249,"561,875,882.65",22485
"06-Jan-2022","EQ","895.00","899.20","884.15","899.20","897.10","896.90","892.78","1,019.95","507.50",1042611,"930,821,805.75",49525
"05-Jan-2022","EQ","918.00","918.25","895.10","910.35","897.50","899.20","902.25","1,019.95","507.50",1264377,"1,140,787,655.80",31959
"04-Jan-2022","EQ","905.10","916.00","893.40","900.60","914.60","910.35","904.17","1,019.95","507.50",851040,"769,487,382.50",31897
"03-Jan-2022","EQ","892.30","910.95","892.30","898.25","900.50","900.60","903.28","1,019.95","507.50",701976,"634,077,866.10",24400
"31-Dec-2021","EQ","889.00","905.05","889.00","888.60","898.50","898.25","897.41","1,019.95","507.50",1288352,"1,156,176,568.85",42229
