"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","907.55","955.00","890.00","913.40","947.10","952.15","933.69","1,148.05","659.10",1206887,"1,126,862,133.45",36920
"28-Jan-2022","EQ","909.60","945.45","895.00","894.30","917.30","913.40","927.26","1,148.05","659.10",639411,"592,898,571.35",20554
"27-Jan-2022","EQ","885.00","903.80","862.70","884.85","900.00","894.30","882.67","1,148.05","659.10",865685,"764,109,914.90",36748
"25-Jan-2022","EQ","890.00","919.50","872.80","909.30","880.00","884.85","892.55","1,148.05","659.10",1198055,"1,069,320,176.70",50141
"24-Jan-2022","EQ","934.00","934.00","891.20","933.25","909.30","909.30","908.44","1,148.05","659.10",838522,"761,749,705.70",42804
"21-Jan-2022","EQ","971.90","971.90","928.00","972.10","930.70","933.25","943.74","1,148.05","659.10",1505922,"1,421,200,324.85",30730
"20-Jan-2022","EQ","1,000.00","1,000.00","965.95","995.00","977.00","972.10","979.49","1,148.05","659.10",679625,"665,687,936.00",31194
"19-Jan-2022","EQ","1,018.00","1,019.85","991.05","1,017.50","994.90","995.00","999.59","1,148.05","659.10",360574,"360,425,003.40",13172
"18-Jan-2022","EQ","1,029.10","1,038.55","1,010.50","1,020.00","1,014.00","1,017.50","1,023.29","1,148.05","659.10",476014,"487,100,703.10",25804
"17-Jan-2022","EQ","1,031.30","1,035.70","1,016.20","1,031.30","1,021.85","1,020.00","1,021.41","1,148.05","659.10",347930,"355,380,587.65",22242
"14-Jan-2022","EQ","1,054.10","1,059.00","1,022.00","1,051.00","1,026.00","1,031.30","1,038.14","1,148.05","659.10",605040,"628,113,948.35",18240
"13-Jan-2022","EQ","1,055.00","1,057.60","1,043.50","1,052.75","1,052.00","1,051.00","1,050.83","1,148.05","659.10",362711,"381,146,524.00",8401
