"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","3,076.10","3,146.85","3,076.10","3,039.30","3,102.00","3,106.50","3,108.39","3,659.75","1,511.00",389982,"1,212,217,248.20",41719
"28-Jan-2022","EQ","2,989.45","3,110.00","2,974.30","2,934.00","3,031.10","3,039.30","3,051.06","3,659.75","1,511.00",474404,"1,447,433,901.55",38035
"27-Jan-2022","EQ","3,001.05","3,034.95","2,890.50","3,062.25","2,941.00","2,934.00","2,943.69","3,659.75","1,511.00",956035,"2,814,274,015.00",90516
"25-Jan-2022","EQ","2,928.00","3,072.35","2,845.25","2,947.35","3,042.00","3,062.25","3,021.23","3,659.75","1,511.00",914743,"2,763,646,133.00",82026
"24-Jan-2022","EQ","3,025.95","3,060.00","2,845.25","3,024.60","2,935.00","2,947.35","2,906.72","3,659.75","1,511.00",1189507,"3,457,567,165.85",107094
"21-Jan-2022","EQ","3,026.00","3,200.00","2,920.00","3,051.05","3,015.05","3,024.60","3,073.82","3,659.75","1,511.00",1640071,"5,041,285,292.70",98551
"20-Jan-2022","EQ","3,089.75","3,128.65","3,005.20","3,088.25","3,018.35","3,051.05","3,078.46","3,659.75","1,511.00",551856,"1,698,865,309.40",58009
"19-Jan-2022","EQ","3,200.00","3,200.00","3,058.05","3,201.50","3,085.00","3,088.25","3,095.83","3,659.75","1,511.00",858708,"2,658,417,090.95",54750
"18-Jan-2022","EQ","3,290.00","3,319.50","3,175.90","3,284.65","3,180.10","3,201.50","3,247.87","3,659.75","1,511.00",607433,"1,972,863,949.25",47987
"17-Jan-2022","EQ","3,265.00","3,300.00","3,202.10","3,263.70","3,278.35","3,284.65","3,257.48","3,659.75","1,511.00",624020,"2,032,734,902.80",47829
"14-Jan-2022","EQ","3,312.45","3,312.45","3,217.45","3,305.90","3,255.00","3,263.70","3,251.70","3,659.75","1,511.00",614958,"1,999,659,017.50",51676
"13-Jan-2022","EQ","3,240.00","3,314.45","3,221.05","3,217.45","3,306.15","3,305.90","3,267.00","3,659.75","1,511.00",463951,"1,515,728,764.80",41112
"12-Jan-2022","EQ","3,240.00","3,243.95","3,180.00","3,207.45","3,222.00","3,217.45","3,212.31","3,659.75","1,511.00",478892,"1,538,347,246.90",25082
"11-Jan-2022","EQ","3,220.00","3,244.00","3,188.80","3,200.95","3,206.20","3,207.45","3,211.84","3,659.75","1,511.00",380691,"1,222,716,781.55",24256
"10-Jan-2022","EQ","3,250.05","3,279.00","3,180.00","3,240.20","3,203.00","3,200.95","3,209.91","3,659.75","1,511.00",763573,"2,450,998,488.30",39324
"07-Jan-2022","EQ","3,289.10","3,289.10","3,220.00","3,257.15","3,234.60","3,240.20","3,252.84","3,659.75","1,505.00",365542,"1,189,050,483.10",27103
