"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","337.00","345.00","335.10","336.25","343.00","343.50","340.68","476.45","270.00",462288,"157,491,413.40",9439
"28-Jan-2022","EQ","323.60","339.55","322.15","324.40","336.45","336.25","333.76","476.45","270.00",1081047,"360,813,652.40",18699
"27-Jan-2022","EQ","330.00","333.70","317.95","332.90","324.35","324.40","323.98","476.45","270.00",765961,"248,157,497.50",13468
"25-Jan-2022","EQ","328.00","346.35","325.55","333.65","333.50","332.90","335.23","476.45","270.00",1433924,"480,687,304.20",17258
"24-Jan-2022","EQ","358.00","358.00","331.30","358.35","333.35","333.65","341.93","476.45","270.00",666910,"228,037,670.90",13132
"21-Jan-2022","EQ","360.00","362.25","355.00","360.25","357.65","358.35","359.21","476.45","270.00",499930,"179,578,550.70",6460
"20-Jan-2022","EQ","362.00","365.75","355.15","360.25","360.30","360.25","360.55","476.45","270.00",584746,"210,828,435.85",8251
"19-Jan-2022","EQ","354.70","361.35","350.55","355.10","360.45","360.25","357.53","476.45","270.00",456472,"163,203,147.50",7501
"18-Jan-2022","EQ","370.10","370.10","353.05","367.40","354.00","355.10","360.90","476.45","270.00",307047,"110,812,832.55",7945
"17-Jan-2022","EQ","370.25","372.55","367.05","368.90","367.60","367.40","369.06","476.45","270.00",259241,"95,674,404.60",4621
"14-Jan-2022","EQ","368.50","375.55","365.55","368.95","370.25","368.90","368.50","476.45","270.00",878452,"323,705,246.55",12759
"13-Jan-2022","EQ","371.00","374.85","366.45","370.40","368.50","368.95","369.83","476.45","270.00",865436,"320,066,185.85",10485
"12-Jan-2022","EQ","370.05","371.90","365.00","369.85","370.30","370.40","369.52","476.45","270.00",620809,"229,403,085.25",9195
"11-Jan-2022","EQ","364.40","371.65","360.20","362.15","370.05","369.85","368.07","476.45","270.00",1099730,"404,773,134.60",16724
"10-Jan-2022","EQ","357.00","365.00","355.45","353.80","363.00","362.15","361.46","476.45","270.00",867006,"313,388,664.00",11042
"07-Jan-2022","EQ","353.20","358.55","352.70","355.00","354.00","353.80","356.08","476.45","270.00",509948,"181,581,312.10",6213
"06-Jan-2022","EQ","353.30","356.20","343.85","354.90","355.00","355.00","350.74","476.45","270.00",638487,"223,944,743.80",10032
"05-Jan-2022","EQ","357.60","359.80","354.15","356.00","354.70","354.90","356.63","476.45","270.00",528171,"188,361,617.55",11823
"04-Jan-2022","EQ","355.30","357.30","353.20","355.30","355.95","356.00","355.35","476.45","270.00",259568,"92,236,598.20",5862
"03-Jan-2022","EQ","354.70","356.00","350.15","351.85","355.10","355.30","353.51","476.45","270.00",461338,"163,086,792.80",13278
"31-Dec-2021","EQ","348.00","354.00","346.95","346.15","352.20","351.85","351.01","476.45","270.00",513646,"180,292,408.20",10554
"30-Dec-2021","EQ","345.90","349.50","341.65","345.05","346.05","346.15","345.87","476.45","270.00",598283,"206,930,163.75",11541
"29-Dec-2021","EQ","346.40","347.35","340.10","344.70","345.00","345.05","343.77","476.45","270.00",511119,"175,707,004.45",9005
"28-Dec-2021","EQ","339.50","350.85","339.00","338.50","345.00","344.70","345.35","476.45","270.00",815001,"281,458,787.45",16473
"27-Dec-2021","EQ","332.30","339.70","332.30","337.75","338.00","338.50","337.33","476.45","270.00",401338,"135,382,265.05",11447
"24-Dec-2021","EQ","337.05","339.85","330.90","336.15","336.90","337.75","336.22","476.45","270.00",737599,"247,997,638.95",14736
"23-Dec-2021","EQ","333.70","338.20","330.00","329.70","336.50","336.15","335.16","476.45","270.00",707866,"237,250,496.80",10522
"22-Dec-2021","EQ","327.00","331.80","324.90","327.45","329.50","329.70","328.55","476.45","270.00",667774,"219,394,899.35",12577
"21-Dec-2021","EQ","322.30","331.35","321.00","320.65","327.70","327.45","326.54","476.45","270.00",856357,"279,631,245.35",12018
"20-Dec-2021","EQ","331.65","331.65","316.70","335.30","320.00","320.65","322.48","476.45","270.00",1846903,"595,595,484.55",31331
"17-Dec-2021","EQ","345.20","346.50","333.30","345.65","334.40","335.30","336.95","476.45","270.00",1278244,"430,698,721.05",19516
"16-Dec-2021","EQ","355.15","361.00","342.20","355.15","346.10","345.65","348.89","476.45","270.00",2199642,"767,434,948.85",29171
"15-Dec-2021","EQ","361.40","362.15","354.10","359.70","355.00","355.15","357.29","476.45","270.00",753087,"269,069,591.75",11202
"14-Dec-2021","EQ","366.35","366.35","358.25","366.35","360.50","359.70","360.41","476.45","270.00",945804,"340,877,703.65",10358
"13-Dec-2021","EQ","374.00","374.00","364.55","370.85","366.50","366.35","369.56","476.45","270.00",566836,"209,479,206.75",9144
"10-Dec-2021","EQ","374.90","376.75","369.15","372.95","370.50","370.85","371.01","476.45","270.00",702489,"260,632,372.70",11291
"09-Dec-2021","EQ","374.00","383.55","369.05","372.15","373.20","372.95","375.76","476.45","270.00",1873007,"703,792,223.25",29789
"08-Dec-2021","EQ","369.70","374.20","365.00","364.95","372.00","372.15","368.41","476.45","270.00",1124174,"414,157,667.35",13564
"07-Dec-2021","EQ","364.95","367.00","362.40","363.20","365.70","364.95","364.65","476.45","270.00",917859,"334,698,518.25",18011
