"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","905.00","915.15","897.70","896.35","910.00","910.35","906.80","1,189.00","771.50",196180,"177,896,574.50",4867
"28-Jan-2022","EQ","885.00","906.00","877.40","884.05","899.00","896.35","895.47","1,189.00","771.50",134511,"120,450,562.35",7022
"27-Jan-2022","EQ","880.45","887.60","868.00","883.45","882.00","884.05","878.05","1,189.00","771.50",117732,"103,375,021.45",4057
"25-Jan-2022","EQ","868.90","889.50","852.35","868.90","884.00","883.45","878.74","1,189.00","771.50",145826,"128,142,943.20",5652
"24-Jan-2022","EQ","890.35","897.35","854.20","897.40","882.00","868.90","871.94","1,189.00","771.50",283728,"247,393,793.05",13025
"21-Jan-2022","EQ","919.00","919.00","890.15","918.55","895.50","897.40","905.19","1,189.00","771.50",134466,"121,717,581.05",6545
"20-Jan-2022","EQ","925.00","925.00","905.55","913.35","915.00","918.55","913.66","1,189.00","771.50",122982,"112,363,263.50",4672
"19-Jan-2022","EQ","912.60","919.70","903.05","918.40","910.10","913.35","909.91","1,189.00","771.50",100535,"91,478,008.05",3589
"18-Jan-2022","EQ","926.00","932.00","912.00","927.75","916.00","918.40","927.04","1,189.00","771.50",137025,"127,027,732.90",7997
"17-Jan-2022","EQ","926.00","944.00","922.10","922.35","925.70","927.75","930.23","1,189.00","771.50",164707,"153,216,005.50",5738
"14-Jan-2022","EQ","916.00","925.00","914.45","921.35","922.90","922.35","919.08","1,189.00","771.50",69782,"64,135,233.40",3222
"13-Jan-2022","EQ","924.00","926.00","915.00","917.45","920.15","921.35","919.93","1,189.00","771.50",81406,"74,887,777.50",4022
"12-Jan-2022","EQ","918.00","929.00","912.20","917.45","918.00","917.45","919.61","1,189.00","771.50",113034,"103,947,644.75",5698
"11-Jan-2022","EQ","916.00","924.55","910.00","916.05","916.50","917.45","919.60","1,189.00","771.50",136881,"125,875,576.45",4946
"10-Jan-2022","EQ","924.65","924.65","911.20","915.50","916.00","916.05","918.31","1,189.00","771.50",248293,"228,008,795.25",6138
"07-Jan-2022","EQ","914.00","922.75","911.05","920.85","920.00","915.50","916.04","1,189.00","771.50",218862,"200,486,157.95",5403
"06-Jan-2022","EQ","915.50","923.85","910.30","915.15","918.05","920.85","916.49","1,189.00","771.50",206532,"189,284,515.70",7553
"05-Jan-2022","EQ","915.00","921.75","912.60","914.75","915.00","915.15","916.14","1,189.00","771.50",233442,"213,866,535.95",5416
"04-Jan-2022","EQ","930.00","932.15","912.05","921.05","914.00","914.75","917.59","1,189.00","771.50",295335,"270,995,670.70",7322
"03-Jan-2022","EQ","911.90","927.00","905.35","904.65","925.00","921.05","915.21","1,189.00","771.50",379378,"347,212,141.75",8126
"31-Dec-2021","EQ","901.00","906.00","891.60","894.80","904.80","904.65","898.14","1,189.00","771.50",385144,"345,911,855.60",8080
"30-Dec-2021","EQ","903.60","908.80","891.20","900.15","895.10","894.80","900.49","1,189.00","771.50",733631,"660,628,896.45",7004
"29-Dec-2021","EQ","904.95","913.80","895.20","891.60","900.05","900.15","903.22","1,189.00","771.50",530650,"479,294,890.60",17146
"28-Dec-2021","EQ","883.10","895.00","881.70","890.40","888.20","891.60","888.08","1,189.00","771.50",239160,"212,392,153.90",8833
"27-Dec-2021","EQ","849.10","897.00","840.25","847.00","887.05","890.40","878.63","1,189.00","771.50",357922,"314,479,718.95",15298
"24-Dec-2021","EQ","836.60","852.00","833.75","840.55","850.00","847.00","845.27","1,189.00","771.50",221761,"187,447,314.95",10284
"23-Dec-2021","EQ","838.00","847.95","832.05","830.05","832.05","840.55","841.90","1,189.00","771.50",385722,"324,738,499.50",14795
"22-Dec-2021","EQ","820.15","839.00","820.15","817.95","834.80","830.05","830.33","1,189.00","771.50",106779,"88,661,861.75",5183
"21-Dec-2021","EQ","816.00","839.35","812.45","825.75","818.90","817.95","825.08","1,189.00","771.50",163206,"134,658,720.35",6342
"20-Dec-2021","EQ","841.80","841.80","814.15","843.80","820.00","825.75","828.60","1,189.00","771.50",187275,"155,175,243.05",7609
"17-Dec-2021","EQ","860.00","862.40","832.20","859.50","841.80","843.80","851.51","1,189.00","771.50",171504,"146,037,226.30",12978
"16-Dec-2021","EQ","872.60","879.80","853.00","872.60","859.80","859.50","862.61","1,189.00","771.50",183215,"158,043,299.25",6986
"15-Dec-2021","EQ","904.60","910.00","868.25","901.15","869.90","872.60","882.65","1,189.00","771.50",347507,"306,727,918.00",15763
"14-Dec-2021","EQ","885.40","912.05","871.60","883.70","895.20","901.15","890.10","1,189.00","771.50",430886,"383,530,215.70",21159
"13-Dec-2021","EQ","869.45","904.00","869.45","869.15","884.00","883.70","888.76","1,189.00","771.50",370196,"329,016,159.85",14848
"10-Dec-2021","EQ","865.65","872.85","862.55","864.70","870.90","869.15","868.17","1,189.00","771.50",146416,"127,114,226.10",5131
"09-Dec-2021","EQ","836.00","877.00","835.00","834.70","865.00","864.70","864.44","1,189.00","771.50",687808,"594,568,744.10",24130
"08-Dec-2021","EQ","832.00","843.00","827.10","822.65","834.05","834.70","833.77","1,189.00","771.50",305292,"254,543,113.35",5700
"07-Dec-2021","EQ","838.70","838.70","818.00","832.30","825.00","822.65","824.90","1,189.00","771.50",271362,"223,846,996.10",10991
"06-Dec-2021","EQ","840.00","848.00","831.00","846.35","832.95","832.30","837.77","1,189.00","771.50",160796,"134,710,381.15",5884
"03-Dec-2021","EQ","840.05","850.00","821.20","841.55","846.10","846.35","833.83","1,189.00","771.50",365405,"304,686,219.85",9370
"02-Dec-2021","EQ","847.00","860.00","830.00","842.00","840.00","841.55","841.19","1,189.00","771.50",237819,"200,051,992.30",9834
"01-Dec-2021","EQ","841.80","848.00","831.65","837.60","840.50","842.00","840.67","1,189.00","771.50",161365,"135,654,087.55",6730
"30-Nov-2021","EQ","810.15","843.95","810.15","823.60","836.20","837.60","836.38","1,189.00","771.50",161205,"134,828,551.85",7761
"29-Nov-2021","EQ","823.00","845.35","819.20","833.30","824.00","823.60","829.16","1,189.00","771.50",399816,"331,511,760.05",17271
"26-Nov-2021","EQ","825.95","858.85","814.05","827.40","825.00","833.30","838.63","1,189.00","771.50",311455,"261,195,153.40",13953
"25-Nov-2021","EQ","820.00","839.45","812.40","817.00","826.10","827.40","823.29","1,189.00","771.50",162185,"133,525,884.60",6080
"24-Nov-2021","EQ","813.00","844.35","812.35","809.55","814.25","817.00","828.00","1,189.00","771.50",164194,"135,953,276.10",15553
"23-Nov-2021","EQ","809.00","822.00","800.00","808.15","811.05","809.55","812.10","1,189.00","771.50",82459,"66,965,276.20",5332
"22-Nov-2021","EQ","816.00","834.00","798.35","815.05","807.00","808.15","809.25","1,189.00","771.50",281187,"227,550,012.35",11993
"18-Nov-2021","EQ","825.00","825.50","811.60","821.35","816.80","815.05","815.52","1,189.00","771.50",218406,"178,115,154.85",7171
"17-Nov-2021","EQ","830.00","834.00","816.60","832.00","822.40","821.35","824.55","1,189.00","771.50",83792,"69,090,921.30",3813
"16-Nov-2021","EQ","849.70","850.40","830.00","845.95","830.10","832.00","837.52","1,189.00","771.50",65860,"55,159,257.15",3754
"15-Nov-2021","EQ","831.00","854.00","820.20","828.70","844.00","845.95","841.87","1,189.00","771.50",206449,"173,803,759.25",11513
"12-Nov-2021","EQ","816.00","840.75","800.15","824.15","830.00","828.70","823.86","1,189.00","771.50",377907,"311,344,005.20",17148
"11-Nov-2021","EQ","857.15","864.00","792.30","857.15","837.00","824.15","811.35","1,189.00","771.50",985242,"799,375,682.05",50130
"10-Nov-2021","EQ","875.00","880.00","853.10","873.70","855.90","857.15","865.76","1,189.00","771.50",51358,"44,463,519.25",4260
"09-Nov-2021","EQ","878.00","881.60","871.05","871.50","872.55","873.70","876.09","1,189.00","771.50",84949,"74,423,316.85",3970
"08-Nov-2021","EQ","868.50","876.70","853.60","859.95","874.00","871.50","867.39","1,189.00","771.50",128903,"111,809,638.00",7092
"04-Nov-2021","EQ","868.00","868.00","858.10","859.60","859.75","859.95","862.35","1,189.00","771.50",16175,"13,948,494.10",1119
"03-Nov-2021","EQ","860.00","866.55","852.00","857.80","857.15","859.60","859.00","1,189.00","771.50",97260,"83,546,071.45",6613
"02-Nov-2021","EQ","842.00","864.90","835.25","842.20","861.00","857.80","854.08","1,189.00","771.50",157719,"134,704,377.95",8513
"01-Nov-2021","EQ","825.55","847.75","815.05","827.20","840.00","842.20","828.63","1,189.00","771.50",139508,"115,600,254.20",9324
"29-Oct-2021","EQ","818.00","830.55","815.20","826.10","828.00","827.20","822.85","1,189.00","771.50",102561,"84,392,643.60",6666
"28-Oct-2021","EQ","837.50","837.50","810.60","830.20","827.00","826.10","816.66","1,189.00","771.50",423846,"346,138,277.80",11035
"27-Oct-2021","EQ","843.00","847.30","827.00","842.35","829.90","830.20","836.25","1,189.00","771.50",106922,"89,413,852.40",10152
"26-Oct-2021","EQ","858.00","858.00","837.20","850.20","841.00","842.35","840.52","1,189.00","771.50",1075859,"904,281,490.90",18483
"25-Oct-2021","EQ","844.10","853.95","810.00","839.70","851.00","850.20","833.51","1,189.00","771.50",150900,"125,776,953.55",7119
"22-Oct-2021","EQ","860.60","865.80","833.45","859.90","839.85","839.70","845.99","1,189.00","771.50",278734,"235,805,574.60",9019
"21-Oct-2021","EQ","868.50","868.50","852.05","860.15","858.40","859.90","859.07","1,189.00","771.50",146996,"126,280,537.35",5799
"20-Oct-2021","EQ","875.00","888.90","857.00","882.05","857.00","860.15","870.11","1,189.00","771.50",206839,"179,972,384.10",8264
"19-Oct-2021","EQ","891.00","897.05","878.80","890.15","882.00","882.05","883.24","1,189.00","771.50",160950,"142,157,911.75",6968
"18-Oct-2021","EQ","894.30","907.50","885.85","889.85","890.00","890.15","893.96","1,189.00","771.50",208002,"185,946,135.75",9651
"14-Oct-2021","EQ","898.00","902.80","888.20","894.15","889.80","889.85","896.28","1,189.00","771.50",178724,"160,186,505.95",7093
"13-Oct-2021","EQ","897.95","902.00","889.20","893.45","893.00","894.15","895.96","1,189.00","771.50",175650,"157,375,025.00",7200
"12-Oct-2021","EQ","893.40","908.60","889.00","893.40","893.70","893.45","898.06","1,189.00","771.50",94863,"85,192,645.45",7176
