"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","4,590.00","4,993.95","4,550.00","4,406.10","4,910.00","4,900.80","4,799.79","7,465.40","4,023.90",2070228,"9,936,653,094.40",175835
"28-Jan-2022","EQ","4,420.25","4,581.60","4,380.00","4,394.15","4,396.00","4,406.10","4,479.55","7,465.40","4,023.90",542782,"2,431,420,937.25",67180
"27-Jan-2022","EQ","4,498.00","4,498.00","4,285.05","4,518.60","4,381.00","4,394.15","4,356.37","7,465.40","4,023.90",684253,"2,980,859,356.00",75754
"25-Jan-2022","EQ","4,468.80","4,652.05","4,320.20","4,508.60","4,548.00","4,518.60","4,505.42","7,465.40","4,023.90",802218,"3,614,329,366.40",91017
"24-Jan-2022","EQ","4,762.60","4,765.00","4,407.00","4,762.60","4,502.75","4,508.60","4,512.95","7,465.40","4,023.90",951138,"4,292,442,714.25",111254
"21-Jan-2022","EQ","5,000.00","5,000.00","4,740.00","5,006.30","4,764.70","4,762.60","4,815.58","7,465.40","4,023.90",980952,"4,723,857,708.85",115224
"20-Jan-2022","EQ","5,051.00","5,088.90","4,950.00","5,016.70","5,039.00","5,006.30","5,015.81","7,465.40","4,023.90",756608,"3,795,002,672.55",91749
"19-Jan-2022","EQ","5,375.00","5,375.00","5,000.35","5,345.45","5,029.50","5,016.70","5,127.10","7,465.40","4,023.90",1214319,"6,225,930,157.45",152226
"18-Jan-2022","EQ","5,674.00","5,690.00","5,266.55","5,652.35","5,371.00","5,345.45","5,464.05","7,465.40","4,023.90",445327,"2,433,290,456.10",64649
"17-Jan-2022","EQ","5,760.40","5,761.65","5,615.45","5,696.25","5,640.00","5,652.35","5,664.77","7,465.40","4,023.90",355347,"2,012,958,339.80",31100
"14-Jan-2022","EQ","5,570.00","5,748.00","5,499.95","5,590.80","5,742.00","5,696.25","5,625.16","7,465.40","4,023.90",488131,"2,745,815,012.30",36392
"13-Jan-2022","EQ","5,645.00","5,645.05","5,556.00","5,633.05","5,591.25","5,590.80","5,587.58","7,465.40","4,023.90",182195,"1,018,028,594.00",27237
"12-Jan-2022","EQ","5,680.00","5,696.80","5,532.00","5,638.20","5,635.00","5,633.05","5,595.54","7,465.40","4,023.90",509208,"2,849,292,237.15",61725
"11-Jan-2022","EQ","5,507.00","5,672.80","5,501.75","5,557.15","5,620.25","5,638.20","5,599.08","7,465.40","4,023.90",371471,"2,079,894,422.25",46182
"10-Jan-2022","EQ","5,634.65","5,649.95","5,532.00","5,634.65","5,565.00","5,557.15","5,567.53","7,465.40","4,023.90",175116,"974,963,872.30",30096
"07-Jan-2022","EQ","5,635.00","5,668.40","5,577.05","5,571.35","5,620.00","5,634.65","5,621.89","7,465.40","4,023.90",194634,"1,094,211,036.40",22700
"06-Jan-2022","EQ","5,551.00","5,590.00","5,482.00","5,617.95","5,573.00","5,571.35","5,554.05","7,465.40","4,023.90",189812,"1,054,225,253.20",25480
"05-Jan-2022","EQ","5,610.00","5,644.00","5,515.55","5,609.15","5,620.95","5,617.95","5,576.29","7,465.40","4,023.90",241715,"1,347,873,266.40",28580
"04-Jan-2022","EQ","5,680.10","5,680.10","5,551.00","5,632.95","5,604.00","5,609.15","5,599.07","7,465.40","4,023.90",188812,"1,057,171,256.10",24490
"03-Jan-2022","EQ","5,620.00","5,697.00","5,576.70","5,576.70","5,633.00","5,632.95","5,652.12","7,465.40","4,023.90",215031,"1,215,380,819.60",22259
"31-Dec-2021","EQ","5,440.00","5,631.50","5,440.00","5,467.40","5,563.05","5,576.70","5,570.83","7,465.40","4,023.90",253658,"1,413,085,194.70",32099
"30-Dec-2021","EQ","5,474.95","5,494.00","5,411.00","5,463.30","5,474.00","5,467.40","5,451.71","7,465.40","4,023.90",167406,"912,649,512.25",28238
"29-Dec-2021","EQ","5,450.00","5,492.80","5,422.55","5,465.55","5,458.10","5,463.30","5,464.53","7,465.40","4,023.90",126028,"688,684,281.15",14633
"28-Dec-2021","EQ","5,445.70","5,508.00","5,420.00","5,415.00","5,450.00","5,465.55","5,470.61","7,465.40","4,023.90",165966,"907,935,397.35",17597
"27-Dec-2021","EQ","5,395.00","5,426.30","5,302.55","5,399.55","5,395.00","5,415.00","5,382.52","7,465.40","4,023.90",110785,"596,302,645.75",13844
"24-Dec-2021","EQ","5,435.05","5,435.05","5,366.70","5,386.15","5,395.00","5,399.55","5,398.65","7,465.40","4,023.90",158197,"854,050,723.35",15482
"23-Dec-2021","EQ","5,330.00","5,400.00","5,290.00","5,284.55","5,400.00","5,386.15","5,352.57","7,465.40","4,023.90",203252,"1,087,921,542.30",18010
"22-Dec-2021","EQ","5,237.90","5,300.00","5,191.55","5,178.40","5,278.00","5,284.55","5,248.66","7,465.40","4,023.90",154245,"809,579,634.70",21351
"21-Dec-2021","EQ","5,190.20","5,250.00","5,141.00","5,142.70","5,175.40","5,178.40","5,198.54","7,465.40","4,023.90",224874,"1,169,016,108.40",28733
"20-Dec-2021","EQ","5,355.00","5,355.00","5,082.60","5,414.95","5,142.00","5,142.70","5,197.42","7,465.40","4,023.90",395856,"2,057,428,718.00",59274
"17-Dec-2021","EQ","5,522.00","5,522.00","5,364.55","5,512.15","5,404.90","5,414.95","5,419.23","7,465.40","4,023.90",289476,"1,568,736,588.80",38769
"16-Dec-2021","EQ","5,517.00","5,545.00","5,435.05","5,478.40","5,505.20","5,512.15","5,499.36","7,465.40","4,023.90",305894,"1,682,220,433.10",39429
"15-Dec-2021","EQ","5,370.00","5,510.00","5,326.80","5,366.05","5,475.00","5,478.40","5,417.58","7,465.40","4,023.90",516741,"2,799,484,725.40",49590
"14-Dec-2021","EQ","5,485.00","5,505.00","5,316.55","5,490.00","5,360.00","5,366.05","5,375.51","7,465.40","4,023.90",743041,"3,994,223,629.15",66383
"13-Dec-2021","EQ","5,691.15","5,694.00","5,455.55","5,646.00","5,498.00","5,490.00","5,565.23","7,465.40","4,023.90",626711,"3,487,787,974.60",65310
"10-Dec-2021","EQ","5,678.00","5,717.85","5,636.00","5,736.00","5,643.00","5,646.00","5,664.24","7,465.40","4,023.90",283981,"1,608,536,343.65",33523
"09-Dec-2021","EQ","5,733.70","5,758.90","5,656.00","5,739.80","5,745.00","5,736.00","5,705.05","7,465.40","4,023.90",338538,"1,931,374,565.25",44123
"08-Dec-2021","EQ","5,705.00","5,793.20","5,703.20","5,686.05","5,733.70","5,739.80","5,746.38","7,465.40","4,023.90",266155,"1,529,426,871.65",35160
"07-Dec-2021","EQ","5,683.00","5,729.00","5,565.40","5,644.45","5,673.00","5,686.05","5,651.05","7,465.40","4,023.90",437561,"2,472,677,743.15",53687
"06-Dec-2021","EQ","5,830.00","5,868.50","5,605.55","5,815.20","5,630.00","5,644.45","5,699.53","7,465.40","4,023.90",245053,"1,396,686,294.35",37503
"03-Dec-2021","EQ","5,894.50","5,919.95","5,791.50","5,878.35","5,822.00","5,815.20","5,852.92","7,465.40","4,023.90",363258,"2,126,120,380.50",29298
"02-Dec-2021","EQ","5,980.00","5,988.70","5,847.00","5,948.45","5,884.00","5,878.35","5,879.87","7,465.40","4,023.90",288235,"1,694,784,319.70",36439
"01-Dec-2021","EQ","5,885.00","6,005.00","5,835.70","5,805.05","5,950.00","5,948.45","5,928.73","7,465.40","4,023.90",282745,"1,676,317,414.75",34236
"30-Nov-2021","EQ","5,855.00","5,961.20","5,740.00","5,845.90","5,809.90","5,805.05","5,850.04","7,465.40","4,023.90",577615,"3,379,070,523.75",48504
"29-Nov-2021","EQ","5,810.00","5,977.20","5,636.25","5,859.70","5,855.00","5,845.90","5,849.88","7,465.40","4,023.90",328561,"1,922,041,192.45",42910
"26-Nov-2021","EQ","5,952.85","6,020.00","5,825.00","5,952.85","5,835.00","5,859.70","5,928.71","7,465.40","3,955.00",375759,"2,227,764,866.35",42910
"25-Nov-2021","EQ","6,016.90","6,020.90","5,910.00","5,968.90","5,983.00","5,952.85","5,953.69","7,465.40","3,955.00",243081,"1,447,229,462.55",28054
"24-Nov-2021","EQ","6,100.00","6,133.95","5,912.05","5,996.20","5,942.95","5,968.90","6,016.30","7,465.40","3,955.00",405940,"2,442,255,497.90",51425
"23-Nov-2021","EQ","6,030.00","6,034.60","5,840.00","6,071.90","5,990.00","5,996.20","5,944.30","7,465.40","3,955.00",528429,"3,141,142,024.95",71125
"22-Nov-2021","EQ","6,521.00","6,561.45","5,959.20","6,485.90","6,064.90","6,071.90","6,141.84","7,465.40","3,955.00",588081,"3,611,900,881.95",78017
"18-Nov-2021","EQ","6,597.00","6,696.00","6,371.00","6,545.00","6,461.00","6,485.90","6,516.84","7,465.40","3,784.00",471710,"3,074,056,574.20",65714
"17-Nov-2021","EQ","6,538.00","6,637.15","6,490.10","6,533.45","6,555.00","6,545.00","6,577.02","7,465.40","3,784.00",386339,"2,540,959,194.85",51568
"16-Nov-2021","EQ","6,348.00","6,580.00","6,330.00","6,342.70","6,530.00","6,533.45","6,505.35","7,465.40","3,784.00",519430,"3,379,071,680.65",61635
"15-Nov-2021","EQ","6,469.90","6,549.00","6,320.00","6,406.50","6,328.00","6,342.70","6,411.35","7,465.40","3,784.00",445466,"2,856,040,314.25",57928
"12-Nov-2021","EQ","6,169.00","6,432.15","6,120.05","6,147.60","6,409.80","6,406.50","6,338.84","7,465.40","3,402.00",513495,"3,254,962,965.20",53352
"11-Nov-2021","EQ","6,147.80","6,170.00","6,032.00","6,131.75","6,139.95","6,147.60","6,099.57","7,465.40","3,402.00",143814,"877,203,143.80",21731
"10-Nov-2021","EQ","6,219.15","6,267.30","6,120.10","6,219.15","6,140.00","6,131.75","6,179.38","7,465.40","3,402.00",171145,"1,057,570,750.20",26723
"09-Nov-2021","EQ","6,200.00","6,240.00","6,110.00","6,156.05","6,219.00","6,219.15","6,181.84","7,465.40","3,402.00",381714,"2,359,696,395.05",25729
"08-Nov-2021","EQ","6,171.00","6,209.00","6,062.00","6,114.35","6,166.15","6,156.05","6,128.14","7,465.40","3,402.00",220858,"1,353,449,797.40",26683
"04-Nov-2021","EQ","6,100.00","6,139.00","6,100.00","6,048.90","6,127.95","6,114.35","6,114.61","7,465.40","3,402.00",33007,"201,824,887.95",5327
"03-Nov-2021","EQ","6,190.00","6,239.45","6,011.00","6,135.95","6,064.00","6,048.90","6,075.15","7,465.40","3,402.00",326224,"1,981,860,431.05",37548
"02-Nov-2021","EQ","6,296.15","6,329.50","6,125.00","6,296.15","6,147.00","6,135.95","6,172.68","7,465.40","3,402.00",439175,"2,710,888,066.40",30681
"01-Nov-2021","EQ","6,107.30","6,325.95","6,101.85","6,075.35","6,298.00","6,296.15","6,227.68","7,465.40","3,402.00",294471,"1,833,871,956.45",46865
"29-Oct-2021","EQ","6,178.00","6,230.00","6,045.15","6,140.55","6,100.00","6,075.35","6,126.55","7,465.40","3,402.00",208118,"1,275,045,128.95",30961
"28-Oct-2021","EQ","6,270.00","6,270.00","6,091.10","6,216.45","6,131.00","6,140.55","6,171.58","7,465.40","3,402.00",189847,"1,171,655,889.45",21950
"27-Oct-2021","EQ","6,148.90","6,257.95","6,081.75","6,069.65","6,207.35","6,216.45","6,183.87","7,465.40","3,402.00",310037,"1,917,228,497.55",38542
"26-Oct-2021","EQ","5,932.90","6,150.00","5,903.05","5,955.70","6,100.00","6,069.65","6,057.65","7,465.40","3,402.00",246269,"1,491,811,338.60",44772
"25-Oct-2021","EQ","6,270.00","6,289.00","5,870.95","6,289.65","5,920.00","5,955.70","5,986.68","7,465.40","3,402.00",669605,"4,008,708,125.00",84278
"22-Oct-2021","EQ","6,775.00","6,850.00","6,225.00","6,729.55","6,275.10","6,289.65","6,458.03","7,465.40","3,362.65",556318,"3,592,718,811.50",72813
"21-Oct-2021","EQ","6,986.15","7,041.90","6,590.60","6,917.00","6,725.00","6,729.55","6,742.28","7,465.40","3,362.65",296735,"2,000,671,253.95",42174
"20-Oct-2021","EQ","6,979.80","7,088.90","6,705.00","6,931.55","6,929.00","6,917.00","6,908.20","7,465.40","3,362.65",506746,"3,500,704,867.15",72764
"19-Oct-2021","EQ","7,266.00","7,465.40","6,621.30","7,019.50","6,943.30","6,931.55","7,217.63","7,465.40","3,362.65",854356,"6,166,424,437.05",96846
"18-Oct-2021","EQ","7,008.85","7,131.60","6,950.00","7,008.85","7,048.00","7,019.50","7,020.85","7,180.00","3,362.65",220828,"1,550,399,540.50",27912
"14-Oct-2021","EQ","6,830.00","7,180.00","6,819.85","6,805.90","6,990.00","7,008.85","7,053.30","7,180.00","3,362.65",675707,"4,765,966,022.90",87504
