"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","140.30","141.35","138.10","138.10","139.50","138.95","139.46","213.20","103.65",6614820,"922,481,738.85",32844
"28-Jan-2022","EQ","136.35","141.15","135.00","134.20","138.45","138.10","138.40","213.20","103.65",9852710,"1,363,628,709.80",39495
"27-Jan-2022","EQ","135.00","136.55","132.80","135.65","134.85","134.20","134.19","213.20","103.65",10404432,"1,396,131,039.20",40522
"25-Jan-2022","EQ","133.65","137.35","132.80","133.95","135.80","135.65","135.52","213.20","103.65",4762403,"645,414,729.45",31920
"24-Jan-2022","EQ","139.75","139.75","133.05","139.75","133.55","133.95","135.39","213.20","103.65",6822893,"923,759,546.65",42570
"21-Jan-2022","EQ","143.00","143.30","138.40","143.25","140.00","139.75","140.65","213.20","103.65",4784547,"672,940,959.10",28586
"20-Jan-2022","EQ","142.00","144.95","141.35","141.60","143.30","143.25","143.36","213.20","103.65",6232345,"893,482,966.75",33228
"19-Jan-2022","EQ","140.35","143.10","139.80","140.05","141.90","141.60","141.61","213.20","103.65",4575686,"647,970,135.30",24762
"18-Jan-2022","EQ","145.30","145.65","139.70","144.80","140.40","140.05","142.17","213.20","103.65",6137008,"872,489,992.20",39236
"17-Jan-2022","EQ","146.40","146.40","143.50","145.95","144.70","144.80","144.57","213.20","103.65",4563962,"659,829,024.50",27543
"14-Jan-2022","EQ","145.15","146.90","144.30","146.05","145.50","145.95","145.47","213.20","103.65",5211695,"758,156,903.40",31400
"13-Jan-2022","EQ","142.10","146.45","141.00","141.30","145.90","146.05","144.73","213.20","103.65",12199243,"1,765,615,713.05",61055
"12-Jan-2022","EQ","139.00","142.25","138.05","136.45","141.10","141.30","141.10","213.20","103.65",11254966,"1,588,117,975.65",68069
"11-Jan-2022","EQ","140.00","140.40","136.10","139.95","136.50","136.45","137.69","213.20","103.65",5432123,"747,956,174.10",31104
"10-Jan-2022","EQ","140.05","141.20","139.30","138.65","140.20","139.95","140.17","213.20","103.65",5261751,"737,550,529.00",43633
"07-Jan-2022","EQ","139.50","139.65","136.90","138.65","138.55","138.65","138.42","213.20","103.65",3356602,"464,614,874.20",20103
"06-Jan-2022","EQ","138.30","139.75","137.65","138.60","138.60","138.65","138.73","213.20","103.65",5541434,"768,743,196.55",33288
"05-Jan-2022","EQ","135.80","138.90","135.25","135.80","138.45","138.60","137.57","213.20","103.65",4986657,"686,008,771.25",26965
"04-Jan-2022","EQ","136.00","136.50","134.35","135.30","135.85","135.80","135.49","213.20","103.65",3950622,"535,282,402.10",21801
