"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","142.00","143.40","138.55","140.15","141.80","142.05","141.12","152.10","88.40",27928927,"3,941,340,504.45",136282
"28-Jan-2022","EQ","140.00","144.00","138.00","135.00","140.25","140.15","140.96","152.10","88.15",34009553,"4,793,881,162.50",180650
"27-Jan-2022","EQ","134.20","136.00","133.15","135.30","134.80","135.00","134.89","152.10","88.15",18760325,"2,530,639,044.15",86317
"25-Jan-2022","EQ","131.20","135.65","131.05","132.60","135.20","135.30","133.96","152.10","88.15",10007486,"1,340,579,267.30",80253
"24-Jan-2022","EQ","133.00","135.25","131.00","134.10","131.85","132.60","133.12","152.10","88.15",14284658,"1,901,542,771.65",86605
"21-Jan-2022","EQ","134.05","136.10","132.55","134.90","134.15","134.10","134.66","152.10","88.15",12437749,"1,674,805,255.75",83821
"20-Jan-2022","EQ","134.50","136.35","134.15","134.80","134.60","134.90","135.13","152.10","88.15",8466412,"1,144,038,370.80",51306
"19-Jan-2022","EQ","134.10","135.30","132.95","135.00","134.50","134.80","134.19","152.10","88.15",21136414,"2,836,351,997.55",70304
"18-Jan-2022","EQ","136.60","137.75","134.40","136.60","134.95","135.00","135.86","152.10","88.15",6473378,"879,449,663.85",54274
"17-Jan-2022","EQ","134.65","137.35","134.45","135.35","136.40","136.60","136.58","152.10","88.15",9803141,"1,338,915,922.30",59073
"14-Jan-2022","EQ","134.40","136.15","133.30","134.95","135.20","135.35","135.47","152.10","88.15",9344382,"1,265,868,058.00",57308
"13-Jan-2022","EQ","134.40","136.65","133.50","133.85","134.90","134.95","135.25","152.10","88.15",15114699,"2,044,198,138.80",91183
"12-Jan-2022","EQ","133.35","134.20","132.35","132.30","133.90","133.85","133.26","152.10","88.15",10439580,"1,391,203,658.60",56703
"11-Jan-2022","EQ","132.15","134.00","131.00","131.85","132.20","132.30","132.95","152.10","88.15",11971883,"1,591,704,233.75",92912
"10-Jan-2022","EQ","131.95","132.30","130.75","131.35","132.05","131.85","131.51","152.10","88.15",7324926,"963,292,151.60",57463
"07-Jan-2022","EQ","131.30","132.20","129.45","130.90","131.15","131.35","130.97","152.10","88.15",8820039,"1,155,141,328.25",65348
"06-Jan-2022","EQ","132.35","132.35","129.30","132.00","131.00","130.90","130.35","152.10","88.15",8037648,"1,047,684,814.05",59977
"05-Jan-2022","EQ","132.60","132.85","130.70","132.90","131.80","132.00","131.78","152.10","88.15",16122852,"2,124,707,723.30",87045
"04-Jan-2022","EQ","127.00","133.30","126.75","126.00","132.50","132.90","131.10","152.10","88.15",33986738,"4,455,764,500.35",147688
"03-Jan-2022","EQ","125.40","126.55","124.70","124.40","126.25","126.00","125.91","152.10","88.15",9034081,"1,137,457,276.95",55072
"31-Dec-2021","EQ","126.80","126.80","124.00","126.90","124.40","124.40","124.77","152.10","88.15",9155163,"1,142,291,654.05",65748
"30-Dec-2021","EQ","123.25","127.85","122.25","123.15","126.45","126.90","126.07","152.10","88.15",32394253,"4,083,890,882.00",99714
"29-Dec-2021","EQ","124.60","124.75","122.20","124.10","122.60","123.15","123.59","152.10","88.15",8960770,"1,107,439,194.55",53952
"28-Dec-2021","EQ","122.00","124.60","121.95","121.85","124.60","124.10","123.41","152.10","88.15",6511374,"803,555,511.95",41984
"27-Dec-2021","EQ","121.25","122.15","120.60","121.25","121.95","121.85","121.57","152.10","88.15",5097217,"619,645,908.20",37060
"24-Dec-2021","EQ","124.80","125.00","120.90","124.55","121.40","121.25","121.84","152.10","88.15",8509575,"1,036,764,255.00",51686
"23-Dec-2021","EQ","123.10","125.40","122.80","122.55","124.35","124.55","124.50","152.10","88.15",9836979,"1,224,674,032.35",46877
"22-Dec-2021","EQ","123.05","123.90","121.65","122.20","122.65","122.55","122.71","152.10","88.15",7885198,"967,591,161.05",43538
"21-Dec-2021","EQ","123.55","124.70","120.85","121.75","122.10","122.20","122.64","152.10","88.15",10168470,"1,247,095,464.85",72541
"20-Dec-2021","EQ","124.50","125.45","119.10","125.55","121.60","121.75","121.29","152.10","88.15",14185935,"1,720,570,914.45",104206
"17-Dec-2021","EQ","127.40","127.70","124.10","127.40","125.40","125.55","125.72","152.10","88.15",13041775,"1,639,555,257.40",84057
"16-Dec-2021","EQ","127.55","128.20","126.25","126.70","127.70","127.40","127.17","152.10","88.15",10758513,"1,368,167,463.30",42439
"15-Dec-2021","EQ","126.15","128.45","125.90","126.35","126.55","126.70","127.31","152.10","88.15",11916145,"1,517,102,990.15",65983
