"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","895.00","926.95","893.70","893.70","913.20","915.80","915.03","1,051.90","515.10",825108,"754,999,207.20",22015
"28-Jan-2022","EQ","899.90","926.00","889.50","886.50","898.45","893.70","907.77","1,051.90","510.00",973619,"883,824,918.60",28186
"27-Jan-2022","EQ","884.00","892.00","871.00","901.80","887.35","886.50","882.30","1,051.90","510.00",1212694,"1,069,954,449.00",48421
"25-Jan-2022","EQ","878.00","910.00","855.05","893.65","896.80","901.80","879.43","1,051.90","510.00",1696400,"1,491,868,026.85",59706
"24-Jan-2022","EQ","931.00","931.00","882.50","932.40","888.00","893.65","902.36","1,051.90","510.00",1496897,"1,350,732,794.85",41092
"21-Jan-2022","EQ","935.00","952.45","916.85","935.95","936.35","932.40","935.67","1,051.90","510.00",1017868,"952,389,206.90",24765
"20-Jan-2022","EQ","951.05","954.75","928.35","950.30","936.90","935.95","941.43","1,051.90","510.00",514439,"484,310,733.75",14997
"19-Jan-2022","EQ","940.00","964.00","923.05","941.60","950.00","950.30","947.33","1,051.90","510.00",1077245,"1,020,508,759.70",26999
"18-Jan-2022","EQ","984.00","997.85","933.15","975.65","937.95","941.60","969.58","1,051.90","510.00",1987220,"1,926,766,442.95",52366
"17-Jan-2022","EQ","975.00","982.75","951.60","973.95","976.10","975.65","968.37","1,051.90","510.00",707041,"684,680,197.80",26903
"14-Jan-2022","EQ","944.00","981.80","935.10","945.65","975.95","973.95","967.74","1,051.90","510.00",1247444,"1,207,205,933.30",43181
"13-Jan-2022","EQ","969.00","969.00","942.85","972.95","946.80","945.65","950.83","1,051.90","510.00",855970,"813,881,906.30",20370
"12-Jan-2022","EQ","942.75","977.75","935.45","932.65","970.80","972.95","965.97","1,051.90","510.00",2374217,"2,293,424,560.55",67238
"11-Jan-2022","EQ","935.00","951.75","913.45","940.60","932.15","932.65","939.05","1,051.90","510.00",1089743,"1,023,324,987.15",30611
"10-Jan-2022","EQ","939.95","950.00","925.30","910.95","941.20","940.60","936.95","1,051.90","510.00",2259639,"2,117,161,805.30",59476
"07-Jan-2022","EQ","917.00","931.50","905.00","910.50","907.50","910.95","920.30","1,051.90","510.00",1296506,"1,193,170,752.90",25726
"06-Jan-2022","EQ","928.00","929.00","903.65","923.85","907.90","910.50","913.80","1,051.90","510.00",1259217,"1,150,670,613.30",36849
"05-Jan-2022","EQ","896.00","934.00","883.00","896.00","933.00","923.85","911.31","1,051.90","510.00",1378550,"1,256,291,020.65",28677
"04-Jan-2022","EQ","892.00","912.65","885.10","888.30","893.60","896.00","899.70","1,051.90","510.00",1290009,"1,160,618,995.35",25631
"03-Jan-2022","EQ","862.00","901.60","862.00","861.80","892.00","888.30","892.32","1,051.90","510.00",1448481,"1,292,505,030.40",31276
