"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","233.00","240.70","231.50","230.55","240.00","239.65","236.95","267.80","110.60",1804164,"427,487,874.60",31924
"28-Jan-2022","EQ","231.20","237.50","229.90","229.85","230.10","230.55","233.34","267.80","108.55",905552,"211,304,197.30",21758
"27-Jan-2022","EQ","225.50","235.90","223.50","224.80","229.00","229.85","230.22","267.80","108.55",4040568,"930,217,709.05",62420
"25-Jan-2022","EQ","215.90","226.00","212.85","217.30","225.00","224.80","222.20","267.80","108.55",763453,"169,637,842.85",21401
"24-Jan-2022","EQ","222.00","226.50","215.65","221.15","218.00","217.30","220.21","267.80","108.55",1212933,"267,094,248.25",20222
"21-Jan-2022","EQ","222.70","226.90","218.40","223.70","223.40","221.15","223.99","267.80","108.55",2316765,"518,939,763.55",27419
"20-Jan-2022","EQ","224.90","227.35","222.65","224.90","223.10","223.70","224.55","267.80","108.55",693008,"155,613,663.30",13602
"19-Jan-2022","EQ","226.50","230.85","224.05","224.05","224.50","224.90","226.47","267.80","108.55",1808821,"409,634,715.10",35868
"18-Jan-2022","EQ","226.35","229.75","221.05","224.65","224.95","224.05","225.35","267.80","108.55",1128240,"254,247,270.05",20118
"17-Jan-2022","EQ","222.00","229.85","222.00","218.80","224.05","224.65","226.36","267.80","108.55",1901213,"430,349,229.10",23322
"14-Jan-2022","EQ","220.60","222.35","217.95","221.90","218.60","218.80","219.45","267.80","108.55",752371,"165,110,577.25",10742
"13-Jan-2022","EQ","222.00","224.95","221.00","220.60","221.10","221.90","222.85","267.80","108.55",1474006,"328,479,572.15",23512
"12-Jan-2022","EQ","217.00","222.50","215.60","213.00","220.00","220.60","220.25","267.80","108.55",2641749,"581,835,034.90",46837
"11-Jan-2022","EQ","216.10","217.60","211.70","215.00","212.70","213.00","213.81","267.80","108.55",1185100,"253,390,723.45",26846
"10-Jan-2022","EQ","214.05","221.00","213.00","214.05","215.50","215.00","217.15","267.80","108.55",2385921,"518,104,906.95",39188
"07-Jan-2022","EQ","199.70","215.95","199.10","197.85","213.60","214.05","212.17","267.80","108.55",8184529,"1,736,495,850.05",72803
"06-Jan-2022","EQ","193.40","199.00","191.40","194.95","197.75","197.85","196.88","267.80","108.55",1323946,"260,659,778.70",27123
"05-Jan-2022","EQ","198.90","198.95","194.05","196.95","194.10","194.95","196.07","267.80","108.55",848201,"166,309,677.60",14368
"04-Jan-2022","EQ","199.00","202.50","194.95","198.80","197.10","196.95","199.15","267.80","108.55",1169971,"232,995,337.80",22817
"03-Jan-2022","EQ","198.90","202.60","196.45","198.90","198.25","198.80","199.51","267.80","108.55",968979,"193,316,413.15",15899
"31-Dec-2021","EQ","199.60","202.30","194.05","201.60","198.20","198.90","197.65","267.80","106.45",1944926,"384,422,469.00",32373
"30-Dec-2021","EQ","186.80","211.30","186.70","185.00","200.00","201.60","197.55","267.80","106.45",6815932,"1,346,520,554.45",59399
"29-Dec-2021","EQ","187.00","191.40","183.20","187.00","184.15","185.00","187.11","267.80","106.45",1300470,"243,324,673.25",19293
"28-Dec-2021","EQ","179.95","189.20","178.50","175.25","188.75","187.00","183.34","267.80","106.45",1722328,"315,773,248.55",20740
"27-Dec-2021","EQ","176.00","176.50","173.10","176.85","175.55","175.25","174.63","267.80","106.45",402709,"70,326,934.85",9812
"24-Dec-2021","EQ","181.00","182.05","176.15","180.10","177.00","176.85","178.25","267.80","98.05",460572,"82,095,463.60",7500
"23-Dec-2021","EQ","183.90","183.95","177.75","181.35","180.15","180.10","180.62","267.80","98.05",649968,"117,398,560.00",9672
"22-Dec-2021","EQ","185.20","185.20","180.35","183.20","181.40","181.35","182.23","267.80","98.05",649556,"118,370,500.70",12059
"21-Dec-2021","EQ","173.70","187.40","172.40","172.40","186.40","183.20","178.23","267.80","98.05",1573431,"280,439,530.20",30311
"20-Dec-2021","EQ","190.00","190.00","169.60","190.00","171.80","172.40","177.47","267.80","98.05",1682616,"298,619,763.45",24903
"17-Dec-2021","EQ","195.80","196.85","186.25","196.05","190.60","190.00","191.03","267.80","98.05",1181137,"225,627,326.45",27652
"16-Dec-2021","EQ","201.30","202.35","195.00","200.25","197.50","196.05","197.88","267.80","98.05",958993,"189,762,079.40",20548
"15-Dec-2021","EQ","199.40","203.80","199.05","199.95","199.95","200.25","201.75","267.80","98.05",905086,"182,604,718.75",17686
"14-Dec-2021","EQ","201.40","202.90","199.00","203.95","200.85","199.95","200.92","267.80","98.05",644894,"129,570,578.30",16910
"13-Dec-2021","EQ","206.90","208.80","202.50","205.05","204.40","203.95","205.96","267.80","98.05",411368,"84,726,112.00",9773
"10-Dec-2021","EQ","209.00","209.40","204.35","209.50","205.45","205.05","205.92","267.80","98.05",554554,"114,194,114.30",11236
"09-Dec-2021","EQ","214.40","215.90","209.00","212.90","209.30","209.50","212.69","267.80","98.05",913271,"194,240,036.40",8718
"08-Dec-2021","EQ","216.20","217.65","210.65","213.30","213.70","212.90","213.59","267.80","98.05",488122,"104,260,143.25",13176
"07-Dec-2021","EQ","217.35","217.45","212.50","214.75","212.95","213.30","214.05","267.80","98.05",320326,"68,566,332.10",9041
"06-Dec-2021","EQ","216.20","217.35","213.60","215.95","214.75","214.75","215.19","267.80","98.05",539540,"116,103,605.80",14455
"03-Dec-2021","EQ","218.00","220.00","214.20","218.75","215.65","215.95","216.58","267.80","94.75",613785,"132,933,762.75",23926
"02-Dec-2021","EQ","214.00","219.90","211.75","214.35","216.85","218.75","217.95","267.80","94.75",1046171,"228,017,893.40",32478
"01-Dec-2021","EQ","213.00","220.55","212.05","211.65","215.00","214.35","215.38","267.80","94.75",1404024,"302,395,791.05",34171
"30-Nov-2021","EQ","203.25","214.10","203.15","203.25","212.00","211.65","209.65","267.80","94.75",1891970,"396,649,104.45",30718
"29-Nov-2021","EQ","192.20","204.95","190.00","198.55","203.15","203.25","200.74","267.80","94.75",1411926,"283,424,363.65",31974
"26-Nov-2021","EQ","202.75","205.90","197.00","203.45","200.05","198.55","201.31","267.80","91.05",1388100,"279,444,121.70",26633
"25-Nov-2021","EQ","204.70","208.60","202.20","202.95","203.90","203.45","205.47","267.80","91.05",692419,"142,274,406.85",10979
"24-Nov-2021","EQ","200.00","205.10","199.10","197.30","203.25","202.95","202.73","267.80","91.05",992252,"201,158,421.60",15401
"23-Nov-2021","EQ","195.90","200.00","191.90","195.45","197.95","197.30","196.37","267.80","91.05",906746,"178,061,686.50",17464
"22-Nov-2021","EQ","213.40","214.95","194.10","213.00","195.50","195.45","199.87","267.80","91.05",2008015,"401,345,063.45",42096
"18-Nov-2021","EQ","219.30","219.75","212.25","220.00","213.00","213.00","214.36","267.80","91.00",920702,"197,359,883.05",18310
"17-Nov-2021","EQ","220.60","224.20","218.20","222.95","219.55","220.00","221.03","267.80","91.00",578796,"127,929,115.65",18863
"16-Nov-2021","EQ","223.00","224.00","220.20","221.80","224.00","222.95","221.97","267.80","91.00",444852,"98,741,869.70",10764
"15-Nov-2021","EQ","221.90","226.00","220.25","221.90","221.80","221.80","222.77","267.80","91.00",555941,"123,847,660.85",9092
"12-Nov-2021","EQ","223.10","223.90","220.95","216.65","221.85","221.90","222.33","267.80","86.00",2027151,"450,701,182.75",19199
"11-Nov-2021","EQ","219.40","224.95","216.10","221.95","217.25","216.65","220.06","267.80","86.00",1213208,"266,978,327.60",19375
"10-Nov-2021","EQ","222.20","226.20","220.00","221.75","222.00","221.95","224.08","267.80","86.00",726050,"162,692,502.20",13285
"09-Nov-2021","EQ","223.45","229.00","219.35","222.25","221.95","221.75","222.34","267.80","86.00",1101940,"244,999,957.95",21225
"08-Nov-2021","EQ","221.00","223.90","218.05","220.25","222.75","222.25","221.37","267.80","86.00",530880,"117,522,540.55",10266
"04-Nov-2021","EQ","218.85","221.45","218.85","217.20","219.95","220.25","220.27","267.80","83.50",84133,"18,532,192.10",2673
"03-Nov-2021","EQ","220.95","221.50","216.10","220.95","218.35","217.20","217.86","267.80","83.50",1260488,"274,610,638.10",10335
"02-Nov-2021","EQ","225.90","227.90","220.00","225.35","220.50","220.95","221.45","267.80","83.50",1394460,"308,809,547.20",15699
"01-Nov-2021","EQ","219.00","227.85","219.00","225.05","226.00","225.35","225.72","267.80","83.50",970108,"218,971,374.75",19342
"29-Oct-2021","EQ","218.00","227.00","217.00","218.25","224.65","225.05","223.56","267.80","83.50",2424541,"542,024,793.25",35977
"28-Oct-2021","EQ","217.05","223.75","215.00","222.15","217.60","218.25","219.27","267.80","83.50",1162716,"254,943,272.65",17362
"27-Oct-2021","EQ","218.80","224.65","217.15","220.50","220.45","222.15","220.59","267.80","83.50",1340242,"295,644,062.85",20876
"26-Oct-2021","EQ","225.95","227.10","216.20","225.20","220.00","220.50","219.62","267.80","83.50",2279317,"500,589,941.05",31059
"25-Oct-2021","EQ","210.55","228.45","210.55","209.45","226.90","225.20","220.81","267.80","83.50",3508937,"774,814,584.65",52537
"22-Oct-2021","EQ","221.00","222.00","207.70","217.00","208.90","209.45","213.78","267.80","83.50",1422076,"304,016,052.45",23460
"21-Oct-2021","EQ","232.00","234.05","211.05","228.35","225.20","217.00","217.17","267.80","83.50",12381349,"2,688,815,214.90",79325
"20-Oct-2021","EQ","232.90","233.55","225.10","233.50","229.00","228.35","228.34","267.80","83.50",741784,"169,375,634.45",16315
"19-Oct-2021","EQ","236.00","238.95","232.40","235.55","233.80","233.50","235.03","267.80","83.50",701969,"164,984,997.00",14989
"18-Oct-2021","EQ","241.00","241.55","234.65","235.20","235.00","235.55","238.77","267.80","83.50",1521018,"363,171,318.35",28383
"14-Oct-2021","EQ","230.00","243.00","229.95","229.70","235.10","235.20","237.71","267.80","83.50",2072136,"492,569,666.40",31929
"13-Oct-2021","EQ","235.10","235.50","229.00","234.95","229.80","229.70","232.15","267.80","83.50",1075013,"249,569,437.30",21722
"12-Oct-2021","EQ","239.40","240.55","234.45","239.40","235.00","234.95","235.81","267.80","83.50",1000681,"235,966,738.05",15526
"11-Oct-2021","EQ","241.60","243.60","238.05","239.75","239.60","239.40","240.71","267.80","83.50",975925,"234,918,769.65",15115
"08-Oct-2021","EQ","246.85","248.95","239.10","242.45","239.95","239.75","243.21","267.80","83.50",1575282,"383,128,332.70",22710
"07-Oct-2021","EQ","250.90","251.85","241.40","248.55","242.00","242.45","246.46","267.80","83.50",1309185,"322,665,774.60",20960
"06-Oct-2021","EQ","246.30","255.95","244.10","242.95","248.85","248.55","249.33","267.80","83.50",4800440,"1,196,897,416.15",61753
"05-Oct-2021","EQ","244.40","251.95","242.05","241.60","242.30","242.95","247.25","267.80","83.50",4519649,"1,117,496,180.70",54180
"04-Oct-2021","EQ","249.95","250.00","240.05","250.05","240.55","241.60","243.81","267.80","83.50",1611701,"392,941,208.15",22320
"01-Oct-2021","EQ","261.00","267.80","247.95","260.20","248.50","250.05","257.69","267.80","83.50",4935553,"1,271,855,786.80",67080
"30-Sep-2021","EQ","256.95","266.70","254.45","254.45","258.50","260.20","261.76","266.70","83.50",7095683,"1,857,396,548.80",99429
"29-Sep-2021","EQ","232.40","265.00","229.00","233.25","255.00","254.45","251.20","265.00","83.50",10418003,"2,616,972,138.35",124282
"28-Sep-2021","EQ","220.55","234.90","218.30","219.30","232.50","233.25","228.37","234.90","83.50",5413923,"1,236,358,727.70",65955
"27-Sep-2021","EQ","219.60","220.95","217.10","217.00","219.05","219.30","218.97","222.70","83.50",983630,"215,383,509.85",16272
"24-Sep-2021","EQ","216.30","219.45","214.65","213.85","216.20","217.00","217.52","222.70","83.50",1672423,"363,785,546.60",25897
"23-Sep-2021","EQ","221.00","222.70","212.85","217.00","215.20","213.85","217.46","222.70","83.50",1711197,"372,122,859.95",24895
"22-Sep-2021","EQ","210.00","219.80","209.20","208.90","219.80","217.00","214.03","219.80","83.50",2820662,"603,694,465.30",29159
"21-Sep-2021","EQ","198.90","210.85","198.30","195.15","209.00","208.90","205.36","215.00","83.50",3430744,"704,529,322.35",49210
"20-Sep-2021","EQ","199.70","203.85","193.30","199.80","196.00","195.15","198.90","215.00","83.50",1052258,"209,296,026.80",16162
