"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","215.45","216.35","213.30","214.55","214.10","213.75","214.78","260.95","206.50",904059,"194,176,373.30",10591
"28-Jan-2022","EQ","213.10","218.20","212.50","212.00","214.55","214.55","215.95","260.95","206.50",2585681,"558,371,096.45",18286
"27-Jan-2022","EQ","213.40","213.85","210.00","211.60","211.90","212.00","212.27","260.95","206.50",10444720,"2,217,059,972.55",41752
"25-Jan-2022","EQ","208.00","212.50","206.50","209.05","212.00","211.60","210.52","260.95","206.50",1958144,"412,235,048.35",49886
"24-Jan-2022","EQ","213.70","214.10","207.05","212.85","208.85","209.05","210.75","260.95","207.05",2458927,"518,210,820.35",68380
"21-Jan-2022","EQ","216.10","217.80","211.55","216.10","213.40","212.85","214.21","260.95","209.65",1345094,"288,138,371.20",22524
"20-Jan-2022","EQ","219.20","219.30","215.55","218.20","216.00","216.10","216.55","260.95","209.65",1780289,"385,516,052.30",34829
"19-Jan-2022","EQ","220.35","221.25","218.00","220.35","218.20","218.20","219.04","260.95","209.65",1391081,"304,707,325.95",17486
"18-Jan-2022","EQ","224.55","224.55","220.00","223.20","220.30","220.35","222.33","260.95","209.65",1429484,"317,816,179.30",34079
"17-Jan-2022","EQ","226.15","226.75","222.90","226.15","222.95","223.20","224.33","260.95","209.65",1628679,"365,366,108.30",20228
"14-Jan-2022","EQ","225.65","227.15","224.50","225.90","225.50","226.15","226.00","275.35","209.65",800668,"180,949,975.30",21884
"13-Jan-2022","EQ","225.10","227.25","224.60","226.20","226.35","225.90","225.81","275.35","209.65",1636467,"369,522,896.65",43461
"12-Jan-2022","EQ","226.85","226.85","223.55","226.20","225.75","226.20","225.08","275.35","209.65",1394864,"313,962,117.70",21058
"11-Jan-2022","EQ","222.90","226.90","222.90","223.30","226.55","226.20","225.90","275.35","209.65",2015329,"455,258,107.45",21387
"10-Jan-2022","EQ","223.00","227.90","222.50","222.30","223.30","223.30","225.07","275.35","209.65",3841608,"864,612,210.15",28996
"07-Jan-2022","EQ","223.00","223.00","220.70","221.35","222.40","222.30","221.96","275.35","209.65",849896,"188,640,733.05",19125
"06-Jan-2022","EQ","219.00","223.00","217.20","219.20","221.45","221.35","219.56","275.35","209.65",1096198,"240,679,426.30",18953
"05-Jan-2022","EQ","218.30","222.35","217.70","218.30","218.65","219.20","220.31","275.35","209.65",3123005,"688,018,184.70",34826
"04-Jan-2022","EQ","219.90","220.20","216.90","218.80","218.60","218.30","217.98","275.35","209.65",1409148,"307,159,200.90",17602
"03-Jan-2022","EQ","216.45","219.90","216.45","216.40","218.50","218.80","218.17","275.35","209.65",703811,"153,551,085.40",9716
"31-Dec-2021","EQ","214.40","217.20","214.10","214.35","216.55","216.40","216.27","275.35","209.65",611680,"132,289,717.75",10011
"30-Dec-2021","EQ","216.05","217.45","213.55","217.05","214.80","214.35","214.97","275.35","209.65",1053645,"226,496,958.95",12351
"29-Dec-2021","EQ","217.30","219.45","216.05","217.30","217.55","217.05","217.34","275.35","209.65",618804,"134,490,045.25",12774
"28-Dec-2021","EQ","216.90","220.30","216.05","216.55","217.05","217.30","218.14","275.35","209.65",911977,"198,940,041.35",23599
"27-Dec-2021","EQ","215.20","217.20","213.65","216.05","216.90","216.55","215.92","275.35","209.65",663574,"143,277,517.90",6939
"24-Dec-2021","EQ","219.90","220.00","215.70","218.65","216.15","216.05","216.73","275.35","209.65",497767,"107,880,423.45",7046
"23-Dec-2021","EQ","213.00","219.50","212.55","212.55","218.05","218.65","217.04","275.35","209.65",1528471,"331,741,980.45",14300
"22-Dec-2021","EQ","212.00","212.95","211.00","211.80","212.65","212.55","212.05","275.35","209.65",884863,"187,638,750.35",12486
"21-Dec-2021","EQ","212.10","213.75","210.35","211.70","211.60","211.80","212.04","275.35","209.65",1370318,"290,565,147.80",34015
"20-Dec-2021","EQ","213.70","215.00","209.65","215.70","211.40","211.70","211.43","275.35","209.65",1722354,"364,157,602.35",23167
"17-Dec-2021","EQ","221.80","222.65","214.75","222.00","215.90","215.70","216.94","275.35","211.40",2483622,"538,789,235.50",28955
"16-Dec-2021","EQ","221.75","222.80","221.05","221.00","222.70","222.00","221.94","275.35","211.40",872835,"193,714,675.90",24131
"15-Dec-2021","EQ","222.65","224.25","220.25","223.10","220.95","221.00","222.26","275.35","211.40",1886185,"419,218,552.00",28185
"14-Dec-2021","EQ","224.25","225.60","221.10","225.15","222.65","223.10","222.61","275.35","211.40",2369837,"527,555,106.40",31446
"13-Dec-2021","EQ","229.80","230.30","224.60","228.60","224.95","225.15","227.71","275.35","211.40",1353653,"308,245,409.30",27727
"10-Dec-2021","EQ","228.05","229.45","226.35","227.85","228.35","228.60","228.34","275.35","211.40",776080,"177,213,029.10",12047
"09-Dec-2021","EQ","226.90","228.25","225.60","226.10","228.05","227.85","227.00","275.35","211.40",1880872,"426,955,759.50",15295
"08-Dec-2021","EQ","225.45","226.85","224.80","224.65","226.10","226.10","225.85","275.35","211.40",1059392,"239,264,006.55",13783
"07-Dec-2021","EQ","222.50","226.60","221.50","221.40","224.45","224.65","224.88","275.35","211.40",1959344,"440,623,504.45",21582
"06-Dec-2021","EQ","222.30","223.00","221.00","222.55","222.20","221.40","221.64","275.35","211.40",1381207,"306,129,967.40",13175
"03-Dec-2021","EQ","222.35","225.70","222.05","224.30","222.15","222.55","223.88","275.35","211.40",1360348,"304,551,438.30",20349
"02-Dec-2021","EQ","220.75","224.80","220.15","220.70","223.00","224.30","222.71","275.35","211.40",1699664,"378,530,147.50",15278
"01-Dec-2021","EQ","220.50","221.30","219.00","219.85","220.80","220.70","219.91","275.35","211.40",1532637,"337,046,004.20",13523
"30-Nov-2021","EQ","219.00","222.85","218.00","219.95","219.15","219.85","220.25","275.35","211.40",4815172,"1,060,549,937.05",51431
"29-Nov-2021","EQ","221.00","221.85","215.20","220.95","221.00","219.95","219.39","275.35","211.40",2174436,"477,055,666.05",42631
"26-Nov-2021","EQ","221.70","223.30","219.20","222.35","221.10","220.95","221.37","275.35","211.40",2390000,"529,068,459.35",21537
"25-Nov-2021","EQ","224.90","225.35","221.65","223.60","222.70","222.35","222.56","275.35","211.40",1667586,"371,141,086.50",15602
"24-Nov-2021","EQ","223.50","227.45","223.20","223.50","223.70","223.60","225.54","275.35","211.40",1828161,"412,321,816.60",45346
"23-Nov-2021","EQ","220.00","224.60","219.80","222.20","223.40","223.50","222.84","275.35","211.40",3486625,"776,960,581.10",28086
"22-Nov-2021","EQ","225.20","225.70","220.05","225.35","222.60","222.20","222.23","275.35","211.40",3984762,"885,531,694.70",24793
"18-Nov-2021","EQ","226.70","228.50","224.70","228.05","225.00","225.35","225.97","275.35","211.40",2487858,"562,182,156.50",19688
"17-Nov-2021","EQ","230.45","230.60","227.10","237.00","228.10","228.05","228.30","275.35","211.40",4828563,"1,102,340,494.50",40607
"16-Nov-2021","EQ","238.00","238.60","235.60","237.75","237.15","237.00","236.81","275.35","211.40",2427514,"574,868,779.25",19234
"15-Nov-2021","EQ","238.45","239.30","236.05","236.90","237.95","237.75","237.77","275.35","211.40",2454506,"583,596,500.10",34647
