"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","120.20","122.45","118.55","119.15","121.50","121.70","120.73","153.75","104.10",11221369,"1,354,741,511.15",38950
"28-Jan-2022","EQ","119.70","122.65","118.75","118.95","119.40","119.15","120.93","153.75","104.10",7474359,"903,859,303.50",35452
"27-Jan-2022","EQ","117.90","119.70","116.90","118.25","119.50","118.95","118.26","153.75","104.10",6994642,"827,194,313.65",28593
"25-Jan-2022","EQ","117.45","119.50","116.25","117.45","118.45","118.25","118.32","153.75","104.10",7800819,"922,984,613.55",28458
"24-Jan-2022","EQ","120.30","120.90","116.35","120.85","117.65","117.45","118.06","153.75","104.10",4756401,"561,552,393.00",34863
"21-Jan-2022","EQ","124.70","124.80","120.00","125.00","121.00","120.85","122.24","153.75","104.10",2831467,"346,110,055.40",19711
"20-Jan-2022","EQ","124.65","125.65","123.90","124.50","125.25","125.00","124.89","153.75","104.10",1249518,"156,048,313.75",8836
"19-Jan-2022","EQ","123.70","125.80","123.05","124.05","124.75","124.50","124.60","153.75","104.10",1822098,"227,030,555.55",15737
"18-Jan-2022","EQ","127.50","128.15","123.50","126.95","124.30","124.05","125.82","153.75","104.10",2338768,"294,265,847.35",15651
"17-Jan-2022","EQ","127.40","127.95","126.30","127.25","127.00","126.95","126.88","153.75","104.10",1508435,"191,396,539.70",10214
"14-Jan-2022","EQ","127.50","128.20","126.60","127.35","127.35","127.25","127.40","153.75","104.10",2836575,"361,389,909.55",17468
"13-Jan-2022","EQ","126.00","128.20","125.60","125.80","127.45","127.35","127.32","153.75","104.10",4711914,"599,903,573.35",29319
"12-Jan-2022","EQ","126.20","126.60","124.60","125.70","125.75","125.80","125.46","153.75","104.10",2494745,"312,986,074.50",13877
"11-Jan-2022","EQ","126.00","126.80","124.75","125.85","125.80","125.70","125.80","153.75","104.10",2555764,"321,505,670.45",20473
"10-Jan-2022","EQ","124.35","126.20","124.00","123.80","125.85","125.85","125.57","153.75","104.10",2778901,"348,942,939.80",19534
"07-Jan-2022","EQ","124.45","126.20","123.25","124.15","123.75","123.80","124.83","153.75","104.10",4744765,"592,311,077.95",38553
"06-Jan-2022","EQ","122.85","124.45","122.60","123.80","124.00","124.15","123.78","153.75","104.10",2064720,"255,566,146.95",11976
"05-Jan-2022","EQ","123.75","124.35","123.10","123.35","123.75","123.80","123.73","153.75","104.10",1907740,"236,041,200.95",12790
"04-Jan-2022","EQ","122.60","124.35","122.15","122.80","123.55","123.35","123.51","153.75","104.10",3804610,"469,912,076.30",27965
"03-Jan-2022","EQ","120.00","123.25","119.75","119.75","122.85","122.80","122.06","153.75","104.10",3492097,"426,235,729.45",17232
"31-Dec-2021","EQ","117.90","120.55","117.90","118.00","119.65","119.75","119.67","153.75","104.10",1635831,"195,757,172.55",10536
"30-Dec-2021","EQ","119.30","119.35","117.55","119.35","118.20","118.00","118.28","153.75","104.10",1311335,"155,105,324.45",11312
"29-Dec-2021","EQ","120.00","120.85","118.95","120.15","119.20","119.35","119.84","153.75","104.10",1040873,"124,739,567.85",6983
"28-Dec-2021","EQ","119.90","120.65","119.40","119.20","120.25","120.15","119.95","153.75","104.10",1602221,"192,189,473.55",9796
"27-Dec-2021","EQ","117.85","119.40","116.55","118.05","119.20","119.20","118.03","153.75","104.10",2177603,"257,030,635.50",12815
"24-Dec-2021","EQ","121.00","121.40","117.80","120.40","118.10","118.05","118.77","153.75","104.10",1700026,"201,914,513.30",14891
"23-Dec-2021","EQ","117.50","120.60","117.50","117.05","120.45","120.40","119.59","153.75","104.10",3150315,"376,735,444.30",18982
