"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","4,549.00","4,559.95","4,489.50","4,481.45","4,531.00","4,529.75","4,530.05","6,175.00","4,330.00",13816,"62,587,124.25",3158
"28-Jan-2022","EQ","4,421.00","4,540.00","4,421.00","4,436.30","4,495.90","4,481.45","4,506.59","6,175.00","4,330.00",20010,"90,176,813.75",4173
"27-Jan-2022","EQ","4,527.00","4,527.00","4,410.00","4,527.00","4,430.50","4,436.30","4,451.18","6,175.00","4,330.00",33083,"147,258,242.15",6107
"25-Jan-2022","EQ","4,571.30","4,634.65","4,485.85","4,590.70","4,530.00","4,527.00","4,547.25","6,175.00","4,330.00",23881,"108,592,792.80",6589
"24-Jan-2022","EQ","4,740.00","4,745.80","4,575.00","4,747.60","4,614.90","4,590.70","4,637.97","6,175.00","4,330.00",33688,"156,243,797.95",6525
"21-Jan-2022","EQ","4,747.00","4,823.95","4,705.00","4,747.55","4,755.20","4,747.60","4,762.14","6,175.00","4,330.00",21996,"104,748,006.30",4661
"20-Jan-2022","EQ","4,750.00","4,799.25","4,740.05","4,755.15","4,748.90","4,747.55","4,756.85","6,175.00","4,330.00",77690,"369,559,764.75",3598
"19-Jan-2022","EQ","4,825.00","4,825.00","4,733.00","4,834.90","4,774.00","4,755.15","4,769.48","6,175.00","4,330.00",32600,"155,485,042.65",5444
"18-Jan-2022","EQ","4,865.00","4,895.65","4,822.25","4,875.25","4,833.70","4,834.90","4,836.38","6,175.00","4,330.00",105833,"511,848,228.30",5564
"17-Jan-2022","EQ","4,890.00","4,906.00","4,861.00","4,897.30","4,877.00","4,875.25","4,874.69","6,175.00","4,330.00",17920,"87,354,426.70",3082
"14-Jan-2022","EQ","4,928.00","4,945.00","4,880.15","4,926.60","4,891.50","4,897.30","4,903.67","6,175.00","4,330.00",17515,"85,887,808.65",3616
"13-Jan-2022","EQ","4,879.95","4,935.00","4,854.70","4,871.90","4,928.00","4,926.60","4,910.28","6,175.00","4,330.00",32818,"161,145,453.65",4745
"12-Jan-2022","EQ","4,910.00","4,930.60","4,864.00","4,905.55","4,870.00","4,871.90","4,880.46","6,175.00","4,330.00",29100,"142,021,285.80",4637
"11-Jan-2022","EQ","4,925.85","4,967.95","4,892.05","4,928.60","4,908.00","4,905.55","4,924.49","6,175.00","4,330.00",23005,"113,287,819.55",3806
"10-Jan-2022","EQ","4,947.00","4,999.80","4,919.50","4,947.55","4,930.00","4,928.60","4,946.07","6,175.00","4,330.00",26171,"129,443,679.95",3531
"07-Jan-2022","EQ","5,063.30","5,063.30","4,936.80","5,014.15","4,952.00","4,947.55","4,989.73","6,175.00","4,330.00",31549,"157,421,010.05",4545
"06-Jan-2022","EQ","5,063.80","5,084.95","5,010.00","5,063.80","5,015.00","5,014.15","5,030.39","6,175.00","4,330.00",21897,"110,150,401.70",3170
"05-Jan-2022","EQ","5,070.00","5,135.00","5,023.55","5,064.70","5,068.00","5,063.80","5,065.07","6,175.00","4,330.00",28765,"145,696,643.75",3572
"04-Jan-2022","EQ","5,139.90","5,170.00","5,055.00","5,100.60","5,069.00","5,064.70","5,097.33","6,175.00","4,330.00",42667,"217,487,581.50",4855
"03-Jan-2022","EQ","5,095.65","5,130.00","5,064.85","5,055.30","5,107.65","5,100.60","5,098.15","6,175.00","4,330.00",37397,"190,655,452.55",4288
"31-Dec-2021","EQ","5,030.00","5,085.00","5,022.00","5,029.15","5,054.10","5,055.30","5,057.54","6,175.00","4,330.00",21934,"110,932,189.35",2572
"30-Dec-2021","EQ","5,040.00","5,059.00","5,010.00","5,046.85","5,050.00","5,029.15","5,030.12","6,175.00","4,330.00",29500,"148,388,625.60",3530
"29-Dec-2021","EQ","5,045.00","5,090.00","5,015.00","5,046.95","5,043.00","5,046.85","5,043.85","6,175.00","4,330.00",21677,"109,335,469.75",3256
"28-Dec-2021","EQ","5,008.00","5,070.20","5,005.00","5,008.00","5,060.00","5,046.95","5,029.59","6,175.00","4,330.00",24023,"120,825,926.90",3503
"27-Dec-2021","EQ","5,022.00","5,046.20","4,967.00","5,053.40","5,025.00","5,008.00","5,012.67","6,175.00","4,330.00",31454,"157,668,386.20",4502
"24-Dec-2021","EQ","5,160.00","5,170.00","5,015.20","5,141.70","5,055.00","5,053.40","5,071.32","6,175.00","4,330.00",78953,"400,395,537.75",7981
"23-Dec-2021","EQ","5,070.00","5,190.00","5,050.00","4,992.60","5,140.00","5,141.70","5,140.71","6,175.00","4,330.00",192718,"990,708,225.20",23631
"22-Dec-2021","EQ","4,885.00","5,046.40","4,840.75","4,887.80","4,974.80","4,992.60","4,976.07","6,175.00","4,330.00",52093,"259,218,645.95",9596
"21-Dec-2021","EQ","4,821.00","4,899.95","4,801.05","4,817.50","4,885.00","4,887.80","4,857.70","6,175.00","4,330.00",30410,"147,722,769.50",4943
"20-Dec-2021","EQ","4,944.60","4,944.60","4,790.00","4,974.60","4,797.00","4,817.50","4,831.71","6,175.00","4,330.00",53103,"256,578,137.65",11121
"17-Dec-2021","EQ","4,965.00","5,074.40","4,911.45","4,962.60","4,956.00","4,974.60","5,008.11","6,175.00","4,330.00",58432,"292,633,959.45",9596
"16-Dec-2021","EQ","4,994.00","5,027.95","4,943.95","4,970.55","4,965.00","4,962.60","4,984.67","6,175.00","4,330.00",35121,"175,066,580.10",5624
"15-Dec-2021","EQ","5,172.00","5,172.00","4,944.00","5,185.20","4,978.00","4,970.55","5,031.57","6,175.00","4,330.00",112094,"564,008,332.60",15780
"14-Dec-2021","EQ","4,903.00","5,235.55","4,864.55","4,881.60","5,172.00","5,185.20","5,139.71","6,175.00","4,330.00",350498,"1,801,459,411.30",39380
"13-Dec-2021","EQ","4,930.00","4,949.00","4,871.65","4,867.75","4,878.25","4,881.60","4,908.24","6,175.00","4,330.00",22694,"111,387,547.30",3208
"10-Dec-2021","EQ","4,893.50","4,908.90","4,857.00","4,868.35","4,870.00","4,867.75","4,882.70","6,175.00","4,330.00",15581,"76,077,332.60",2871
"09-Dec-2021","EQ","4,898.85","4,936.30","4,840.00","4,854.25","4,861.75","4,868.35","4,885.32","6,175.00","4,330.00",63149,"308,502,785.55",8389
"08-Dec-2021","EQ","4,827.10","4,936.95","4,827.10","4,838.00","4,864.55","4,854.25","4,874.91","6,175.00","4,330.00",26994,"131,593,322.65",4764
