"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","2,523.00","2,523.00","2,445.25","2,475.80","2,454.35","2,456.50","2,466.52","2,764.70","1,665.00",347289,"856,595,206.75",55795
"28-Jan-2022","EQ","2,461.90","2,517.00","2,461.00","2,460.90","2,485.00","2,475.80","2,484.28","2,764.70","1,663.80",440807,"1,095,085,977.10",41051
"27-Jan-2022","EQ","2,550.00","2,576.65","2,447.70","2,589.85","2,464.00","2,460.90","2,500.82","2,764.70","1,663.80",2000581,"5,003,087,907.45",82825
"25-Jan-2022","EQ","2,616.00","2,680.00","2,545.00","2,640.35","2,585.00","2,589.85","2,600.65","2,764.70","1,663.80",1714221,"4,458,090,084.00",88665
"24-Jan-2022","EQ","2,714.90","2,721.35","2,615.85","2,700.60","2,629.10","2,640.35","2,647.16","2,764.70","1,663.80",663508,"1,756,413,016.45",50178
"21-Jan-2022","EQ","2,670.00","2,710.00","2,660.45","2,675.95","2,705.00","2,700.60","2,686.69","2,764.70","1,663.80",1397913,"3,755,755,865.45",28979
"20-Jan-2022","EQ","2,687.00","2,696.20","2,656.10","2,673.40","2,675.00","2,675.95","2,674.98","2,764.70","1,663.80",355370,"950,607,667.90",24221
"19-Jan-2022","EQ","2,687.00","2,696.85","2,664.15","2,685.10","2,678.10","2,673.40","2,679.30","2,764.70","1,663.80",444989,"1,192,260,834.95",20126
"18-Jan-2022","EQ","2,737.25","2,737.25","2,671.10","2,714.55","2,691.80","2,685.10","2,692.70","2,764.70","1,663.80",325792,"877,260,329.65",28236
"17-Jan-2022","EQ","2,700.55","2,720.15","2,676.90","2,700.55","2,716.30","2,714.55","2,699.90","2,764.70","1,663.80",359887,"971,659,048.10",22832
"14-Jan-2022","EQ","2,720.00","2,724.45","2,650.00","2,724.35","2,699.70","2,700.55","2,700.06","2,764.70","1,663.80",493603,"1,332,757,711.50",34273
"13-Jan-2022","EQ","2,748.85","2,764.70","2,711.35","2,748.85","2,735.00","2,724.35","2,732.07","2,764.70","1,663.80",307553,"840,257,580.10",32896
"12-Jan-2022","EQ","2,710.10","2,753.00","2,710.10","2,709.75","2,744.95","2,748.85","2,737.00","2,753.00","1,663.80",309406,"846,844,457.65",31290
"11-Jan-2022","EQ","2,697.00","2,723.10","2,695.00","2,709.15","2,711.00","2,709.75","2,704.72","2,741.15","1,663.80",290771,"786,453,364.50",33990
"10-Jan-2022","EQ","2,740.00","2,741.15","2,690.00","2,723.45","2,705.00","2,709.15","2,706.81","2,741.15","1,663.80",321273,"869,626,385.65",34851
"07-Jan-2022","EQ","2,650.00","2,734.50","2,645.00","2,646.00","2,722.10","2,723.45","2,693.86","2,734.50","1,663.80",947286,"2,551,856,863.55",44443
"06-Jan-2022","EQ","2,616.00","2,655.00","2,615.10","2,637.95","2,640.95","2,646.00","2,633.71","2,662.00","1,663.80",725314,"1,910,264,486.70",33187
"05-Jan-2022","EQ","2,601.70","2,662.00","2,585.00","2,599.20","2,637.00","2,637.95","2,626.88","2,662.00","1,663.80",1187260,"3,118,788,140.10",57571
"04-Jan-2022","EQ","2,482.00","2,607.50","2,478.00","2,473.95","2,604.80","2,599.20","2,549.62","2,607.50","1,663.80",1368623,"3,489,467,567.55",64944
"03-Jan-2022","EQ","2,475.00","2,487.00","2,465.00","2,462.80","2,476.00","2,473.95","2,474.85","2,532.00","1,663.80",111798,"276,683,827.95",15587
"31-Dec-2021","EQ","2,434.90","2,470.00","2,434.90","2,433.90","2,463.00","2,462.80","2,458.56","2,532.00","1,663.80",178060,"437,771,035.20",17606
"30-Dec-2021","EQ","2,431.35","2,461.20","2,427.10","2,450.25","2,433.55","2,433.90","2,443.51","2,532.00","1,663.80",237399,"580,086,602.70",19511
"29-Dec-2021","EQ","2,486.60","2,489.00","2,448.00","2,472.80","2,450.00","2,450.25","2,460.05","2,532.00","1,663.80",266073,"654,554,121.75",21202
"28-Dec-2021","EQ","2,409.00","2,484.00","2,403.55","2,398.20","2,481.00","2,472.80","2,454.86","2,532.00","1,663.80",345457,"848,048,164.90",32453
"27-Dec-2021","EQ","2,401.10","2,424.95","2,393.80","2,410.20","2,401.45","2,398.20","2,403.53","2,532.00","1,663.80",163735,"393,541,632.70",18687
"24-Dec-2021","EQ","2,423.10","2,448.95","2,405.00","2,421.40","2,410.55","2,410.20","2,423.39","2,532.00","1,643.40",174813,"423,639,657.30",16515
"23-Dec-2021","EQ","2,440.00","2,444.45","2,416.55","2,434.50","2,424.10","2,421.40","2,426.80","2,532.00","1,643.40",163170,"395,981,159.15",19478
"22-Dec-2021","EQ","2,420.00","2,440.00","2,406.80","2,410.00","2,432.00","2,434.50","2,427.44","2,532.00","1,643.40",211943,"514,478,586.35",22377
"21-Dec-2021","EQ","2,430.00","2,453.00","2,394.00","2,405.55","2,407.10","2,410.00","2,428.30","2,532.00","1,643.40",451100,"1,095,406,468.10",40242
"20-Dec-2021","EQ","2,388.00","2,414.85","2,329.25","2,391.45","2,397.80","2,405.55","2,375.07","2,532.00","1,643.40",1169343,"2,777,267,780.80",39587
"17-Dec-2021","EQ","2,414.80","2,414.80","2,384.25","2,418.25","2,393.40","2,391.45","2,397.31","2,532.00","1,612.30",491876,"1,179,177,236.00",26850
"16-Dec-2021","EQ","2,415.00","2,423.65","2,403.10","2,407.75","2,416.95","2,418.25","2,414.91","2,532.00","1,612.30",203956,"492,534,778.10",20996
