"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","2,386.25","2,485.00","2,386.25","2,367.35","2,440.00","2,433.50","2,440.18","3,534.90","1,981.00",734221,"1,791,628,152.30",39219
"28-Jan-2022","EQ","2,374.05","2,407.70","2,360.00","2,373.50","2,376.00","2,367.35","2,376.65","3,534.90","1,981.00",531926,"1,264,200,459.05",45047
"27-Jan-2022","EQ","2,425.00","2,425.00","2,333.55","2,427.90","2,376.00","2,373.50","2,366.66","3,534.90","1,981.00",516832,"1,223,165,759.25",63328
"25-Jan-2022","EQ","2,470.00","2,494.95","2,394.40","2,477.65","2,434.00","2,427.90","2,425.57","3,534.90","1,981.00",560760,"1,360,163,977.45",50180
"24-Jan-2022","EQ","2,588.00","2,588.00","2,412.65","2,593.55","2,489.60","2,477.65","2,481.20","3,534.90","1,981.00",609192,"1,511,529,665.15",56057
"21-Jan-2022","EQ","2,660.00","2,676.90","2,575.00","2,678.40","2,588.00","2,593.55","2,621.84","3,534.90","1,981.00",338562,"887,655,137.75",43448
"20-Jan-2022","EQ","2,700.00","2,712.35","2,664.90","2,692.80","2,674.00","2,678.40","2,691.30","3,534.90","1,981.00",161540,"434,751,993.70",22453
"19-Jan-2022","EQ","2,714.00","2,722.00","2,668.25","2,713.10","2,697.00","2,692.80","2,693.51","3,534.90","1,981.00",386650,"1,041,446,322.95",26590
"18-Jan-2022","EQ","2,814.90","2,814.90","2,705.40","2,796.10","2,713.80","2,713.10","2,753.02","3,534.90","1,981.00",323427,"890,401,444.10",43181
"17-Jan-2022","EQ","2,802.25","2,819.25","2,775.00","2,802.25","2,794.00","2,796.10","2,797.32","3,534.90","1,981.00",274417,"767,632,806.90",19428
"14-Jan-2022","EQ","2,830.00","2,835.90","2,791.25","2,832.30","2,804.00","2,802.25","2,807.59","3,534.90","1,981.00",368513,"1,034,635,084.20",29766
"13-Jan-2022","EQ","2,894.75","2,894.75","2,814.45","2,871.70","2,831.00","2,832.30","2,833.50","3,534.90","1,981.00",495708,"1,404,588,795.15",35096
"12-Jan-2022","EQ","2,875.00","2,886.10","2,817.40","2,866.90","2,870.00","2,871.70","2,857.73","3,534.90","1,981.00",816910,"2,334,506,433.45",72658
"11-Jan-2022","EQ","2,889.90","2,912.00","2,857.00","2,887.35","2,862.00","2,866.90","2,886.34","3,534.90","1,981.00",284934,"822,415,733.50",22813
"10-Jan-2022","EQ","2,949.05","2,949.05","2,881.15","2,949.05","2,890.00","2,887.35","2,899.41","3,534.90","1,981.00",384955,"1,116,142,702.15",27379
"07-Jan-2022","EQ","2,969.80","2,969.80","2,916.80","2,954.30","2,949.50","2,949.05","2,946.74","3,534.90","1,981.00",330943,"975,201,602.65",27791
"06-Jan-2022","EQ","2,970.00","2,988.90","2,930.00","2,993.20","2,947.00","2,954.30","2,953.05","3,534.90","1,981.00",173758,"513,116,444.90",13246
"05-Jan-2022","EQ","3,027.25","3,051.85","2,961.20","3,013.90","2,990.00","2,993.20","3,015.29","3,534.90","1,981.00",314219,"947,460,906.05",21388
"04-Jan-2022","EQ","3,050.00","3,062.40","2,997.65","3,051.75","3,010.00","3,013.90","3,013.58","3,534.90","1,981.00",136534,"411,456,632.50",14696
"03-Jan-2022","EQ","3,035.00","3,108.00","3,007.00","3,034.20","3,044.00","3,051.75","3,069.84","3,534.90","1,981.00",201183,"617,599,480.90",20410
"31-Dec-2021","EQ","2,980.05","3,048.00","2,980.05","2,990.20","3,032.00","3,034.20","3,021.35","3,534.90","1,981.00",126185,"381,248,687.10",13806
"30-Dec-2021","EQ","3,000.00","3,035.55","2,971.10","3,000.80","2,985.00","2,990.20","2,992.15","3,534.90","1,981.00",185532,"555,139,046.95",21349
"29-Dec-2021","EQ","3,000.00","3,020.30","2,977.50","3,001.50","3,010.00","3,000.80","2,997.93","3,534.90","1,981.00",123288,"369,609,052.60",10364
"28-Dec-2021","EQ","2,920.25","3,029.90","2,906.20","2,891.50","3,000.00","3,001.50","2,981.28","3,534.90","1,981.00",287634,"857,517,797.65",25285
"27-Dec-2021","EQ","2,909.00","2,931.80","2,865.85","2,902.90","2,899.00","2,891.50","2,903.34","3,534.90","1,981.00",180928,"525,295,144.10",13513
"24-Dec-2021","EQ","2,960.00","2,960.00","2,890.00","2,940.05","2,897.00","2,902.90","2,916.04","3,534.90","1,981.00",167585,"488,683,862.55",11816
"23-Dec-2021","EQ","2,977.00","2,991.80","2,922.45","2,946.85","2,944.40","2,940.05","2,953.25","3,534.90","1,981.00",115822,"342,051,631.75",15593
"22-Dec-2021","EQ","2,911.00","2,976.85","2,886.00","2,882.65","2,952.00","2,946.85","2,934.39","3,534.90","1,981.00",185503,"544,337,264.90",20973
"21-Dec-2021","EQ","2,894.95","2,950.95","2,856.35","2,841.40","2,887.80","2,882.65","2,910.50","3,534.90","1,981.00",701081,"2,040,496,880.90",34124
"20-Dec-2021","EQ","2,930.15","2,939.00","2,762.45","2,966.30","2,846.00","2,841.40","2,837.73","3,534.90","1,981.00",188486,"534,872,137.30",16945
"17-Dec-2021","EQ","3,060.00","3,060.00","2,940.80","3,046.00","2,957.25","2,966.30","2,990.40","3,534.90","1,981.00",189959,"568,052,967.55",16662
"16-Dec-2021","EQ","3,087.55","3,100.00","3,036.00","3,087.55","3,042.00","3,046.00","3,060.15","3,534.90","1,981.00",195791,"599,150,603.10",19821
"15-Dec-2021","EQ","2,964.00","3,106.50","2,916.70","2,952.40","3,075.00","3,087.55","3,060.44","3,534.90","1,981.00",823364,"2,519,856,885.50",40977
"14-Dec-2021","EQ","2,890.00","2,963.00","2,876.05","2,903.50","2,962.00","2,952.40","2,931.86","3,534.90","1,981.00",176434,"517,279,054.55",12944
"13-Dec-2021","EQ","2,930.00","2,950.00","2,891.00","2,915.40","2,905.00","2,903.50","2,915.48","3,534.90","1,981.00",104417,"304,425,508.95",9135
"10-Dec-2021","EQ","2,950.00","2,957.60","2,900.10","2,936.15","2,919.00","2,915.40","2,922.92","3,534.90","1,981.00",63692,"186,166,865.90",5741
"09-Dec-2021","EQ","2,944.35","2,964.50","2,915.60","2,944.30","2,925.65","2,936.15","2,939.15","3,534.90","1,981.00",197500,"580,481,906.85",12102
"08-Dec-2021","EQ","2,895.00","2,955.80","2,890.10","2,902.75","2,939.20","2,944.30","2,938.42","3,534.90","1,981.00",105285,"309,371,803.30",15612
"07-Dec-2021","EQ","2,860.00","2,918.00","2,857.80","2,852.80","2,904.70","2,902.75","2,896.66","3,534.90","1,981.00",112950,"327,178,234.65",10517
"06-Dec-2021","EQ","2,904.00","2,906.95","2,833.15","2,891.55","2,851.70","2,852.80","2,871.69","3,534.90","1,981.00",128756,"369,747,297.30",12696
"03-Dec-2021","EQ","2,970.00","2,970.00","2,872.00","2,953.25","2,877.00","2,891.55","2,916.02","3,534.90","1,981.00",277433,"809,000,689.50",19852
"02-Dec-2021","EQ","2,944.45","3,044.95","2,893.20","2,943.10","2,950.00","2,953.25","2,966.20","3,534.90","1,981.00",416066,"1,234,136,218.05",36731
"01-Dec-2021","EQ","2,870.00","2,951.80","2,870.00","2,869.50","2,929.90","2,943.10","2,917.44","3,534.90","1,981.00",221968,"647,579,333.80",22336
"30-Nov-2021","EQ","2,967.00","3,031.00","2,842.70","2,954.70","2,850.00","2,869.50","2,929.87","3,534.90","1,981.00",789349,"2,312,689,331.85",43462
"29-Nov-2021","EQ","2,900.10","2,980.75","2,841.80","2,933.05","2,947.35","2,954.70","2,929.08","3,534.90","1,981.00",245770,"719,878,941.80",21485
"26-Nov-2021","EQ","2,991.30","3,013.70","2,876.00","2,997.80","2,922.00","2,933.05","2,932.68","3,534.90","1,981.00",235616,"690,986,083.00",22190
"25-Nov-2021","EQ","2,890.95","3,031.90","2,864.80","2,899.00","2,992.55","2,997.80","2,971.18","3,534.90","1,981.00",462081,"1,372,924,551.45",30439
"24-Nov-2021","EQ","2,930.00","2,974.00","2,861.20","2,921.95","2,880.50","2,899.00","2,935.01","3,534.90","1,981.00",278739,"818,102,249.00",21368
"23-Nov-2021","EQ","2,862.00","2,932.80","2,829.70","2,872.00","2,920.00","2,921.95","2,900.15","3,534.90","1,981.00",238853,"692,709,971.30",19348
"22-Nov-2021","EQ","2,885.90","2,924.70","2,785.00","2,870.75","2,865.00","2,872.00","2,871.83","3,534.90","1,981.00",507513,"1,457,490,120.35",41329
"18-Nov-2021","EQ","2,880.00","2,905.70","2,835.00","2,897.20","2,892.00","2,870.75","2,870.10","3,534.90","1,981.00",202219,"580,388,104.45",17689
"17-Nov-2021","EQ","2,920.00","2,924.20","2,864.00","2,922.55","2,882.00","2,897.20","2,901.83","3,534.90","1,981.00",208118,"603,922,098.00",16644
"16-Nov-2021","EQ","2,905.00","2,932.90","2,882.00","2,889.80","2,911.00","2,922.55","2,907.45","3,534.90","1,981.00",283136,"823,203,367.40",27361
"15-Nov-2021","EQ","2,758.65","2,935.95","2,749.05","2,737.85","2,880.00","2,889.80","2,852.32","3,534.90","1,981.00",1237334,"3,529,267,529.30",69846
"12-Nov-2021","EQ","2,769.90","2,784.00","2,733.00","2,749.30","2,746.00","2,737.85","2,745.80","3,534.90","1,981.00",262891,"721,845,681.80",19433
"11-Nov-2021","EQ","2,785.00","2,785.00","2,729.45","2,797.65","2,747.20","2,749.30","2,752.38","3,534.90","1,981.00",242561,"667,619,651.95",27012
"10-Nov-2021","EQ","2,780.00","2,810.00","2,755.55","2,785.95","2,792.70","2,797.65","2,783.04","3,534.90","1,981.00",257233,"715,890,786.65",27108
"09-Nov-2021","EQ","2,750.00","2,794.50","2,746.30","2,748.95","2,787.05","2,785.95","2,775.82","3,534.90","1,981.00",552743,"1,534,316,772.50",24511
"08-Nov-2021","EQ","2,799.00","2,799.00","2,700.90","2,767.70","2,750.00","2,748.95","2,730.18","3,534.90","1,981.00",345912,"944,401,017.95",29885
"04-Nov-2021","EQ","2,741.60","2,777.50","2,741.00","2,731.75","2,768.05","2,767.70","2,766.59","3,534.90","1,981.00",60963,"168,659,887.40",6868
"03-Nov-2021","EQ","2,805.00","2,823.60","2,703.00","2,781.90","2,730.00","2,731.75","2,752.00","3,534.90","1,981.00",782105,"2,152,349,249.40",77490
"02-Nov-2021","EQ","2,825.00","2,834.40","2,752.00","2,998.70","2,782.00","2,781.90","2,793.50","3,534.90","1,981.00",1683765,"4,703,589,230.15",128428
"01-Nov-2021","EQ","2,997.00","3,012.30","2,946.00","2,999.95","3,005.00","2,998.70","2,979.34","3,534.90","1,981.00",160708,"478,803,921.25",19523
"29-Oct-2021","EQ","2,973.75","3,020.00","2,912.00","2,952.50","3,000.00","2,999.95","2,987.04","3,534.90","1,981.00",211146,"630,702,437.25",26424
"28-Oct-2021","EQ","2,993.55","2,993.55","2,895.00","2,967.20","2,967.00","2,952.50","2,950.80","3,534.90","1,981.00",320931,"947,001,883.85",31310
"27-Oct-2021","EQ","3,038.00","3,065.65","2,957.35","3,035.90","2,968.25","2,967.20","2,999.58","3,534.90","1,981.00",276901,"830,585,902.55",19619
"26-Oct-2021","EQ","3,021.00","3,070.60","2,906.00","2,999.35","3,045.00","3,035.90","2,981.38","3,534.90","1,981.00",401894,"1,198,197,255.05",51894
"25-Oct-2021","EQ","3,054.00","3,054.00","2,865.00","3,031.20","3,018.95","2,999.35","2,980.58","3,534.90","1,981.00",517853,"1,543,503,292.35",34444
"22-Oct-2021","EQ","3,139.00","3,144.95","3,010.20","3,135.20","3,037.00","3,031.20","3,051.75","3,534.90","1,981.00",175511,"535,616,424.60",18935
