"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","41.10","41.85","40.85","40.85","41.45","41.55","41.41","48.20","32.50",65358800,"2,706,705,647.15",86329
"28-Jan-2022","EQ","42.10","42.40","40.70","41.15","40.75","40.85","41.33","48.20","31.90",116265760,"4,805,574,104.25",140047
"27-Jan-2022","EQ","39.00","41.45","38.80","39.40","41.15","41.15","40.38","48.20","31.90",120678533,"4,872,666,815.95",140109
"25-Jan-2022","EQ","37.90","39.55","37.60","38.00","39.45","39.40","38.92","48.20","31.90",54401085,"2,117,159,054.25",65341
"24-Jan-2022","EQ","38.80","39.05","37.30","38.80","37.90","38.00","38.12","48.20","31.90",51367085,"1,958,064,394.25",73595
"21-Jan-2022","EQ","39.55","39.75","38.45","40.00","38.90","38.80","39.08","48.20","31.90",48283808,"1,886,774,553.75",63195
"20-Jan-2022","EQ","39.90","40.45","39.75","40.00","40.00","40.00","40.10","48.20","31.90",38841491,"1,557,469,199.75",48495
"19-Jan-2022","EQ","38.85","40.15","38.75","39.10","39.95","40.00","39.47","48.20","31.90",44886428,"1,771,877,820.05",60130
"18-Jan-2022","EQ","40.00","40.20","39.00","39.85","39.10","39.10","39.67","48.20","31.90",44095230,"1,749,164,691.20",57181
"17-Jan-2022","EQ","40.05","40.50","39.75","40.15","39.85","39.85","40.08","48.20","31.90",28509122,"1,142,705,938.75",47044
"14-Jan-2022","EQ","39.95","40.35","39.80","40.20","40.05","40.15","40.07","48.20","31.90",28246979,"1,131,934,747.20",38963
"13-Jan-2022","EQ","39.95","40.65","39.75","40.00","40.10","40.20","40.24","48.20","31.90",38374630,"1,544,196,497.05",50786
"12-Jan-2022","EQ","40.05","40.45","39.85","39.95","39.95","40.00","40.09","48.20","31.90",27289110,"1,094,101,800.80",46919
"11-Jan-2022","EQ","40.45","40.60","39.75","40.35","39.95","39.95","40.10","48.20","31.90",40117267,"1,608,601,785.40",63317
"10-Jan-2022","EQ","38.95","40.75","38.90","38.90","40.45","40.35","39.96","48.20","31.90",77487214,"3,096,474,904.75",98968
"07-Jan-2022","EQ","38.80","39.55","38.65","38.80","38.90","38.90","39.10","48.20","31.90",45764582,"1,789,193,588.60",58665
"06-Jan-2022","EQ","38.20","39.10","38.20","38.75","38.85","38.80","38.66","48.20","31.90",43889477,"1,696,984,813.75",50396
"05-Jan-2022","EQ","38.10","39.05","38.05","38.35","38.75","38.75","38.59","48.20","31.90",46559579,"1,796,964,715.60",51980
"04-Jan-2022","EQ","38.10","38.65","37.90","38.00","38.35","38.35","38.30","48.20","31.90",40922358,"1,567,213,731.30",57693
"03-Jan-2022","EQ","37.30","38.15","37.25","37.30","38.05","38.00","37.77","48.20","31.90",36560565,"1,380,846,960.50",50527
"31-Dec-2021","EQ","37.25","37.60","37.05","37.15","37.35","37.30","37.35","48.20","31.50",31412356,"1,173,193,880.10",46506
"30-Dec-2021","EQ","37.00","37.40","36.55","37.15","37.30","37.15","36.94","48.20","31.50",69851127,"2,580,512,543.45",63268
"29-Dec-2021","EQ","37.40","37.50","37.00","37.30","37.10","37.15","37.19","48.20","31.50",32102072,"1,193,946,118.30",42792
"28-Dec-2021","EQ","37.35","37.60","37.10","37.25","37.25","37.30","37.38","48.20","31.50",34060388,"1,273,096,626.45",44094
"27-Dec-2021","EQ","36.80","37.35","36.25","36.85","37.30","37.25","37.03","48.20","31.50",42555204,"1,575,727,261.80",56160
"24-Dec-2021","EQ","38.00","38.15","36.25","38.00","36.95","36.85","37.04","48.20","31.40",57414841,"2,126,884,973.40",71815
"23-Dec-2021","EQ","37.75","38.25","37.60","37.45","37.95","38.00","37.90","48.20","31.40",35679028,"1,352,107,407.75",41761
"22-Dec-2021","EQ","37.25","38.00","37.00","36.95","37.55","37.45","37.45","48.20","31.40",37841483,"1,417,135,374.70",48163
"21-Dec-2021","EQ","36.90","37.60","36.60","36.75","37.15","36.95","37.16","48.20","31.40",60527831,"2,249,268,096.20",63454
"20-Dec-2021","EQ","37.50","37.65","35.95","38.00","36.65","36.75","36.68","48.20","31.40",55096010,"2,021,151,202.75",99364
"17-Dec-2021","EQ","39.25","39.40","37.90","39.40","38.00","38.00","38.33","48.20","31.40",47068060,"1,804,269,456.70",66038
"16-Dec-2021","EQ","39.80","40.20","39.10","39.75","39.40","39.40","39.51","48.20","31.40",34881495,"1,378,093,745.70",42649
"15-Dec-2021","EQ","40.05","40.45","39.65","40.15","39.70","39.75","40.10","48.20","31.40",30984077,"1,242,436,716.75",45698
"14-Dec-2021","EQ","40.10","40.45","39.55","40.25","40.10","40.15","39.97","48.20","31.40",40950927,"1,636,890,609.10",50016
"13-Dec-2021","EQ","41.25","41.40","40.15","40.75","40.25","40.25","40.69","48.20","31.40",46056603,"1,874,087,483.05",74368
"10-Dec-2021","EQ","39.50","41.05","39.25","39.50","40.80","40.75","40.14","48.20","31.40",52245056,"2,097,066,801.80",68155
"09-Dec-2021","EQ","39.50","39.90","39.15","39.35","39.55","39.50","39.54","48.20","31.40",35479922,"1,402,914,619.70",52238
"08-Dec-2021","EQ","38.75","39.45","38.55","38.50","39.40","39.35","39.00","48.20","31.40",41296620,"1,610,747,484.15",51998
"07-Dec-2021","EQ","38.30","38.85","38.20","38.00","38.45","38.50","38.51","48.20","31.40",31500355,"1,213,010,317.00",42480
"06-Dec-2021","EQ","38.50","38.90","37.85","38.50","38.05","38.00","38.33","48.20","31.40",40915598,"1,568,211,055.80",54952
"03-Dec-2021","EQ","38.55","39.10","38.35","38.50","38.50","38.50","38.66","48.20","31.40",29288326,"1,132,222,775.85",44758
"02-Dec-2021","EQ","38.30","38.60","37.95","38.35","38.50","38.50","38.29","48.20","31.40",32390148,"1,240,347,729.45",48029
"01-Dec-2021","EQ","37.40","38.55","37.15","37.30","38.50","38.35","37.72","48.20","31.40",40315749,"1,520,879,858.00",52199
"30-Nov-2021","EQ","37.75","38.50","37.05","37.60","37.10","37.30","37.83","48.20","31.40",52315588,"1,979,250,176.60",71097
"29-Nov-2021","EQ","38.20","38.45","37.10","38.50","37.60","37.60","37.90","48.20","31.40",47437170,"1,797,828,174.15",77040
"26-Nov-2021","EQ","39.75","39.75","38.25","39.95","38.40","38.50","39.02","48.20","29.75",55545650,"2,167,509,936.15",100903
"25-Nov-2021","EQ","40.45","40.55","39.85","40.45","40.05","39.95","40.05","48.20","29.75",44234204,"1,771,778,438.05",51135
"24-Nov-2021","EQ","40.75","41.15","40.20","40.65","40.35","40.45","40.85","48.20","29.75",40887058,"1,670,247,216.60",54775
"23-Nov-2021","EQ","39.60","40.85","39.45","39.90","40.75","40.65","40.38","48.20","29.75",54899992,"2,216,884,884.55",67463
"22-Nov-2021","EQ","41.65","41.80","39.35","41.65","39.95","39.90","40.34","48.20","29.75",66795201,"2,694,801,732.95",99223
"18-Nov-2021","EQ","40.85","42.20","40.80","40.65","41.60","41.65","41.64","48.20","29.40",123654620,"5,148,690,813.45",132114
"17-Nov-2021","EQ","40.90","41.40","40.50","41.10","40.65","40.65","40.88","48.20","29.40",37455760,"1,531,265,478.75",54168
"16-Nov-2021","EQ","41.85","41.85","40.95","41.60","41.00","41.10","41.38","48.20","29.40",37098708,"1,535,005,718.05",46515
"15-Nov-2021","EQ","42.05","42.10","41.45","41.75","41.70","41.60","41.67","48.20","29.40",29300908,"1,220,994,270.30",47414
"12-Nov-2021","EQ","42.20","42.25","41.55","41.85","41.80","41.75","41.76","48.20","27.85",28798008,"1,202,616,537.70",55906
"11-Nov-2021","EQ","42.40","42.45","41.65","42.25","41.90","41.85","42.01","48.20","27.85",35549697,"1,493,349,452.80",49398
"10-Nov-2021","EQ","42.80","42.90","42.05","42.90","42.25","42.25","42.48","48.20","27.85",41151809,"1,748,192,321.00",56557
"09-Nov-2021","EQ","42.60","43.25","42.50","42.40","42.85","42.90","42.96","48.20","27.85",55276093,"2,374,515,644.35",77017
"08-Nov-2021","EQ","42.25","42.60","41.90","41.90","42.45","42.40","42.29","48.20","27.85",55791255,"2,359,598,746.75",77825
"04-Nov-2021","EQ","41.70","42.05","41.55","41.35","42.00","41.90","41.85","48.20","26.75",13072027,"547,009,463.90",37168
"03-Nov-2021","EQ","42.20","42.65","41.15","42.10","41.25","41.35","42.01","48.20","26.75",64044920,"2,690,336,791.15",75961
"02-Nov-2021","EQ","42.35","42.45","41.80","42.10","42.05","42.10","42.17","48.20","26.75",52725424,"2,223,361,570.20",64563
"01-Nov-2021","EQ","42.55","42.65","41.80","42.10","42.10","42.10","42.15","48.20","26.75",42645900,"1,797,318,231.80",72900
"29-Oct-2021","EQ","41.50","43.10","40.60","41.35","42.20","42.10","42.04","48.20","26.30",146781564,"6,170,234,159.15",163877
"28-Oct-2021","EQ","45.00","45.00","41.00","46.30","41.40","41.35","42.19","48.20","26.30",321343621,"13,557,775,545.75",367192
"27-Oct-2021","EQ","46.20","47.10","45.75","45.85","46.20","46.30","46.49","48.20","26.30",111681059,"5,192,398,713.70",136663
"26-Oct-2021","EQ","45.35","47.60","45.20","44.90","45.95","45.85","46.35","48.20","26.30",214146592,"9,926,243,965.05",232802
"25-Oct-2021","EQ","44.25","45.65","43.15","43.95","44.95","44.90","44.68","48.20","26.30",153458794,"6,856,718,856.20",163527
"22-Oct-2021","EQ","45.20","46.25","43.65","44.65","43.85","43.95","44.95","48.20","26.30",102347062,"4,600,279,413.25",147740
"21-Oct-2021","EQ","43.90","44.90","43.45","43.10","44.80","44.65","44.32","48.20","26.30",122750629,"5,440,706,686.15",156660
"20-Oct-2021","EQ","43.90","44.50","42.65","44.15","43.45","43.10","43.56","48.20","26.30",115424264,"5,028,189,980.40",130143
"19-Oct-2021","EQ","46.90","47.50","43.90","46.00","44.00","44.15","45.48","48.20","26.30",150882735,"6,861,848,534.10",204001
"18-Oct-2021","EQ","42.95","48.20","42.75","42.55","45.85","46.00","45.54","48.20","26.30",405179433,"18,453,184,206.80",430004
"14-Oct-2021","EQ","41.80","42.70","41.70","41.45","42.45","42.55","42.33","46.35","26.30",128521477,"5,440,189,156.95",137579
"13-Oct-2021","EQ","41.50","42.10","41.30","41.25","41.40","41.45","41.61","46.35","26.30",82798525,"3,445,167,152.20",96730
"12-Oct-2021","EQ","40.50","41.35","40.05","40.45","41.20","41.25","40.84","46.35","26.30",67999277,"2,777,172,936.65",77626
"11-Oct-2021","EQ","40.50","40.90","40.30","40.30","40.35","40.45","40.54","46.35","26.30",42779749,"1,734,217,394.90",55849
"08-Oct-2021","EQ","40.10","40.50","39.50","39.90","40.45","40.30","40.01","46.35","26.30",63181834,"2,527,817,053.75",70044
"07-Oct-2021","EQ","40.45","40.55","39.85","39.90","39.90","39.90","40.18","46.35","26.30",35042174,"1,408,009,764.70",48948
"06-Oct-2021","EQ","41.30","41.70","39.70","41.05","39.75","39.90","40.70","46.35","26.30",76749025,"3,123,903,419.70",78568
"05-Oct-2021","EQ","41.05","41.75","40.75","41.10","41.00","41.05","41.12","46.35","26.30",62599441,"2,573,930,121.80",70129
"04-Oct-2021","EQ","40.90","41.50","40.75","40.60","41.05","41.10","41.09","46.35","26.30",62912144,"2,585,175,587.85",81655
"01-Oct-2021","EQ","39.95","41.20","39.35","40.10","40.65","40.60","40.50","46.35","26.30",97922965,"3,965,779,991.80",106304
"30-Sep-2021","EQ","39.80","41.25","39.60","39.65","40.05","40.10","40.50","46.35","26.30",83665464,"3,388,389,436.90",98049
"29-Sep-2021","EQ","38.80","41.00","38.50","39.15","39.65","39.65","39.91","46.35","26.30",103695312,"4,138,804,879.95",106703
"28-Sep-2021","EQ","38.40","39.70","38.35","38.35","39.20","39.15","39.12","46.35","26.30",87295894,"3,414,759,011.90",77313
"27-Sep-2021","EQ","38.15","38.65","38.05","37.90","38.30","38.35","38.38","46.35","26.30",33799535,"1,297,180,853.10",43691
"24-Sep-2021","EQ","39.00","39.00","37.75","38.50","37.85","37.90","38.22","46.35","26.30",33176080,"1,267,943,762.15",47157
"23-Sep-2021","EQ","38.50","39.00","38.40","38.15","38.45","38.50","38.63","46.35","26.30",31335371,"1,210,421,437.30",43043
"22-Sep-2021","EQ","38.15","38.55","38.00","38.10","38.10","38.15","38.25","46.35","26.30",27417221,"1,048,630,001.95",39323
"21-Sep-2021","EQ","38.20","38.45","37.35","38.10","38.05","38.10","37.87","46.35","26.30",45279748,"1,714,670,670.20",52616
"20-Sep-2021","EQ","39.50","39.50","38.00","39.75","38.10","38.10","38.78","46.35","26.30",49454941,"1,917,971,772.80",85088
"17-Sep-2021","EQ","42.70","42.75","39.35","41.80","39.80","39.75","40.47","46.35","26.30",135078081,"5,467,126,083.80",147451
"16-Sep-2021","EQ","38.80","41.95","38.50","38.75","41.70","41.80","40.81","46.35","26.30",190657378,"7,781,051,349.00",201912
"15-Sep-2021","EQ","37.95","38.95","37.75","37.80","38.70","38.75","38.50","46.35","26.30",57565856,"2,216,025,395.85",58224
"14-Sep-2021","EQ","37.75","38.35","37.65","37.60","37.80","37.80","37.92","46.35","26.30",31674866,"1,200,972,436.60",39863
"13-Sep-2021","EQ","37.80","37.80","37.35","37.55","37.55","37.60","37.58","46.35","26.30",21274965,"799,579,932.30",37275
"09-Sep-2021","EQ","37.65","37.90","37.45","37.65","37.60","37.55","37.62","46.35","26.30",20050778,"754,316,987.65",26966
"08-Sep-2021","EQ","37.35","38.35","37.25","37.40","37.70","37.65","37.87","46.35","26.30",47139154,"1,785,291,334.65",48020
"07-Sep-2021","EQ","37.75","37.95","37.15","37.85","37.35","37.40","37.52","46.35","26.30",30962650,"1,161,731,771.90",36453
"06-Sep-2021","EQ","38.40","38.50","37.75","38.05","37.75","37.85","38.01","46.35","26.30",30264921,"1,150,290,846.25",42916
"03-Sep-2021","EQ","37.50","38.55","37.50","37.45","38.05","38.05","38.07","46.35","26.30",53604232,"2,040,871,713.30",60975
"02-Sep-2021","EQ","37.25","37.80","37.20","37.35","37.65","37.45","37.54","46.35","26.30",35910903,"1,347,995,230.30",49811
"01-Sep-2021","EQ","36.60","37.45","36.55","36.65","37.35","37.35","37.08","46.35","26.30",41504907,"1,539,166,918.80",54447
