"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","212.00","216.75","211.20","210.20","215.55","215.40","214.91","251.50","167.15",14930820,"3,208,842,072.35",87469
"28-Jan-2022","EQ","217.50","217.50","209.25","214.85","210.95","210.20","212.68","251.50","167.15",14199037,"3,019,902,712.15",84660
"27-Jan-2022","EQ","218.00","219.30","212.35","218.85","215.00","214.85","214.83","251.50","167.15",21384355,"4,594,068,062.00",105735
"25-Jan-2022","EQ","213.50","220.20","211.95","214.00","218.30","218.85","216.96","251.50","167.15",20541777,"4,456,648,866.40",152349
"24-Jan-2022","EQ","216.40","217.75","211.50","215.10","213.50","214.00","214.02","251.50","167.15",9637642,"2,062,612,996.90",111712
"21-Jan-2022","EQ","213.90","219.25","213.00","214.65","214.70","215.10","216.23","251.50","167.15",22132195,"4,785,743,734.10",169997
"20-Jan-2022","EQ","207.10","215.35","205.40","204.65","214.50","214.65","211.77","251.50","167.15",22627758,"4,791,833,125.35",178220
"19-Jan-2022","EQ","206.00","207.40","201.05","205.15","205.35","204.65","204.59","251.50","167.15",10293276,"2,105,935,164.70",63686
"18-Jan-2022","EQ","206.25","207.85","204.60","206.35","205.00","205.15","205.82","251.50","167.15",6356567,"1,308,277,876.25",58960
"17-Jan-2022","EQ","209.15","209.55","205.80","207.75","206.00","206.35","206.90","251.50","167.15",5680905,"1,175,362,582.35",34047
"14-Jan-2022","EQ","207.95","209.65","206.55","208.00","207.75","207.75","207.95","251.50","167.15",10637741,"2,212,100,046.25",69808
"13-Jan-2022","EQ","207.60","211.50","206.55","204.95","208.00","208.00","209.28","251.50","167.15",15392106,"3,221,269,942.90",104552
"12-Jan-2022","EQ","206.00","206.70","204.35","203.85","204.70","204.95","205.42","251.50","167.15",8263605,"1,697,502,784.15",66894
"11-Jan-2022","EQ","204.55","205.80","203.50","204.00","204.20","203.85","204.22","251.50","167.15",5406592,"1,104,136,565.80",69082
"10-Jan-2022","EQ","207.25","207.25","203.45","205.20","204.20","204.00","204.95","251.50","167.15",8314283,"1,704,047,632.55",57137
"07-Jan-2022","EQ","206.95","208.50","204.50","205.95","205.10","205.20","205.60","251.50","167.15",8931187,"1,836,275,428.95",52329
"06-Jan-2022","EQ","207.75","208.70","204.65","208.65","206.50","205.95","206.16","251.50","167.15",4211949,"868,326,883.10",60426
"05-Jan-2022","EQ","210.00","211.35","208.05","210.60","208.40","208.65","209.39","251.50","167.15",7173831,"1,502,132,401.35",50863
"04-Jan-2022","EQ","206.30","213.00","205.50","205.00","210.40","210.60","210.26","251.50","167.15",11088068,"2,331,423,469.10",78872
"03-Jan-2022","EQ","205.40","206.95","204.15","204.40","205.15","205.00","205.50","251.50","167.15",5557541,"1,142,090,512.15",48334
"31-Dec-2021","EQ","204.00","206.20","203.55","205.35","204.50","204.40","204.88","251.50","167.15",7381668,"1,512,345,810.50",54609
"30-Dec-2021","EQ","204.60","211.40","201.65","204.60","204.05","205.35","205.16","251.50","167.15",65610905,"13,460,646,146.50",113111
"29-Dec-2021","EQ","203.00","205.90","202.70","205.60","204.90","204.60","204.25","251.50","167.15",12879708,"2,630,686,697.40",58173
"28-Dec-2021","EQ","206.65","208.65","203.30","206.10","205.40","205.60","205.07","251.50","167.15",11802155,"2,420,323,490.60",80147
"27-Dec-2021","EQ","205.40","207.25","205.00","205.40","206.90","206.10","206.16","251.50","167.15",6486141,"1,337,199,760.75",44884
"24-Dec-2021","EQ","208.20","208.70","204.85","208.35","205.15","205.40","206.08","251.50","167.15",6731977,"1,387,346,216.95",59820
"23-Dec-2021","EQ","202.50","209.60","202.05","201.55","208.95","208.35","207.38","251.50","167.15",11949367,"2,478,097,915.85",77324
"22-Dec-2021","EQ","199.80","203.00","198.00","206.60","201.45","201.55","200.67","251.50","167.15",11062674,"2,219,979,161.05",91685
"21-Dec-2021","EQ","211.45","211.75","204.80","209.85","206.20","206.60","206.98","251.50","167.15",13174884,"2,726,992,053.10",98168
"20-Dec-2021","EQ","210.75","212.65","207.50","209.95","209.70","209.85","210.13","251.50","167.15",16904435,"3,552,114,687.65",125610
"17-Dec-2021","EQ","208.20","210.50","205.05","208.20","209.80","209.95","208.67","251.50","167.15",11407061,"2,380,365,736.70",71000
"16-Dec-2021","EQ","211.40","211.80","206.30","209.85","209.00","208.20","208.10","251.50","167.15",10058053,"2,093,107,979.65",88328
"15-Dec-2021","EQ","213.10","215.65","207.80","212.25","208.15","209.85","212.14","251.50","167.15",11405480,"2,419,596,734.15",91786
"14-Dec-2021","EQ","204.10","213.15","203.20","204.40","212.30","212.25","209.70","251.50","167.15",36031527,"7,555,889,256.30",153457
"13-Dec-2021","EQ","205.50","209.65","203.70","202.65","204.60","204.40","207.33","251.50","167.15",16236095,"3,366,200,785.25",75652
"10-Dec-2021","EQ","204.25","204.25","201.85","203.20","202.00","202.65","202.66","251.50","167.15",4623302,"936,941,875.90",40283
"09-Dec-2021","EQ","205.50","206.45","202.10","204.80","203.50","203.20","203.41","251.50","167.15",4316567,"878,030,190.60",38548
"08-Dec-2021","EQ","205.15","207.65","203.55","205.80","205.10","204.80","205.66","251.50","167.15",6591337,"1,355,578,153.10",56641
"07-Dec-2021","EQ","202.60","206.95","202.15","202.00","205.50","205.80","205.27","251.50","167.15",6036827,"1,239,180,043.55",60032
