"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","483.45","497.45","480.05","478.70","487.05","488.30","489.75","554.90","263.00",646257,"316,506,875.80",16677
"28-Jan-2022","EQ","496.85","499.45","472.00","491.95","476.50","478.70","488.93","554.90","263.00",643136,"314,445,314.65",20064
"27-Jan-2022","EQ","488.00","496.90","478.15","500.35","492.00","491.95","486.94","554.90","263.00",921118,"448,529,937.15",33392
"25-Jan-2022","EQ","470.00","505.45","469.35","480.75","498.55","500.35","489.58","554.90","263.00",1279187,"626,262,279.10",40443
"24-Jan-2022","EQ","503.00","504.50","451.45","504.70","478.05","480.75","476.82","554.90","263.00",1935645,"922,945,427.50",55826
"21-Jan-2022","EQ","507.20","515.25","498.80","514.20","505.40","504.70","506.00","554.90","263.00",1236234,"625,538,134.00",25679
"20-Jan-2022","EQ","521.50","533.70","510.00","517.80","512.90","514.20","520.41","554.90","263.00",1255610,"653,436,553.40",27378
"19-Jan-2022","EQ","528.00","528.00","505.10","526.65","523.30","517.80","515.64","554.90","263.00",2255323,"1,162,924,043.05",57874
"18-Jan-2022","EQ","537.10","554.90","522.00","512.45","530.05","526.65","539.97","554.90","263.00",4939545,"2,667,197,593.00",129976
"17-Jan-2022","EQ","504.50","530.20","504.50","504.45","511.50","512.45","519.03","530.20","263.00",2699621,"1,401,175,473.75",49271
"14-Jan-2022","EQ","489.60","510.00","479.00","491.40","504.50","504.45","498.38","522.00","263.00",3965540,"1,976,331,257.95",60627
"13-Jan-2022","EQ","474.60","495.00","467.00","471.15","486.20","491.40","481.57","522.00","263.00",1524993,"734,395,641.35",30176
"12-Jan-2022","EQ","467.55","501.65","466.95","461.70","468.20","471.15","483.42","522.00","263.00",4424048,"2,138,694,777.55",90411
"11-Jan-2022","EQ","466.95","479.10","455.30","464.75","461.75","461.70","469.78","522.00","263.00",1351549,"634,933,438.50",32266
"10-Jan-2022","EQ","467.00","474.20","461.50","462.45","464.00","464.75","466.95","522.00","263.00",606162,"283,047,350.80",11060
"07-Jan-2022","EQ","467.50","472.70","460.30","463.95","461.45","462.45","465.52","522.00","263.00",341095,"158,786,020.70",10116
"06-Jan-2022","EQ","469.00","473.95","460.20","470.95","462.95","463.95","465.57","522.00","263.00",344516,"160,396,635.35",10161
"05-Jan-2022","EQ","472.60","476.05","465.45","472.45","471.25","470.95","470.55","522.00","263.00",334060,"157,192,001.10",8889
"04-Jan-2022","EQ","474.70","486.00","470.00","472.45","471.85","472.45","477.53","522.00","263.00",810008,"386,804,137.55",21288
"03-Jan-2022","EQ","475.00","491.50","470.55","474.75","472.00","472.45","481.55","522.00","263.00",840412,"404,700,042.20",18514
"31-Dec-2021","EQ","467.70","479.40","467.70","466.45","474.35","474.75","473.48","522.00","261.60",309041,"146,323,413.55",8262
"30-Dec-2021","EQ","476.40","477.65","464.00","474.20","465.60","466.45","469.63","522.00","261.60",252332,"118,502,811.45",7266
"29-Dec-2021","EQ","479.20","484.45","469.50","478.35","480.00","474.20","476.16","522.00","261.60",369089,"175,745,541.65",8342
"28-Dec-2021","EQ","475.95","486.80","472.45","477.55","479.10","478.35","481.92","522.00","261.60",780448,"376,116,537.45",19022
"27-Dec-2021","EQ","462.45","482.40","457.95","467.40","475.50","477.55","475.41","522.00","261.60",755365,"359,106,757.70",21641
"24-Dec-2021","EQ","471.65","473.95","458.95","471.65","467.05","467.40","464.94","522.00","247.85",452767,"210,511,341.05",10297
"23-Dec-2021","EQ","459.00","474.50","457.40","456.90","471.75","471.65","468.07","522.00","247.85",980384,"458,890,431.90",24908
"22-Dec-2021","EQ","435.00","462.10","434.95","433.85","457.20","456.90","445.31","522.00","247.85",807963,"359,794,297.50",17997
"21-Dec-2021","EQ","439.25","445.00","430.15","432.70","432.50","433.85","438.97","522.00","247.85",395804,"173,745,414.00",10996
"20-Dec-2021","EQ","441.50","454.45","424.35","450.85","432.00","432.70","438.78","522.00","247.85",857059,"376,059,919.05",20404
"17-Dec-2021","EQ","454.70","458.85","438.25","455.30","454.00","450.85","449.55","522.00","247.85",2351567,"1,057,149,514.95",19017
"16-Dec-2021","EQ","453.00","467.40","449.50","450.10","455.00","455.30","456.04","522.00","247.85",860175,"392,271,358.60",18623
