"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","865.00","878.00","850.50","851.05","865.00","869.10","866.03","1,132.70","768.30",322476,"279,273,742.70",11952
"28-Jan-2022","EQ","852.00","871.00","847.10","845.80","850.90","851.05","858.98","1,132.70","766.05",188079,"161,555,232.30",10484
"27-Jan-2022","EQ","860.00","860.00","823.95","860.80","840.85","845.80","837.59","1,132.70","766.05",482875,"404,451,935.55",18651
"25-Jan-2022","EQ","857.00","877.50","825.30","896.90","856.75","860.80","852.76","1,132.70","766.05",2679672,"2,285,127,486.15",98427
"24-Jan-2022","EQ","933.00","938.60","888.00","940.40","896.10","896.90","902.29","1,132.70","766.05",570217,"514,499,253.15",20804
"21-Jan-2022","EQ","952.00","954.00","932.75","951.65","937.15","940.40","942.39","1,132.70","766.05",151847,"143,098,924.30",7541
"20-Jan-2022","EQ","962.00","968.85","945.55","962.65","950.00","951.65","954.94","1,132.70","766.05",200169,"191,148,478.65",8590
"19-Jan-2022","EQ","968.00","979.00","960.05","971.35","962.95","962.65","968.34","1,132.70","766.05",267647,"259,174,116.15",12662
"18-Jan-2022","EQ","1,024.80","1,030.00","965.00","1,021.60","967.20","971.35","988.92","1,132.70","766.05",455239,"450,194,028.75",21880
"17-Jan-2022","EQ","1,010.85","1,034.15","992.00","1,011.90","1,023.75","1,021.60","1,013.59","1,132.70","766.05",524332,"531,457,856.90",22805
"14-Jan-2022","EQ","1,021.95","1,030.20","1,005.00","1,020.15","1,006.00","1,011.90","1,017.66","1,132.70","766.05",400151,"407,216,659.80",20754
"13-Jan-2022","EQ","1,046.90","1,046.90","1,015.00","1,041.90","1,020.50","1,020.15","1,024.23","1,132.70","766.05",281708,"288,533,502.75",13105
"12-Jan-2022","EQ","1,022.00","1,045.10","1,000.10","1,018.60","1,045.10","1,041.90","1,034.79","1,132.70","766.05",568486,"588,263,495.80",21925
"11-Jan-2022","EQ","1,050.00","1,054.80","1,013.00","1,046.85","1,023.00","1,018.60","1,025.57","1,132.70","766.05",299205,"306,857,036.20",12597
"10-Jan-2022","EQ","1,034.00","1,050.00","1,022.90","1,028.35","1,047.75","1,046.85","1,037.57","1,132.70","766.05",617919,"641,136,148.95",16953
"07-Jan-2022","EQ","1,003.55","1,037.10","1,003.55","1,007.65","1,029.00","1,028.35","1,020.42","1,132.70","766.05",309655,"315,977,750.25",12509
"06-Jan-2022","EQ","1,024.80","1,028.45","983.05","1,029.35","1,003.50","1,007.65","1,009.21","1,132.70","766.05",324837,"327,828,605.55",13794
"05-Jan-2022","EQ","1,024.40","1,045.00","1,017.00","1,024.40","1,028.00","1,029.35","1,033.86","1,132.70","766.05",437962,"452,792,774.50",18522
"04-Jan-2022","EQ","1,026.85","1,030.75","1,016.50","1,026.75","1,021.10","1,024.40","1,023.40","1,132.70","766.05",302302,"309,376,564.75",12461
"03-Jan-2022","EQ","1,008.80","1,028.80","1,000.00","1,004.10","1,023.15","1,026.75","1,016.84","1,132.70","766.05",140739,"143,108,940.85",9324
"31-Dec-2021","EQ","988.00","1,023.00","982.10","984.70","1,007.00","1,004.10","1,009.73","1,132.70","766.05",365120,"368,671,597.15",28070
"30-Dec-2021","EQ","993.00","999.25","975.50","988.85","990.00","984.70","983.63","1,132.70","766.05",262067,"257,776,547.80",8960
"29-Dec-2021","EQ","993.00","997.95","982.90","992.85","991.65","988.85","989.30","1,132.70","766.05",121076,"119,780,913.40",5682
"28-Dec-2021","EQ","986.90","995.20","981.75","981.65","993.50","992.85","990.96","1,132.70","766.05",101363,"100,446,920.55",7111
"27-Dec-2021","EQ","993.50","993.50","979.50","991.10","979.55","981.65","984.56","1,132.70","766.05",57827,"56,934,099.00",4338
"24-Dec-2021","EQ","1,000.00","1,000.00","979.80","998.00","992.70","991.10","988.67","1,132.70","766.05",162077,"160,240,084.55",3079
"23-Dec-2021","EQ","998.70","1,007.20","988.50","995.20","992.45","998.00","997.04","1,132.70","766.05",170028,"169,524,925.35",8037
"22-Dec-2021","EQ","976.25","1,000.00","955.00","971.15","990.60","995.20","989.08","1,132.70","766.05",190636,"188,553,956.00",12070
"21-Dec-2021","EQ","950.55","975.65","950.55","950.40","968.85","971.15","967.35","1,132.70","766.05",194512,"188,161,696.90",10011
"20-Dec-2021","EQ","966.40","966.70","929.05","979.75","947.00","950.40","948.21","1,132.70","766.05",282540,"267,906,946.50",9182
"17-Dec-2021","EQ","988.90","989.35","972.90","989.65","980.00","979.75","981.53","1,132.70","766.05",245835,"241,294,963.80",9503
"16-Dec-2021","EQ","1,001.55","1,004.00","982.80","998.75","988.55","989.65","988.28","1,132.70","766.05",351141,"347,024,223.80",6536
"15-Dec-2021","EQ","995.80","1,002.00","984.50","992.60","996.80","998.75","994.87","1,132.70","766.05",264201,"262,844,786.60",7884
"14-Dec-2021","EQ","982.80","994.70","976.40","985.10","994.20","992.60","987.99","1,132.70","766.05",65299,"64,514,746.25",3238
"13-Dec-2021","EQ","996.30","1,004.70","982.10","992.70","986.85","985.10","996.31","1,132.70","766.05",281100,"280,063,724.60",7562
"10-Dec-2021","EQ","983.65","995.50","982.75","983.65","994.00","992.70","990.02","1,132.70","766.05",132126,"130,806,921.85",5073
"09-Dec-2021","EQ","985.10","989.50","938.05","979.00","981.00","983.65","977.08","1,132.70","766.05",173707,"169,726,195.40",5785
"08-Dec-2021","EQ","959.15","987.70","959.15","959.15","977.10","979.00","977.85","1,132.70","766.05",299952,"293,307,059.40",13114
"07-Dec-2021","EQ","942.55","966.70","939.60","941.85","958.50","959.15","958.37","1,132.70","766.05",221080,"211,877,026.00",8475
"06-Dec-2021","EQ","952.90","963.00","932.55","950.85","941.85","941.85","945.20","1,132.70","766.05",334982,"316,625,110.65",7678
"03-Dec-2021","EQ","950.95","970.75","944.25","950.95","945.55","950.85","958.85","1,132.70","766.05",382325,"366,592,703.30",12589
"02-Dec-2021","EQ","947.45","955.00","938.75","944.75","949.00","950.95","949.65","1,132.70","766.05",230742,"219,124,285.95",8897
"01-Dec-2021","EQ","944.50","951.35","928.00","941.05","945.00","944.75","940.03","1,132.70","766.05",341796,"321,297,791.15",9082
"30-Nov-2021","EQ","934.45","955.00","925.10","934.45","936.10","941.05","943.36","1,132.70","766.05",409462,"386,271,428.95",14467
"29-Nov-2021","EQ","952.00","961.00","915.00","952.55","931.10","934.45","936.94","1,132.70","766.05",250587,"234,786,159.15",10970
"26-Nov-2021","EQ","980.00","986.95","944.00","990.60","954.90","952.55","957.69","1,132.70","766.05",412079,"394,645,211.75",19498
"25-Nov-2021","EQ","992.40","995.95","984.45","992.60","986.00","990.60","990.27","1,132.70","766.05",304536,"301,573,000.70",10046
"24-Nov-2021","EQ","1,004.70","1,009.55","984.35","1,001.35","985.05","992.60","999.87","1,132.70","766.05",332266,"332,222,595.50",13387
"23-Nov-2021","EQ","985.00","1,006.65","978.15","989.30","1,001.25","1,001.35","996.41","1,132.70","766.05",260968,"260,032,232.10",11867
"22-Nov-2021","EQ","993.00","1,003.40","976.00","1,005.15","988.80","989.30","991.45","1,132.70","766.05",430141,"426,465,180.05",23944
"18-Nov-2021","EQ","1,022.80","1,026.10","997.80","1,021.90","1,003.00","1,005.15","1,008.89","1,132.70","766.05",573042,"578,137,051.45",11599
"17-Nov-2021","EQ","1,031.00","1,033.95","1,015.00","1,034.00","1,018.00","1,021.90","1,027.11","1,132.70","766.05",180725,"185,625,183.50",6715
"16-Nov-2021","EQ","1,064.45","1,064.50","1,024.40","1,060.20","1,032.30","1,034.00","1,043.61","1,132.70","766.05",277084,"289,168,734.65",9791
"15-Nov-2021","EQ","1,065.40","1,075.55","1,049.15","1,067.00","1,057.75","1,060.20","1,060.31","1,132.70","766.05",292905,"310,570,913.85",10788
