"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","137.10","139.35","134.50","135.20","138.90","138.65","137.26","168.85","122.15",7882023,"1,081,853,690.10",24031
"28-Jan-2022","EQ","135.70","137.95","134.80","134.40","135.50","135.20","136.35","168.85","122.15",3619736,"493,536,882.35",18896
"27-Jan-2022","EQ","131.50","134.80","130.60","131.55","134.80","134.40","132.36","168.85","122.15",4532825,"599,975,867.30",21878
"25-Jan-2022","EQ","129.50","132.00","127.85","129.25","131.55","131.55","130.76","168.85","122.15",5049115,"660,204,853.95",30531
"24-Jan-2022","EQ","133.70","133.70","128.20","132.90","129.50","129.25","130.44","168.85","122.15",4195506,"547,248,501.65",29700
"21-Jan-2022","EQ","137.70","138.00","132.15","138.05","133.15","132.90","134.71","168.85","122.15",2883504,"388,434,198.25",18770
"20-Jan-2022","EQ","137.90","139.50","137.05","137.85","138.05","138.05","138.34","168.85","122.15",2194763,"303,625,999.70",17616
"19-Jan-2022","EQ","136.85","138.50","135.40","136.40","137.75","137.85","137.46","168.85","122.15",2371896,"326,041,146.10",11833
"18-Jan-2022","EQ","140.00","141.20","136.00","139.80","136.40","136.40","138.59","168.85","122.15",2748282,"380,886,255.90",24892
"17-Jan-2022","EQ","139.20","140.45","138.90","139.20","139.90","139.80","139.68","168.85","122.15",1658917,"231,710,571.45",16555
"14-Jan-2022","EQ","140.05","140.50","138.85","140.05","139.15","139.20","139.34","168.85","122.15",2121624,"295,632,070.35",14153
"13-Jan-2022","EQ","139.00","141.50","138.70","139.15","140.30","140.05","140.27","168.85","122.15",3310068,"464,303,642.00",19655
"12-Jan-2022","EQ","138.75","139.65","137.60","138.00","138.75","139.15","138.85","168.85","122.15",2159279,"299,816,813.55",21775
"11-Jan-2022","EQ","140.75","140.80","137.45","140.10","138.15","138.00","138.75","168.85","122.15",3052148,"423,475,100.20",21290
"10-Jan-2022","EQ","136.65","140.50","136.65","136.40","140.15","140.10","139.45","168.85","122.15",5014297,"699,228,977.35",39190
"07-Jan-2022","EQ","137.00","138.20","135.30","136.85","136.45","136.40","136.77","168.85","122.15",3339654,"456,771,494.60",20538
"06-Jan-2022","EQ","136.90","137.10","134.75","136.45","136.75","136.85","136.16","168.85","122.15",2505618,"341,155,191.75",13487
"05-Jan-2022","EQ","136.80","137.20","135.95","136.20","136.40","136.45","136.54","168.85","122.15",1868863,"255,177,450.80",13561
"04-Jan-2022","EQ","135.80","137.35","135.35","135.30","136.55","136.20","136.53","168.85","122.15",3663874,"500,242,179.70",29396
"03-Jan-2022","EQ","134.40","135.85","133.30","133.80","135.60","135.30","134.54","168.85","122.15",4120567,"554,394,050.95",17147
"31-Dec-2021","EQ","131.10","134.50","131.10","131.05","133.70","133.80","133.32","168.85","122.15",2388878,"318,488,825.25",16129
"30-Dec-2021","EQ","132.15","132.60","130.20","131.95","131.50","131.05","131.23","168.85","122.15",2648402,"347,536,722.80",17199
"29-Dec-2021","EQ","132.80","133.50","131.55","132.20","132.15","131.95","132.42","168.85","122.15",2437303,"322,738,280.90",15896
"28-Dec-2021","EQ","132.00","132.65","131.30","131.60","132.40","132.20","131.91","168.85","122.15",2433876,"321,051,196.40",14754
"27-Dec-2021","EQ","130.75","132.45","129.40","131.40","131.60","131.60","131.51","168.85","122.15",2274168,"299,068,559.10",13490
"24-Dec-2021","EQ","133.40","133.40","131.10","132.55","131.50","131.40","131.62","168.85","122.15",3007541,"395,854,632.15",20443
"23-Dec-2021","EQ","130.10","133.25","129.45","129.20","132.45","132.55","131.93","168.85","122.15",4161985,"549,105,952.40",20895
"22-Dec-2021","EQ","127.50","129.60","126.60","127.20","129.45","129.20","128.05","168.85","122.15",4859215,"622,209,142.50",23381
"21-Dec-2021","EQ","127.35","129.45","126.55","126.45","127.15","127.20","127.95","168.85","122.15",3588936,"459,191,775.30",17525
"20-Dec-2021","EQ","129.55","129.90","125.15","131.30","126.45","126.45","127.00","168.85","122.15",7381497,"937,461,490.30",33537
"17-Dec-2021","EQ","134.55","134.60","129.70","133.80","131.00","131.30","131.03","168.85","122.15",11375334,"1,490,531,932.05",36105
"16-Dec-2021","EQ","135.05","135.95","132.85","135.05","133.90","133.80","134.01","168.85","122.15",6994335,"937,334,950.45",32418
"15-Dec-2021","EQ","137.20","137.50","134.50","136.85","135.15","135.05","136.06","168.85","122.15",4276031,"581,809,883.90",23764
"14-Dec-2021","EQ","135.65","137.80","135.10","136.90","136.75","136.85","136.47","168.85","122.15",6548363,"893,652,185.55",30466
"13-Dec-2021","EQ","136.25","138.70","135.70","136.25","136.65","136.90","137.08","168.85","122.15",7612446,"1,043,476,672.55",17031
"10-Dec-2021","EQ","135.15","136.95","134.20","136.75","136.50","136.25","135.22","168.85","122.15",9120258,"1,233,253,671.55",28575
"09-Dec-2021","EQ","136.50","137.60","135.05","136.15","136.70","136.75","136.36","168.85","122.15",7817226,"1,065,989,133.30",23903
"08-Dec-2021","EQ","135.05","136.50","134.55","134.55","136.45","136.15","135.36","168.85","122.15",7894259,"1,068,594,410.80",24965
"07-Dec-2021","EQ","133.25","135.45","132.50","132.80","134.70","134.55","134.21","168.85","122.15",9130350,"1,225,382,868.25",41709
"06-Dec-2021","EQ","132.60","134.75","131.75","132.55","132.90","132.80","133.38","168.85","122.15",6992011,"932,570,618.85",25989
"03-Dec-2021","EQ","133.90","135.25","132.10","134.50","132.55","132.55","133.45","168.85","119.00",12538572,"1,673,218,957.60",35490
"02-Dec-2021","EQ","134.60","136.45","133.55","134.45","134.80","134.50","134.55","168.85","119.00",6145092,"826,819,523.85",41865
"01-Dec-2021","EQ","135.80","136.55","133.30","134.55","134.60","134.45","134.55","168.85","119.00",4327671,"582,276,870.30",24437
"30-Nov-2021","EQ","130.00","141.40","127.85","128.90","135.80","134.55","134.24","168.85","119.00",111575050,"14,978,383,312.45",119136
"29-Nov-2021","EQ","129.60","131.00","126.15","130.05","130.45","128.90","128.87","168.85","119.00",5135381,"661,784,025.90",48979
"26-Nov-2021","EQ","132.50","132.90","129.40","133.70","129.80","130.05","130.85","168.85","113.60",7838879,"1,025,699,110.60",29457
"25-Nov-2021","EQ","134.60","134.80","131.65","134.65","133.90","133.70","132.82","168.85","113.60",4775218,"634,258,546.80",52847
"24-Nov-2021","EQ","136.10","136.80","134.00","135.05","134.05","134.65","135.51","168.85","113.60",5809762,"787,306,741.45",26720
"23-Nov-2021","EQ","132.90","136.65","132.15","133.40","135.05","135.05","134.80","168.85","113.60",6607166,"890,675,286.20",30846
"22-Nov-2021","EQ","136.75","136.95","132.45","136.25","133.55","133.40","134.56","168.85","113.60",7976133,"1,073,277,282.00",34249
"18-Nov-2021","EQ","138.80","139.40","136.10","138.40","136.30","136.25","137.09","168.85","112.05",3520481,"482,631,234.25",24092
"17-Nov-2021","EQ","140.00","142.25","138.10","140.00","138.50","138.40","139.80","168.85","112.05",4337772,"606,426,791.25",37721
"16-Nov-2021","EQ","142.50","142.70","139.40","142.10","139.50","140.00","141.13","168.85","112.05",5801254,"818,711,488.00",39362
"15-Nov-2021","EQ","145.90","145.90","141.80","145.65","142.10","142.10","143.07","168.85","112.05",4585154,"656,012,807.40",29891
"12-Nov-2021","EQ","150.90","150.90","144.80","149.80","145.40","145.65","146.22","168.85","107.50",6632523,"969,804,976.35",44275
"11-Nov-2021","EQ","151.30","151.70","147.10","153.95","149.70","149.80","149.98","168.85","107.50",4257381,"638,523,301.00",26178
"10-Nov-2021","EQ","152.10","154.75","151.50","152.75","154.05","153.95","153.67","168.85","107.50",3453070,"530,622,790.90",19055
"09-Nov-2021","EQ","154.75","155.30","152.10","154.70","153.00","152.75","153.57","168.85","107.50",3063573,"470,473,471.10",16281
"08-Nov-2021","EQ","153.60","155.65","153.40","153.30","154.80","154.70","154.40","168.85","107.50",3203976,"494,681,168.65",15848
"04-Nov-2021","EQ","153.90","153.95","152.85","152.80","153.45","153.30","153.31","168.85","102.20",446439,"68,442,748.55",4242
"03-Nov-2021","EQ","152.50","155.60","151.00","151.20","153.00","152.80","153.47","168.85","102.20",4178452,"641,285,684.65",22735
"02-Nov-2021","EQ","151.05","153.15","150.70","150.20","151.20","151.20","151.67","168.85","102.20",3923448,"595,074,888.65",21490
"01-Nov-2021","EQ","150.80","151.95","147.10","148.65","150.55","150.20","149.22","168.85","102.20",6806097,"1,015,602,713.05",38121
"29-Oct-2021","EQ","150.30","152.05","146.65","150.05","149.55","148.65","149.42","168.85","98.10",7016976,"1,048,460,115.35",30755
"28-Oct-2021","EQ","156.00","156.65","148.85","156.15","150.30","150.05","152.45","168.85","98.10",4785850,"729,596,635.10",28344
"27-Oct-2021","EQ","151.95","158.50","151.85","151.70","156.00","156.15","155.80","168.85","98.10",6546448,"1,019,915,517.55",37457
"26-Oct-2021","EQ","149.20","153.45","148.00","148.55","151.80","151.70","151.69","168.85","98.10",7053308,"1,069,926,739.95",36054
"25-Oct-2021","EQ","151.65","152.05","147.10","150.95","148.25","148.55","149.00","168.85","98.10",5174649,"771,015,338.05",37337
"22-Oct-2021","EQ","155.50","156.00","149.35","154.60","151.20","150.95","151.83","168.85","93.60",5954398,"904,046,033.35",45352
"21-Oct-2021","EQ","155.10","156.50","153.20","153.60","155.70","154.60","154.89","168.85","93.60",6067144,"939,754,865.85",27006
"20-Oct-2021","EQ","155.60","158.50","152.20","157.40","153.95","153.60","154.88","168.85","93.60",4680365,"724,883,690.40",32015
"19-Oct-2021","EQ","166.00","166.35","156.40","165.10","157.00","157.40","160.38","168.85","93.60",6839669,"1,096,924,296.10",45468
"18-Oct-2021","EQ","167.95","168.20","163.80","164.75","165.00","165.10","166.08","168.85","93.60",7834883,"1,301,183,783.00",55461
"14-Oct-2021","EQ","161.00","168.85","159.70","160.00","164.35","164.75","164.97","168.85","91.80",21493592,"3,545,845,112.45",109407
"13-Oct-2021","EQ","160.75","162.75","159.55","159.65","160.00","160.00","161.04","167.80","91.80",5166055,"831,941,795.05",39416
"12-Oct-2021","EQ","159.15","160.35","157.00","159.20","160.15","159.65","158.65","167.80","91.80",3847067,"610,353,213.55",24678
"11-Oct-2021","EQ","160.30","162.55","158.70","157.75","159.45","159.20","160.06","167.80","91.80",3754214,"600,893,233.75",33744
"08-Oct-2021","EQ","158.90","159.25","156.30","158.15","157.60","157.75","157.59","167.80","91.80",2464750,"388,422,542.15",17284
"07-Oct-2021","EQ","158.30","160.10","157.55","157.30","158.00","158.15","158.84","167.80","91.80",2561768,"406,922,013.40",28912
"06-Oct-2021","EQ","163.25","163.25","156.00","161.65","157.30","157.30","160.00","167.80","91.80",5051832,"808,294,225.60",44996
"05-Oct-2021","EQ","159.35","163.50","158.85","158.85","161.20","161.65","161.79","167.80","91.80",6209257,"1,004,622,264.00",41212
"04-Oct-2021","EQ","156.60","159.70","156.50","156.10","158.70","158.85","158.15","167.80","91.80",2445332,"386,728,885.15",16651
"01-Oct-2021","EQ","157.90","158.15","153.50","157.85","155.90","156.10","155.24","167.80","91.80",5726392,"888,975,689.25",33751
"30-Sep-2021","EQ","162.35","163.95","157.00","162.35","157.70","157.85","159.14","167.80","91.80",8668508,"1,379,481,719.75",54591
"29-Sep-2021","EQ","159.60","166.00","156.80","159.30","162.15","162.35","162.70","167.80","91.80",9432123,"1,534,651,096.80",71300
"28-Sep-2021","EQ","152.45","162.00","151.70","151.60","159.50","159.30","158.87","167.80","91.80",10607974,"1,685,249,688.75",73199
"27-Sep-2021","EQ","153.60","155.25","150.90","152.60","151.05","151.60","152.45","167.80","91.80",3215079,"490,153,370.30",42014
"24-Sep-2021","EQ","155.60","157.25","151.70","155.40","152.65","152.60","154.67","167.80","91.80",3309615,"511,913,294.85",22742
"23-Sep-2021","EQ","153.45","156.30","152.65","152.60","155.50","155.40","155.24","167.80","91.80",2649273,"411,264,886.15",23279
"22-Sep-2021","EQ","152.05","154.40","151.70","151.90","152.15","152.60","152.96","167.80","91.80",1362072,"208,342,654.00",13280
"21-Sep-2021","EQ","151.40","153.25","149.60","151.30","151.90","151.90","151.27","167.80","91.80",1388218,"209,997,310.85",11280
"20-Sep-2021","EQ","155.00","156.35","151.00","157.05","151.15","151.30","153.62","167.80","91.80",1978975,"304,015,220.55",16256
"17-Sep-2021","EQ","156.55","157.80","152.40","156.30","156.50","157.05","156.07","167.80","91.80",7064461,"1,102,539,602.35",38092
"16-Sep-2021","EQ","159.20","159.55","155.65","161.30","156.50","156.30","157.20","167.80","91.80",2961601,"465,549,161.45",21653
"15-Sep-2021","EQ","156.50","164.35","156.30","157.45","160.90","161.30","161.39","167.80","91.80",9309667,"1,502,499,692.80",37440
"14-Sep-2021","EQ","159.25","159.50","156.75","158.05","157.60","157.45","158.26","167.80","91.80",2991055,"473,379,174.30",16774
"13-Sep-2021","EQ","157.25","158.65","154.10","157.30","158.40","158.05","156.75","167.80","91.80",4433719,"694,971,554.90",53450
"09-Sep-2021","EQ","156.20","159.75","156.20","157.55","156.90","157.30","157.93","167.80","91.80",4514012,"712,896,418.50",59275
"08-Sep-2021","EQ","150.70","158.25","150.40","150.85","157.80","157.55","155.55","167.80","91.80",6665496,"1,036,791,974.25",35195
"07-Sep-2021","EQ","152.00","152.75","149.60","152.75","151.00","150.85","150.69","167.80","91.80",2265571,"341,409,838.35",15014
"06-Sep-2021","EQ","154.25","155.20","152.45","154.25","153.05","152.75","153.35","167.80","91.80",2044169,"313,466,627.50",18783
"03-Sep-2021","EQ","153.25","155.80","152.75","152.95","154.30","154.25","154.12","167.80","91.80",2575992,"397,009,559.65",21990
"02-Sep-2021","EQ","152.05","153.95","151.70","152.60","153.20","152.95","152.89","167.80","91.80",1710511,"261,527,459.45",17105
"01-Sep-2021","EQ","152.45","154.00","151.05","151.70","152.75","152.60","152.38","167.80","91.80",2980739,"454,217,524.85",23592
"31-Aug-2021","EQ","149.65","152.10","149.25","149.85","151.55","151.70","151.12","167.80","91.80",4378579,"661,694,652.20",27129
"30-Aug-2021","EQ","147.40","150.65","147.35","146.30","149.65","149.85","149.46","167.80","91.80",3550817,"530,693,232.25",19609
"27-Aug-2021","EQ","145.00","147.10","144.25","144.10","146.25","146.30","145.91","167.80","91.80",2799015,"408,391,117.65",12563
"26-Aug-2021","EQ","145.00","146.05","143.50","145.25","145.00","144.10","144.59","167.80","91.80",2308357,"333,776,410.60",11076
"25-Aug-2021","EQ","144.05","145.90","143.40","144.40","145.10","145.25","144.68","167.80","91.80",2586396,"374,196,747.70",20173
"24-Aug-2021","EQ","140.35","144.80","139.25","140.55","144.15","144.40","143.03","167.80","91.80",4130355,"590,781,934.65",25173
"23-Aug-2021","EQ","145.00","145.40","140.10","143.95","140.30","140.55","142.04","167.80","91.80",3115684,"442,546,466.45",20937
"20-Aug-2021","EQ","148.10","149.00","143.00","148.05","143.65","143.95","146.26","167.80","91.80",7624179,"1,115,099,975.35",44134
"18-Aug-2021","EQ","147.70","149.90","147.35","147.60","147.80","148.05","148.57","167.80","91.80",3540283,"525,977,392.20",22584
"17-Aug-2021","EQ","151.85","152.25","146.75","151.85","147.80","147.60","148.96","167.80","91.80",2847053,"424,111,145.80",19673
"16-Aug-2021","EQ","146.95","152.25","146.05","146.85","151.70","151.85","150.42","167.80","91.80",4593173,"690,897,097.85",21871
"13-Aug-2021","EQ","148.95","151.00","146.40","151.00","147.30","146.85","148.03","167.80","91.80",3359125,"497,251,791.05",18074
"12-Aug-2021","EQ","148.75","151.60","148.20","148.65","151.45","151.00","150.11","167.80","91.80",4379982,"657,463,047.40",19491
"11-Aug-2021","EQ","148.40","149.75","145.75","148.40","149.10","148.65","148.22","167.80","91.80",4369880,"647,687,677.85",19169
"10-Aug-2021","EQ","154.00","154.00","147.50","153.35","148.45","148.40","150.05","167.80","91.80",2785805,"418,021,264.35",21143
