"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","880.00","883.50","871.10","868.25","879.90","879.50","879.34","1,165.00","781.20",1070345,"941,193,593.90",40265
"28-Jan-2022","EQ","841.40","875.55","841.40","844.40","869.45","868.25","868.07","1,165.00","781.20",1267768,"1,100,507,153.35",46891
"27-Jan-2022","EQ","848.00","850.20","826.55","850.00","842.10","844.40","840.89","1,165.00","781.20",1423748,"1,197,208,835.45",61064
"25-Jan-2022","EQ","802.50","854.85","781.20","814.90","850.95","850.00","835.89","1,165.00","781.20",4184737,"3,497,975,720.55",155149
"24-Jan-2022","EQ","851.10","851.90","800.00","850.10","817.75","814.90","816.72","1,165.00","800.00",2574253,"2,102,449,534.30",107589
"21-Jan-2022","EQ","860.75","860.75","845.00","860.75","851.90","850.10","850.64","1,165.00","845.00",1089183,"926,504,908.70",50434
"20-Jan-2022","EQ","873.00","874.85","857.10","870.35","861.95","860.75","862.55","1,165.00","857.10",974864,"840,871,601.50",54904
"19-Jan-2022","EQ","878.90","878.90","865.00","877.55","871.95","870.35","869.86","1,165.00","860.20",891919,"775,845,898.65",44479
"18-Jan-2022","EQ","890.00","892.30","875.00","886.55","878.90","877.55","882.71","1,165.00","860.20",885485,"781,628,348.90",48109
"17-Jan-2022","EQ","893.00","898.65","883.05","893.95","886.80","886.55","888.26","1,165.00","860.20",867313,"770,403,380.75",39911
"14-Jan-2022","EQ","896.50","897.15","890.00","896.05","894.80","893.95","893.33","1,165.00","860.20",538419,"480,986,205.25",29892
"13-Jan-2022","EQ","891.00","899.00","891.00","893.70","897.15","896.05","895.67","1,165.00","860.20",808463,"724,113,838.30",45915
"12-Jan-2022","EQ","895.00","898.55","885.05","884.80","893.40","893.70","891.08","1,165.00","860.20",1411418,"1,257,679,688.35",80427
"11-Jan-2022","EQ","897.00","901.95","884.00","904.55","885.00","884.80","888.97","1,165.00","860.20",1889273,"1,679,498,207.50",82305
"10-Jan-2022","EQ","923.00","923.00","897.00","926.95","905.00","904.55","903.69","1,165.00","860.20",2004623,"1,811,561,477.60",75614
"07-Jan-2022","EQ","932.70","937.90","925.10","932.95","927.20","926.95","931.40","1,165.00","853.80",404067,"376,346,853.70",17012
"06-Jan-2022","EQ","925.00","937.40","924.00","935.40","931.50","932.95","930.08","1,165.00","853.80",578377,"537,935,350.60",22976
"05-Jan-2022","EQ","937.65","941.80","931.05","934.50","937.10","935.40","936.99","1,165.00","853.80",692890,"649,232,107.40",22818
"04-Jan-2022","EQ","934.00","937.00","927.05","928.00","933.95","934.50","932.41","1,165.00","853.80",778643,"726,018,056.30",23562
"03-Jan-2022","EQ","925.00","931.80","922.60","928.15","929.00","928.00","927.19","1,165.00","853.80",717440,"665,203,033.85",32392
"31-Dec-2021","EQ","915.50","930.40","915.50","922.25","928.00","928.15","927.01","1,165.00","832.00",956297,"886,494,528.20",26315
"30-Dec-2021","EQ","919.00","925.60","907.50","920.70","922.70","922.25","918.21","1,165.00","832.00",1755616,"1,612,030,678.35",37623
"29-Dec-2021","EQ","918.00","927.50","913.05","912.80","920.00","920.70","922.25","1,165.00","832.00",1243862,"1,147,146,208.80",39432
