"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","2,415.00","2,455.00","2,361.00","2,401.35","2,403.00","2,406.80","2,402.51","12,600.00","1,973.10",758878,"1,823,215,688.30",68136
"28-Jan-2022","EQ","2,390.00","2,484.15","2,387.30","2,349.05","2,403.90","2,401.35","2,429.68","12,600.00","1,973.10",1112061,"2,701,953,801.70",100495
"27-Jan-2022","EQ","2,415.00","2,425.00","2,268.55","2,470.50","2,355.05","2,349.05","2,339.75","12,600.00","1,973.10",1878619,"4,395,492,156.55",144814
"25-Jan-2022","EQ","2,330.65","2,523.80","2,295.00","2,369.70","2,429.00","2,470.50","2,437.23","12,600.00","1,973.10",2246592,"5,475,461,933.45",148346
"24-Jan-2022","EQ","2,478.50","2,484.95","2,350.00","2,476.80","2,362.10","2,369.70","2,393.86","12,600.00","1,973.10",1072181,"2,566,649,420.45",61403
"21-Jan-2022","EQ","2,540.00","2,555.55","2,468.05","2,567.75","2,477.65","2,476.80","2,504.71","12,600.00","1,973.10",589520,"1,476,577,197.25",46232
"20-Jan-2022","EQ","2,550.55","2,575.00","2,536.00","2,556.90","2,566.50","2,567.75","2,561.94","12,600.00","1,973.10",289339,"741,268,059.70",33541
"19-Jan-2022","EQ","2,617.00","2,623.50","2,525.10","2,615.15","2,554.00","2,556.90","2,561.20","12,600.00","1,973.10",728794,"1,866,588,863.05",60704
"18-Jan-2022","EQ","2,655.70","2,669.60","2,593.05","2,640.45","2,616.45","2,615.15","2,641.33","12,600.00","1,973.10",616685,"1,628,869,786.40",52931
"17-Jan-2022","EQ","2,655.00","2,679.30","2,612.70","2,652.70","2,638.00","2,640.45","2,635.42","12,600.00","1,973.10",662580,"1,746,174,877.30",44270
"14-Jan-2022","EQ","2,654.00","2,680.00","2,641.40","2,656.80","2,650.55","2,652.70","2,660.30","12,600.00","1,973.10",452448,"1,203,645,847.25",36434
