"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","496.05","501.30","492.50","492.95","498.05","497.80","497.27","612.00","450.00",544340,"270,684,883.15",9542
"28-Jan-2022","EQ","477.35","501.60","476.50","475.00","493.90","492.95","494.23","612.00","450.00",1213951,"599,974,587.00",26859
"27-Jan-2022","EQ","472.00","479.90","465.55","476.15","474.95","475.00","472.49","612.00","450.00",1072154,"506,579,587.10",19068
"25-Jan-2022","EQ","471.00","486.60","467.30","476.25","476.15","476.15","478.69","612.00","450.00",1074273,"514,242,205.05",17302
"24-Jan-2022","EQ","490.70","494.90","470.30","495.05","474.00","476.25","480.44","612.00","450.00",733688,"352,496,339.00",15014
"21-Jan-2022","EQ","506.70","506.90","492.00","508.45","496.00","495.05","499.18","612.00","450.00",564895,"281,987,007.35",13343
"20-Jan-2022","EQ","510.10","514.65","506.40","510.35","508.00","508.45","510.10","612.00","450.00",598579,"305,332,714.25",7697
"19-Jan-2022","EQ","507.00","512.40","498.85","507.35","512.00","510.35","507.63","612.00","450.00",490765,"249,127,811.65",7937
"18-Jan-2022","EQ","517.00","518.95","505.00","516.45","506.90","507.35","511.95","612.00","450.00",410204,"210,005,827.60",6706
"17-Jan-2022","EQ","517.25","519.10","513.15","517.25","516.50","516.45","516.38","612.00","450.00",435538,"224,901,464.70",6172
"14-Jan-2022","EQ","517.60","522.15","514.40","520.15","517.20","517.25","517.78","612.00","450.00",478456,"247,733,624.85",8002
"13-Jan-2022","EQ","512.50","521.70","511.90","513.30","518.60","520.15","517.61","612.00","450.00",486176,"251,649,821.10",8345
"12-Jan-2022","EQ","520.00","521.00","509.55","517.55","513.90","513.30","513.58","612.00","450.00",916851,"470,874,579.30",12795
"11-Jan-2022","EQ","514.90","524.75","513.50","514.15","517.85","517.55","519.40","612.00","450.00",1032550,"536,304,994.65",12620
"10-Jan-2022","EQ","509.10","517.70","508.05","506.45","514.15","514.15","513.64","612.00","450.00",467803,"240,283,888.05",8063
"07-Jan-2022","EQ","516.00","516.55","503.45","512.15","506.00","506.45","508.62","612.00","450.00",755698,"384,366,276.50",14910
"06-Jan-2022","EQ","504.60","516.05","499.70","506.70","510.60","512.15","511.49","612.00","450.00",1437403,"735,223,495.45",26193
"05-Jan-2022","EQ","504.40","509.00","502.00","503.35","506.50","506.70","506.83","612.00","450.00",547743,"277,613,974.80",14327
"04-Jan-2022","EQ","504.40","509.45","501.00","504.40","503.15","503.35","505.15","612.00","450.00",507170,"256,196,081.55",12339
"03-Jan-2022","EQ","500.00","506.35","498.70","500.10","504.80","504.40","503.29","612.00","450.00",755347,"380,162,155.15",16236
"31-Dec-2021","EQ","489.00","501.60","488.35","487.85","499.60","500.10","497.51","612.00","450.00",884623,"440,112,163.15",16211
"30-Dec-2021","EQ","490.10","492.00","484.50","490.10","488.00","487.85","487.87","612.00","450.00",569755,"277,968,433.05",11095
"29-Dec-2021","EQ","492.00","493.95","487.05","491.90","489.10","490.10","490.00","612.00","450.00",807772,"395,805,165.60",17633
"28-Dec-2021","EQ","493.00","499.00","490.50","489.10","491.60","491.90","494.14","612.00","450.00",770062,"380,521,206.10",14474
"27-Dec-2021","EQ","491.00","492.35","484.00","491.75","490.30","489.10","488.61","612.00","450.00",769266,"375,872,766.15",15785
"24-Dec-2021","EQ","505.00","505.00","490.00","501.50","491.30","491.75","494.56","612.00","440.20",685559,"339,047,719.80",13573
"23-Dec-2021","EQ","506.70","510.00","500.00","502.45","501.60","501.50","504.42","612.00","440.20",897887,"452,912,548.00",19621
"22-Dec-2021","EQ","496.90","509.00","494.35","495.20","503.45","502.45","501.75","612.00","440.20",855956,"429,472,130.65",21544
"21-Dec-2021","EQ","498.00","504.85","490.25","489.65","495.10","495.20","497.93","612.00","440.20",730379,"363,678,551.70",19778
"20-Dec-2021","EQ","511.10","511.45","483.30","516.25","489.45","489.65","493.80","612.00","440.20",1536168,"758,562,167.65",24639
"17-Dec-2021","EQ","523.45","524.75","508.70","523.45","516.50","516.25","516.81","612.00","440.20",753446,"389,385,488.55",15801
"16-Dec-2021","EQ","539.95","540.25","521.75","536.55","524.90","523.45","527.38","612.00","440.20",1114115,"587,566,200.30",14835
"15-Dec-2021","EQ","549.00","549.00","535.00","546.50","536.00","536.55","540.05","612.00","440.20",515579,"278,440,689.15",10911
"14-Dec-2021","EQ","540.00","548.85","536.10","541.00","545.90","546.50","542.58","612.00","440.20",807281,"438,011,064.95",15333
"13-Dec-2021","EQ","555.00","555.00","537.80","550.50","539.35","541.00","545.51","612.00","440.20",796165,"434,317,963.25",13244
"10-Dec-2021","EQ","542.15","553.50","540.75","542.15","548.95","550.50","547.00","612.00","440.20",1483304,"811,366,601.75",26106
"09-Dec-2021","EQ","546.00","550.95","539.95","544.65","541.35","542.15","544.98","612.00","440.20",861550,"469,531,664.90",15402
"08-Dec-2021","EQ","534.00","549.00","533.80","531.20","545.00","544.65","543.56","612.00","440.20",1429682,"777,120,473.50",24058
"07-Dec-2021","EQ","531.00","539.80","528.85","527.45","531.10","531.20","534.66","612.00","440.20",948591,"507,173,500.85",14888
"06-Dec-2021","EQ","529.00","539.00","522.45","528.00","528.40","527.45","533.14","612.00","440.20",1104735,"588,979,345.15",16905
"03-Dec-2021","EQ","534.50","539.55","526.15","533.65","528.00","528.00","532.48","612.00","429.20",679161,"361,638,449.80",14952
"02-Dec-2021","EQ","526.00","535.00","523.00","524.05","534.50","533.65","530.66","612.00","429.20",772858,"410,121,699.05",14008
"01-Dec-2021","EQ","522.10","531.00","517.25","520.95","526.00","524.05","524.18","612.00","429.20",1036599,"543,361,810.10",16245
"30-Nov-2021","EQ","524.95","535.50","517.80","522.30","518.70","520.95","525.94","612.00","429.20",875950,"460,699,539.40",17144
"29-Nov-2021","EQ","518.20","529.65","506.00","523.30","520.40","522.30","522.00","612.00","429.20",1284166,"670,329,573.10",28151
"26-Nov-2021","EQ","533.85","543.00","517.65","537.30","523.00","523.30","530.02","612.00","411.80",1667184,"883,634,809.75",23942
"25-Nov-2021","EQ","537.00","545.80","529.75","536.50","538.65","537.30","537.77","612.00","411.80",2558178,"1,375,718,561.00",22070
"24-Nov-2021","EQ","536.50","546.35","534.30","535.80","535.20","536.50","540.34","612.00","411.80",1054609,"569,845,907.40",14169
"23-Nov-2021","EQ","536.00","546.70","532.50","540.50","535.00","535.80","539.04","612.00","411.80",1631452,"879,419,212.30",21454
"22-Nov-2021","EQ","539.90","544.30","534.85","538.75","540.00","540.50","539.44","612.00","411.80",1338075,"721,812,767.45",19730
"18-Nov-2021","EQ","555.90","555.90","533.00","554.15","538.45","538.75","540.44","612.00","410.35",1105136,"597,262,927.50",23013
"17-Nov-2021","EQ","548.85","559.60","546.00","547.30","552.10","554.15","553.18","612.00","410.35",1115665,"617,164,818.30",18843
"16-Nov-2021","EQ","556.00","564.85","546.00","556.35","546.50","547.30","553.76","612.00","410.35",818406,"453,197,512.45",14454
"15-Nov-2021","EQ","563.95","569.55","554.05","562.35","556.00","556.35","560.17","612.00","410.35",722416,"404,672,469.90",11271
"12-Nov-2021","EQ","566.90","569.50","555.20","567.30","559.30","562.35","561.02","612.00","410.35",1004838,"563,738,121.40",15066
"11-Nov-2021","EQ","573.00","576.50","560.60","572.60","568.50","567.30","566.43","612.00","410.35",854033,"483,750,262.40",15812
"10-Nov-2021","EQ","582.00","582.00","569.10","581.10","573.70","572.60","575.85","612.00","410.35",1051460,"605,488,398.85",20902
"09-Nov-2021","EQ","580.15","583.50","570.70","576.70","582.60","581.10","578.65","612.00","410.35",2005596,"1,160,541,217.75",29926
"08-Nov-2021","EQ","612.00","612.00","568.00","607.55","576.15","576.70","579.62","612.00","410.35",5888825,"3,413,280,303.15",85927
"04-Nov-2021","EQ","594.00","611.05","594.00","593.60","610.00","607.55","605.70","611.05","407.80",1888163,"1,143,654,836.50",22289
"03-Nov-2021","EQ","589.00","604.35","584.00","587.60","592.50","593.60","594.62","604.35","407.80",3047044,"1,811,842,588.55",45955
"02-Nov-2021","EQ","596.05","602.05","582.50","590.20","587.00","587.60","592.98","602.05","407.80",4045428,"2,398,852,305.90",57474
"01-Nov-2021","EQ","565.00","596.20","561.00","561.00","596.00","590.20","581.58","596.20","407.80",4794697,"2,788,496,650.30",64889
"29-Oct-2021","EQ","545.00","575.00","540.35","545.00","560.00","561.00","561.85","586.55","407.80",4705497,"2,643,765,181.30",55488
"28-Oct-2021","EQ","564.00","564.00","540.00","564.85","545.20","545.00","549.50","586.55","407.80",2809846,"1,543,999,124.75",36958
"27-Oct-2021","EQ","567.85","576.50","558.10","568.20","561.00","564.85","569.01","586.55","407.80",1619860,"921,712,390.30",39104
"26-Oct-2021","EQ","567.05","574.80","557.40","559.90","569.00","568.20","566.32","586.55","407.80",2430708,"1,376,564,333.55",39863
"25-Oct-2021","EQ","549.65","571.05","540.00","550.50","559.00","559.90","557.89","586.55","407.80",4926398,"2,748,399,344.40",57209
"22-Oct-2021","EQ","545.50","557.45","540.05","549.90","550.70","550.50","549.85","586.55","407.80",1960852,"1,078,178,774.95",24705
"21-Oct-2021","EQ","546.00","557.30","541.50","543.10","550.00","549.90","549.58","586.55","407.80",2007412,"1,103,231,665.10",20755
"20-Oct-2021","EQ","547.95","554.90","536.00","548.55","545.00","543.10","545.49","586.55","407.80",1349424,"736,094,296.95",20839
"19-Oct-2021","EQ","551.20","565.00","538.45","550.15","544.05","548.55","554.79","586.55","407.80",2710969,"1,504,014,579.05",38976
"18-Oct-2021","EQ","567.35","568.00","546.00","554.45","548.80","550.15","552.95","586.55","407.80",3015201,"1,667,249,853.10",23191
"14-Oct-2021","EQ","542.50","560.15","537.70","542.45","548.00","554.45","550.34","586.55","407.80",1724487,"949,062,383.20",19658
"13-Oct-2021","EQ","534.00","558.00","532.25","535.85","541.55","542.45","544.32","586.55","407.80",1840676,"1,001,912,218.75",21819
"12-Oct-2021","EQ","538.30","543.95","530.50","535.50","535.00","535.85","536.07","586.55","407.80",732341,"392,583,273.65",10320
"11-Oct-2021","EQ","545.20","545.20","531.30","538.80","535.75","535.50","535.19","586.55","407.80",996619,"533,382,519.00",12373
"08-Oct-2021","EQ","543.00","563.55","536.65","543.05","541.00","538.80","551.65","586.55","407.80",4616127,"2,546,464,009.00",56319
"07-Oct-2021","EQ","541.40","551.00","538.00","537.75","541.40","543.05","545.06","586.55","407.80",2524168,"1,375,820,984.05",30138
"06-Oct-2021","EQ","536.40","545.70","527.50","534.40","536.00","537.75","538.11","586.55","407.80",4184525,"2,251,723,034.75",41915
"05-Oct-2021","EQ","529.20","542.00","525.65","530.30","533.50","534.40","532.94","586.55","407.80",2444212,"1,302,608,116.25",29456
"04-Oct-2021","EQ","521.75","533.60","515.30","520.95","530.70","530.30","526.30","586.55","407.80",2428598,"1,278,161,564.75",35530
"01-Oct-2021","EQ","502.00","529.60","498.00","505.35","521.65","520.95","515.66","586.55","407.80",5504961,"2,838,691,327.00",60494
"30-Sep-2021","EQ","503.65","508.75","496.30","500.70","504.70","505.35","501.70","586.55","407.80",3126413,"1,568,514,102.50",21819
"29-Sep-2021","EQ","498.60","506.40","494.00","498.60","501.00","500.70","500.08","586.55","407.80",1071000,"535,581,277.90",14574
"28-Sep-2021","EQ","508.00","509.40","496.00","504.30","499.00","498.60","501.45","586.55","407.80",955259,"479,017,785.75",15322
"27-Sep-2021","EQ","514.75","516.60","501.80","510.95","505.00","504.30","507.34","586.55","407.80",1126040,"571,285,954.00",17221
"24-Sep-2021","EQ","531.00","533.60","507.30","528.60","511.35","510.95","518.64","586.55","407.80",3956793,"2,052,147,018.65",52142
"23-Sep-2021","EQ","510.00","534.00","507.15","506.45","529.25","528.60","521.53","586.55","407.80",3848279,"2,006,974,157.35",41544
"22-Sep-2021","EQ","500.60","519.80","500.00","484.25","505.40","506.45","508.65","586.55","407.80",5057913,"2,572,710,344.20",63741
"21-Sep-2021","EQ","488.45","492.95","478.60","488.10","484.50","484.25","484.13","586.55","407.80",737125,"356,862,353.15",10795
"20-Sep-2021","EQ","492.50","504.95","483.10","493.15","487.25","488.10","491.78","586.55","407.80",1566926,"770,582,200.60",20462
"17-Sep-2021","EQ","503.00","510.00","490.00","502.65","496.80","493.15","500.23","586.55","407.80",1656294,"828,534,510.00",32684
"16-Sep-2021","EQ","511.30","515.90","497.40","508.30","502.10","502.65","506.41","586.55","407.80",1140834,"577,731,087.80",17632
"15-Sep-2021","EQ","514.80","525.45","505.40","512.15","509.00","508.30","515.47","586.55","407.80",2755315,"1,420,290,455.25",38749
"14-Sep-2021","EQ","494.00","514.85","494.00","488.65","511.30","512.15","506.93","586.55","407.80",5441534,"2,758,500,031.95",78895
"13-Sep-2021","EQ","493.00","493.00","486.00","491.45","488.90","488.65","489.12","586.55","407.80",594710,"290,884,889.05",11373
"09-Sep-2021","EQ","481.50","494.80","480.20","482.80","489.60","491.45","487.16","586.55","407.80",1325696,"645,828,261.00",16786
"08-Sep-2021","EQ","488.00","488.00","479.30","484.55","482.90","482.80","482.86","586.55","407.80",1126733,"544,059,847.85",13247
