"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","576.90","581.60","567.05","567.65","570.00","570.10","573.10","700.00","490.50",215547,"123,529,586.80",6525
"28-Jan-2022","EQ","561.40","572.85","556.30","554.80","570.30","567.65","567.60","700.00","490.50",512177,"290,710,754.75",13843
"27-Jan-2022","EQ","575.80","575.80","550.15","572.75","555.00","554.80","559.01","700.00","490.50",583625,"326,252,283.05",20210
"25-Jan-2022","EQ","572.60","586.40","555.25","581.05","574.65","572.75","573.33","700.00","490.50",373625,"214,209,249.45",12031
"24-Jan-2022","EQ","594.00","594.00","566.05","597.40","578.00","581.05","579.02","700.00","490.50",530938,"307,422,808.65",15319
"21-Jan-2022","EQ","608.00","610.60","591.00","608.00","595.55","597.40","599.28","700.00","490.50",493991,"296,040,683.80",12494
"20-Jan-2022","EQ","600.05","629.45","595.30","593.85","606.25","608.00","612.74","700.00","490.50",2344637,"1,436,662,609.20",54801
"19-Jan-2022","EQ","606.30","607.00","588.45","610.95","595.55","593.85","597.44","700.00","490.50",493374,"294,759,942.35",14368
"18-Jan-2022","EQ","626.80","632.35","607.00","624.75","610.00","610.95","620.29","700.00","490.50",361021,"223,936,172.45",11813
"17-Jan-2022","EQ","634.50","634.50","623.40","632.80","626.10","624.75","627.97","700.00","490.50",469246,"294,674,108.60",10016
"14-Jan-2022","EQ","633.35","639.00","628.15","633.40","633.20","632.80","632.13","700.00","490.50",169184,"106,946,234.10",7062
"13-Jan-2022","EQ","629.45","643.90","626.60","626.20","633.40","633.40","636.00","700.00","490.50",467919,"297,598,337.80",15526
"12-Jan-2022","EQ","633.20","633.20","623.25","630.00","626.30","626.20","626.73","700.00","490.50",235782,"147,772,054.55",10132
"11-Jan-2022","EQ","625.50","644.00","624.15","628.30","630.00","630.00","636.57","700.00","490.50",571235,"363,632,812.45",16939
"10-Jan-2022","EQ","630.55","634.50","622.80","631.45","625.00","628.30","629.84","700.00","490.50",480617,"302,710,463.15",27304
"07-Jan-2022","EQ","625.00","635.00","621.00","626.55","631.00","631.45","629.29","700.00","490.50",367674,"231,373,097.70",13238
"06-Jan-2022","EQ","624.80","636.15","622.40","628.80","626.00","626.55","629.25","700.00","490.50",357836,"225,169,661.35",11028
"05-Jan-2022","EQ","618.80","648.75","618.80","617.80","630.15","628.80","637.69","700.00","490.50",2094617,"1,335,714,039.90",44987
"04-Jan-2022","EQ","612.20","624.00","606.00","612.00","617.60","617.80","613.93","700.00","490.50",311943,"191,511,774.75",9994
