"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","957.90","957.90","931.90","944.05","935.60","933.75","942.78","1,158.00","466.00",1533507,"1,445,761,054.75",52169
"28-Jan-2022","EQ","919.00","956.60","919.00","910.90","947.00","944.05","943.15","1,158.00","466.00",2235105,"2,108,036,577.85",59778
"27-Jan-2022","EQ","910.00","915.60","892.05","919.25","914.00","910.90","903.18","1,158.00","466.00",1004093,"906,877,086.25",32540
"25-Jan-2022","EQ","903.00","922.45","888.50","912.15","921.50","919.25","913.86","1,158.00","466.00",1080389,"987,328,936.30",42851
"24-Jan-2022","EQ","961.00","962.00","903.35","965.00","913.75","912.15","925.18","1,158.00","466.00",1594186,"1,474,906,576.55",54169
"21-Jan-2022","EQ","993.90","997.10","960.00","998.05","965.60","965.00","978.15","1,158.00","466.00",1180770,"1,154,972,841.00",37230
"20-Jan-2022","EQ","1,005.00","1,016.80","993.00","1,011.65","1,000.00","998.05","1,001.66","1,158.00","466.00",977785,"979,407,814.40",31180
"19-Jan-2022","EQ","1,005.00","1,020.00","985.35","1,005.95","1,011.30","1,011.65","1,001.36","1,158.00","466.00",1508638,"1,510,685,229.75",43884
"18-Jan-2022","EQ","1,029.90","1,041.95","1,000.15","1,029.25","1,009.15","1,005.95","1,024.34","1,158.00","466.00",1212958,"1,242,481,440.70",37056
"17-Jan-2022","EQ","1,027.00","1,034.65","996.75","1,028.75","1,029.70","1,029.25","1,020.93","1,158.00","466.00",2763467,"2,821,314,543.10",94322
"14-Jan-2022","EQ","1,008.50","1,050.30","1,002.55","1,014.05","1,026.35","1,028.75","1,034.50","1,158.00","466.00",3465609,"3,585,178,935.10",88727
"13-Jan-2022","EQ","993.00","1,019.35","985.65","993.00","1,009.95","1,014.05","1,005.32","1,158.00","466.00",2721558,"2,736,033,345.65",67690
"12-Jan-2022","EQ","980.95","1,001.85","975.30","972.20","989.70","993.00","990.42","1,158.00","466.00",3612732,"3,578,116,288.05",96936
"11-Jan-2022","EQ","935.20","981.65","933.95","939.25","971.00","972.20","968.03","1,158.00","466.00",5039766,"4,878,624,228.50",116790
"10-Jan-2022","EQ","934.00","943.75","925.30","927.20","939.00","939.25","935.14","1,158.00","466.00",1505658,"1,408,006,003.05",41303
"07-Jan-2022","EQ","908.00","929.35","906.20","904.15","926.50","927.20","919.10","1,158.00","466.00",1286246,"1,182,185,728.20",34284
"06-Jan-2022","EQ","909.55","916.30","902.55","915.20","904.80","904.15","907.17","1,158.00","466.00",696490,"631,834,979.20",15727
"05-Jan-2022","EQ","907.80","918.00","901.50","909.10","914.90","915.20","909.43","1,158.00","466.00",749483,"681,602,029.35",20742
"04-Jan-2022","EQ","918.70","919.90","900.00","914.15","908.20","909.10","909.61","1,158.00","466.00",702903,"639,369,851.50",21627
"03-Jan-2022","EQ","897.00","917.35","895.35","894.20","915.95","914.15","908.01","1,158.00","466.00",799020,"725,519,334.45",24396
"31-Dec-2021","EQ","880.00","897.65","880.00","883.95","893.50","894.20","892.98","1,158.00","466.00",583208,"520,794,981.60",17271
"30-Dec-2021","EQ","905.00","905.65","882.30","901.00","886.00","883.95","892.57","1,158.00","466.00",823403,"734,945,530.00",24356
"29-Dec-2021","EQ","912.10","914.40","898.05","907.65","899.30","901.00","904.35","1,158.00","466.00",1037054,"937,855,860.70",29353
"28-Dec-2021","EQ","888.00","909.70","885.20","879.90","905.75","907.65","901.00","1,158.00","466.00",1673007,"1,507,382,655.25",49475
"27-Dec-2021","EQ","871.70","883.55","860.35","872.20","881.95","879.90","872.47","1,158.00","466.00",508491,"443,640,668.90",16243
"24-Dec-2021","EQ","889.95","892.00","868.20","886.10","872.50","872.20","875.79","1,158.00","440.90",644902,"564,796,376.85",18552
"23-Dec-2021","EQ","889.80","894.50","882.90","882.45","890.00","886.10","888.16","1,158.00","440.90",640303,"568,689,109.45",18450
"22-Dec-2021","EQ","860.00","884.65","858.65","856.45","883.00","882.45","874.07","1,158.00","440.90",958034,"837,385,944.30",29835
"21-Dec-2021","EQ","848.00","865.15","847.30","842.35","857.50","856.45","857.90","1,158.00","440.90",834671,"716,067,635.15",26764
"20-Dec-2021","EQ","876.00","876.90","824.15","883.60","841.10","842.35","844.31","1,158.00","440.90",1645980,"1,389,716,636.70",57128
"17-Dec-2021","EQ","906.90","909.40","878.65","906.90","883.60","883.60","888.24","1,158.00","440.90",1265520,"1,124,086,019.35",35846
"16-Dec-2021","EQ","927.60","929.15","902.10","921.80","907.95","906.90","911.63","1,158.00","440.90",739095,"673,777,517.45",27613
"15-Dec-2021","EQ","933.00","942.90","919.55","933.35","921.60","921.80","930.65","1,158.00","440.90",636803,"592,641,448.80",16294
"14-Dec-2021","EQ","930.40","940.50","925.00","935.90","933.50","933.35","932.42","1,158.00","440.90",715048,"666,726,068.90",16739
"13-Dec-2021","EQ","949.90","949.90","933.10","940.15","938.40","935.90","941.88","1,158.00","440.90",730970,"688,488,589.80",25778
"10-Dec-2021","EQ","935.85","952.00","931.65","935.85","939.75","940.15","943.83","1,158.00","440.90",2306800,"2,177,227,814.50",50251
"09-Dec-2021","EQ","928.00","940.50","918.00","923.90","936.40","935.85","929.06","1,158.00","440.90",1489306,"1,383,653,630.45",33587
"08-Dec-2021","EQ","915.00","926.65","912.70","909.45","923.50","923.90","921.11","1,158.00","440.90",769754,"709,030,820.10",20585
"07-Dec-2021","EQ","901.50","914.10","900.00","896.20","910.45","909.45","908.44","1,158.00","440.90",1070496,"972,484,032.15",24472
"06-Dec-2021","EQ","914.80","921.00","893.20","910.00","894.75","896.20","908.46","1,158.00","440.90",1498134,"1,360,998,970.70",38429
"03-Dec-2021","EQ","904.00","931.15","903.25","900.00","911.00","910.00","915.16","1,158.00","386.95",2571339,"2,353,198,108.00",58091
"02-Dec-2021","EQ","887.90","905.00","878.00","883.90","904.65","900.00","889.35","1,158.00","386.95",1243763,"1,106,139,818.60",39589
"01-Dec-2021","EQ","880.90","887.80","870.00","872.25","885.00","883.90","879.53","1,158.00","386.95",992357,"872,812,680.15",33779
"30-Nov-2021","EQ","873.00","892.50","868.65","868.65","874.50","872.25","879.92","1,158.00","386.95",1770628,"1,558,018,684.90",40746
"29-Nov-2021","EQ","853.00","887.65","828.80","853.70","870.00","868.65","867.26","1,158.00","386.95",3134483,"2,718,419,143.30",81512
"26-Nov-2021","EQ","896.00","903.50","844.50","900.60","855.00","853.70","873.89","1,158.00","351.10",2095768,"1,831,480,969.65",68829
"25-Nov-2021","EQ","903.40","911.75","891.85","900.40","905.00","900.60","898.87","1,158.00","351.10",1240769,"1,115,292,310.20",30646
