"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","1,288.00","1,302.85","1,275.00","1,267.35","1,285.10","1,283.30","1,285.88","1,591.95","950.05",377823,"485,835,123.45",21143
"28-Jan-2022","EQ","1,298.45","1,328.95","1,260.00","1,278.10","1,265.00","1,267.35","1,295.82","1,591.95","950.05",848119,"1,099,007,781.95",33379
"27-Jan-2022","EQ","1,295.00","1,297.95","1,251.00","1,292.50","1,283.95","1,278.10","1,274.84","1,591.95","950.05",837894,"1,068,183,161.20",24750
"25-Jan-2022","EQ","1,279.05","1,310.00","1,235.05","1,293.35","1,290.10","1,292.50","1,286.99","1,591.95","950.05",1392034,"1,791,529,467.65",45042
"24-Jan-2022","EQ","1,374.35","1,374.35","1,272.20","1,374.35","1,285.20","1,293.35","1,310.61","1,591.95","950.05",1304711,"1,709,961,181.00",55863
"21-Jan-2022","EQ","1,444.00","1,450.80","1,355.00","1,449.80","1,377.50","1,374.35","1,406.26","1,591.95","950.05",1229939,"1,729,616,027.20",42221
"20-Jan-2022","EQ","1,482.00","1,507.90","1,438.85","1,523.60","1,447.30","1,449.80","1,465.25","1,591.95","950.05",1714708,"2,512,472,265.00",63362
"19-Jan-2022","EQ","1,480.00","1,540.00","1,410.00","1,485.45","1,516.10","1,523.60","1,501.05","1,591.95","950.05",969255,"1,454,900,153.25",39717
"18-Jan-2022","EQ","1,558.90","1,564.60","1,474.40","1,551.60","1,489.95","1,485.45","1,516.84","1,591.95","950.05",937640,"1,422,250,974.05",32674
"17-Jan-2022","EQ","1,545.65","1,591.95","1,540.00","1,545.25","1,550.25","1,551.60","1,565.77","1,591.95","950.05",1414763,"2,215,194,398.40",47359
"14-Jan-2022","EQ","1,548.70","1,567.00","1,537.00","1,545.50","1,545.95","1,545.25","1,553.09","1,587.00","950.05",915219,"1,421,419,781.25",32693
"13-Jan-2022","EQ","1,568.35","1,577.05","1,536.55","1,557.70","1,544.90","1,545.50","1,552.93","1,587.00","950.05",984456,"1,528,791,767.65",30343
"12-Jan-2022","EQ","1,484.95","1,587.00","1,473.40","1,479.30","1,555.00","1,557.70","1,546.04","1,587.00","950.05",3723084,"5,756,040,752.35",99219
"11-Jan-2022","EQ","1,487.80","1,501.30","1,466.00","1,485.65","1,478.45","1,479.30","1,481.92","1,543.15","950.05",1297785,"1,923,213,341.15",31616
"10-Jan-2022","EQ","1,475.00","1,502.60","1,465.00","1,463.10","1,481.35","1,485.65","1,483.89","1,543.15","950.05",519905,"771,482,046.85",22063
"07-Jan-2022","EQ","1,490.00","1,492.50","1,445.05","1,481.40","1,467.00","1,463.10","1,469.94","1,543.15","950.05",734840,"1,080,174,140.05",27616
"06-Jan-2022","EQ","1,500.00","1,533.45","1,471.75","1,502.25","1,480.60","1,481.40","1,496.45","1,543.15","950.05",1631797,"2,441,902,062.45",60253
"05-Jan-2022","EQ","1,421.00","1,543.15","1,405.55","1,421.20","1,507.95","1,502.25","1,490.25","1,543.15","950.05",2827021,"4,212,963,514.70",85583
"04-Jan-2022","EQ","1,449.50","1,464.75","1,401.25","1,445.30","1,418.40","1,421.20","1,428.15","1,540.00","950.05",1225469,"1,750,158,382.35",32796
"03-Jan-2022","EQ","1,468.00","1,479.00","1,439.15","1,464.45","1,444.00","1,445.30","1,453.81","1,540.00","950.05",403575,"586,720,549.75",19130
"31-Dec-2021","EQ","1,407.90","1,499.00","1,405.05","1,397.35","1,464.00","1,464.45","1,465.63","1,540.00","950.05",2793690,"4,094,524,932.05",101085
"30-Dec-2021","EQ","1,400.50","1,415.00","1,371.25","1,400.80","1,400.00","1,397.35","1,400.25","1,540.00","950.05",291883,"408,708,690.95",12187
"29-Dec-2021","EQ","1,387.90","1,417.00","1,371.20","1,379.65","1,394.00","1,400.80","1,395.80","1,540.00","950.05",380830,"531,563,142.25",13793
"28-Dec-2021","EQ","1,375.40","1,392.00","1,370.25","1,363.95","1,377.95","1,379.65","1,380.02","1,540.00","950.05",297095,"409,996,497.75",9170
"27-Dec-2021","EQ","1,379.00","1,390.00","1,354.15","1,375.65","1,368.00","1,363.95","1,372.53","1,540.00","950.05",162999,"223,720,932.45",8180
"24-Dec-2021","EQ","1,401.95","1,424.00","1,370.00","1,395.60","1,375.60","1,375.65","1,389.52","1,540.00","888.30",236195,"328,196,641.15",8380
"23-Dec-2021","EQ","1,399.00","1,420.00","1,377.75","1,394.70","1,395.00","1,395.60","1,394.53","1,540.00","888.30",308354,"430,010,001.30",14589
"22-Dec-2021","EQ","1,367.00","1,398.65","1,342.00","1,356.40","1,395.00","1,394.70","1,379.51","1,540.00","888.30",488220,"673,504,464.80",25904
"21-Dec-2021","EQ","1,326.00","1,363.85","1,307.35","1,310.75","1,358.00","1,356.40","1,336.50","1,540.00","888.30",298616,"399,099,331.45",22498
"20-Dec-2021","EQ","1,333.50","1,344.45","1,282.15","1,354.20","1,310.50","1,310.75","1,304.03","1,540.00","888.30",314808,"410,519,479.95",14882
"17-Dec-2021","EQ","1,379.55","1,379.55","1,310.00","1,371.20","1,352.45","1,354.20","1,338.79","1,540.00","888.30",395470,"529,451,987.45",18434
"16-Dec-2021","EQ","1,420.80","1,450.00","1,361.25","1,414.50","1,380.00","1,371.20","1,401.11","1,540.00","888.30",367768,"515,283,761.20",24612
"15-Dec-2021","EQ","1,452.00","1,459.95","1,410.00","1,445.40","1,415.00","1,414.50","1,426.48","1,540.00","888.30",791700,"1,129,342,275.55",25145
"14-Dec-2021","EQ","1,470.00","1,503.40","1,435.60","1,457.05","1,444.80","1,445.40","1,473.38","1,540.00","888.30",1221855,"1,800,255,175.45",57779
"13-Dec-2021","EQ","1,395.00","1,466.70","1,382.90","1,391.75","1,463.00","1,457.05","1,433.40","1,540.00","888.30",558702,"800,845,457.00",28780
"10-Dec-2021","EQ","1,370.00","1,394.90","1,350.10","1,369.80","1,393.00","1,391.75","1,385.51","1,540.00","888.30",281714,"390,316,388.40",14933
"09-Dec-2021","EQ","1,369.80","1,381.30","1,350.00","1,358.45","1,370.00","1,369.80","1,370.67","1,540.00","888.30",255062,"349,606,654.10",16869
"08-Dec-2021","EQ","1,360.00","1,373.05","1,350.00","1,341.35","1,364.40","1,358.45","1,360.53","1,540.00","888.30",466515,"634,706,829.50",27204
"07-Dec-2021","EQ","1,298.65","1,356.80","1,288.55","1,292.35","1,351.40","1,341.35","1,338.45","1,540.00","888.30",917670,"1,228,252,876.30",37651
"06-Dec-2021","EQ","1,309.00","1,318.95","1,272.85","1,303.25","1,292.55","1,292.35","1,294.28","1,540.00","888.30",302455,"391,461,359.15",16927
"03-Dec-2021","EQ","1,279.00","1,328.00","1,272.00","1,275.80","1,307.00","1,303.25","1,310.12","1,540.00","888.30",440498,"577,106,751.05",24614
"02-Dec-2021","EQ","1,276.00","1,309.00","1,270.00","1,276.35","1,272.80","1,275.80","1,280.94","1,540.00","888.30",610446,"781,945,588.15",16245
"01-Dec-2021","EQ","1,325.00","1,329.00","1,265.25","1,299.25","1,275.00","1,276.35","1,283.19","1,540.00","888.30",411702,"528,291,308.60",20881
"30-Nov-2021","EQ","1,283.35","1,313.85","1,283.35","1,283.35","1,302.00","1,299.25","1,300.67","1,540.00","888.30",459543,"597,711,789.20",21386
"29-Nov-2021","EQ","1,306.00","1,313.95","1,250.55","1,298.20","1,282.50","1,283.35","1,282.61","1,540.00","888.30",362155,"464,505,017.65",24068
"26-Nov-2021","EQ","1,275.00","1,329.00","1,253.25","1,293.55","1,292.00","1,298.20","1,292.63","1,540.00","888.30",938335,"1,212,916,423.55",35142
"25-Nov-2021","EQ","1,245.45","1,299.00","1,237.55","1,245.45","1,298.00","1,293.55","1,263.59","1,540.00","888.30",3071326,"3,880,893,437.50",42171
"24-Nov-2021","EQ","1,239.75","1,262.00","1,231.90","1,233.45","1,239.90","1,245.45","1,248.63","1,540.00","888.30",368193,"459,735,596.75",10569
"23-Nov-2021","EQ","1,220.00","1,243.95","1,210.00","1,222.10","1,231.50","1,233.45","1,232.16","1,540.00","888.30",284851,"350,980,847.75",12911
"22-Nov-2021","EQ","1,263.00","1,268.15","1,210.00","1,260.25","1,220.00","1,222.10","1,234.45","1,540.00","888.30",214763,"265,114,459.85",10577
