"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","726.00","736.95","722.05","717.90","727.00","727.30","728.76","889.00","554.35",1682459,"1,226,113,120.55",61126
"28-Jan-2022","EQ","706.50","729.90","706.50","705.95","718.50","717.90","722.87","889.00","554.25",2074152,"1,499,349,045.15",67547
"27-Jan-2022","EQ","700.00","709.50","687.50","707.75","706.50","705.95","701.86","889.00","554.25",3118535,"2,188,764,789.70",104651
"25-Jan-2022","EQ","690.00","709.95","675.00","691.45","708.20","707.75","698.15","889.00","554.25",2030546,"1,417,629,179.65",87255
"24-Jan-2022","EQ","725.00","725.00","688.50","726.55","691.55","691.45","698.91","889.00","554.25",3114690,"2,176,877,984.95",90187
"21-Jan-2022","EQ","721.00","742.95","712.00","723.45","724.65","726.55","732.62","889.00","554.25",4854277,"3,556,355,179.10",141479
"20-Jan-2022","EQ","728.05","746.25","717.20","717.65","726.05","723.45","729.97","889.00","554.25",5297725,"3,867,198,728.45",155322
"19-Jan-2022","EQ","734.95","738.00","714.00","731.45","719.00","717.65","719.46","889.00","554.25",2426249,"1,745,577,388.25",80682
"18-Jan-2022","EQ","763.80","770.00","728.40","765.10","734.95","731.45","745.95","889.00","554.25",2674149,"1,994,784,912.70",75099
"17-Jan-2022","EQ","768.00","771.35","759.25","762.50","764.10","765.10","765.55","889.00","554.25",1857366,"1,421,914,511.30",58079
"14-Jan-2022","EQ","730.20","777.00","727.00","730.20","760.80","762.50","761.63","889.00","554.25",8733345,"6,651,540,701.20",162032
"13-Jan-2022","EQ","737.00","739.45","723.60","736.10","731.30","730.20","728.24","889.00","554.25",1604671,"1,168,579,415.80",64409
"12-Jan-2022","EQ","743.00","743.30","733.15","738.65","735.60","736.10","735.96","889.00","554.25",1817215,"1,337,389,759.40",49795
"11-Jan-2022","EQ","736.45","743.60","730.75","731.90","737.00","738.65","737.18","889.00","554.25",1905347,"1,404,581,526.30",50163
"10-Jan-2022","EQ","740.45","743.00","731.00","736.10","733.20","731.90","735.81","889.00","554.25",1592097,"1,171,473,704.75",35250
"07-Jan-2022","EQ","725.45","744.65","725.05","725.45","738.15","736.10","735.54","889.00","554.25",2107056,"1,549,826,803.65",44501
"06-Jan-2022","EQ","733.00","734.95","722.55","733.60","726.40","725.45","726.94","889.00","554.25",2077754,"1,510,399,339.80",59362
"05-Jan-2022","EQ","740.25","743.50","726.50","738.85","733.50","733.60","731.26","889.00","554.25",2076552,"1,518,495,970.40",55714
"04-Jan-2022","EQ","752.00","756.70","731.05","748.00","739.00","738.85","737.66","889.00","554.25",2352482,"1,735,322,861.20",58936
"03-Jan-2022","EQ","747.00","749.40","740.00","743.45","749.00","748.00","746.26","889.00","554.25",925699,"690,816,385.25",29884
"31-Dec-2021","EQ","730.00","745.00","729.05","728.00","743.60","743.45","739.12","889.00","554.25",865277,"639,544,138.20",25110
"30-Dec-2021","EQ","729.00","737.85","725.30","726.65","729.10","728.00","731.54","889.00","554.25",2230935,"1,632,015,641.50",50679
"29-Dec-2021","EQ","728.00","728.90","720.00","726.95","724.85","726.65","725.07","889.00","554.25",783940,"568,414,821.15",25332
"28-Dec-2021","EQ","722.30","729.55","719.40","718.50","726.00","726.95","725.49","889.00","554.25",819253,"594,356,564.00",25640
"27-Dec-2021","EQ","710.00","724.50","706.75","718.95","719.90","718.50","715.38","889.00","554.25",691930,"494,992,008.20",27459
"24-Dec-2021","EQ","729.00","729.00","714.00","726.75","718.00","718.95","720.02","889.00","551.00",931510,"670,704,481.75",26621
"23-Dec-2021","EQ","720.00","729.60","712.25","714.95","726.00","726.75","720.22","889.00","551.00",1095354,"788,897,689.55",34086
"22-Dec-2021","EQ","706.20","717.55","703.80","705.70","713.65","714.95","710.55","889.00","551.00",1035751,"735,948,476.05",34750
"21-Dec-2021","EQ","710.55","725.60","704.80","709.55","704.95","705.70","710.67","889.00","551.00",2695789,"1,915,814,927.65",46076
"20-Dec-2021","EQ","717.45","719.55","696.60","726.35","709.45","709.55","706.39","889.00","551.00",2520192,"1,780,226,296.15",86980
"17-Dec-2021","EQ","738.00","738.80","721.05","740.25","725.00","726.35","727.06","889.00","551.00",1693819,"1,231,504,279.60",61632
"16-Dec-2021","EQ","747.00","750.00","735.30","746.30","742.50","740.25","739.80","889.00","551.00",1452909,"1,074,864,413.95",59908
"15-Dec-2021","EQ","742.00","750.50","735.20","739.50","745.90","746.30","744.05","889.00","551.00",1676700,"1,247,547,034.60",50302
"14-Dec-2021","EQ","753.00","753.95","732.40","754.10","740.00","739.50","741.18","889.00","551.00",2333787,"1,729,747,916.80",85102
"13-Dec-2021","EQ","774.00","777.25","752.00","769.65","755.95","754.10","761.93","889.00","551.00",1944410,"1,481,503,321.20",77037
"10-Dec-2021","EQ","781.65","781.95","765.35","777.50","769.50","769.65","769.97","889.00","551.00",1412794,"1,087,810,794.10",38119
"09-Dec-2021","EQ","773.00","779.05","766.05","772.15","778.10","777.50","772.82","889.00","551.00",935828,"723,222,885.75",38433
"08-Dec-2021","EQ","758.60","773.65","758.60","760.70","770.90","772.15","765.55","889.00","551.00",1002435,"767,410,197.60",49340
"07-Dec-2021","EQ","758.35","765.50","744.00","747.60","761.00","760.70","755.61","889.00","551.00",1741795,"1,316,119,772.30",64039
"06-Dec-2021","EQ","777.00","778.00","745.55","774.30","748.25","747.60","757.92","889.00","551.00",1654143,"1,253,711,530.05",61177
"03-Dec-2021","EQ","767.50","781.00","767.10","773.25","774.80","774.30","774.53","889.00","525.30",1408239,"1,090,720,180.75",38852
"02-Dec-2021","EQ","772.80","780.90","763.55","772.80","773.75","773.25","770.55","889.00","525.30",1766820,"1,361,419,395.55",66113
"01-Dec-2021","EQ","789.90","790.85","767.45","778.60","774.00","772.80","777.46","889.00","525.30",1263844,"982,584,367.85",55741
"30-Nov-2021","EQ","765.00","789.65","764.20","766.00","781.00","778.60","778.95","889.00","525.30",3529356,"2,749,209,131.50",82944
"29-Nov-2021","EQ","766.75","774.90","749.25","766.70","766.50","766.00","766.05","889.00","525.30",1584564,"1,213,855,520.00",61834
"26-Nov-2021","EQ","800.20","805.00","763.15","807.80","769.90","766.70","777.03","889.00","505.05",2616604,"2,033,173,332.90",87806
"25-Nov-2021","EQ","799.00","810.50","795.60","798.95","809.65","807.80","802.91","889.00","505.05",1767252,"1,418,938,813.90",49340
"24-Nov-2021","EQ","824.00","830.00","796.00","820.95","798.00","798.95","810.08","889.00","505.05",1634131,"1,323,777,007.80",68767
"23-Nov-2021","EQ","802.00","823.85","802.00","812.75","821.00","820.95","816.70","889.00","505.05",1025086,"837,192,320.10",48327
"22-Nov-2021","EQ","832.05","839.05","807.45","832.05","809.00","812.75","824.76","889.00","505.05",1951384,"1,609,416,659.80",71876
"18-Nov-2021","EQ","837.20","843.00","822.30","836.40","827.55","832.05","829.92","889.00","505.05",1132067,"939,527,431.10",52248
"17-Nov-2021","EQ","833.90","847.35","832.50","833.40","834.80","836.40","839.40","889.00","505.05",1439354,"1,208,192,721.75",58781
