"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","2,353.00","2,380.00","2,336.35","2,315.60","2,355.10","2,360.30","2,359.80","2,687.25","1,396.00",900510,"2,125,022,696.50",70551
"28-Jan-2022","EQ","2,313.00","2,377.80","2,308.00","2,310.05","2,321.10","2,315.60","2,346.39","2,687.25","1,396.00",1317407,"3,091,154,304.25",84716
"27-Jan-2022","EQ","2,327.00","2,360.40","2,260.00","2,376.50","2,313.00","2,310.05","2,296.30","2,687.25","1,396.00",2460051,"5,649,014,586.00",173733
"25-Jan-2022","EQ","2,386.00","2,407.75","2,330.40","2,403.05","2,374.80","2,376.50","2,367.08","2,687.25","1,396.00",2849686,"6,745,439,510.45",124774
"24-Jan-2022","EQ","2,520.00","2,522.55","2,376.00","2,528.15","2,403.00","2,403.05","2,427.01","2,687.25","1,396.00",1411443,"3,425,589,208.00",110228
"21-Jan-2022","EQ","2,548.00","2,561.90","2,505.00","2,564.30","2,525.00","2,528.15","2,528.81","2,687.25","1,396.00",1457884,"3,686,711,672.15",69084
"20-Jan-2022","EQ","2,597.00","2,610.00","2,550.00","2,588.90","2,567.00","2,564.30","2,579.12","2,687.25","1,396.00",1215237,"3,134,244,733.65",62889
"19-Jan-2022","EQ","2,598.00","2,617.80","2,571.10","2,600.60","2,591.00","2,588.90","2,594.46","2,687.25","1,396.00",629040,"1,632,017,689.45",50275
"18-Jan-2022","EQ","2,598.00","2,635.00","2,587.00","2,597.55","2,597.00","2,600.60","2,615.24","2,687.25","1,396.00",1221314,"3,194,035,241.00",90987
"17-Jan-2022","EQ","2,592.75","2,604.30","2,550.40","2,592.75","2,592.55","2,597.55","2,584.87","2,687.25","1,396.00",1172956,"3,031,941,630.60",80705
"14-Jan-2022","EQ","2,626.00","2,639.00","2,588.85","2,619.25","2,594.00","2,592.75","2,602.58","2,687.25","1,396.00",1166457,"3,035,802,991.05",68573
"13-Jan-2022","EQ","2,611.00","2,628.90","2,588.00","2,612.95","2,617.20","2,619.25","2,608.63","2,687.25","1,396.00",1023670,"2,670,377,135.80",82625
"12-Jan-2022","EQ","2,641.00","2,672.00","2,608.00","2,653.35","2,611.00","2,612.95","2,625.81","2,687.25","1,396.00",1293999,"3,397,790,891.35",93222
"11-Jan-2022","EQ","2,650.00","2,678.75","2,634.30","2,657.50","2,652.00","2,653.35","2,660.46","2,687.25","1,396.00",1123968,"2,990,267,804.30",73780
"10-Jan-2022","EQ","2,585.00","2,663.55","2,571.00","2,572.70","2,653.60","2,657.50","2,621.54","2,687.25","1,396.00",1894316,"4,966,030,269.45",84856
"07-Jan-2022","EQ","2,630.00","2,687.25","2,562.35","2,595.90","2,571.00","2,572.70","2,624.29","2,687.25","1,396.00",4625230,"12,137,947,788.45",182146
"06-Jan-2022","EQ","2,540.00","2,601.35","2,538.45","2,576.15","2,595.95","2,595.90","2,576.30","2,677.90","1,396.00",1130508,"2,912,530,227.05",64729
"05-Jan-2022","EQ","2,576.00","2,608.00","2,560.10","2,583.00","2,574.00","2,576.15","2,584.75","2,677.90","1,396.00",1244568,"3,216,893,224.90",71880
"04-Jan-2022","EQ","2,525.00","2,594.95","2,524.40","2,523.85","2,582.00","2,583.00","2,553.90","2,677.90","1,396.00",1037293,"2,649,140,610.55",61734
"03-Jan-2022","EQ","2,510.00","2,546.00","2,502.30","2,522.40","2,529.75","2,523.85","2,519.23","2,677.90","1,396.00",921729,"2,322,049,617.65",51436
"31-Dec-2021","EQ","2,447.30","2,535.00","2,444.60","2,437.30","2,517.55","2,522.40","2,512.69","2,677.90","1,396.00",2225749,"5,592,607,464.05",142272
"30-Dec-2021","EQ","2,393.80","2,448.00","2,390.70","2,402.15","2,448.00","2,437.30","2,424.92","2,677.90","1,396.00",1152684,"2,795,160,746.20",54913
"29-Dec-2021","EQ","2,379.00","2,416.45","2,370.35","2,379.85","2,396.60","2,402.15","2,399.11","2,677.90","1,396.00",764644,"1,834,461,426.65",40571
"28-Dec-2021","EQ","2,340.10","2,384.95","2,327.50","2,331.30","2,378.00","2,379.85","2,366.63","2,677.90","1,396.00",871453,"2,062,409,222.30",40319
"27-Dec-2021","EQ","2,306.15","2,344.00","2,286.30","2,319.45","2,334.00","2,331.30","2,314.40","2,677.90","1,396.00",537545,"1,244,095,872.35",37921
"24-Dec-2021","EQ","2,340.10","2,341.90","2,310.00","2,329.90","2,318.50","2,319.45","2,322.90","2,677.90","1,396.00",534065,"1,240,577,251.10",33907
"23-Dec-2021","EQ","2,320.00","2,337.55","2,310.00","2,299.75","2,333.50","2,329.90","2,324.32","2,677.90","1,396.00",613686,"1,426,405,117.60",35679
"22-Dec-2021","EQ","2,306.30","2,308.10","2,282.35","2,287.65","2,302.00","2,299.75","2,296.62","2,677.90","1,396.00",643034,"1,476,806,396.65",51212
"21-Dec-2021","EQ","2,251.30","2,310.00","2,251.30","2,239.35","2,290.45","2,287.65","2,290.69","2,677.90","1,396.00",883858,"2,024,642,332.75",58384
