"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","1,018.00","1,037.85","1,018.00","1,018.30","1,028.00","1,031.55","1,030.59","1,212.00","625.10",408254,"420,742,524.00",23704
"28-Jan-2022","EQ","1,025.10","1,042.00","1,008.35","1,022.95","1,014.00","1,018.30","1,026.40","1,212.00","585.00",1230291,"1,262,776,637.50",35934
"27-Jan-2022","EQ","1,060.00","1,087.80","1,001.35","1,079.35","1,020.00","1,022.95","1,022.09","1,212.00","585.00",1611802,"1,647,404,812.25",63992
"25-Jan-2022","EQ","1,092.00","1,113.25","1,050.40","1,121.95","1,074.00","1,079.35","1,084.87","1,212.00","585.00",866941,"940,521,860.90",34972
"24-Jan-2022","EQ","1,179.00","1,200.00","1,091.30","1,181.85","1,118.00","1,121.95","1,123.60","1,212.00","585.00",979818,"1,100,921,903.70",31262
"21-Jan-2022","EQ","1,169.00","1,206.55","1,142.00","1,170.00","1,185.00","1,181.85","1,176.51","1,212.00","585.00",961910,"1,131,696,217.35",45037
"20-Jan-2022","EQ","1,165.00","1,194.20","1,160.00","1,167.55","1,168.95","1,170.00","1,183.47","1,212.00","585.00",968296,"1,145,950,985.15",28494
"19-Jan-2022","EQ","1,145.00","1,212.00","1,136.40","1,144.30","1,165.00","1,167.55","1,177.45","1,212.00","585.00",1671916,"1,968,595,239.30",85554
"18-Jan-2022","EQ","1,177.00","1,177.00","1,135.80","1,158.25","1,144.40","1,144.30","1,155.43","1,209.95","585.00",543636,"628,132,224.35",21272
"17-Jan-2022","EQ","1,167.00","1,187.90","1,154.95","1,164.85","1,158.00","1,158.25","1,165.63","1,209.95","585.00",501455,"584,510,722.50",18274
"14-Jan-2022","EQ","1,165.10","1,199.95","1,159.40","1,182.90","1,163.95","1,164.85","1,177.82","1,209.95","585.00",744286,"876,636,721.90",28380
"13-Jan-2022","EQ","1,145.25","1,187.70","1,130.00","1,145.25","1,182.05","1,182.90","1,167.20","1,209.95","585.00",682225,"796,291,064.80",33610
"12-Jan-2022","EQ","1,129.00","1,150.50","1,110.00","1,119.15","1,143.05","1,145.25","1,137.33","1,209.95","585.00",741670,"843,526,482.55",33758
"11-Jan-2022","EQ","1,075.00","1,124.00","1,072.15","1,072.00","1,119.00","1,119.15","1,102.00","1,209.95","585.00",861357,"949,214,389.30",40877
"10-Jan-2022","EQ","1,090.00","1,094.75","1,062.00","1,085.20","1,074.00","1,072.00","1,077.56","1,209.95","585.00",604941,"651,862,282.00",25740
"07-Jan-2022","EQ","1,072.00","1,095.00","1,068.90","1,080.35","1,083.00","1,085.20","1,083.11","1,209.95","585.00",482099,"522,166,513.00",21470
"06-Jan-2022","EQ","1,067.00","1,088.95","1,054.70","1,070.85","1,080.00","1,080.35","1,074.76","1,209.95","585.00",408431,"438,963,561.20",18291
"05-Jan-2022","EQ","1,055.00","1,081.15","1,049.80","1,055.95","1,069.00","1,070.85","1,067.94","1,209.95","585.00",741560,"791,942,567.45",30008
"04-Jan-2022","EQ","1,050.00","1,067.00","1,046.00","1,054.60","1,057.00","1,055.95","1,056.38","1,209.95","585.00",258035,"272,584,260.45",12163
"03-Jan-2022","EQ","1,065.00","1,065.00","1,041.00","1,065.00","1,052.65","1,054.60","1,054.57","1,209.95","585.00",363953,"383,814,413.40",17143
"31-Dec-2021","EQ","1,042.50","1,069.90","1,029.55","1,032.85","1,063.90","1,065.00","1,051.65","1,209.95","585.00",452416,"475,781,329.35",17034
"30-Dec-2021","EQ","1,045.60","1,045.60","1,025.90","1,038.45","1,035.95","1,032.85","1,035.75","1,209.95","585.00",607040,"628,742,526.50",16454
"29-Dec-2021","EQ","1,040.65","1,050.90","1,027.00","1,034.80","1,038.95","1,038.45","1,040.08","1,209.95","585.00",252419,"262,536,403.45",9822
"28-Dec-2021","EQ","1,054.50","1,059.10","1,032.00","1,051.05","1,035.00","1,034.80","1,042.78","1,209.95","585.00",335064,"349,398,579.05",20810
"27-Dec-2021","EQ","1,020.00","1,068.00","1,020.00","1,041.00","1,054.15","1,051.05","1,054.67","1,209.95","585.00",834703,"880,335,065.20",32265
"24-Dec-2021","EQ","1,043.35","1,052.75","1,020.25","1,042.15","1,041.90","1,041.00","1,035.62","1,209.95","585.00",288355,"298,625,897.60",12499
"23-Dec-2021","EQ","1,044.00","1,056.85","1,032.00","1,044.85","1,043.00","1,042.15","1,042.23","1,209.95","585.00",577082,"601,449,758.50",16748
"22-Dec-2021","EQ","1,030.00","1,064.45","1,015.55","1,018.35","1,045.00","1,044.85","1,043.38","1,209.95","585.00",843395,"879,982,152.00",25755
"21-Dec-2021","EQ","1,024.00","1,034.65","1,008.10","1,007.90","1,019.85","1,018.35","1,021.05","1,209.95","585.00",377839,"385,790,750.75",18151
"20-Dec-2021","EQ","1,030.00","1,030.00","970.60","1,035.10","1,002.00","1,007.90","999.29","1,209.95","585.00",852808,"852,203,497.15",32181
"17-Dec-2021","EQ","1,031.20","1,063.90","1,013.15","1,031.20","1,035.05","1,035.10","1,034.39","1,209.95","585.00",805803,"833,514,846.20",27040
"16-Dec-2021","EQ","1,047.00","1,053.55","1,005.00","1,036.10","1,032.00","1,031.20","1,033.60","1,209.95","585.00",1121604,"1,159,291,182.75",32768
"15-Dec-2021","EQ","1,035.00","1,086.95","1,030.45","1,030.45","1,032.95","1,036.10","1,061.59","1,209.95","585.00",1671114,"1,774,031,637.45",59675
"14-Dec-2021","EQ","1,025.00","1,042.55","1,000.80","1,031.25","1,031.30","1,030.45","1,027.15","1,209.95","585.00",616598,"633,338,443.15",28789
"13-Dec-2021","EQ","1,040.00","1,052.70","1,028.00","1,035.95","1,036.60","1,031.25","1,032.16","1,209.95","585.00",337088,"347,927,893.30",15617
"10-Dec-2021","EQ","1,040.00","1,040.00","1,025.00","1,037.45","1,036.00","1,035.95","1,032.72","1,209.95","585.00",232075,"239,667,541.60",12566
"09-Dec-2021","EQ","1,050.60","1,050.60","1,027.60","1,041.00","1,040.65","1,037.45","1,034.82","1,209.95","585.00",214644,"222,118,338.75",8986
"08-Dec-2021","EQ","1,036.00","1,052.00","1,018.00","1,017.95","1,047.00","1,041.00","1,039.21","1,209.95","585.00",550648,"572,238,949.00",19344
"07-Dec-2021","EQ","1,005.00","1,036.00","995.15","998.00","1,020.00","1,017.95","1,013.30","1,209.95","585.00",644619,"653,189,303.45",29591
"06-Dec-2021","EQ","1,029.10","1,029.10","989.10","1,020.95","1,003.15","998.00","1,008.20","1,209.95","585.00",373519,"376,580,732.60",14534
"03-Dec-2021","EQ","1,036.50","1,036.90","1,013.80","1,031.35","1,021.95","1,020.95","1,025.26","1,209.95","585.00",661928,"678,647,476.10",19420
"02-Dec-2021","EQ","1,033.00","1,044.85","1,020.20","1,024.20","1,029.95","1,031.35","1,034.61","1,209.95","585.00",904904,"936,224,348.15",28955
"01-Dec-2021","EQ","1,032.15","1,038.55","1,006.00","1,014.40","1,028.60","1,024.20","1,025.03","1,209.95","585.00",839843,"860,864,282.35",26942
"30-Nov-2021","EQ","1,025.00","1,067.80","1,002.80","1,026.70","1,022.85","1,014.40","1,030.56","1,209.95","585.00",1075312,"1,108,173,233.45",53901
"29-Nov-2021","EQ","1,035.00","1,056.90","992.40","1,041.65","1,029.00","1,026.70","1,031.92","1,209.95","585.00",850287,"877,429,649.05",28622
"26-Nov-2021","EQ","1,083.00","1,091.85","1,025.00","1,092.60","1,048.90","1,041.65","1,049.09","1,209.95","585.00",904556,"948,957,599.50",28525
"25-Nov-2021","EQ","1,090.00","1,098.95","1,077.50","1,095.75","1,092.00","1,092.60","1,092.23","1,209.95","585.00",602587,"658,165,472.65",15304
"24-Nov-2021","EQ","1,111.15","1,118.00","1,090.00","1,111.90","1,090.00","1,095.75","1,104.17","1,209.95","585.00",1045914,"1,154,869,379.30",20258
"23-Nov-2021","EQ","1,109.00","1,126.65","1,093.55","1,112.80","1,110.00","1,111.90","1,112.51","1,209.95","585.00",1337545,"1,488,030,943.95",27371
"22-Nov-2021","EQ","1,112.40","1,139.55","1,101.60","1,137.65","1,109.45","1,112.80","1,120.36","1,209.95","585.00",724443,"811,639,312.50",31054
"18-Nov-2021","EQ","1,154.95","1,158.00","1,095.50","1,153.20","1,130.05","1,137.65","1,122.25","1,209.95","585.00",1003276,"1,125,927,160.55",48208
"17-Nov-2021","EQ","1,189.85","1,200.00","1,145.00","1,190.35","1,154.00","1,153.20","1,168.77","1,209.95","585.00",792324,"926,041,024.05",33390
"16-Nov-2021","EQ","1,146.70","1,202.70","1,141.25","1,157.20","1,191.30","1,190.35","1,173.59","1,209.95","585.00",1245041,"1,461,170,309.40",42619
"15-Nov-2021","EQ","1,156.95","1,173.00","1,140.00","1,149.15","1,146.35","1,157.20","1,158.55","1,209.95","585.00",724923,"839,859,863.30",24152
"12-Nov-2021","EQ","1,150.20","1,160.00","1,128.60","1,147.20","1,156.95","1,149.15","1,147.31","1,209.95","585.00",502799,"576,866,084.55",18299
"11-Nov-2021","EQ","1,123.70","1,155.65","1,121.15","1,124.35","1,147.05","1,147.20","1,144.67","1,209.95","585.00",979707,"1,121,442,161.60",49583
"10-Nov-2021","EQ","1,127.00","1,133.90","1,109.00","1,127.40","1,123.70","1,124.35","1,124.22","1,209.95","585.00",503041,"565,526,598.10",28743
"09-Nov-2021","EQ","1,100.00","1,133.00","1,094.10","1,100.55","1,127.00","1,127.40","1,118.58","1,209.95","585.00",1034509,"1,157,183,578.95",47422
"08-Nov-2021","EQ","1,099.80","1,115.90","1,085.00","1,094.30","1,098.25","1,100.55","1,096.03","1,209.95","585.00",1102344,"1,208,197,680.95",40295
"04-Nov-2021","EQ","1,100.00","1,103.40","1,090.25","1,092.15","1,095.00","1,094.30","1,096.28","1,209.95","585.00",141116,"154,702,418.25",6293
"03-Nov-2021","EQ","1,097.00","1,132.30","1,075.15","1,037.45","1,088.90","1,092.15","1,103.77","1,209.95","585.00",5869336,"6,478,421,972.90",201083
"02-Nov-2021","EQ","1,039.00","1,068.00","1,030.00","1,024.70","1,044.00","1,037.45","1,048.04","1,209.95","585.00",1518927,"1,591,897,275.00",62468
"01-Nov-2021","EQ","1,014.00","1,028.15","996.65","1,003.15","1,025.00","1,024.70","1,010.91","1,209.95","585.00",539353,"545,239,612.00",21554
"29-Oct-2021","EQ","1,005.50","1,038.10","989.50","1,005.70","1,008.95","1,003.15","1,002.50","1,209.95","585.00",446580,"447,697,415.25",16876
"28-Oct-2021","EQ","1,037.50","1,044.15","1,000.00","1,033.85","1,008.00","1,005.70","1,014.58","1,209.95","585.00",495393,"502,616,521.30",25693
"27-Oct-2021","EQ","1,052.25","1,072.25","1,026.25","1,041.45","1,035.00","1,033.85","1,047.27","1,209.95","585.00",476913,"499,458,857.65",20097
"26-Oct-2021","EQ","1,024.00","1,054.25","1,016.50","1,020.65","1,038.00","1,041.45","1,032.95","1,209.95","585.00",999447,"1,032,383,110.60",34736
"25-Oct-2021","EQ","1,061.00","1,085.00","1,009.15","1,050.85","1,019.15","1,020.65","1,032.39","1,209.95","585.00",772852,"797,888,305.70",21177
"22-Oct-2021","EQ","1,080.95","1,112.70","1,043.40","1,080.35","1,052.80","1,050.85","1,084.21","1,209.95","585.00",814132,"882,688,835.75",25745
"21-Oct-2021","EQ","1,122.50","1,123.65","1,067.05","1,111.40","1,084.85","1,080.35","1,085.45","1,209.95","585.00",470149,"510,324,468.05",29815
"20-Oct-2021","EQ","1,116.65","1,138.20","1,085.00","1,116.65","1,100.00","1,111.40","1,108.18","1,209.95","585.00",574423,"636,562,046.20",25228
"19-Oct-2021","EQ","1,160.00","1,174.55","1,094.20","1,154.30","1,117.00","1,116.65","1,140.94","1,209.95","585.00",832711,"950,070,566.00",41931
"18-Oct-2021","EQ","1,165.95","1,179.95","1,145.70","1,154.45","1,155.40","1,154.30","1,164.35","1,209.95","585.00",571535,"665,467,120.00",37782
"14-Oct-2021","EQ","1,175.05","1,184.00","1,145.00","1,174.20","1,157.95","1,154.45","1,158.70","1,209.95","585.00",563063,"652,423,227.30",33580
