"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","608.00","613.50","597.25","601.95","606.95","606.30","604.71","813.95","495.00",2066796,"1,249,808,069.65",45875
"28-Jan-2022","EQ","640.00","640.00","585.05","629.85","602.95","601.95","600.33","813.95","495.00",6413288,"3,850,068,564.45",145798
"27-Jan-2022","EQ","609.00","636.00","600.00","620.70","633.00","629.85","620.60","813.95","495.00",2490371,"1,545,520,492.80",77230
"25-Jan-2022","EQ","607.00","623.30","595.00","612.20","621.40","620.70","616.03","813.95","495.00",1227614,"756,243,036.45",47612
"24-Jan-2022","EQ","630.50","631.10","607.40","631.10","609.95","612.20","616.46","813.95","495.00",712987,"439,527,769.05",20784
"21-Jan-2022","EQ","630.05","652.00","627.30","636.15","630.15","631.10","644.74","813.95","488.60",3144751,"2,027,560,224.55",70038
"20-Jan-2022","EQ","639.00","647.65","629.65","642.80","634.00","636.15","638.94","813.95","488.60",545287,"348,404,277.25",15796
"19-Jan-2022","EQ","640.00","648.95","631.05","643.20","641.05","642.80","642.39","813.95","488.60",519529,"333,741,824.10",15087
"18-Jan-2022","EQ","660.00","660.70","640.20","657.45","640.20","643.20","648.43","813.95","488.60",900906,"584,171,095.40",20321
"17-Jan-2022","EQ","657.00","670.60","653.40","658.75","658.30","657.45","662.22","813.95","488.60",1356881,"898,552,451.60",46076
"14-Jan-2022","EQ","658.95","664.15","652.70","660.45","657.75","658.75","659.27","813.95","488.60",697133,"459,595,677.90",18961
"13-Jan-2022","EQ","657.45","663.05","643.00","654.80","659.50","660.45","657.46","813.95","488.60",1892618,"1,244,319,094.90",35875
"12-Jan-2022","EQ","645.00","658.15","642.50","642.70","654.95","654.80","653.21","813.95","488.60",810304,"529,298,106.75",22470
"11-Jan-2022","EQ","647.00","652.80","641.15","649.80","644.45","642.70","646.96","813.95","488.60",389969,"252,293,326.10",15427
"10-Jan-2022","EQ","645.00","653.00","642.50","641.05","648.50","649.80","649.01","813.95","488.60",771849,"500,936,544.20",21214
"07-Jan-2022","EQ","650.85","654.00","637.25","648.90","640.00","641.05","643.73","813.95","481.80",715951,"460,878,633.35",18165
"06-Jan-2022","EQ","635.00","650.00","630.00","638.70","648.00","648.90","642.79","813.95","481.80",1042775,"670,285,724.40",26196
"05-Jan-2022","EQ","632.80","644.20","629.40","630.45","636.75","638.70","637.44","813.95","481.80",1056096,"673,195,067.25",23738
"04-Jan-2022","EQ","631.00","635.55","626.50","629.25","631.00","630.45","630.61","813.95","481.80",574936,"362,561,445.00",14844
"03-Jan-2022","EQ","625.00","632.95","616.30","627.00","629.80","629.25","626.20","813.95","481.80",1188070,"743,974,217.30",22012
"31-Dec-2021","EQ","615.70","630.50","615.70","615.70","625.00","627.00","624.86","813.95","479.75",728420,"455,158,216.05",16465
"30-Dec-2021","EQ","625.00","626.00","612.75","623.25","616.55","615.70","617.03","813.95","479.75",756389,"466,716,624.15",16012
"29-Dec-2021","EQ","610.00","624.65","602.85","610.60","623.05","623.25","617.49","813.95","479.75",1165031,"719,394,096.90",24644
"28-Dec-2021","EQ","608.00","614.70","606.65","605.65","611.10","610.60","611.13","813.95","479.75",713046,"435,763,757.20",14172
"27-Dec-2021","EQ","607.80","607.80","600.00","610.50","607.80","605.65","605.32","813.95","479.75",868742,"525,868,303.05",15584
"24-Dec-2021","EQ","622.55","622.80","606.00","620.35","610.45","610.50","611.12","813.95","445.50",1040322,"635,764,705.45",25139
"23-Dec-2021","EQ","623.00","623.35","616.60","617.25","620.60","620.35","619.82","813.95","445.50",504198,"312,514,520.10",10470
"22-Dec-2021","EQ","619.10","624.70","613.55","614.70","617.35","617.25","618.62","813.95","445.50",1160140,"717,688,164.00",39709
"21-Dec-2021","EQ","608.50","619.30","607.10","607.10","615.70","614.70","614.10","813.95","445.50",1412370,"867,342,559.05",39137
"20-Dec-2021","EQ","605.00","614.00","590.00","615.55","608.50","607.10","602.35","813.95","445.50",2559927,"1,541,981,215.85",53500
"17-Dec-2021","EQ","634.00","635.05","610.00","636.60","614.25","615.55","619.73","813.95","445.50",3261223,"2,021,061,779.10",64175
"16-Dec-2021","EQ","678.50","678.50","633.05","673.80","635.35","636.60","644.05","813.95","445.50",6951407,"4,477,051,526.95",139225
"15-Dec-2021","EQ","663.00","708.80","662.90","660.15","669.40","673.80","688.29","813.95","445.50",14240307,"9,801,469,443.45",212736
"14-Dec-2021","EQ","676.65","676.65","657.80","675.30","662.90","660.15","662.16","813.95","445.50",1294853,"857,403,140.65",22440
"13-Dec-2021","EQ","684.00","691.90","673.10","682.25","674.60","675.30","679.63","813.95","445.50",780239,"530,270,026.15",20512
"10-Dec-2021","EQ","685.00","691.00","678.55","684.65","681.90","682.25","685.07","813.95","445.50",1066005,"730,286,770.25",31360
"09-Dec-2021","EQ","685.00","685.95","674.00","682.55","684.50","684.65","680.23","813.95","445.50",871861,"593,064,366.05",24005
"08-Dec-2021","EQ","674.45","684.55","663.70","666.25","681.00","682.55","673.81","813.95","445.50",879154,"592,383,128.95",19165
"07-Dec-2021","EQ","663.25","677.00","663.25","661.15","665.95","666.25","666.74","813.95","445.50",644440,"429,674,624.35",19500
"06-Dec-2021","EQ","671.50","673.60","658.55","672.30","663.25","661.15","667.30","813.95","445.50",1068384,"712,930,724.15",28532
"03-Dec-2021","EQ","678.00","685.70","669.70","680.25","670.55","672.30","678.87","813.95","445.50",784522,"532,586,020.25",28099
"02-Dec-2021","EQ","676.00","683.00","669.25","678.20","679.75","680.25","678.35","813.95","445.50",1032008,"700,062,166.55",20612
"01-Dec-2021","EQ","689.80","698.00","675.50","686.50","679.90","678.20","686.76","813.95","445.50",1802639,"1,237,980,900.10",48754
"30-Nov-2021","EQ","685.00","694.75","674.15","684.30","688.95","686.50","685.96","813.95","445.50",6521283,"4,473,309,574.75",64126
"29-Nov-2021","EQ","674.30","694.55","654.00","676.80","684.70","684.30","681.05","813.95","445.50",1687675,"1,149,398,857.25",41038
"26-Nov-2021","EQ","699.80","699.90","675.00","701.50","677.00","676.80","685.97","813.95","445.50",1323904,"908,161,491.80",36242
"25-Nov-2021","EQ","702.00","713.00","699.35","702.15","700.25","701.50","706.39","813.95","445.50",2020161,"1,427,026,693.85",36914
"24-Nov-2021","EQ","733.70","733.70","700.30","712.75","700.65","702.15","711.92","813.95","445.50",2966210,"2,111,696,941.30",63596
"23-Nov-2021","EQ","696.15","720.00","696.15","709.85","713.45","712.75","713.04","813.95","445.50",1642526,"1,171,188,984.90",35364
"22-Nov-2021","EQ","723.85","731.25","705.00","723.85","709.25","709.85","718.00","813.95","445.50",1714646,"1,231,107,674.40",38347
"18-Nov-2021","EQ","741.00","742.00","719.50","739.70","722.85","723.85","727.60","813.95","445.50",1834193,"1,334,566,359.90",49009
"17-Nov-2021","EQ","738.00","749.25","736.25","738.10","737.35","739.70","741.76","813.95","445.50",1754996,"1,301,783,821.90",35747
"16-Nov-2021","EQ","740.00","750.75","733.40","736.15","738.75","738.10","741.68","813.95","445.50",2419607,"1,794,583,613.15",53936
"15-Nov-2021","EQ","732.50","744.00","730.85","729.05","736.00","736.15","737.38","813.95","445.50",2138789,"1,577,100,582.20",54134
"12-Nov-2021","EQ","752.00","752.00","718.80","747.05","732.00","729.05","727.42","813.95","445.50",4094224,"2,978,207,835.35",74020
"11-Nov-2021","EQ","751.00","765.80","743.05","753.50","747.55","747.05","753.41","813.95","445.50",3344306,"2,519,635,015.85",67727
"10-Nov-2021","EQ","731.45","756.85","721.65","731.45","752.85","753.50","743.04","813.95","445.50",3682913,"2,736,557,058.95",69315
"09-Nov-2021","EQ","755.00","813.95","726.70","712.25","730.00","731.45","761.65","813.95","445.50",25844281,"19,684,179,046.00",367140
"08-Nov-2021","EQ","709.00","719.50","705.60","708.75","710.10","712.25","714.01","719.50","445.50",1531643,"1,093,609,074.65",39884
"04-Nov-2021","EQ","712.00","713.90","705.00","706.55","706.50","708.75","709.99","715.00","445.50",273871,"194,446,961.45",8908
"03-Nov-2021","EQ","700.00","715.00","695.95","698.00","706.50","706.55","707.80","715.00","445.50",3662182,"2,592,108,667.75",66182
"02-Nov-2021","EQ","677.05","706.80","677.00","671.30","697.00","698.00","696.48","706.80","445.50",6921074,"4,820,357,439.05",138107
"01-Nov-2021","EQ","662.55","678.70","655.10","662.55","677.40","671.30","668.98","681.70","445.50",3395775,"2,271,699,649.10",76281
"29-Oct-2021","EQ","653.00","681.70","638.25","651.95","661.85","662.55","663.98","681.70","421.15",6069828,"4,030,260,747.60",147834
"28-Oct-2021","EQ","624.80","656.50","622.30","625.85","653.05","651.95","643.42","666.00","421.15",7408494,"4,766,771,083.75",111639
"27-Oct-2021","EQ","627.80","628.80","620.70","625.90","626.55","625.85","624.73","666.00","421.15",1380261,"862,294,004.50",28703
"26-Oct-2021","EQ","603.80","629.35","600.00","599.50","626.00","625.90","616.22","666.00","421.15",2525727,"1,556,408,679.35",48578
"25-Oct-2021","EQ","619.00","620.00","592.05","619.80","597.90","599.50","603.39","666.00","421.15",2875675,"1,735,143,635.85",56609
"22-Oct-2021","EQ","614.00","632.85","598.95","577.05","618.60","619.80","617.83","666.00","421.15",18455677,"11,402,533,252.15",342178
"21-Oct-2021","EQ","582.90","588.25","566.00","579.30","583.25","577.05","575.48","666.00","421.15",1429062,"822,398,848.40",31413
"20-Oct-2021","EQ","581.00","590.80","570.85","583.25","579.00","579.30","582.29","666.00","421.15",1094973,"637,589,255.50",27336
"19-Oct-2021","EQ","592.00","598.80","577.20","585.90","583.00","583.25","586.83","666.00","421.15",2398150,"1,407,311,460.60",48083
"18-Oct-2021","EQ","583.80","590.90","573.90","583.80","586.50","585.90","585.02","666.00","421.15",2022170,"1,183,004,864.95",35383
"14-Oct-2021","EQ","579.05","588.70","571.05","577.20","581.70","583.80","580.48","666.00","421.15",2413386,"1,400,922,859.00",48536
"13-Oct-2021","EQ","579.05","586.60","574.00","573.85","577.80","577.20","579.73","666.00","421.15",1587573,"920,358,312.35",31973
"12-Oct-2021","EQ","559.00","580.00","558.55","559.05","572.55","573.85","573.43","666.00","421.15",4445077,"2,548,924,724.50",73779
"11-Oct-2021","EQ","561.00","566.90","556.40","559.75","559.50","559.05","561.27","666.00","421.15",1680108,"942,992,525.40",29954
"08-Oct-2021","EQ","568.00","568.75","555.05","557.75","558.70","559.75","560.35","666.00","421.15",1781059,"998,011,432.70",41996
"07-Oct-2021","EQ","547.80","563.20","544.20","544.00","556.65","557.75","556.54","666.00","421.15",2873448,"1,599,188,199.15",59785
"06-Oct-2021","EQ","565.50","566.00","540.05","562.00","541.50","544.00","551.87","666.00","421.15",2025110,"1,117,604,784.50",41946
"05-Oct-2021","EQ","559.00","569.00","554.35","560.50","562.00","562.00","561.11","666.00","421.15",1910687,"1,072,102,741.55",48909
"04-Oct-2021","EQ","574.00","575.00","557.70","563.95","560.90","560.50","565.57","666.00","421.15",2842764,"1,607,786,769.70",58899
"01-Oct-2021","EQ","550.90","569.75","544.95","549.45","567.50","563.95","559.75","666.00","421.15",3518568,"1,969,505,405.05",58195
"30-Sep-2021","EQ","550.00","558.75","548.20","550.75","549.90","549.45","552.82","666.00","421.15",1339499,"740,504,241.20",23603
"29-Sep-2021","EQ","550.20","557.35","543.05","555.60","549.45","550.75","551.32","666.00","421.15",966528,"532,864,288.30",33407
"28-Sep-2021","EQ","560.05","561.95","544.05","555.20","554.25","555.60","552.86","666.00","421.15",1555165,"859,784,215.85",28958
"27-Sep-2021","EQ","539.50","557.00","538.00","537.20","555.50","555.20","550.70","666.00","421.15",2327317,"1,281,656,601.25",42368
"24-Sep-2021","EQ","541.70","543.55","533.05","539.70","535.80","537.20","538.17","666.00","421.15",1374432,"739,681,297.00",21864
"23-Sep-2021","EQ","543.00","544.90","537.40","540.10","537.60","539.70","541.30","666.00","421.15",1058373,"572,900,540.05",22403
"22-Sep-2021","EQ","535.10","541.00","531.00","533.15","540.60","540.10","537.20","666.00","421.15",789554,"424,145,501.05",14787
"21-Sep-2021","EQ","545.40","547.65","520.00","545.40","534.50","533.15","529.44","666.00","421.15",2119176,"1,121,971,204.65",45122
"20-Sep-2021","EQ","544.80","549.75","535.15","547.10","542.70","545.40","544.88","666.00","421.15",1363420,"742,903,458.90",28080
"17-Sep-2021","EQ","549.00","560.95","541.50","544.70","548.00","547.10","551.62","666.00","421.15",3038827,"1,676,271,995.75",54191
"16-Sep-2021","EQ","550.00","554.00","543.70","548.35","544.55","544.70","547.99","666.00","421.15",1160127,"635,736,261.35",20019
"15-Sep-2021","EQ","550.00","554.75","545.30","549.95","547.50","548.35","549.32","666.00","421.15",866324,"475,889,599.20",11769
"14-Sep-2021","EQ","546.50","550.90","544.30","545.65","548.95","549.95","548.52","666.00","421.15",1274163,"698,902,921.00",19932
"13-Sep-2021","EQ","538.60","546.70","538.60","544.75","545.10","545.65","543.51","666.00","421.15",773914,"420,628,753.25",11350
"09-Sep-2021","EQ","544.80","548.10","538.60","546.60","543.75","544.75","542.22","666.00","421.15",1421480,"770,749,746.45",31673
"08-Sep-2021","EQ","559.00","559.00","544.00","553.80","546.00","546.60","548.44","666.00","421.15",1941273,"1,064,663,142.75",37326
"07-Sep-2021","EQ","548.00","558.20","541.60","546.45","552.50","553.80","551.48","666.00","421.15",1930617,"1,064,688,238.10",34649
"06-Sep-2021","EQ","545.60","549.85","539.55","540.40","547.05","546.45","544.92","666.00","421.15",1460001,"795,589,544.80",34381
