"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","1,550.05","1,658.95","1,550.05","1,549.85","1,619.95","1,619.20","1,631.51","1,785.80","1,051.40",959716,"1,565,785,346.50",56017
"28-Jan-2022","EQ","1,516.25","1,575.00","1,516.05","1,507.20","1,554.00","1,549.85","1,548.90","1,785.80","1,051.40",352731,"546,345,806.55",20584
"27-Jan-2022","EQ","1,555.95","1,555.95","1,460.30","1,557.95","1,512.00","1,507.20","1,521.24","1,785.80","1,051.40",566836,"862,294,729.90",28736
"25-Jan-2022","EQ","1,512.00","1,566.00","1,473.05","1,523.80","1,559.00","1,557.95","1,536.95","1,785.80","1,051.40",210818,"324,016,693.70",15104
"24-Jan-2022","EQ","1,560.05","1,570.40","1,508.90","1,566.35","1,522.05","1,523.80","1,538.74","1,785.80","1,051.40",285079,"438,661,383.90",19333
"21-Jan-2022","EQ","1,596.00","1,609.80","1,558.10","1,602.30","1,572.00","1,566.35","1,585.20","1,785.80","1,051.40",132104,"209,411,473.80",15218
"20-Jan-2022","EQ","1,600.00","1,633.35","1,595.00","1,612.40","1,606.00","1,602.30","1,609.97","1,785.80","1,051.40",121244,"195,199,202.00",12056
"19-Jan-2022","EQ","1,617.15","1,641.70","1,590.00","1,625.05","1,607.10","1,612.40","1,617.71","1,785.80","1,051.40",295196,"477,541,547.90",22452
"18-Jan-2022","EQ","1,664.95","1,682.55","1,617.05","1,663.70","1,624.75","1,625.05","1,654.39","1,785.80","1,051.40",327627,"542,021,387.95",19796
"17-Jan-2022","EQ","1,656.00","1,671.00","1,648.10","1,656.05","1,663.00","1,663.70","1,660.34","1,785.80","1,051.40",196451,"326,174,896.20",13314
"14-Jan-2022","EQ","1,643.90","1,673.65","1,635.00","1,653.90","1,647.05","1,656.05","1,659.61","1,785.80","1,051.40",329389,"546,657,652.60",22035
"13-Jan-2022","EQ","1,646.40","1,670.40","1,625.00","1,646.70","1,647.45","1,653.90","1,653.25","1,785.80","1,051.40",302898,"500,765,054.10",22759
"12-Jan-2022","EQ","1,610.45","1,660.70","1,589.80","1,605.10","1,650.00","1,646.70","1,637.39","1,785.80","1,051.40",479657,"785,387,352.90",25053
