"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","889.85","911.80","883.15","886.50","905.00","904.85","904.08","1,178.00","709.00",277297,"250,698,410.00",17328
"28-Jan-2022","EQ","875.10","901.05","870.70","864.00","886.55","886.50","892.69","1,178.00","709.00",388382,"346,705,583.00",23407
"27-Jan-2022","EQ","872.85","885.00","845.10","872.70","883.95","864.00","855.60","1,178.00","709.00",599462,"512,898,272.25",38610
"25-Jan-2022","EQ","890.00","893.30","857.45","900.65","872.00","872.70","869.75","1,178.00","709.00",692777,"602,544,449.75",39813
"24-Jan-2022","EQ","906.00","912.00","878.20","915.85","898.50","900.65","892.50","1,178.00","709.00",499297,"445,622,859.90",33760
"21-Jan-2022","EQ","936.60","936.60","900.10","939.90","911.55","915.85","913.52","1,178.00","709.00",363805,"332,343,880.10",21703
"20-Jan-2022","EQ","940.60","942.00","930.35","939.95","938.00","939.90","937.71","1,178.00","709.00",245967,"230,646,791.50",13918
"19-Jan-2022","EQ","915.75","947.00","915.75","923.25","935.90","939.95","941.09","1,178.00","709.00",789781,"743,252,290.25",27681
"18-Jan-2022","EQ","950.00","950.00","915.00","942.50","922.00","923.25","937.86","1,178.00","709.00",274338,"257,290,912.90",18467
"17-Jan-2022","EQ","933.25","951.00","913.70","928.65","950.00","942.50","931.84","1,178.00","709.00",294658,"274,572,706.35",17436
"14-Jan-2022","EQ","908.20","930.00","889.65","905.55","928.90","928.65","916.63","1,178.00","709.00",420993,"385,895,569.80",24415
"13-Jan-2022","EQ","915.00","917.00","901.25","909.35","907.40","905.55","908.25","1,178.00","709.00",237875,"216,049,632.95",25708
"12-Jan-2022","EQ","889.90","919.70","885.25","869.45","909.80","909.35","906.28","1,178.00","709.00",1367601,"1,239,428,297.75",54481
"11-Jan-2022","EQ","854.00","892.70","839.05","849.75","869.50","869.45","873.00","1,178.00","709.00",829627,"724,266,607.10",47075
"10-Jan-2022","EQ","854.00","861.70","848.00","851.30","849.25","849.75","852.44","1,178.00","709.00",229901,"195,977,387.10",15338
"07-Jan-2022","EQ","835.60","857.10","835.60","841.35","852.90","851.30","850.14","1,178.00","709.00",489401,"416,057,502.25",19221
"06-Jan-2022","EQ","874.95","874.95","839.00","875.00","844.00","841.35","844.43","1,178.00","709.00",508794,"429,642,891.50",32267
"05-Jan-2022","EQ","863.55","880.90","863.55","874.90","873.10","875.00","875.76","1,178.00","709.00",156066,"136,676,748.20",9986
"04-Jan-2022","EQ","884.00","884.50","874.00","879.80","874.05","874.90","877.83","1,178.00","709.00",98033,"86,056,191.25",5962
"03-Jan-2022","EQ","887.50","887.65","878.00","888.30","879.55","879.80","880.90","1,178.00","709.00",136008,"119,810,002.75",8564
"31-Dec-2021","EQ","867.30","897.00","863.25","861.30","882.05","888.30","881.35","1,178.00","709.00",178100,"156,968,202.15",13139
"30-Dec-2021","EQ","900.00","900.40","855.00","885.65","862.00","861.30","876.34","1,178.00","709.00",220367,"193,116,561.95",16389
"29-Dec-2021","EQ","870.00","889.60","861.90","869.80","885.00","885.65","873.90","1,178.00","709.00",173275,"151,424,688.45",11183
"28-Dec-2021","EQ","861.00","880.00","854.95","854.95","869.00","869.80","870.23","1,178.00","709.00",272288,"236,953,038.35",20805
"27-Dec-2021","EQ","837.00","858.45","825.30","839.40","855.00","854.95","844.97","1,178.00","709.00",309517,"261,533,385.95",17078
"24-Dec-2021","EQ","850.00","856.30","835.55","849.60","839.00","839.40","842.32","1,178.00","709.00",235778,"198,599,368.25",14259
"23-Dec-2021","EQ","857.00","857.20","842.35","848.40","849.95","849.60","849.22","1,178.00","709.00",231194,"196,334,950.40",10677
"22-Dec-2021","EQ","835.55","864.95","834.00","839.35","848.75","848.40","850.82","1,178.00","709.00",191723,"163,122,649.55",14055
"21-Dec-2021","EQ","830.00","844.20","817.30","827.80","828.00","839.35","830.78","1,178.00","709.00",472418,"392,475,424.45",29967
"20-Dec-2021","EQ","858.00","858.00","820.05","866.20","823.50","827.80","834.35","1,178.00","709.00",457179,"381,447,435.00",29369
"17-Dec-2021","EQ","874.90","878.15","857.30","874.95","863.00","866.20","864.42","1,178.00","709.00",321757,"278,134,074.70",26214
"16-Dec-2021","EQ","908.35","908.45","873.00","902.50","874.95","874.95","885.38","1,178.00","709.00",284547,"251,932,414.20",26506
"15-Dec-2021","EQ","913.85","914.95","896.45","908.95","901.50","902.50","902.47","1,178.00","709.00",169032,"152,546,937.95",14033
"14-Dec-2021","EQ","903.00","923.80","890.45","902.20","912.00","908.95","912.44","1,178.00","709.00",320083,"292,057,139.50",21987
