"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","1,165.50","1,193.80","1,157.70","1,157.15","1,181.15","1,183.30","1,179.95","1,356.90","903.10",849622,"1,002,514,532.60",28854
"28-Jan-2022","EQ","1,189.90","1,204.45","1,149.55","1,185.55","1,159.60","1,157.15","1,183.78","1,356.90","897.25",929704,"1,100,561,867.50",53019
"27-Jan-2022","EQ","1,190.00","1,197.75","1,155.00","1,190.90","1,197.00","1,185.55","1,173.16","1,356.90","897.25",1011654,"1,186,829,421.45",46242
"25-Jan-2022","EQ","1,185.00","1,203.20","1,170.70","1,187.45","1,194.85","1,190.90","1,189.25","1,356.90","897.25",757354,"900,686,056.25",32632
"24-Jan-2022","EQ","1,186.70","1,199.90","1,160.05","1,192.25","1,190.00","1,187.45","1,176.00","1,356.90","897.25",1469411,"1,728,032,802.95",47104
"21-Jan-2022","EQ","1,230.00","1,237.30","1,185.00","1,253.70","1,193.45","1,192.25","1,218.24","1,356.90","876.45",1756285,"2,139,568,346.85",72610
"20-Jan-2022","EQ","1,254.95","1,263.80","1,247.35","1,254.95","1,251.35","1,253.70","1,253.57","1,356.90","876.45",522908,"655,503,696.90",30373
"19-Jan-2022","EQ","1,260.20","1,274.80","1,250.00","1,262.65","1,257.60","1,254.95","1,260.02","1,356.90","876.45",662199,"834,385,791.30",29781
"18-Jan-2022","EQ","1,286.00","1,303.35","1,256.85","1,285.75","1,264.60","1,262.65","1,282.20","1,356.90","876.45",964807,"1,237,074,609.55",29954
"17-Jan-2022","EQ","1,310.00","1,313.15","1,283.10","1,303.65","1,285.00","1,285.75","1,294.38","1,356.90","876.45",535555,"693,213,657.05",26962
"14-Jan-2022","EQ","1,272.95","1,317.30","1,262.65","1,270.85","1,304.00","1,303.65","1,301.26","1,356.90","876.45",1513277,"1,969,160,229.65",57749
"13-Jan-2022","EQ","1,283.80","1,288.15","1,256.60","1,275.30","1,271.00","1,270.85","1,272.08","1,356.90","876.45",591489,"752,421,263.60",28306
"12-Jan-2022","EQ","1,252.90","1,283.00","1,246.00","1,247.05","1,272.95","1,275.30","1,259.40","1,356.90","876.45",1001889,"1,261,774,846.75",58872
"11-Jan-2022","EQ","1,253.00","1,257.10","1,238.60","1,253.75","1,249.20","1,247.05","1,249.26","1,356.90","876.45",621165,"775,994,970.70",29616
"10-Jan-2022","EQ","1,275.00","1,281.35","1,251.00","1,270.90","1,254.00","1,253.75","1,259.21","1,356.90","876.45",835334,"1,051,859,998.25",36860
"07-Jan-2022","EQ","1,245.00","1,287.50","1,245.00","1,249.80","1,270.00","1,270.90","1,261.94","1,356.90","830.55",2129901,"2,687,812,488.05",47920
"06-Jan-2022","EQ","1,240.00","1,256.35","1,230.15","1,249.50","1,250.00","1,249.80","1,244.16","1,356.90","830.55",590712,"734,942,680.20",33966
"05-Jan-2022","EQ","1,245.50","1,254.55","1,238.95","1,245.50","1,249.00","1,249.50","1,248.39","1,356.90","830.55",433601,"541,301,076.80",19669
"04-Jan-2022","EQ","1,240.10","1,251.55","1,222.80","1,233.20","1,245.80","1,245.50","1,237.13","1,356.90","830.55",877718,"1,085,848,560.20",46436
"03-Jan-2022","EQ","1,225.00","1,241.65","1,225.00","1,219.15","1,237.50","1,233.20","1,234.05","1,356.90","830.55",431395,"532,362,372.65",25650
"31-Dec-2021","EQ","1,203.00","1,240.00","1,199.50","1,198.80","1,220.10","1,219.15","1,226.71","1,356.90","809.05",1199325,"1,471,223,851.30",54272
"30-Dec-2021","EQ","1,203.20","1,216.60","1,193.35","1,201.25","1,198.00","1,198.80","1,203.17","1,356.90","809.05",844604,"1,016,206,362.05",40086
"29-Dec-2021","EQ","1,207.00","1,216.80","1,178.45","1,207.00","1,201.45","1,201.25","1,193.21","1,356.90","809.05",771379,"920,420,946.90",44305
"28-Dec-2021","EQ","1,198.20","1,219.95","1,198.20","1,195.75","1,208.60","1,207.00","1,210.67","1,356.90","809.05",355696,"430,631,349.40",20282
"27-Dec-2021","EQ","1,192.00","1,206.75","1,183.90","1,196.50","1,195.75","1,195.75","1,197.22","1,356.90","809.05",298790,"357,717,163.60",17448
"24-Dec-2021","EQ","1,209.80","1,209.80","1,185.00","1,209.80","1,192.05","1,196.50","1,195.11","1,356.90","768.40",427611,"511,040,361.80",26198
"23-Dec-2021","EQ","1,197.00","1,212.95","1,187.50","1,189.45","1,210.00","1,209.80","1,201.05","1,356.90","768.40",409221,"491,496,169.65",28428
"22-Dec-2021","EQ","1,176.55","1,196.35","1,176.55","1,174.05","1,193.65","1,189.45","1,188.71","1,356.90","768.40",328821,"390,873,791.85",35979
"21-Dec-2021","EQ","1,175.30","1,194.95","1,160.00","1,164.55","1,177.45","1,174.05","1,180.47","1,356.90","768.40",411848,"486,174,061.65",32246
"20-Dec-2021","EQ","1,180.50","1,192.00","1,146.00","1,198.25","1,167.95","1,164.55","1,165.72","1,356.90","768.40",556369,"648,572,229.05",38279
"17-Dec-2021","EQ","1,218.00","1,219.85","1,174.50","1,217.80","1,197.30","1,198.25","1,194.64","1,356.90","768.40",709756,"847,903,187.40",28193
"16-Dec-2021","EQ","1,220.00","1,227.50","1,208.50","1,211.75","1,220.60","1,217.80","1,216.35","1,356.90","768.40",270117,"328,556,560.05",22372
