"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","13.50","13.60","13.20","13.35","13.30","13.30","13.38","17.45","10.50",82299006,"1,101,416,744.90",100403
"28-Jan-2022","EQ","13.55","13.80","13.30","13.55","13.40","13.35","13.52","17.50","10.50",81562705,"1,102,521,487.25",86513
"27-Jan-2022","EQ","13.50","13.65","13.35","13.60","13.50","13.55","13.47","17.50","10.50",95789692,"1,290,678,097.15",112147
"25-Jan-2022","EQ","13.35","13.80","13.25","13.45","13.65","13.60","13.55","17.50","10.50",98939782,"1,340,947,084.70",97228
"24-Jan-2022","EQ","14.20","14.20","13.40","13.75","13.45","13.45","13.69","17.50","10.50",200908635,"2,750,034,875.00",171500
"21-Jan-2022","EQ","13.85","13.85","13.60","13.80","13.85","13.75","13.76","18.10","10.50",67086949,"922,802,683.75",99992
"20-Jan-2022","EQ","13.80","14.00","13.75","13.80","13.85","13.80","13.86","18.10","10.50",54861059,"760,595,803.50",103196
"19-Jan-2022","EQ","13.90","13.90","13.70","13.80","13.85","13.80","13.80","18.10","10.50",79519938,"1,097,094,891.45",101279
"18-Jan-2022","EQ","14.10","14.15","13.70","14.10","13.85","13.80","13.94","18.10","10.50",98757385,"1,376,201,338.05",126320
"17-Jan-2022","EQ","14.10","14.20","14.00","14.05","14.05","14.10","14.10","18.10","10.50",46460460,"655,235,916.20",129598
"14-Jan-2022","EQ","13.95","14.15","13.85","14.00","14.10","14.05","14.02","18.55","10.50",76620802,"1,074,473,112.95",117750
"13-Jan-2022","EQ","13.85","14.20","13.60","13.75","14.00","14.00","13.91","18.55","10.50",132643682,"1,845,325,713.30",121464
"12-Jan-2022","EQ","13.95","14.00","13.70","13.90","13.80","13.75","13.84","18.55","10.50",70742108,"979,371,752.45",137323
"11-Jan-2022","EQ","14.10","14.20","13.80","14.00","13.85","13.90","13.97","18.55","10.50",108029504,"1,509,461,141.45",178157
"10-Jan-2022","EQ","13.95","14.25","13.90","13.95","14.05","14.00","14.04","18.55","10.50",85450112,"1,199,789,784.40",132624
"07-Jan-2022","EQ","14.30","14.55","13.45","14.25","13.90","13.95","14.04","18.60","10.50",163782823,"2,298,834,536.20",140209
"06-Jan-2022","EQ","14.25","14.45","14.10","14.50","14.20","14.25","14.27","18.60","10.50",125481711,"1,790,063,301.85",117685
"05-Jan-2022","EQ","14.55","14.95","14.40","14.50","14.45","14.50","14.67","18.60","10.50",312373031,"4,582,842,010.85",196344
"04-Jan-2022","EQ","14.10","14.65","14.05","14.05","14.55","14.50","14.43","18.60","10.50",239478313,"3,454,780,160.40",149845
"03-Jan-2022","EQ","13.70","14.40","13.65","13.70","14.05","14.05","14.11","18.60","10.50",233646824,"3,297,536,778.15",170997
"31-Dec-2021","EQ","13.65","13.90","13.60","13.55","13.65","13.70","13.72","18.60","10.50",72947892,"1,001,134,221.65",115550
"30-Dec-2021","EQ","13.90","13.95","13.50","13.90","13.65","13.55","13.69","18.60","10.50",77192964,"1,056,768,784.95",101825
"29-Dec-2021","EQ","13.50","14.15","13.45","13.45","13.90","13.90","13.80","18.60","10.50",125963208,"1,738,642,836.20",115581
"28-Dec-2021","EQ","13.25","13.60","13.20","13.20","13.55","13.45","13.41","18.60","10.50",97031374,"1,300,875,134.60",106614
"27-Dec-2021","EQ","13.15","13.45","13.05","13.25","13.20","13.20","13.24","18.60","10.50",62329124,"825,411,837.05",100485
"24-Dec-2021","EQ","13.60","13.65","13.15","13.55","13.30","13.25","13.31","19.00","10.50",84988162,"1,131,224,141.90",85577
"23-Dec-2021","EQ","13.80","13.85","13.50","13.65","13.50","13.55","13.65","19.00","10.50",71313187,"973,189,359.40",96293
"22-Dec-2021","EQ","13.20","13.70","13.15","13.00","13.70","13.65","13.46","19.00","10.50",131722111,"1,772,733,347.75",112164
"21-Dec-2021","EQ","13.05","13.25","12.85","12.75","13.05","13.00","13.06","19.00","10.50",82841162,"1,081,917,145.55",96932
