Date,Open,High,Low,Close,Adj Close,Volume
2018-01-31,17277.000000,17522.150391,17150.000000,17206.300781,16972.710938,17037
2018-02-01,17335.000000,17554.949219,17184.199219,17453.050781,17216.113281,20836
2018-02-02,17453.050781,17453.050781,16684.449219,17038.400391,16807.091797,22005
2018-02-05,17200.000000,17200.000000,16406.449219,16635.650391,16409.806641,49055
2018-02-06,16177.599609,17099.000000,15652.150391,16517.800781,16293.560547,61641
2018-02-07,16850.000000,17225.050781,16534.550781,16996.550781,16765.806641,21469
2018-02-08,16811.000000,17179.949219,16800.000000,17005.050781,16774.193359,16094
2018-02-09,16800.000000,17139.949219,16704.250000,17041.449219,16810.097656,16017
2018-02-12,17200.000000,17250.000000,16840.000000,16953.349609,16723.197266,14916
2018-02-14,16950.000000,17127.199219,16624.199219,16813.150391,16584.898438,6148
2018-02-15,16900.000000,17590.000000,16850.050781,17356.699219,17121.068359,17940
2018-02-16,17500.000000,17611.000000,16920.550781,16976.599609,16746.128906,12749
2018-02-19,17089.000000,17195.849609,16601.000000,16766.849609,16539.228516,8740
2018-02-20,16940.000000,17025.000000,16664.199219,16930.849609,16701.001953,12263
2018-02-21,17030.000000,17084.699219,16872.050781,17004.500000,16773.652344,5665
2018-02-22,17009.500000,17101.199219,16602.199219,16729.550781,16502.435547,13109
2018-02-23,16842.500000,17344.000000,16746.949219,17219.500000,16985.732422,14677
2018-02-26,17201.000000,17397.400391,16932.099609,16988.400391,16757.769531,12913
2018-02-27,16999.099609,17240.050781,16650.000000,16859.900391,16631.015625,29919
2018-02-28,16979.900391,16979.900391,16532.099609,16623.449219,16397.775391,16897
2018-03-01,16600.000000,16850.000000,16538.900391,16595.349609,16370.054688,8558
2018-03-05,16680.000000,16750.000000,16192.049805,16626.099609,16400.386719,20686
2018-03-06,16690.000000,16998.750000,16599.599609,16645.900391,16419.919922,9289
2018-03-07,16600.000000,16600.000000,15960.099609,16180.099609,15960.442383,17810
2018-03-08,16327.299805,16469.750000,15985.099609,16098.700195,15880.147461,11480
2018-03-09,16272.299805,16272.299805,15920.000000,16000.750000,15783.526367,25369
2018-03-12,16172.000000,16272.250000,15937.900391,16151.500000,15932.230469,17193
2018-03-13,16025.000000,16870.000000,16025.000000,16795.550781,16567.537109,17535
2018-03-14,16527.599609,17019.250000,16527.599609,16970.099609,16739.716797,11443
2018-03-15,16950.000000,17220.000000,16691.349609,16815.650391,16587.363281,8378
2018-03-16,16715.650391,17066.949219,16274.950195,16424.400391,16201.427734,33975
2018-03-19,16579.000000,16653.449219,15950.000000,16015.500000,15798.078125,24406
2018-03-20,16000.000000,16525.000000,16000.000000,16423.750000,16200.785156,12523
2018-03-21,16450.000000,16698.500000,15957.799805,16117.549805,15898.742188,58927
2018-03-22,16061.000000,16600.000000,16061.000000,16354.450195,16132.427734,21361
2018-03-23,15860.049805,16479.949219,15860.049805,16039.299805,15821.553711,28295
2018-03-26,16199.950195,16345.000000,15940.000000,16273.450195,16052.527344,27268
2018-03-27,16300.000000,16423.699219,16016.799805,16094.700195,15876.203125,38497
2018-03-28,16030.000000,16329.849609,15940.500000,16196.450195,15976.570313,52620
2018-04-02,16200.000000,16484.000000,16039.500000,16410.250000,16187.468750,42960
2018-04-03,16400.000000,16745.000000,16300.250000,16644.000000,16418.044922,14654
2018-04-04,16662.000000,16787.949219,16211.000000,16318.049805,16096.519531,28319
2018-04-05,16460.000000,16777.949219,16325.099609,16689.300781,16462.730469,18397
2018-04-06,17000.000000,17172.199219,16690.150391,17057.949219,16826.375000,14276
2018-04-09,16945.000000,17387.349609,16945.000000,17086.349609,16854.390625,11224
2018-04-10,17249.000000,17249.000000,16870.050781,16996.150391,16765.416016,14209
2018-04-11,16938.650391,16993.000000,16752.050781,16909.699219,16680.134766,10279
2018-04-12,16826.000000,16969.199219,16666.050781,16943.349609,16713.330078,7469
2018-04-13,17098.000000,17098.000000,16811.449219,16923.400391,16693.652344,13088
2018-04-16,16800.000000,17195.449219,16752.050781,16968.300781,16737.941406,7883
2018-04-17,17140.000000,17224.949219,16850.000000,16977.199219,16746.720703,18512
