,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,"1,159.25","1,198.95","1,143.30","1,159.25","1,164.00","1,164.30","1,165.06","1,365.90",668.0,543192,"632,851,747.95",17259,1164.3,
1,02-Feb-2021,EQ,"1,175.10","1,187.40","1,153.00","1,164.30","1,179.90","1,181.55","1,172.90","1,365.90",668.0,305988,"358,894,776.00",14873,1181.55,0.014707087774472605
2,03-Feb-2021,EQ,"1,185.00","1,206.95","1,175.20","1,181.55","1,194.95","1,188.10","1,189.78","1,365.90",668.0,701852,"835,052,835.25",16724,1188.1,0.005528256646798901
3,04-Feb-2021,EQ,"1,189.00","1,211.70","1,185.00","1,188.10","1,187.95","1,194.15","1,202.48","1,365.90",668.0,425706,"511,904,086.00",11519,1194.15,0.005079242738455392
4,05-Feb-2021,EQ,"1,192.00","1,198.00","1,175.10","1,194.15","1,192.00","1,190.45","1,186.92","1,365.90",668.0,183614,"217,935,318.70",9275,1190.45,-0.003103248317786189
5,08-Feb-2021,EQ,"1,189.50","1,220.00","1,183.50","1,190.45","1,188.30","1,191.70","1,204.56","1,365.90",668.0,251819,"303,331,636.00",13944,1191.7,0.001049472211849256
6,09-Feb-2021,EQ,"1,197.30","1,245.00","1,072.55","1,191.70","1,238.10","1,234.65","1,216.80","1,365.90",668.0,744345,"905,721,886.65",32829,1234.65,0.03540666999000219
7,10-Feb-2021,EQ,"1,241.10","1,241.10","1,200.00","1,234.65","1,204.00","1,203.25","1,213.95","1,365.90",668.0,215327,"261,395,827.10",14748,1203.25,-0.02576129990354392
8,11-Feb-2021,EQ,"1,206.85","1,218.25","1,193.00","1,203.25","1,204.50","1,209.20","1,206.43","1,365.90",668.0,231980,"279,866,904.45",13420,1209.2,0.004932754722084098
9,12-Feb-2021,EQ,"1,211.95","1,237.00","1,205.00","1,209.20","1,210.05","1,214.15","1,222.38","1,365.90",668.0,322784,"394,563,433.80",15985,1214.15,0.004085259565769661
10,15-Feb-2021,EQ,"1,220.05","1,235.00","1,209.85","1,214.15","1,215.00","1,215.95","1,218.62","1,365.90",668.0,263350,"320,924,312.95",12943,1215.95,0.0014814207886022501
11,16-Feb-2021,EQ,"1,221.95","1,230.70","1,208.00","1,215.95","1,229.00","1,227.90","1,219.38","1,365.90",668.0,260347,"317,461,662.95",12496,1227.9,0.009779728906792684
12,17-Feb-2021,EQ,"1,228.90","1,259.40","1,220.75","1,227.90","1,233.00","1,232.25","1,243.19","1,365.90",668.0,444083,"552,081,449.90",21941,1232.25,0.0035363734190196894
13,18-Feb-2021,EQ,"1,242.75","1,242.75","1,219.20","1,232.25","1,228.00","1,229.20","1,230.83","1,365.90",668.0,255090,"313,972,387.45",9307,1229.2,-0.002478215329157152
14,19-Feb-2021,EQ,"1,234.30","1,239.90","1,176.80","1,229.20","1,185.95","1,187.90","1,210.58","1,365.90",668.0,310371,"375,730,189.75",14738,1187.9,-0.03417650896083568
15,22-Feb-2021,EQ,"1,197.05","1,235.00","1,183.05","1,187.90","1,218.00","1,222.35","1,210.77","1,365.90",668.0,442412,"535,659,915.70",18024,1222.35,0.02858819313884453
16,23-Feb-2021,EQ,"1,230.30","1,251.45","1,218.00","1,222.35","1,244.00","1,241.50","1,234.71","1,365.90",668.0,272911,"336,965,311.10",13075,1241.5,0.015545090513882975
17,24-Feb-2021,EQ,"1,246.00","1,246.75","1,200.30","1,241.50","1,232.00","1,230.55","1,233.33","1,365.90",668.0,74088,"91,375,209.60",3785,1230.55,-0.008859102053982326
18,25-Feb-2021,EQ,"1,238.00","1,243.00","1,220.45","1,230.55","1,232.05","1,235.65","1,232.94","1,365.90",668.0,197379,"243,356,133.35",7666,1235.65,0.004135923501735306
19,26-Feb-2021,EQ,"1,228.00","1,239.00","1,212.65","1,235.65","1,236.00","1,235.00","1,228.13","1,365.90",668.0,255356,"313,610,547.20",12350,1235.0,-0.0005261773338967046
20,01-Mar-2021,EQ,"1,236.00","1,279.35","1,226.75","1,235.00","1,272.50","1,269.15","1,256.60","1,365.90",668.0,342259,"430,082,202.05",14912,1269.15,0.027276414976541652
21,02-Mar-2021,EQ,"1,288.00","1,309.35","1,275.60","1,269.15","1,297.30","1,293.05","1,294.30","1,365.90",668.0,594403,"769,335,000.25",21038,1293.05,0.018656383745829785
22,03-Mar-2021,EQ,"1,305.00","1,310.40","1,295.10","1,293.05","1,300.00","1,300.75","1,300.69","1,365.90",668.0,283821,"369,163,138.50",10713,1300.75,0.005937252385963099
23,04-Mar-2021,EQ,"1,285.00","1,335.00","1,280.25","1,300.75","1,290.00","1,291.95","1,313.50","1,365.90",668.0,490759,"644,613,821.00",22705,1291.95,-0.006788316267120287
24,05-Mar-2021,EQ,"1,291.00","1,298.00","1,240.40","1,291.95","1,262.00","1,257.70","1,274.43","1,365.90",668.0,186136,"237,217,202.75",12996,1257.7,-0.026868048850182014
25,08-Mar-2021,EQ,"1,266.80","1,282.50","1,251.25","1,257.70","1,252.50","1,258.85","1,270.53","1,365.90",668.0,110343,"140,193,743.70",7466,1258.85,0.0009139497169137201
26,09-Mar-2021,EQ,"1,261.15","1,269.95","1,239.70","1,258.85","1,256.40","1,261.85","1,253.69","1,365.90",668.0,212885,"266,890,853.35",9363,1261.85,0.00238029231280823
27,10-Mar-2021,EQ,"1,264.90","1,280.00","1,260.00","1,261.85","1,279.00","1,276.25","1,269.02","1,365.90",668.0,168918,"214,360,685.75",5243,1276.25,0.011347192396042871
