,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,81.2,86.5,79.7,80.8,86.15,85.9,83.14,98.9,37.35,2710730,"225,382,039.05",15216,85.9,
1,02-Feb-2021,EQ,86.5,87.5,83.8,85.9,85.15,84.75,84.96,98.9,37.35,3655563,"310,567,455.50",16196,84.75,-0.013478082729649898
2,03-Feb-2021,EQ,85.6,90.3,84.4,84.75,89.6,89.45,87.97,98.9,37.35,4112369,"361,761,026.20",20270,89.45,0.05397406369416835
3,04-Feb-2021,EQ,89.45,91.5,87.55,89.45,90.2,90.4,89.98,98.9,37.35,3877014,"348,838,416.10",19723,90.4,0.01056445744340273
4,05-Feb-2021,EQ,91.0,91.9,89.4,90.4,89.5,90.15,90.88,98.9,37.35,3654733,"332,149,451.80",17086,90.15,-0.002769317748804845
5,08-Feb-2021,EQ,91.55,92.7,88.7,90.15,91.9,91.9,91.16,97.9,37.35,6890154,"628,122,345.30",30676,91.9,0.019226079712315602
6,09-Feb-2021,EQ,92.25,92.4,88.65,91.9,88.85,89.15,90.08,97.9,37.35,2739403,"246,757,658.20",14389,89.15,-0.03038068505249214
7,10-Feb-2021,EQ,89.1,90.85,88.65,89.15,88.9,89.3,89.67,97.9,37.35,2128773,"190,882,626.80",13371,89.3,0.001681143573303956
8,11-Feb-2021,EQ,89.3,90.3,88.6,89.3,89.3,89.05,89.32,97.9,37.35,1720424,"153,670,561.75",7957,89.05,-0.002803478146782723
9,12-Feb-2021,EQ,89.35,89.7,88.15,89.05,88.55,88.7,88.95,97.9,37.35,1305619,"116,132,736.05",7517,88.7,-0.003938120420136748
10,15-Feb-2021,EQ,89.95,95.0,89.6,88.7,93.75,94.1,93.43,97.9,37.35,13155903,"1,229,093,134.35",55387,94.1,0.059098157275800034
11,16-Feb-2021,EQ,94.8,101.85,94.45,94.1,98.0,97.75,98.04,101.85,37.35,19806981,"1,941,879,904.00",97860,97.75,0.0380551522741408
12,17-Feb-2021,EQ,97.75,104.8,97.35,97.75,104.15,104.05,101.4,104.8,37.35,13781651,"1,397,450,058.30",63685,104.05,0.062458353974168546
13,18-Feb-2021,EQ,105.5,107.6,102.4,104.05,103.55,104.1,105.1,107.6,37.35,10635411,"1,117,822,511.35",56574,104.1,0.000480422781279799
14,19-Feb-2021,EQ,103.5,104.65,96.1,104.1,98.95,98.65,100.2,107.6,37.35,7567849,"758,298,895.70",39209,98.65,-0.053773743152299325
15,22-Feb-2021,EQ,98.5,110.25,98.5,98.65,105.75,106.15,106.47,110.25,37.35,26430475,"2,814,095,198.50",122622,106.15,0.07327495568064091
16,23-Feb-2021,EQ,107.0,113.9,105.3,106.15,113.0,112.8,110.88,113.9,37.35,16631461,"1,844,120,718.40",90698,112.8,0.06076315091469375
17,24-Feb-2021,EQ,113.65,124.9,112.85,112.8,124.65,122.35,118.72,124.9,37.35,17590947,"2,088,441,433.45",96174,122.35,0.08126945082472226
18,25-Feb-2021,EQ,125.25,127.35,118.35,122.35,120.9,120.8,123.07,127.35,37.35,13709277,"1,687,179,488.95",66765,120.8,-0.012749504387966404
19,26-Feb-2021,EQ,117.5,125.45,114.95,120.8,123.0,123.65,120.8,127.35,37.35,13262514,"1,602,094,868.45",65871,123.65,0.023318708466710802
20,01-Mar-2021,EQ,124.3,130.7,122.5,123.65,129.5,129.7,128.05,130.7,37.35,12882971,"1,649,715,148.80",78154,129.7,0.0477690973549727
21,02-Mar-2021,EQ,130.1,130.1,125.4,129.7,126.2,126.75,126.69,130.7,37.35,3588936,"454,668,002.90",29746,126.75,-0.023007448851105394
22,03-Mar-2021,EQ,127.4,130.9,125.25,126.75,129.2,129.65,129.25,130.9,37.35,3813453,"492,889,392.50",35182,129.65,0.02262186951338041
23,04-Mar-2021,EQ,127.9,134.9,126.35,129.65,130.0,130.65,131.46,134.9,37.35,3935421,"517,361,003.60",50859,130.65,0.0076834799819485156
24,05-Mar-2021,EQ,129.9,130.6,122.2,130.65,125.05,124.35,126.25,134.9,37.35,2670930,"337,207,386.35",19919,124.35,-0.04942182171720777
25,08-Mar-2021,EQ,126.0,133.0,124.5,124.35,132.2,131.25,129.42,134.9,37.35,3894234,"503,973,858.75",25073,131.25,0.05400373122231894
26,09-Mar-2021,EQ,134.9,139.7,131.65,131.25,133.75,134.3,136.21,139.7,37.35,9577378,"1,304,532,534.80",67422,134.3,0.02297220205745898
27,10-Mar-2021,EQ,135.55,137.0,132.5,134.3,133.8,134.35,134.52,139.7,37.35,2776312,"373,476,303.55",23390,134.35,0.0003722315323084757
28,12-Mar-2021,EQ,134.8,135.2,128.5,134.35,130.65,131.3,131.71,139.7,37.35,2937746,"386,938,462.40",26356,131.3,-0.022963553752749277
29,15-Mar-2021,EQ,132.0,132.15,125.0,131.3,127.5,127.9,127.28,139.7,37.35,2963954,"377,263,428.20",20699,127.9,-0.026236072723953896
30,16-Mar-2021,EQ,128.8,132.7,126.95,127.9,128.0,128.35,129.5,139.7,37.35,4777558,"618,703,338.25",28598,128.35,0.00351219873235209
31,17-Mar-2021,EQ,131.2,134.9,124.5,128.35,126.4,125.75,129.78,139.7,37.35,4256074,"552,358,082.45",33961,125.75,-0.020465098337300702
32,18-Mar-2021,EQ,128.7,130.5,121.55,125.75,125.75,124.6,126.05,139.7,37.35,3157114,"397,947,837.95",30066,124.6,-0.00918720262649586
33,19-Mar-2021,EQ,122.4,123.65,115.55,124.6,120.75,120.8,120.15,139.7,37.35,3895703,"468,085,745.40",31511,120.8,-0.030972320852638013
34,22-Mar-2021,EQ,120.8,122.6,119.05,120.8,121.25,120.8,120.71,139.7,37.35,2094161,"252,776,874.90",15775,120.8,0.0
35,23-Mar-2021,EQ,121.45,123.95,120.9,120.8,122.9,122.7,122.13,139.7,37.35,2129656,"260,097,987.35",15816,122.7,0.015606066216150793
36,24-Mar-2021,EQ,120.7,122.75,115.0,122.7,116.6,115.9,118.77,139.7,37.35,2419900,"287,408,050.20",23042,115.9,-0.05701460137115966
37,25-Mar-2021,EQ,116.85,120.25,112.5,115.9,118.25,117.95,116.56,139.7,37.35,4392651,"511,997,409.75",28860,117.95,0.017533055507978013
38,26-Mar-2021,EQ,119.0,124.7,117.0,117.95,122.0,122.95,120.76,139.7,37.35,3692542,"445,901,739.95",36990,122.95,0.04151696280851791
39,30-Mar-2021,EQ,124.0,124.2,118.5,122.95,119.0,119.05,120.51,139.7,41.05,2745079,"330,819,468.30",23292,119.05,-0.03223419572932951
40,31-Mar-2021,EQ,118.95,121.5,117.35,119.05,119.4,119.3,119.49,139.7,41.05,2184409,"261,014,208.75",15566,119.3,0.002097756170997833
41,01-Apr-2021,EQ,120.05,123.0,120.05,119.3,121.5,121.55,121.4,139.7,41.05,2429443,"294,936,029.60",26945,121.55,0.018684371658262755
42,05-Apr-2021,EQ,120.9,122.8,117.1,121.55,120.4,120.15,119.24,139.7,41.2,2769642,"330,242,113.70",25719,120.15,-0.011584738579654363
43,06-Apr-2021,EQ,120.5,122.65,118.5,120.15,119.5,119.35,120.3,139.7,41.2,2192623,"263,781,873.10",22367,119.35,-0.006680609397639259
44,07-Apr-2021,EQ,119.7,131.4,119.7,119.35,127.4,127.65,127.0,139.7,41.2,11270173,"1,431,303,549.30",74364,127.65,0.06723179090265408
45,08-Apr-2021,EQ,129.0,130.8,125.55,127.65,127.3,127.8,128.69,139.7,41.2,4031328,"518,805,561.00",31037,127.8,0.0011743982559409005
46,09-Apr-2021,EQ,127.8,127.8,124.05,127.8,125.15,125.25,125.7,139.7,41.2,2159283,"271,413,688.45",16598,125.25,-0.020154801978460313
47,12-Apr-2021,EQ,120.5,120.95,112.8,125.25,113.15,113.5,116.04,139.7,41.2,4777532,"554,403,099.35",49601,113.5,-0.09850890304351623
48,13-Apr-2021,EQ,114.0,118.0,113.1,113.5,116.1,116.1,115.98,139.7,41.2,2685449,"311,456,717.65",27061,116.1,0.02264905178238852
49,15-Apr-2021,EQ,121.0,123.4,117.35,116.1,119.05,119.65,120.1,139.7,41.2,7443237,"893,939,911.60",59539,119.65,0.030118925650536532
50,16-Apr-2021,EQ,119.05,121.95,117.6,119.65,120.25,120.1,119.9,139.7,41.2,3856253,"462,354,123.25",27286,120.1,0.0037539147315550636
51,19-Apr-2021,EQ,116.0,116.8,113.3,120.1,115.15,115.55,115.02,139.7,41.2,2847571,"327,530,516.20",21164,115.55,-0.03862139236554807
52,20-Apr-2021,EQ,118.0,120.6,116.0,115.55,116.9,117.3,118.34,139.7,41.2,3698356,"437,654,503.90",25726,117.3,0.015031418939040364
53,22-Apr-2021,EQ,116.0,118.35,115.0,117.3,117.1,117.25,117.1,139.7,41.2,1966765,"230,308,241.90",23148,117.25,-0.0004263483330415596
54,23-Apr-2021,EQ,116.55,119.0,115.35,117.25,116.0,116.1,117.03,139.7,41.2,1608146,"188,208,245.30",15719,116.1,-0.009856518622542332
55,26-Apr-2021,EQ,117.2,117.8,112.5,116.1,112.9,113.05,114.59,139.7,41.2,3284687,"376,393,899.35",19661,113.05,-0.02662168997986747
56,27-Apr-2021,EQ,113.9,121.6,113.5,113.05,117.8,118.45,118.02,139.7,41.2,5325076,"628,454,627.75",33970,118.45,0.046660731880815653
57,28-Apr-2021,EQ,119.35,120.6,117.15,118.45,118.1,118.5,119.24,139.7,41.2,2348655,"280,059,527.45",15802,118.5,0.0004220299703918684
