,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,510.50,539.50,496.90,506.65,539.50,537.20,520.04,552.95,116.4,4004036,"2,082,255,995.95",47536,537.2,
1,02-Feb-2021,EQ,542.05,566.90,540.80,537.20,563.40,564.20,554.82,566.90,116.4,5144708,"2,854,394,171.15",59813,564.2,0.04903833391881385
2,03-Feb-2021,EQ,568.00,576.60,558.35,564.20,563.90,566.60,568.07,576.60,116.4,6087209,"3,457,949,523.65",72204,566.6,0.004244788828519752
3,04-Feb-2021,EQ,561.95,611.70,556.00,566.60,590.00,589.70,593.78,611.70,116.4,11184167,"6,640,924,055.95",131091,589.7,0.03996034561004258
4,05-Feb-2021,EQ,595.00,607.85,588.60,589.70,599.00,595.35,597.53,611.70,116.4,4754950,"2,841,245,975.95",61829,595.35,0.009535534890725117
5,08-Feb-2021,EQ,605.40,638.00,603.55,595.35,629.80,628.30,626.70,638.00,116.4,7085276,"4,440,356,614.00",98888,628.3,0.05386829151171746
6,09-Feb-2021,EQ,631.45,641.90,621.00,628.30,633.05,629.85,631.69,641.90,116.4,4510798,"2,849,410,333.65",58734,629.85,0.0024639363894110033
7,10-Feb-2021,EQ,633.05,654.90,622.10,629.85,654.00,650.70,641.02,654.90,116.4,5991927,"3,840,939,886.20",71564,650.7,0.032567010702626575
8,11-Feb-2021,EQ,654.00,661.00,645.35,650.70,657.00,658.60,652.55,661.00,116.4,3688016,"2,406,630,650.80",58679,658.6,0.012067663441325038
9,12-Feb-2021,EQ,657.00,724.45,655.20,658.60,711.25,718.95,697.58,724.45,116.4,16810897,"11,727,010,506.05",213711,718.95,0.08767544433148622
10,15-Feb-2021,EQ,725.00,787.95,707.65,718.95,754.10,763.45,755.68,787.95,116.4,21579566,"16,307,354,157.40",309592,763.45,0.06005582035577017
11,16-Feb-2021,EQ,760.00,802.95,756.25,763.45,783.00,780.20,785.36,802.95,116.4,19426061,"15,256,376,183.00",265192,780.2,0.02170266244303587
12,17-Feb-2021,EQ,787.15,802.00,782.25,780.20,785.00,785.45,791.11,802.95,116.4,8908279,"7,047,429,712.15",127468,785.45,0.006706504873392305
13,18-Feb-2021,EQ,787.25,824.50,786.00,785.45,813.00,808.20,805.77,824.50,116.4,9694238,"7,811,318,246.75",118120,808.2,0.028552750698424667
14,19-Feb-2021,EQ,813.00,831.00,729.50,808.20,785.50,781.90,787.61,831.00,116.4,20210882,"15,918,309,982.20",264125,781.9,-0.03308269751390469
15,22-Feb-2021,EQ,786.00,813.00,780.55,781.90,806.00,805.90,796.64,831.00,116.4,10890564,"8,675,908,873.90",141428,805.9,0.030232810199997573
16,23-Feb-2021,EQ,814.80,827.30,789.00,805.90,797.25,799.65,807.70,831.00,116.4,9753081,"7,877,592,871.50",147152,799.65,-0.007785533393586341
17,24-Feb-2021,EQ,806.00,812.05,795.45,799.65,805.95,805.20,803.79,831.00,116.4,4626257,"3,718,554,852.90",51155,805.2,0.006916561828756329
18,25-Feb-2021,EQ,814.00,862.40,809.00,805.20,845.80,843.50,837.00,862.40,116.4,12118095,"10,142,786,788.05",149215,843.5,0.046469208220386804
19,26-Feb-2021,EQ,833.90,861.00,819.85,843.50,833.85,833.65,840.20,862.40,116.4,11355426,"9,540,787,952.05",145986,833.65,-0.011746251979555034
20,01-Mar-2021,EQ,840.75,860.95,836.45,833.65,850.00,851.50,849.28,862.40,116.4,5996840,"5,092,999,166.40",77419,851.5,0.02118585009627516
21,02-Mar-2021,EQ,857.40,876.50,852.25,851.50,869.70,872.55,862.74,876.50,116.4,5116413,"4,414,123,931.55",64705,872.55,0.024420458922136845
22,03-Mar-2021,EQ,880.45,944.90,872.85,872.55,916.00,915.35,910.94,944.90,116.4,11670544,"10,631,112,570.40",162581,915.35,0.0478865467721441
23,04-Mar-2021,EQ,910.00,938.70,905.40,915.35,917.00,918.40,924.59,944.90,116.4,8141787,"7,527,816,501.30",111078,918.4,0.0033265197682776915
24,05-Mar-2021,EQ,918.00,934.00,888.30,918.40,911.20,909.90,912.32,944.90,116.4,7109101,"6,485,799,938.70",103409,909.9,-0.009298322202656806
25,08-Mar-2021,EQ,918.10,926.40,905.10,909.90,908.90,910.20,914.76,944.90,116.4,3904469,"3,571,648,086.85",63631,910.2,0.000329652219896559
26,09-Mar-2021,EQ,918.00,928.40,893.60,910.20,900.90,905.20,911.92,944.90,116.4,5561849,"5,071,976,202.35",79060,905.2,-0.005508441823159238
27,10-Mar-2021,EQ,911.00,914.10,888.70,905.20,895.05,898.15,901.15,944.90,116.4,5465016,"4,924,790,824.15",72031,898.15,-0.007818821544537613
28,12-Mar-2021,EQ,905.00,923.80,889.30,898.15,892.00,894.10,908.20,944.90,116.4,6049852,"5,494,453,914.10",83542,894.1,-0.004519466473571931
29,15-Mar-2021,EQ,898.75,904.00,874.50,894.10,894.25,896.20,892.85,944.90,116.4,5235064,"4,674,145,955.35",72245,896.2,0.002345976610770073
30,16-Mar-2021,EQ,900.70,904.40,888.05,896.20,898.00,897.80,896.66,944.90,116.4,2555026,"2,290,990,755.95",38728,897.8,0.0017837239957891882
31,17-Mar-2021,EQ,898.00,905.40,865.00,897.80,866.25,873.90,885.28,944.90,116.4,3886557,"3,440,710,243.75",55924,873.9,-0.0269813737143334
32,18-Mar-2021,EQ,876.00,891.00,857.75,873.90,874.80,871.05,877.32,944.90,116.4,4465851,"3,917,986,686.50",56225,871.05,-0.003266572147329505
33,19-Mar-2021,EQ,866.00,895.40,840.20,871.05,885.50,889.65,870.63,944.90,116.4,4794995,"4,174,660,013.65",63473,889.65,0.021128746466676063
34,22-Mar-2021,EQ,892.90,"1,003.00",883.45,889.65,992.50,991.05,965.79,"1,003.00",116.4,22596465,"21,823,390,368.20",314562,991.05,0.10793686019115967
35,23-Mar-2021,EQ,999.00,"1,086.70",991.05,991.05,"1,060.00","1,058.40","1,057.72","1,086.70",116.4,31098225,"32,893,205,021.80",508458,1058.4,0.06574862565674167
36,24-Mar-2021,EQ,"1,063.00","1,093.00","1,018.40","1,058.40","1,020.35","1,025.45","1,060.20","1,093.00",116.4,22877032,"24,254,123,461.00",381907,1025.45,-0.03162679318100459
37,25-Mar-2021,EQ,"1,032.95","1,041.45",977.00,"1,025.45",981.00,981.55,"1,000.27","1,093.00",116.4,13139164,"13,142,770,606.45",213722,981.55,-0.043753864765699646
38,26-Mar-2021,EQ,"1,000.00","1,018.45",978.00,981.55,989.30,988.30,992.42,"1,093.00",116.4,9396506,"9,325,246,626.15",128071,988.3,0.006853340528095941
39,30-Mar-2021,EQ,"1,004.00","1,042.45",988.00,988.30,"1,039.90","1,031.55","1,021.02","1,093.00",121.0,10470731,"10,690,838,701.70",144844,1031.55,0.04283150905181632
40,31-Mar-2021,EQ,"1,038.00","1,053.15","1,016.60","1,031.55","1,031.00","1,031.15","1,033.79","1,093.00",121.0,6440569,"6,658,170,701.65",101244,1031.15,-0.0003878411838984519
41,01-Apr-2021,EQ,"1,043.40","1,116.05","1,035.00","1,031.15","1,104.65","1,107.20","1,082.05","1,116.05",121.0,12713083,"13,756,203,233.75",216541,1107.2,0.07115962161334899
42,05-Apr-2021,EQ,"1,127.00","1,150.00","1,098.85","1,107.20","1,141.00","1,138.25","1,127.43","1,150.00",127.3,15795720,"17,808,563,575.15",298644,1138.25,0.027657689351486603
43,06-Apr-2021,EQ,"1,153.40","1,241.00","1,142.50","1,138.25","1,222.60","1,225.40","1,203.66","1,241.00",127.3,21496457,"25,874,426,150.45",357142,1225.4,0.07377532607666293
44,07-Apr-2021,EQ,"1,233.40","1,251.60","1,108.00","1,225.40","1,157.90","1,165.55","1,182.19","1,251.60",127.3,23007694,"27,199,396,143.70",456576,1165.55,-0.05007424269302341
45,08-Apr-2021,EQ,"1,162.50","1,191.00","1,137.75","1,165.55","1,159.95","1,162.50","1,168.28","1,251.60",127.3,12404773,"14,492,274,683.75",255744,1162.5,-0.002620220137020013
46,09-Apr-2021,EQ,"1,163.40","1,228.00","1,151.20","1,162.50","1,202.30","1,201.40","1,196.78","1,251.60",127.3,12923020,"15,466,062,151.20",264400,1201.4,0.032914684954549855
47,12-Apr-2021,EQ,"1,177.40","1,177.40","1,061.40","1,201.40","1,068.00","1,074.40","1,104.57","1,251.60",127.3,13690016,"15,121,531,594.65",290601,1074.4,-0.1117251772070329
48,13-Apr-2021,EQ,"1,077.00","1,116.30","1,051.05","1,074.40","1,102.00","1,106.35","1,091.81","1,251.60",127.3,12137329,"13,251,645,770.75",257690,1106.35,0.02930394250791224
49,15-Apr-2021,EQ,"1,095.00","1,144.90","1,081.35","1,106.35","1,124.00","1,129.95","1,118.21","1,251.60",127.3,9350889,"10,456,249,678.55",187596,1129.95,0.02110707522287303
50,16-Apr-2021,EQ,"1,130.00","1,192.00","1,112.00","1,129.95","1,156.40","1,159.00","1,163.18","1,251.60",127.3,10661068,"12,400,729,514.50",196992,1159.0,0.025384180399938394
51,19-Apr-2021,EQ,"1,100.00","1,153.00","1,089.00","1,159.00","1,134.00","1,136.35","1,130.34","1,251.60",127.3,8565063,"9,681,415,520.05",155220,1136.35,-0.019736192919729945
52,20-Apr-2021,EQ,"1,156.85","1,177.70","1,125.05","1,136.35","1,137.00","1,142.75","1,154.98","1,251.60",127.3,8261172,"9,541,523,064.10",143251,1142.75,0.005616266791832025
53,22-Apr-2021,EQ,"1,134.00","1,169.00","1,123.00","1,142.75","1,156.15","1,157.80","1,150.53","1,251.60",127.3,7124786,"8,197,248,687.35",118109,1157.8,0.013084014433050406
