,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,514.3,545.45,500.1,509.7,543.8,542.75,521.81,562.5,203.0,10259084,"5,353,254,917.15",144291,542.75,
1,02-Feb-2021,EQ,548.7,554.85,540.0,542.75,553.3,550.8,547.68,562.5,203.0,7160471,"3,921,659,690.50",72629,550.8,0.01472295809609836
2,03-Feb-2021,EQ,549.55,562.3,542.0,550.8,560.0,560.1,555.66,562.5,203.0,7462289,"4,146,513,325.30",73872,560.1,0.016743572361287207
3,04-Feb-2021,EQ,557.9,573.4,554.05,560.1,568.7,568.4,565.59,573.4,203.0,6850462,"3,874,550,036.00",76877,568.4,0.014710057007158994
4,05-Feb-2021,EQ,571.0,573.95,561.65,568.4,567.6,566.95,568.7,573.95,203.0,5586868,"3,177,237,232.50",65457,566.95,-0.002554279805096371
5,08-Feb-2021,EQ,572.15,594.0,571.1,566.95,583.3,582.05,583.52,594.0,203.0,8887710,"5,186,133,387.80",118318,582.05,0.026285238276400946
6,09-Feb-2021,EQ,589.65,589.8,573.2,582.05,582.2,581.95,581.89,594.0,203.0,10917915,"6,353,078,363.25",110355,581.95,-0.00017182130626469672
7,10-Feb-2021,EQ,584.75,587.0,550.5,581.95,578.4,576.85,567.22,594.0,203.0,19987392,"11,337,293,385.70",202060,576.85,-0.008802266014686921
8,11-Feb-2021,EQ,576.85,593.7,576.3,576.85,590.25,591.85,585.92,594.0,203.0,10595917,"6,208,310,908.15",98093,591.85,0.02567095702660449
9,12-Feb-2021,EQ,592.3,621.65,586.1,591.85,611.75,616.6,606.51,621.65,203.0,24953701,"15,134,677,388.95",253089,616.6,0.040967291052147026
10,15-Feb-2021,EQ,617.95,639.9,610.8,616.6,625.8,627.75,627.65,639.9,203.0,15146033,"9,506,462,378.65",184606,627.75,0.017921482585644632
11,16-Feb-2021,EQ,629.8,643.5,628.05,627.75,637.4,636.55,637.44,643.5,203.0,15120148,"9,638,125,111.15",241095,636.55,0.013920971469959298
12,17-Feb-2021,EQ,658.0,670.0,646.9,636.55,654.0,655.75,658.2,670.0,203.0,34868085,"22,950,189,490.75",469652,655.75,0.029716649239329485
13,18-Feb-2021,EQ,660.8,670.0,649.05,655.75,664.2,664.05,659.78,670.0,203.0,13189027,"8,701,891,515.10",161477,664.05,0.012577829099276627
14,19-Feb-2021,EQ,664.95,676.65,628.65,664.05,655.0,653.5,658.84,676.65,203.0,17553743,"11,565,022,396.50",219949,653.5,-0.01601491478198369
15,22-Feb-2021,EQ,658.8,678.5,649.0,653.5,672.0,673.8,665.66,678.5,203.0,16739107,"11,142,495,641.05",200480,673.8,0.030590797908176093
16,23-Feb-2021,EQ,680.0,682.7,659.25,673.8,662.0,662.0,668.7,682.7,203.0,11247164,"7,520,940,821.50",160718,662.0,-0.017667775035444144
17,24-Feb-2021,EQ,666.7,671.0,653.4,662.0,666.4,665.2,665.04,682.7,203.0,3919187,"2,606,399,185.80",57372,665.2,0.00482219138176454
18,25-Feb-2021,EQ,669.4,711.35,667.15,665.2,705.0,704.3,695.14,711.35,203.0,18596690,"12,927,221,549.30",226639,704.3,0.057116654432591396
19,26-Feb-2021,EQ,697.1,703.45,668.0,704.3,668.25,675.9,686.34,711.35,203.0,19909990,"13,665,113,847.35",220978,675.9,-0.041159265645055676
20,01-Mar-2021,EQ,684.6,704.65,673.3,675.9,697.6,692.9,688.54,711.35,203.0,11600468,"7,987,421,582.95",179958,692.9,0.024840552527026993
21,02-Mar-2021,EQ,697.6,724.7,696.0,692.9,721.25,720.5,708.76,724.7,203.0,11486477,"8,141,158,368.05",170602,720.5,0.039059726806240924
22,03-Mar-2021,EQ,732.0,754.95,723.4,720.5,733.25,729.85,739.56,754.95,203.0,19961472,"14,762,653,883.70",285506,729.85,0.012893618137010954
23,04-Mar-2021,EQ,733.25,765.7,715.85,729.85,751.55,752.45,749.5,765.7,203.0,30607959,"22,940,536,363.40",388068,752.45,0.03049551565614017
24,05-Mar-2021,EQ,752.45,761.0,730.5,752.45,749.65,748.95,748.31,765.7,203.0,17665200,"13,218,990,805.30",245042,748.95,-0.004662323617999675
25,08-Mar-2021,EQ,762.7,767.8,744.2,748.95,747.8,748.4,754.53,767.8,203.0,15286852,"11,534,418,295.50",184855,748.4,-0.0007346312147937795
26,09-Mar-2021,EQ,755.55,759.4,738.65,748.4,748.0,750.75,750.81,767.8,203.0,8548163,"6,418,030,555.95",119726,750.75,0.003135112463505507
27,10-Mar-2021,EQ,757.5,759.1,743.0,750.75,744.3,745.35,747.93,767.8,203.0,5235249,"3,915,587,538.60",80675,745.35,-0.0072188001470001595
28,12-Mar-2021,EQ,749.0,752.1,723.0,745.35,723.25,728.15,737.27,767.8,203.0,10961076,"8,081,286,368.25",145204,728.15,-0.023346835787850573
29,15-Mar-2021,EQ,727.8,727.8,706.05,728.15,714.9,719.05,714.38,767.8,203.0,13403595,"9,575,317,658.65",184280,719.05,-0.012576174596200751
30,16-Mar-2021,EQ,731.4,735.7,714.25,719.05,715.5,717.35,724.18,767.8,203.0,14979009,"10,847,522,192.50",214166,717.35,-0.0023670297879894164
31,17-Mar-2021,EQ,715.0,716.95,683.8,717.35,686.0,688.25,700.79,767.8,203.0,8151544,"5,712,508,949.20",126227,688.25,-0.04141172252168168
32,18-Mar-2021,EQ,695.0,705.5,675.4,688.25,680.9,679.65,691.5,767.8,203.0,10925357,"7,554,918,691.10",134874,679.65,-0.012574184241460173
33,19-Mar-2021,EQ,677.4,691.5,657.1,679.65,688.0,686.25,676.77,767.8,203.0,10373422,"7,020,390,129.85",114618,686.25,0.009664033042483311
34,22-Mar-2021,EQ,686.0,726.25,681.0,686.25,721.95,721.9,711.91,767.8,203.0,22864950,"16,277,832,344.00",314032,721.9,0.05064463232137495
35,23-Mar-2021,EQ,730.25,755.0,727.1,721.9,736.75,738.55,743.33,767.8,203.0,30612174,"22,754,916,019.70",390324,738.55,0.0228021793414932
36,24-Mar-2021,EQ,741.0,750.5,697.65,738.55,708.15,706.85,726.81,767.8,203.0,21213413,"15,418,114,820.30",273247,706.85,-0.04387032517356637
37,25-Mar-2021,EQ,711.0,712.35,683.15,706.85,687.6,688.25,695.13,767.8,203.0,16860086,"11,719,932,572.35",202143,688.25,-0.026666335290324916
38,26-Mar-2021,EQ,698.0,710.7,692.6,688.25,702.0,703.05,702.76,767.8,203.0,12350673,"8,679,508,164.70",156526,703.05,0.02127586901410794
39,30-Mar-2021,EQ,703.05,718.0,697.3,703.05,710.0,710.55,708.62,767.8,235.05,9109505,"6,455,144,308.35",137556,710.55,0.010611305001045679
40,31-Mar-2021,EQ,705.0,719.9,698.6,710.55,702.4,702.4,710.23,767.8,235.05,7752226,"5,505,834,129.90",105720,702.4,-0.011536275716963473
41,01-Apr-2021,EQ,713.5,742.0,705.0,702.4,733.55,736.25,725.68,767.8,235.05,15017049,"10,897,578,397.80",166679,736.25,0.04706669264488905
42,05-Apr-2021,EQ,731.75,745.0,715.0,736.25,744.0,742.25,730.14,767.8,242.75,15622924,"11,406,892,414.55",205603,742.25,0.008116378678073133
43,06-Apr-2021,EQ,756.0,852.7,743.0,742.25,849.85,835.55,800.35,852.7,242.75,64555516,"51,666,833,806.10",747062,835.55,0.11840407700552191
44,07-Apr-2021,EQ,857.0,885.0,795.0,835.55,812.45,814.75,835.16,885.0,242.75,97717880,"81,609,883,078.35",1205984,814.75,-0.025208872931720805
45,08-Apr-2021,EQ,818.0,838.0,806.0,814.75,824.0,823.0,823.05,885.0,242.75,34025873,"28,004,882,484.10",403689,823.0,0.01007488295939929
46,09-Apr-2021,EQ,824.75,837.0,817.05,823.0,822.2,823.6,827.17,885.0,242.75,21804785,"18,036,213,145.85",265700,823.6,0.0007287744765642756
47,12-Apr-2021,EQ,809.9,809.9,735.0,823.6,750.0,744.65,762.16,885.0,247.5,28112240,"21,426,097,845.55",422020,744.65,-0.10077066582175753
48,13-Apr-2021,EQ,750.0,755.75,701.35,744.65,733.1,731.05,723.89,885.0,247.5,52812517,"38,230,311,544.30",655274,731.05,-0.018432452468429616
49,15-Apr-2021,EQ,735.9,754.5,725.0,731.05,747.0,750.35,740.39,885.0,247.5,26108614,"19,330,654,007.75",335056,750.35,0.026057907478551634
50,16-Apr-2021,EQ,750.9,794.85,743.0,750.35,749.15,755.5,770.01,885.0,247.5,41791181,"32,179,440,099.40",499686,755.5,0.00684001737079587
