,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,"1,771.40","1,787.00","1,729.05","1,766.00","1,746.00","1,754.05","1,749.70","1,844.90",961.00,70845,"123,957,170.15",15026,1754.05,
1,02-Feb-2021,EQ,"1,762.05","1,790.00","1,721.45","1,754.05","1,745.00","1,747.15","1,740.83","1,844.90",961.00,250509,"436,093,111.85",17207,1747.15,-0.00394151087222383
2,03-Feb-2021,EQ,"1,798.95","1,878.00","1,756.65","1,747.15","1,810.05","1,801.65","1,836.64","1,878.00",961.00,944389,"1,734,499,378.05",46765,1801.65,0.030717022743621314
3,04-Feb-2021,EQ,"1,819.90","1,848.00","1,800.00","1,801.65","1,815.00","1,813.20","1,822.57","1,878.00",961.00,145113,"264,478,903.20",11957,1813.2,0.0063903283980843995
4,05-Feb-2021,EQ,"1,826.90","1,826.90","1,792.75","1,813.20","1,810.00","1,814.40","1,811.55","1,878.00",961.00,128480,"232,748,551.40",17674,1814.4,0.0006615944667389684
5,08-Feb-2021,EQ,"1,820.00","1,833.35","1,797.65","1,814.40","1,815.25","1,811.00","1,809.92","1,878.00",961.00,176050,"318,635,986.70",12207,1811.0,-0.0018756556500196808
6,09-Feb-2021,EQ,"1,819.95","1,829.00","1,802.60","1,811.00","1,809.75","1,807.30","1,810.84","1,878.00",961.00,81303,"147,226,496.00",5525,1807.3,-0.0020451600418205373
7,10-Feb-2021,EQ,"1,816.95","1,823.05","1,770.00","1,807.30","1,783.00","1,790.85","1,801.55","1,878.00",961.00,87987,"158,513,119.10",6236,1790.85,-0.009143651382085949
8,11-Feb-2021,EQ,"1,790.75","1,823.70","1,780.00","1,790.85","1,818.00","1,816.60","1,808.75","1,878.00",961.00,84433,"152,718,437.60",10213,1816.6,0.01427625460860682
9,12-Feb-2021,EQ,"1,829.00","1,829.00","1,792.15","1,816.60","1,800.10","1,804.60","1,802.63","1,878.00",961.00,37163,"66,991,153.45",5079,1804.6,-0.006627661507713434
10,15-Feb-2021,EQ,"1,810.40","1,819.00","1,790.00","1,804.60","1,809.80","1,807.90","1,807.99","1,878.00",961.00,59380,"107,358,630.95",9920,1807.9,0.0018269901275687062
