,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,"3,015.00","3,030.00","2,905.15","3,006.95","2,936.75","2,944.00","2,971.12","3,151.50","1,881.30",121811,"361,915,100.40",16119,2944.0,
1,02-Feb-2021,EQ,"2,950.00","2,972.95","2,860.00","2,944.00","2,900.00","2,902.75","2,890.18","3,151.50","1,881.30",171959,"496,992,217.45",12260,2902.75,-0.014110637341651078
2,03-Feb-2021,EQ,"2,911.00","2,989.45","2,905.00","2,902.75","2,941.40","2,941.70","2,937.51","3,151.50","1,881.30",118604,"348,400,507.75",16364,2941.7,0.01332908200683125
3,04-Feb-2021,EQ,"2,956.25","2,998.00","2,940.15","2,941.70","2,980.00","2,977.10","2,972.81","3,151.50","1,881.30",43371,"128,933,707.25",7631,2977.1,0.011962026800954817
4,05-Feb-2021,EQ,"3,014.70","3,015.00","2,919.00","2,977.10","2,930.00","2,943.95","2,961.54","3,151.50","1,881.30",216978,"642,588,835.70",17898,2943.95,-0.011197455306011683
5,08-Feb-2021,EQ,"2,965.00","2,966.05","2,877.00","2,943.95","2,902.95","2,901.95","2,897.71","3,151.50","1,881.30",159798,"463,048,401.00",17604,2901.95,-0.014369292210084872
6,09-Feb-2021,EQ,"2,915.95","2,921.15","2,838.00","2,901.95","2,870.30","2,875.50","2,867.47","3,151.50","1,881.30",185904,"533,074,726.80",17543,2875.5,-0.009156352644995813
7,10-Feb-2021,EQ,"2,902.00","2,922.90","2,852.05","2,875.50","2,884.90","2,886.30","2,876.07","3,151.50","1,881.30",123673,"355,691,907.65",13017,2886.3,0.0037488328815191707
8,11-Feb-2021,EQ,"2,884.00","2,900.00","2,852.35","2,886.30","2,883.00","2,891.10","2,875.79","3,151.50","1,881.30",59000,"169,671,575.10",8671,2891.1,0.001661647490022844
9,12-Feb-2021,EQ,"2,873.15","2,900.00","2,860.00","2,891.10","2,878.90","2,869.25","2,870.18","3,151.50","1,881.30",50540,"145,058,656.70",4605,2869.25,-0.007586380964573536
10,15-Feb-2021,EQ,"2,869.25","2,915.45","2,858.00","2,869.25","2,878.00","2,885.95","2,900.60","3,151.50","1,881.30",163974,"475,622,780.75",15436,2885.95,0.005803463605633219
11,16-Feb-2021,EQ,"2,895.00","2,918.10","2,861.00","2,885.95","2,877.00","2,876.20","2,873.19","3,151.50","1,881.30",87480,"251,346,363.50",10791,2876.2,-0.0033841567141319473
12,17-Feb-2021,EQ,"2,880.00","2,889.00","2,786.95","2,876.20","2,802.00","2,816.30","2,858.80","3,151.50","1,881.30",120723,"345,123,100.70",8158,2816.3,-0.021046011757790417
13,18-Feb-2021,EQ,"2,828.90","2,851.90","2,805.20","2,816.30","2,849.00","2,841.00","2,824.77","3,151.50","1,881.30",35431,"100,084,296.10",5542,2841.0,0.0087321361596997
14,19-Feb-2021,EQ,"2,860.00","2,892.00","2,842.75","2,841.00","2,879.00","2,875.50","2,867.37","3,151.50","1,881.30",100531,"288,259,827.50",14720,2875.5,0.012070469299620967
15,22-Feb-2021,EQ,"2,868.50","2,879.90","2,725.00","2,875.50","2,777.00","2,758.40","2,802.02","3,151.50","1,881.30",72608,"203,448,736.20",14360,2758.4,-0.0415757706844353
