,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,919.00,941.35,898.7,918.2,935.05,933.9,915.71,"1,025.55",348.55,845579,"774,301,418.85",33042,933.9,
1,02-Feb-2021,EQ,941.10,974.90,938.5,933.9,942.0,940.95,952.29,"1,025.55",348.55,1082380,"1,030,739,156.00",36652,940.95,0.007520637095189464
2,03-Feb-2021,EQ,950.00,968.00,937.4,940.95,955.9,955.9,955.41,"1,025.55",348.55,1042839,"996,342,249.95",27064,955.9,0.015763301858854994
3,04-Feb-2021,EQ,959.80,972.00,953.55,955.9,959.0,960.65,961.9,"1,025.55",348.55,597360,"574,603,014.50",18485,960.65,0.004956833607993261
4,05-Feb-2021,EQ,962.50,964.40,935.8,960.65,941.0,940.6,946.03,"1,025.55",348.55,540240,"511,081,296.00",21113,940.6,-0.02109216916676271
5,08-Feb-2021,EQ,948.65,994.00,944.0,940.6,977.85,977.45,977.59,"1,025.55",348.55,1745360,"1,706,237,942.60",47796,977.45,0.038429170145181324
6,09-Feb-2021,EQ,984.85,995.50,964.55,977.45,969.0,968.7,981.8,"1,025.55",348.55,961015,"943,526,023.90",26167,968.7,-0.008992173223789202
7,10-Feb-2021,EQ,972.35,995.00,966.05,968.7,994.0,992.15,981.31,"1,025.55",348.55,930203,"912,813,233.60",30029,992.15,0.023919339098921633
8,11-Feb-2021,EQ,"1,000.00","1,009.00",975.0,992.15,983.6,983.55,987.93,"1,025.55",348.55,1813760,"1,791,872,664.10",46870,983.55,-0.008705830153522776
9,12-Feb-2021,EQ,986.00,999.85,966.0,983.55,990.1,987.65,981.9,"1,025.55",348.55,672251,"660,081,675.10",17364,987.65,0.004159908596270689
10,15-Feb-2021,EQ,957.00,957.00,914.0,987.65,928.5,928.4,930.76,"1,025.55",348.55,4314026,"4,015,338,850.95",109925,928.4,-0.061865709573726946
11,16-Feb-2021,EQ,928.40,934.95,904.0,928.4,905.0,907.9,914.83,"1,025.55",348.55,2237254,"2,046,709,936.05",61841,907.9,-0.022328434022570676
12,17-Feb-2021,EQ,901.90,916.55,897.0,907.9,902.55,901.75,906.14,"1,025.55",348.55,1507040,"1,365,583,648.80",40449,901.75,-0.006796920594062783
13,18-Feb-2021,EQ,908.00,912.00,888.6,901.75,891.65,891.8,899.31,"1,025.55",348.55,1071101,"963,251,334.15",26524,891.8,-0.0110954275902726
14,19-Feb-2021,EQ,893.95,898.65,868.0,891.8,877.15,877.55,884.6,"1,025.55",348.55,1095640,"969,200,851.85",33864,877.55,-0.016107958419676827
15,22-Feb-2021,EQ,886.00,912.85,878.05,877.55,901.5,904.9,895.98,"1,025.55",348.55,2932938,"2,627,859,739.50",86218,904.9,0.030690506583388455
