,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,954.70,962.00,932.0,952.70,956.00,955.20,952.85,"1,145.00",434.8,282586,"269,261,006.50",10415,955.2,
1,02-Feb-2021,EQ,958.20,990.30,956.15,955.20,973.00,973.75,975.43,"1,145.00",434.8,490051,"478,010,547.70",13203,973.75,0.019233854546619966
2,03-Feb-2021,EQ,978.00,991.55,954.15,973.75,959.00,958.55,966.84,"1,145.00",434.8,310956,"300,643,763.90",12136,958.55,-0.015732871218899547
3,04-Feb-2021,EQ,962.80,969.40,943.4,958.55,944.00,945.20,954.39,"1,145.00",434.8,266935,"254,759,875.30",19635,945.2,-0.014025180653305824
4,05-Feb-2021,EQ,945.05,947.95,928.1,945.20,930.00,932.70,938.68,"1,145.00",434.8,298438,"280,138,594.70",10883,932.7,-0.013312939579934735
5,08-Feb-2021,EQ,933.00,954.85,928.8,932.70,938.00,940.10,941.39,"1,145.00",434.8,400244,"376,785,007.35",15615,940.1,0.0079026468516874
6,09-Feb-2021,EQ,944.70,954.55,933.0,940.10,934.55,936.45,942.56,"1,145.00",434.8,307422,"289,763,760.00",10771,936.45,-0.0038901224086425046
7,10-Feb-2021,EQ,945.45,951.00,929.1,936.45,935.00,934.90,937.90,"1,145.00",434.8,528429,"495,615,461.65",14909,934.9,-0.0016565584785928067
8,11-Feb-2021,EQ,941.00,949.00,933.0,934.90,937.00,935.80,940.84,"1,145.00",434.8,216628,"203,812,298.20",9955,935.8,0.0009622067348455943
9,12-Feb-2021,EQ,939.70,971.15,935.25,935.80,968.00,965.90,958.22,"1,145.00",434.8,629143,"602,856,577.05",17500,965.9,0.03165853075313496
10,15-Feb-2021,EQ,972.25,985.95,967.0,965.90,979.00,978.30,978.56,"1,145.00",434.8,460985,"451,099,585.35",17195,978.3,0.012756062278132418
