,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,"2,590.00","2,676.55","2,528.10","2,561.25","2,671.20","2,663.50","2,605.03","2,749.65","1,047.05",879244,"2,290,459,820.10",45613,2663.5,
1,02-Feb-2021,EQ,"2,679.50","2,745.00","2,678.00","2,663.50","2,713.50","2,705.15","2,713.39","2,749.65","1,047.05",607131,"1,647,380,925.25",48219,2705.15,0.015516316251138917
2,03-Feb-2021,EQ,"2,714.90","2,808.15","2,704.00","2,705.15","2,725.00","2,720.70","2,742.36","2,808.15","1,047.05",1286454,"3,527,923,376.60",74120,2720.7,0.005731836513438893
3,04-Feb-2021,EQ,"2,730.00","2,747.90","2,686.00","2,720.70","2,738.00","2,731.65","2,713.56","2,808.15","1,047.05",455213,"1,235,249,709.60",31973,2731.65,0.004016622088306221
4,05-Feb-2021,EQ,"2,740.00","2,783.00","2,687.65","2,731.65","2,728.00","2,738.60","2,732.51","2,808.15","1,047.05",941316,"2,572,159,503.25",59634,2738.6,0.002541018688194896
5,08-Feb-2021,EQ,"2,741.00","2,780.00","2,725.00","2,738.60","2,736.00","2,730.25","2,744.33","2,808.15","1,047.05",564043,"1,547,917,315.80",40952,2730.25,-0.003053660820294901
6,09-Feb-2021,EQ,"2,746.50","2,836.60","2,738.10","2,730.25","2,802.00","2,789.30","2,797.05","2,836.60","1,047.05",1052950,"2,945,149,719.00",58010,2789.3,0.021397488200544323
7,10-Feb-2021,EQ,"2,813.85","2,828.00","2,745.65","2,789.30","2,752.50","2,756.50","2,778.51","2,836.60","1,047.05",745906,"2,072,505,465.95",43074,2756.5,-0.011828909248643882
8,11-Feb-2021,EQ,"2,760.00","2,779.50","2,730.00","2,756.50","2,755.10","2,756.50","2,749.28","2,836.60","1,047.05",581642,"1,599,094,415.80",37822,2756.5,0.0
9,12-Feb-2021,EQ,"2,768.00","2,790.00","2,726.10","2,756.50","2,745.00","2,748.10","2,756.26","2,836.60","1,047.05",693562,"1,911,637,246.25",36346,2748.1,-0.0030519952477101597
10,15-Feb-2021,EQ,"2,777.00","3,127.00","2,760.45","2,748.10","3,108.00","3,090.65","2,986.53","3,127.00","1,047.05",4446974,"13,281,034,763.85",181055,3090.65,0.11747166097509965
11,16-Feb-2021,EQ,"3,089.00","3,253.55","3,047.00","3,090.65","3,205.00","3,202.75","3,169.11","3,253.55","1,047.05",4381584,"13,885,717,451.15",168495,3202.75,0.03562839097941506
12,17-Feb-2021,EQ,"3,177.00","3,284.00","3,177.00","3,202.75","3,243.00","3,235.00","3,235.41","3,284.00","1,047.05",2081001,"6,732,890,517.50",97143,3235.0,0.010019112198458302
13,18-Feb-2021,EQ,"3,225.50","3,237.80","3,094.00","3,235.00","3,111.00","3,106.75","3,157.89","3,284.00","1,047.05",1477343,"4,665,289,288.15",77771,3106.75,-0.04045176424889796
14,19-Feb-2021,EQ,"3,090.10","3,109.25","2,896.00","3,106.75","2,929.65","2,919.95","2,980.61","3,284.00","1,047.05",2037556,"6,073,169,314.20",85162,2919.95,-0.06201067085805256
15,22-Feb-2021,EQ,"2,918.45","2,967.90","2,866.90","2,919.95","2,925.00","2,929.55","2,922.39","3,284.00","1,047.05",1246303,"3,642,186,297.20",66013,2929.55,0.0032823347701427252
16,23-Feb-2021,EQ,"2,945.20","3,052.50","2,937.50","2,929.55","2,988.75","2,996.75","3,008.23","3,284.00","1,047.05",1465930,"4,409,858,342.50",84060,2996.75,0.022679540489015437
17,24-Feb-2021,EQ,"3,015.00","3,120.00","3,000.05","2,996.75","3,070.00","3,059.65","3,058.28","3,284.00","1,047.05",1088420,"3,328,687,826.65",50370,3059.65,0.02077216223246303
