,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,198.25,216.0,192.4,196.65,216.0,213.7,204.58,239.7,73.4,19615177,"4,012,884,198.45",97628,213.7,
1,02-Feb-2021,EQ,217.95,228.7,215.1,213.7,228.0,227.5,221.21,239.7,73.4,21134623,"4,675,275,831.60",115115,227.5,0.06257707606590301
2,03-Feb-2021,EQ,229.8,231.85,222.85,227.5,229.0,227.45,228.05,239.7,73.4,15076432,"3,438,121,921.85",83955,227.45,-0.00021980437499191652
3,04-Feb-2021,EQ,237.25,255.7,232.0,227.45,243.1,243.85,245.42,255.7,73.4,81015566,"19,883,138,837.05",421884,243.85,0.06962284814004871
4,05-Feb-2021,EQ,245.8,249.95,235.0,243.85,241.9,241.6,241.58,255.7,73.4,24192684,"5,844,470,725.45",168861,241.6,-0.009269816095401673
5,08-Feb-2021,EQ,242.5,256.5,242.15,241.6,249.0,248.85,249.11,256.5,73.4,19399396,"4,832,532,100.50",141937,248.85,0.0295668392439028
6,09-Feb-2021,EQ,249.95,250.95,241.2,248.85,243.4,243.5,245.67,256.5,73.4,13763979,"3,381,399,760.70",82619,243.5,-0.021733362781918508
7,10-Feb-2021,EQ,244.0,250.95,240.3,243.5,249.0,249.15,245.22,256.5,73.4,12835226,"3,147,481,761.65",74575,249.15,0.022938182204769397
8,11-Feb-2021,EQ,249.0,249.1,239.0,249.15,240.0,240.0,242.96,256.5,73.4,12561402,"3,051,927,903.30",76946,240.0,-0.037416201385422454
9,12-Feb-2021,EQ,242.5,243.35,236.55,240.0,239.45,239.6,240.07,256.5,73.4,9407649,"2,258,502,861.95",55679,239.6,-0.0016680571006970624
10,15-Feb-2021,EQ,241.95,244.4,236.95,239.6,238.1,238.0,239.8,256.5,73.4,6835538,"1,639,174,477.05",38289,238.0,-0.00670019256981913
11,16-Feb-2021,EQ,238.5,240.55,232.6,238.0,236.4,236.25,236.38,256.5,73.4,8706612,"2,058,034,493.90",51537,236.25,-0.007380107297622729
12,17-Feb-2021,EQ,235.05,244.4,234.65,236.25,241.95,241.65,241.47,256.5,73.4,12855633,"3,104,241,390.60",70843,241.65,0.022599831917240465
13,18-Feb-2021,EQ,243.25,243.75,235.1,241.65,236.1,236.05,239.11,256.5,73.4,8842208,"2,114,231,968.90",64954,236.05,-0.023446751298797253
