,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,"2,426.60","2,467.75","2,376.90","2,407.35","2,466.80","2,447.80","2,415.26","2,873.45","1,431.20",1797359,"4,341,088,630.85",113027,2447.8,
1,02-Feb-2021,EQ,"2,460.00","2,520.00","2,425.10","2,447.80","2,470.00","2,463.65","2,469.98","2,873.45","1,431.20",2679428,"6,618,128,249.80",144259,2463.65,0.0064543281612152725
2,03-Feb-2021,EQ,"2,503.85","2,503.85","2,438.35","2,463.65","2,454.00","2,453.65","2,464.64","2,873.45","1,431.20",2409356,"5,938,195,517.30",102463,2453.65,-0.004067278297286592
3,04-Feb-2021,EQ,"2,456.00","2,456.00","2,398.00","2,453.65","2,406.00","2,401.80","2,411.35","2,873.45","1,431.20",3478562,"8,388,020,272.10",160854,2401.8,-0.02135825558558402
4,05-Feb-2021,EQ,"2,420.00","2,423.90","2,370.80","2,401.80","2,382.00","2,376.75","2,386.95","2,873.45","1,431.20",3303319,"7,884,848,894.75",149221,2376.75,-0.010484447987443524
5,08-Feb-2021,EQ,"2,394.00","2,434.90","2,373.40","2,376.75","2,424.00","2,416.85","2,408.69","2,873.45","1,431.20",3666313,"8,830,996,569.55",162331,2416.85,0.016731031133055296
6,09-Feb-2021,EQ,"2,432.50","2,532.45","2,423.65","2,416.85","2,508.00","2,506.85","2,498.10","2,873.45","1,431.20",7178572,"17,932,805,677.75",273637,2506.85,0.036561945526978334
7,10-Feb-2021,EQ,"2,529.00","2,555.00","2,475.00","2,506.85","2,510.15","2,510.60","2,510.74","2,873.45","1,431.20",4473123,"11,230,851,110.85",194967,2510.6,0.001494783484934814
8,11-Feb-2021,EQ,"2,524.95","2,540.00","2,495.10","2,510.60","2,508.00","2,505.50","2,511.73","2,873.45","1,431.20",1446286,"3,632,677,617.00",75891,2505.5,-0.0020334529843291094
9,12-Feb-2021,EQ,"2,518.00","2,523.00","2,464.20","2,505.50","2,488.00","2,486.10","2,491.77","2,873.45","1,431.20",1376085,"3,428,888,505.70",61470,2486.1,-0.007773097876672352
10,15-Feb-2021,EQ,"2,495.00","2,517.50","2,448.55","2,486.10","2,463.00","2,456.75","2,481.34","2,873.45","1,431.20",1634576,"4,055,939,411.80",75619,2456.75,-0.01187587928056999
11,16-Feb-2021,EQ,"2,472.00","2,475.10","2,422.00","2,456.75","2,453.00","2,450.25","2,442.51","2,873.45","1,431.20",1615849,"3,946,730,311.55",89982,2450.25,-0.0026492780932469984
12,17-Feb-2021,EQ,"2,436.00","2,455.05","2,382.00","2,450.25","2,386.00","2,388.15","2,404.67","2,873.45","1,431.20",3178784,"7,643,924,159.85",138806,2388.15,-0.025671052539165906
13,18-Feb-2021,EQ,"2,424.00","2,479.60","2,395.25","2,388.15","2,471.00","2,470.75","2,449.52","2,873.45","1,431.20",4253843,"10,419,860,315.05",139037,2470.75,0.03400274064616937
14,19-Feb-2021,EQ,"2,470.90","2,470.90","2,400.00","2,470.75","2,423.20","2,416.45","2,426.74","2,873.45","1,431.20",2244567,"5,446,984,959.65",106810,2416.45,-0.02222222726736156
15,22-Feb-2021,EQ,"2,428.75","2,448.00","2,380.00","2,416.45","2,387.30","2,387.05","2,415.85","2,873.45","1,431.20",2002642,"4,838,083,885.35",100102,2387.05,-0.012241227074341943
16,23-Feb-2021,EQ,"2,375.00","2,400.00","2,315.00","2,387.05","2,376.00","2,372.20","2,352.09","2,873.45","1,431.20",3267268,"7,684,898,465.35",152011,2372.2,-0.006240499319414283
17,24-Feb-2021,EQ,"2,373.00","2,409.35","2,347.20","2,372.20","2,360.00","2,361.35","2,371.78","2,873.45","1,431.20",1708526,"4,052,246,413.40",79913,2361.35,-0.0045843052262375394
