,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,"1,718.55","1,741.00","1,705.00","1,716.80","1,719.50","1,723.15","1,720.97","1,830.00",745.65,99384,"171,036,784.80",12592,1723.15,
1,02-Feb-2021,EQ,"1,749.95","1,804.00","1,730.40","1,723.15","1,800.00","1,799.70","1,776.02","1,830.00",745.65,160873,"285,713,919.00",13188,1799.7,0.0434659731305862
2,03-Feb-2021,EQ,"1,878.90","2,100.00","1,851.25","1,799.70","1,949.95","1,944.70","1,974.99","2,100.00",745.65,1060938,"2,095,347,023.55",84229,1944.7,0.07748773918367924
3,04-Feb-2021,EQ,"1,980.00","2,085.00","1,905.25","1,944.70","2,080.00","2,062.10","2,007.36","2,100.00",745.65,853950,"1,714,186,083.00",85125,2062.1,0.058617157495383765
4,05-Feb-2021,EQ,"2,088.55","2,155.00","1,981.05","2,062.10","2,003.00","2,001.80","2,074.02","2,155.00",745.65,383991,"796,403,914.30",37225,2001.8,-0.02967810522130243
5,08-Feb-2021,EQ,"2,041.85","2,086.00","2,006.65","2,001.80","2,070.00","2,068.65","2,051.38","2,155.00",745.65,214926,"440,894,629.65",19161,2068.65,0.032849444803538574
6,09-Feb-2021,EQ,"2,070.05","2,078.95","2,020.00","2,068.65","2,030.00","2,029.90","2,037.81","2,155.00",745.65,77186,"157,290,110.05",10947,2029.9,-0.018909689849734512
7,10-Feb-2021,EQ,"2,030.15","2,089.00","1,998.55","2,029.90","2,020.00","2,029.10","2,054.38","2,155.00",745.65,230921,"474,400,007.05",27874,2029.1,-0.0003941857651437175
8,11-Feb-2021,EQ,"2,044.00","2,059.40","2,010.05","2,029.10","2,058.95","2,034.90","2,028.31","2,155.00",745.65,145938,"296,007,917.90",14645,2034.9,0.0028543326465655383
9,12-Feb-2021,EQ,"2,055.00","2,070.05","1,998.65","2,034.90","2,030.00","2,018.60","2,033.67","2,155.00",745.65,106971,"217,543,314.25",12153,2018.6,-0.008042475815384975
10,15-Feb-2021,EQ,"2,025.00","2,049.75","2,011.00","2,018.60","2,030.00","2,024.15","2,024.45","2,155.00",745.65,49179,"99,560,601.05",9460,2024.15,0.002745657528473444
11,16-Feb-2021,EQ,"2,024.25","2,071.00","2,009.00","2,024.15","2,012.75","2,013.90","2,038.26","2,155.00",745.65,123029,"250,764,977.35",17779,2013.9,-0.0050767187204172615
12,17-Feb-2021,EQ,"2,020.00","2,071.75","2,015.20","2,013.90","2,058.00","2,058.55","2,055.59","2,155.00",745.65,129814,"266,845,008.75",12219,2058.55,0.02192871083337078
13,18-Feb-2021,EQ,"2,068.85","2,087.45","2,044.10","2,058.55","2,070.00","2,069.65","2,068.32","2,155.00",745.65,141210,"292,067,553.20",18854,2069.65,0.005377659391631262
14,19-Feb-2021,EQ,"2,069.75","2,080.00","2,025.00","2,069.65","2,034.00","2,031.05","2,051.95","2,155.00",745.65,130644,"268,075,396.85",12639,2031.05,-0.01882661014588649
15,22-Feb-2021,EQ,"2,047.50","2,084.00","2,036.40","2,031.05","2,070.00","2,073.55","2,066.49","2,155.00",745.65,116342,"240,419,915.30",12598,2073.55,0.020709213520989422
16,23-Feb-2021,EQ,"2,080.00","2,125.00","2,041.85","2,073.55","2,070.05","2,067.00","2,087.88","2,155.00",745.65,419846,"876,586,243.40",23934,2067.0,-0.003163833531152349
17,24-Feb-2021,EQ,"2,089.00","2,124.80","2,068.05","2,067.00","2,090.00","2,099.65","2,088.53","2,155.00",745.65,73591,"153,697,239.70",5022,2099.65,0.015672383472647766
18,25-Feb-2021,EQ,"2,105.00","2,130.00","2,080.00","2,099.65","2,102.10","2,116.75","2,106.90","2,155.00",745.65,199252,"419,804,469.90",14806,2116.75,0.008111229367971262
19,26-Feb-2021,EQ,"2,109.00","2,155.00","2,080.00","2,116.75","2,130.00","2,127.70","2,128.71","2,155.00",745.65,273389,"581,964,832.35",20949,2127.7,0.005159690557285046
20,01-Mar-2021,EQ,"2,150.85","2,220.00","2,142.65","2,127.70","2,199.05","2,196.90","2,188.85","2,220.00",745.65,116757,"255,563,086.15",12956,2196.9,0.03200569165546163
21,02-Mar-2021,EQ,"2,220.45","2,220.45","2,175.10","2,196.90","2,199.00","2,195.40","2,193.94","2,220.45",745.65,91370,"200,460,541.05",9400,2195.4,-0.0006830134819173495
22,03-Mar-2021,EQ,"2,211.55","2,219.20","2,185.25","2,195.40","2,210.00","2,205.30","2,202.47","2,220.45",745.65,122450,"269,692,099.75",14185,2205.3,0.0044992917949358
23,04-Mar-2021,EQ,"2,207.25","2,224.90","2,186.50","2,205.30","2,216.50","2,215.35","2,207.38","2,224.90",745.65,101769,"224,643,308.15",10712,2215.35,0.004546850492276988
24,05-Mar-2021,EQ,"2,207.00","2,244.00","2,181.00","2,215.35","2,218.00","2,214.25","2,211.10","2,244.00",745.65,121936,"269,612,786.90",14515,2214.25,-0.0004966588507366865
25,08-Mar-2021,EQ,"2,230.00","2,334.85","2,227.00","2,214.25","2,315.00","2,313.95","2,306.21","2,334.85",745.65,315429,"727,444,815.20",30016,2313.95,0.04404227522460502
26,09-Mar-2021,EQ,"2,349.35","2,370.00","2,322.10","2,313.95","2,350.00","2,348.55","2,345.56","2,370.00",745.65,184233,"432,129,122.00",17260,2348.55,0.01484209551134441
27,10-Mar-2021,EQ,"2,363.30","2,532.00","2,332.00","2,348.55","2,498.00","2,501.60","2,437.67","2,532.00",745.65,494725,"1,205,977,792.40",52262,2501.6,0.0631324107179898
28,12-Mar-2021,EQ,"2,529.30","2,630.00","2,450.00","2,501.60","2,500.00","2,503.25","2,527.31","2,630.00",745.65,561273,"1,418,511,132.55",63712,2503.25,0.000659360444280388
29,15-Mar-2021,EQ,"2,547.00","2,594.00","2,491.85","2,503.25","2,535.00","2,541.30","2,549.62","2,630.00",745.65,549529,"1,401,091,624.60",42768,2541.3,0.015085873517703519
30,16-Mar-2021,EQ,"2,560.95","2,561.00","2,456.20","2,541.30","2,474.90","2,473.30","2,526.76","2,630.00",745.65,335659,"848,128,258.95",35598,2473.3,-0.02712246979206423
31,17-Mar-2021,EQ,"2,478.95","2,524.70","2,441.90","2,473.30","2,481.00","2,455.50","2,473.55","2,630.00",745.65,310638,"768,379,009.20",36326,2455.5,-0.007222884834251708
32,18-Mar-2021,EQ,"1,725.65","1,801.00","1,700.00","2,455.50","1,715.00","1,716.20","1,751.67","2,630.00",745.65,418612,"733,269,223.50",44250,1716.2,-0.3582178621062786
33,19-Mar-2021,EQ,"1,716.20","1,761.90","1,644.50","1,716.20","1,660.90","1,671.25","1,676.64","2,630.00",745.65,1673194,"2,805,348,096.40",47293,1671.25,-0.02654069495686784
34,22-Mar-2021,EQ,"1,672.00","1,730.00","1,661.05","1,671.25","1,705.00","1,705.45","1,691.05","2,630.00",745.65,175632,"297,001,875.60",18725,1705.45,0.02025715609693801
