,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,385.25,391.20,381.05,381.05,386.35,389.10,386.88,391.20,76.60,2008106,"776,886,956.30",16941,389.1,
1,02-Feb-2021,EQ,392.00,406.95,387.20,389.10,401.10,401.10,399.29,406.95,76.60,1676396,"669,363,782.40",23631,401.1,0.03037439278549936
2,03-Feb-2021,EQ,405.80,413.15,382.15,401.10,395.80,389.65,399.40,413.15,76.60,1325312,"529,333,906.15",19086,389.65,-0.028961872486437557
3,04-Feb-2021,EQ,395.80,400.00,386.00,389.65,390.20,388.05,393.02,413.15,76.60,652627,"256,496,398.10",11492,388.05,-0.004114702989421737
4,05-Feb-2021,EQ,391.00,395.35,379.00,388.05,381.00,382.05,385.40,413.15,76.60,441742,"170,249,408.95",9175,382.05,-0.015582707206572621
5,08-Feb-2021,EQ,385.75,388.65,380.55,382.05,381.95,382.70,383.76,413.15,76.60,968925,"371,830,039.90",9766,382.7,0.0016999023380810385
6,09-Feb-2021,EQ,384.00,385.45,380.15,382.70,382.80,382.85,382.86,413.15,76.60,825573,"316,075,983.45",11263,382.85,0.0003918751274758492
7,10-Feb-2021,EQ,384.90,384.90,376.20,382.85,381.00,382.30,382.38,413.15,76.60,786555,"300,761,807.10",10128,382.3,-0.001437626856764851
8,11-Feb-2021,EQ,384.25,390.00,377.15,382.30,379.10,379.20,382.97,413.15,76.60,909606,"348,353,183.40",7679,379.2,-0.008141870321501266
9,12-Feb-2021,EQ,381.50,383.40,378.25,379.20,381.00,382.55,382.13,413.15,76.60,1219553,"466,028,659.10",11604,382.55,0.008795593296994753
10,15-Feb-2021,EQ,387.00,435.00,386.10,382.55,434.80,426.95,418.87,435.00,76.60,4704910,"1,970,747,174.05",56817,426.95,0.10980754667575443
11,16-Feb-2021,EQ,441.00,508.90,437.00,426.95,503.00,497.00,481.39,508.90,76.60,9004169,"4,334,550,617.95",134094,497.0,0.15192311574301343
12,17-Feb-2021,EQ,521.00,542.80,497.20,497.00,500.00,509.95,528.11,542.80,76.60,5856367,"3,092,778,722.15",84416,509.95,0.025722655599897948
13,18-Feb-2021,EQ,515.00,538.00,506.60,509.95,513.00,509.60,515.94,542.80,76.60,3727434,"1,923,121,479.05",53615,509.6,-0.0006865774385733658
14,19-Feb-2021,EQ,513.00,519.90,458.65,509.60,501.40,497.65,490.72,542.80,76.60,2497892,"1,225,765,700.55",49090,497.65,-0.023729085565880936
