,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,891.00,950.00,891.00,872.50,934.00,941.55,921.97,"1,218.00",366.0,2308622,"2,128,473,322.05",50495,941.55,
1,02-Feb-2021,EQ,950.45,999.00,935.05,941.55,962.10,960.70,961.57,"1,218.00",366.0,1130196,"1,086,760,607.55",53697,960.7,0.02013473198404192
2,03-Feb-2021,EQ,972.80,972.80,943.70,960.70,962.00,962.50,959.55,"1,218.00",366.0,811046,"778,239,495.10",37486,962.5,0.001871880746246113
3,04-Feb-2021,EQ,968.95,979.00,941.55,962.50,960.00,964.95,964.57,"1,218.00",366.0,851870,"821,684,677.40",48300,964.95,0.002542220363180192
4,05-Feb-2021,EQ,970.00,995.00,965.00,964.95,980.00,981.90,979.98,"1,218.00",366.0,747248,"732,286,067.85",38273,981.9,0.017413183650125674
5,08-Feb-2021,EQ,989.70,"1,045.00",987.50,981.90,"1,020.00","1,032.35","1,023.26","1,218.00",366.0,857645,"877,596,441.60",45491,1032.35,0.05010356565564322
6,09-Feb-2021,EQ,"1,039.80","1,081.00","1,039.00","1,032.35","1,064.00","1,063.35","1,066.14","1,218.00",366.0,821236,"875,556,475.00",40833,1063.35,0.029586545138248432
7,10-Feb-2021,EQ,"1,074.00","1,114.80","1,057.85","1,063.35","1,111.00","1,099.00","1,080.09","1,218.00",366.0,1145055,"1,236,757,359.30",44613,1099.0,0.032976373434484785
8,11-Feb-2021,EQ,"1,103.90","1,136.95","1,085.05","1,099.00","1,130.00","1,125.90","1,113.82","1,218.00",366.0,706879,"787,334,746.75",35790,1125.9,0.024182040405463567
9,12-Feb-2021,EQ,"1,125.00","1,125.90","1,055.50","1,125.90","1,107.00","1,099.30","1,093.88","1,218.00",366.0,797049,"871,878,678.20",37956,1099.3,-0.02390910222426701
10,15-Feb-2021,EQ,"1,110.00","1,114.75","1,060.90","1,099.30","1,097.55","1,091.60","1,090.23","1,218.00",366.0,591093,"644,428,420.35",36252,1091.6,-0.007029103750634036
11,16-Feb-2021,EQ,"1,089.00","1,128.00","1,075.30","1,091.60","1,100.00","1,092.75","1,099.81","1,218.00",366.0,455426,"500,881,965.75",22481,1092.75,0.0010529449092402388
12,17-Feb-2021,EQ,"1,092.75","1,112.25","1,081.00","1,092.75","1,095.30","1,098.10","1,098.04","1,218.00",366.0,394405,"433,072,746.05",32477,1098.1,0.004883958860243176
13,18-Feb-2021,EQ,"1,098.50","1,154.40","1,091.45","1,098.10","1,130.00","1,134.80","1,124.90","1,218.00",366.0,1356719,"1,526,168,056.55",40111,1134.8,0.03287501033102913
14,19-Feb-2021,EQ,"1,123.90","1,131.70","1,083.60","1,134.80","1,108.00","1,109.00","1,113.23","1,218.00",366.0,553747,"616,445,156.90",34119,1109.0,-0.022997715584328837
15,22-Feb-2021,EQ,"1,109.00","1,128.00","1,048.00","1,109.00","1,079.00","1,074.85","1,085.09","1,218.00",366.0,462383,"501,726,277.85",27039,1074.85,-0.03127759140822306
16,23-Feb-2021,EQ,"1,071.00","1,123.20","1,071.00","1,074.85","1,120.65","1,118.45","1,113.23","1,218.00",366.0,672795,"748,972,473.60",29312,1118.45,0.03976268126197713
17,24-Feb-2021,EQ,"1,145.90","1,197.95","1,140.20","1,118.45","1,196.00","1,186.30","1,162.72","1,218.00",366.0,571815,"664,858,200.30",21190,1186.3,0.05889542146293625
18,25-Feb-2021,EQ,"1,197.00","1,207.00","1,158.05","1,186.30","1,172.00","1,166.70","1,177.83","1,218.00",366.0,636284,"749,435,063.45",36327,1166.7,-0.01665996883724663
19,26-Feb-2021,EQ,"1,158.00","1,158.55","1,090.45","1,166.70","1,132.00","1,126.50","1,122.36","1,218.00",366.0,853014,"957,384,961.85",49985,1126.5,-0.035063769957512037
20,01-Mar-2021,EQ,"1,138.00","1,165.05","1,127.60","1,126.50","1,149.00","1,148.45","1,144.91","1,218.00",366.0,754157,"863,444,366.55",31045,1148.45,0.019297726263464376
21,02-Mar-2021,EQ,"1,159.90","1,175.00","1,141.60","1,148.45","1,159.75","1,151.50","1,157.33","1,218.00",366.0,410197,"474,735,218.50",23938,1151.5,0.002652233124976533
22,03-Mar-2021,EQ,"1,162.40","1,225.00","1,136.55","1,151.50","1,215.00","1,200.90","1,161.46","1,225.00",366.0,2078700,"2,414,336,892.60",39081,1200.9,0.04200583540589786
23,04-Mar-2021,EQ,"1,187.65","1,290.00","1,176.80","1,200.90","1,274.00","1,268.00","1,257.91","1,290.00",366.0,2247523,"2,827,179,262.35",107118,1268.0,0.054369580330533296
24,05-Mar-2021,EQ,"1,274.00","1,293.65","1,231.20","1,268.00","1,274.00","1,260.70","1,269.19","1,293.65",366.0,1383020,"1,755,308,826.75",73505,1260.7,-0.005773733759947497
25,08-Mar-2021,EQ,"1,274.40","1,290.00","1,242.90","1,260.70","1,259.95","1,264.05","1,270.72","1,293.65",366.0,925121,"1,175,572,716.50",40826,1264.05,0.002653729649248149
26,09-Mar-2021,EQ,"1,259.95","1,316.95","1,217.00","1,264.05","1,236.00","1,232.55","1,268.37","1,316.95",366.0,2398975,"3,042,798,288.80",85251,1232.55,-0.025235657841164993
27,10-Mar-2021,EQ,"1,254.00","1,268.00","1,202.80","1,232.55","1,251.90","1,253.25","1,241.25","1,316.95",366.0,1184012,"1,469,654,524.20",38505,1253.25,0.01665498309830582
