,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,665.0,717.0,654.35,662.9,714.0,709.35,686.12,760.7,286.0,30648270,"21,028,286,417.85",420444,709.35,
1,02-Feb-2021,EQ,719.25,744.95,704.2,709.35,718.5,714.2,722.7,760.7,286.0,28703320,"20,743,799,698.15",336082,714.2,0.006813977402353011
2,03-Feb-2021,EQ,720.0,736.8,715.55,714.2,731.3,733.8,729.55,760.7,286.0,23541361,"17,174,646,770.05",367908,733.8,0.027073476760834048
3,04-Feb-2021,EQ,730.0,745.5,720.6,733.8,743.6,743.9,734.67,760.7,286.0,20490289,"15,053,511,744.55",451426,743.9,0.013670105276113453
4,05-Feb-2021,EQ,749.0,766.3,717.0,743.9,722.65,719.6,741.96,766.3,286.0,31121503,"23,091,053,159.85",381780,719.6,-0.0332111151209169
5,08-Feb-2021,EQ,726.0,747.8,726.0,719.6,735.75,736.15,739.35,766.3,286.0,15662890,"11,580,313,302.60",279438,736.15,0.022738400235039258
6,09-Feb-2021,EQ,735.75,750.0,726.2,736.15,740.0,742.5,740.18,766.3,286.0,22307807,"16,511,879,845.75",214724,742.5,0.00858896836543721
7,10-Feb-2021,EQ,741.55,746.4,726.1,742.5,737.0,734.8,733.3,766.3,286.0,15140744,"11,102,710,404.15",218238,734.8,-0.010424517335884786
8,11-Feb-2021,EQ,731.0,744.15,731.0,734.8,740.55,740.1,738.91,766.3,286.0,11897710,"8,791,308,260.75",179789,740.1,0.0071869588624506875
9,12-Feb-2021,EQ,735.5,754.7,734.55,740.1,749.9,750.4,746.92,766.3,286.0,15668442,"11,703,070,189.85",208754,750.4,0.013821085488594065
10,15-Feb-2021,EQ,759.9,799.0,753.9,750.4,797.0,794.0,777.14,799.0,286.0,20648115,"16,046,533,454.75",305990,794.0,0.056477063555121276
11,16-Feb-2021,EQ,799.0,799.0,767.0,794.0,776.55,775.05,779.33,799.0,286.0,23968943,"18,679,632,179.65",469034,775.05,-0.024155917845832597
12,17-Feb-2021,EQ,774.0,785.0,764.3,775.05,775.5,777.75,776.04,799.0,286.0,16956357,"13,158,894,709.05",213111,777.75,0.0034775923764431838
13,18-Feb-2021,EQ,775.0,782.0,764.0,777.75,775.9,777.0,774.1,799.0,286.0,19685663,"15,238,630,654.80",213912,777.0,-0.0009647854100993669
14,19-Feb-2021,EQ,772.9,777.2,741.35,777.0,750.6,749.65,761.1,799.0,286.0,15634787,"11,899,615,677.35",237598,749.65,-0.03583391942673497
15,22-Feb-2021,EQ,749.65,749.85,715.0,749.65,720.5,719.45,729.24,799.0,286.0,18123202,"13,216,169,445.80",246940,719.45,-0.04111939973148537
16,23-Feb-2021,EQ,732.35,734.95,712.6,719.45,718.0,715.95,723.36,799.0,286.0,16804763,"12,155,823,546.10",209036,715.95,-0.004876699089411574
17,24-Feb-2021,EQ,722.0,754.9,717.05,715.95,752.8,749.4,733.8,799.0,286.0,11207286,"8,223,949,091.65",138731,749.4,0.04566255423957166
18,25-Feb-2021,EQ,765.0,783.5,762.15,749.4,769.0,770.65,774.88,799.0,286.0,26635119,"20,639,063,649.95",367784,770.65,0.02796142823314174
19,26-Feb-2021,EQ,746.0,758.7,718.65,770.65,725.35,724.8,735.47,799.0,286.0,31306177,"23,024,807,933.40",359614,724.8,-0.06133855986395975
20,01-Mar-2021,EQ,738.0,743.5,722.25,724.8,730.45,728.55,732.35,799.0,286.0,14301187,"10,473,445,936.95",206937,728.55,0.005160502731094141
21,02-Mar-2021,EQ,730.45,740.5,722.0,728.55,730.85,731.25,730.29,799.0,286.0,14503453,"10,591,763,865.15",184648,731.25,0.0036991410862032836
22,03-Mar-2021,EQ,740.5,760.8,735.1,731.25,751.9,753.95,750.05,799.0,286.0,13603791,"10,203,508,442.55",194215,753.95,0.03057065426573846
23,04-Mar-2021,EQ,731.1,751.45,731.1,753.95,737.0,736.8,740.1,799.0,286.0,16896947,"12,505,418,411.35",189661,736.8,-0.023009567870707848
24,05-Mar-2021,EQ,732.0,744.1,720.5,736.8,734.5,730.75,732.57,799.0,286.0,16358252,"11,983,639,389.60",208331,730.75,-0.008245080949741634
25,08-Mar-2021,EQ,735.0,752.5,732.0,730.75,745.0,743.3,744.17,799.0,286.0,13898556,"10,342,892,342.15",177509,743.3,0.017028327739891935
26,09-Mar-2021,EQ,758.7,758.7,740.0,743.3,744.6,745.45,748.48,799.0,286.0,18951683,"14,185,043,296.30",276230,745.45,0.0028883311431604497
27,10-Mar-2021,EQ,750.5,765.7,749.15,745.45,759.2,760.75,757.88,799.0,286.0,13377990,"10,138,855,902.25",174204,760.75,0.020316725902672417
28,12-Mar-2021,EQ,772.6,776.6,745.0,760.75,749.05,750.6,760.49,799.0,286.0,16343307,"12,428,997,180.05",215516,750.6,-0.013431902076160185
29,15-Mar-2021,EQ,754.0,754.0,716.65,750.6,745.6,744.4,730.61,799.0,286.0,22466579,"16,414,378,237.40",290544,744.4,-0.008294361932824401
30,16-Mar-2021,EQ,751.0,752.0,735.95,744.4,737.55,737.75,741.69,799.0,286.0,11358574,"8,424,547,086.75",165289,737.75,-0.00897351094504728
31,17-Mar-2021,EQ,739.0,742.0,724.7,737.75,724.75,727.9,733.52,799.0,286.0,12380976,"9,081,707,767.20",154842,727.9,-0.013441337698836264
