,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,"4,064.00","4,141.00","3,975.05","4,005.80","4,134.00","4,114.70","4,062.37","4,236.65","1,788.65",745011,"3,026,509,211.05",52946,4114.7,
1,02-Feb-2021,EQ,"4,155.80","4,271.15","4,117.25","4,114.70","4,205.00","4,201.45","4,192.41","4,271.15","1,788.65",1167922,"4,896,411,547.05",77031,4201.45,0.020863776341917273
2,03-Feb-2021,EQ,"4,205.00","4,259.15","4,160.10","4,201.45","4,236.00","4,236.35","4,226.67","4,271.15","1,788.65",681937,"2,882,319,591.80",54003,4236.35,0.008272345640326861
3,04-Feb-2021,EQ,"4,236.35","4,361.40","4,200.00","4,236.35","4,234.80","4,223.50","4,260.50","4,361.40","1,788.65",1163598,"4,957,507,320.05",80560,4223.5,-0.0030378812585158954
4,05-Feb-2021,EQ,"4,260.00","4,272.80","4,161.00","4,223.50","4,220.15","4,231.25","4,219.38","4,361.40","1,788.65",729191,"3,076,731,213.45",51831,4231.25,0.0018332894930335186
5,08-Feb-2021,EQ,"4,231.45","4,258.50","4,195.00","4,231.25","4,228.40","4,237.45","4,227.75","4,361.40","1,788.65",616236,"2,605,292,454.75",56538,4237.45,0.0014642155484789754
6,09-Feb-2021,EQ,"4,228.40","4,238.00","4,145.00","4,237.45","4,160.00","4,154.90","4,188.69","4,361.40","1,788.65",721336,"3,021,454,801.85",44863,4154.9,-0.019673312597827675
7,10-Feb-2021,EQ,"4,160.00","4,215.00","4,100.10","4,154.90","4,154.00","4,151.55","4,140.97","4,361.40","1,788.65",989105,"4,095,855,293.15",62050,4151.55,-0.0008066021421004876
8,11-Feb-2021,EQ,"4,155.00","4,202.40","4,126.45","4,151.55","4,179.80","4,181.90","4,178.80","4,361.40","1,788.65",546983,"2,285,733,251.85",31317,4181.9,0.007283930229721847
9,12-Feb-2021,EQ,"4,179.00","4,195.80","4,117.00","4,181.90","4,139.00","4,136.05","4,150.66","4,361.40","1,788.65",360063,"1,494,498,083.90",26355,4136.05,-0.011024462608807184
10,15-Feb-2021,EQ,"4,152.20","4,194.65","4,111.65","4,136.05","4,129.00","4,122.30","4,150.95","4,361.40","1,788.65",287922,"1,195,150,758.95",20745,4122.3,-0.003329966084210767
11,16-Feb-2021,EQ,"4,130.00","4,177.60","4,124.00","4,122.30","4,143.75","4,132.85","4,146.38","4,361.40","1,788.65",318280,"1,319,709,644.05",25570,4132.85,0.002555981597822665
12,17-Feb-2021,EQ,"4,117.00","4,205.00","4,111.00","4,132.85","4,156.35","4,165.70","4,162.24","4,361.40","1,788.65",554383,"2,307,475,584.95",34340,4165.7,0.007917087102457643
13,18-Feb-2021,EQ,"4,200.00","4,200.00","4,102.10","4,165.70","4,106.00","4,115.45","4,149.64","4,361.40","1,788.65",440460,"1,827,750,339.25",43567,4115.45,-0.012136144559301343
14,19-Feb-2021,EQ,"4,106.00","4,106.70","3,977.20","4,115.45","4,002.00","4,001.10","4,016.65","4,361.40","1,788.65",762200,"3,061,488,168.50",53406,4001.1,-0.028178860850360365
15,22-Feb-2021,EQ,"4,010.00","4,040.00","3,926.85","4,001.10","3,946.50","3,971.55","3,977.81","4,361.40","1,788.65",762310,"3,032,326,430.30",59891,3971.55,-0.007412876600897178
16,23-Feb-2021,EQ,"3,952.00","3,998.70","3,890.20","3,971.55","3,914.25","3,912.25","3,928.55","4,361.40","1,788.65",802871,"3,154,121,942.05",48349,3912.25,-0.015043790652280009
17,24-Feb-2021,EQ,"3,927.00","3,950.00","3,855.35","3,912.25","3,936.95","3,931.85","3,912.12","4,361.40","1,788.65",399843,"1,564,233,608.70",30579,3931.85,0.004997396971178958
18,25-Feb-2021,EQ,"3,936.00","3,980.00","3,910.05","3,931.85","3,953.50","3,944.80","3,952.32","4,361.40","1,788.65",632973,"2,501,709,425.25",49479,3944.8,0.0032882028954563935
19,26-Feb-2021,EQ,"3,910.50","3,943.10","3,773.05","3,944.80","3,783.90","3,798.70","3,856.86","4,361.40","1,788.65",732210,"2,824,029,002.85",48162,3798.7,-0.037739352989952124
20,01-Mar-2021,EQ,"3,798.70","3,858.80","3,751.00","3,798.70","3,822.00","3,814.05","3,806.43","4,361.40","1,788.65",724589,"2,758,094,935.80",55226,3814.05,0.004032713750694583
21,02-Mar-2021,EQ,"3,822.00","3,962.15","3,781.50","3,814.05","3,950.55","3,944.05","3,889.69","4,361.40","1,788.65",735847,"2,862,217,989.00",51272,3944.05,0.03351649745629537
22,03-Mar-2021,EQ,"3,985.00","3,985.00","3,863.60","3,944.05","3,897.95","3,901.10","3,894.76","4,361.40","1,788.65",615104,"2,395,684,088.50",42094,3901.1,-0.010949549496150013
23,04-Mar-2021,EQ,"3,875.00","3,927.60","3,841.00","3,901.10","3,878.00","3,879.05","3,891.05","4,361.40","1,788.65",611769,"2,380,425,643.90",39862,3879.05,-0.005668286353827767
24,05-Mar-2021,EQ,"3,852.10","3,913.25","3,821.75","3,879.05","3,854.85","3,852.85","3,865.03","4,361.40","1,788.65",719936,"2,782,576,535.55",50386,3852.85,-0.006777144111985933
25,08-Mar-2021,EQ,"3,848.00","3,848.00","3,770.00","3,852.85","3,794.95","3,798.75","3,806.33","4,361.40","1,788.65",818275,"3,114,623,291.50",44840,3798.75,-0.01414106893398781
26,09-Mar-2021,EQ,"3,802.20","3,829.70","3,776.00","3,798.75","3,795.70","3,798.75","3,795.46","4,361.40","1,788.65",526071,"1,996,679,020.70",47585,3798.75,0.0
27,10-Mar-2021,EQ,"3,820.00","3,879.00","3,802.00","3,798.75","3,872.00","3,867.55","3,849.76","4,361.40","1,788.65",545219,"2,098,964,391.10",45525,3867.55,0.017949166380873294
