,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,"8,750.00","9,838.90","8,638.00","8,722.75","9,740.00","9,721.80","9,296.79","9,840.95","3,985.30",1565365,"14,552,862,242.00",144130,9721.8,
1,02-Feb-2021,EQ,"9,827.70","9,990.00","9,315.00","9,721.80","9,505.00","9,476.30","9,613.89","9,990.00","3,985.30",1394390,"13,405,505,925.00",135676,9476.3,-0.025576841789650473
2,03-Feb-2021,EQ,"9,561.60","9,639.30","9,435.35","9,476.30","9,555.00","9,536.05","9,512.18","9,990.00","3,985.30",623545,"5,931,271,603.90",55559,9536.05,0.006285408874616039
3,04-Feb-2021,EQ,"9,510.00","9,760.00","9,470.50","9,536.05","9,708.00","9,700.55","9,643.02","9,990.00","3,985.30",604727,"5,831,395,657.95",71531,9700.55,0.017103231334983704
4,05-Feb-2021,EQ,"9,780.00","9,940.00","9,556.00","9,700.55","9,705.00","9,722.20","9,738.97","9,990.00","3,985.30",922561,"8,984,790,613.45",82958,9722.2,0.0022293453776285332
5,08-Feb-2021,EQ,"9,750.00","10,110.00","9,738.05","9,722.20","10,068.45","10,021.05","9,971.57","10,110.00","3,985.30",985855,"9,830,522,550.05",109921,10021.05,0.03027595027529628
6,09-Feb-2021,EQ,"10,067.00","10,068.00","9,882.00","10,021.05","9,918.00","9,941.65","9,964.07","10,110.00","3,985.30",512607,"5,107,652,284.25",61486,9941.65,-0.007954877717217812
7,10-Feb-2021,EQ,"9,901.00","10,354.60","9,901.00","9,941.65","10,215.15","10,227.95","10,205.70","10,354.60","3,985.30",1430667,"14,600,961,005.60",145592,10227.95,0.028391166007201818
8,11-Feb-2021,EQ,"10,105.00","10,417.90","10,105.00","10,227.95","10,220.05","10,216.65","10,275.38","10,417.90","3,985.30",715538,"7,352,428,354.25",58617,10216.65,-0.001105426484322436
9,12-Feb-2021,EQ,"10,250.00","10,331.15","10,168.00","10,216.65","10,300.00","10,278.80","10,236.92","10,417.90","3,985.30",380285,"3,892,947,648.40",38095,10278.8,0.006064779304447043
10,15-Feb-2021,EQ,"10,330.20","10,579.00","10,280.00","10,278.80","10,500.00","10,537.70","10,486.75","10,579.00","3,985.30",536406,"5,625,157,441.10",50301,10537.7,0.024875781285929932
11,16-Feb-2021,EQ,"10,500.00","10,532.00","10,361.00","10,537.70","10,460.00","10,460.60","10,444.86","10,579.00","3,985.30",358604,"3,745,569,816.70",34451,10460.6,-0.007343484613437923
12,17-Feb-2021,EQ,"10,420.00","10,498.80","10,112.20","10,460.60","10,195.00","10,185.65","10,260.60","10,579.00","3,985.30",582259,"5,974,324,936.55",57424,10185.65,-0.026635951383775947
13,18-Feb-2021,EQ,"10,310.00","10,310.00","10,135.00","10,185.65","10,200.00","10,198.95","10,195.83","10,579.00","3,985.30",434741,"4,432,545,757.00",48601,10198.95,0.0013049068303754296
14,19-Feb-2021,EQ,"10,150.00","10,427.65","10,140.00","10,198.95","10,237.95","10,250.45","10,247.84","10,579.00","3,985.30",623343,"6,387,922,119.35",52771,10250.45,0.0050368332448105235
15,22-Feb-2021,EQ,"10,230.00","10,249.20","9,960.15","10,250.45","9,984.80","10,000.60","10,104.83","10,579.00","3,985.30",426908,"4,313,831,132.05",44332,10000.6,-0.024676515865641235
16,23-Feb-2021,EQ,"10,051.00","10,195.00","9,929.15","10,000.60","10,008.60","10,008.65","10,057.26","10,579.00","3,985.30",342610,"3,445,718,106.00",44432,10008.65,0.0008046279030278214
