,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,310.0,325.9,304.9,309.45,324.0,323.25,314.81,481.2,152.2,16423176,"5,170,219,137.40",157779,323.25,
1,02-Feb-2021,EQ,330.0,343.9,328.45,323.25,339.5,339.35,335.93,481.2,152.2,21959784,"7,376,908,023.85",191692,339.35,0.04860600549780081
2,03-Feb-2021,EQ,347.0,347.65,337.15,339.35,342.8,342.85,342.69,481.2,152.2,12611884,"4,321,915,170.45",103408,342.85,0.010261010580606467
3,04-Feb-2021,EQ,338.0,352.0,335.15,342.85,347.0,346.85,345.7,481.2,152.2,14445571,"4,993,903,570.55",151789,346.85,0.011599376100936531
4,05-Feb-2021,EQ,350.0,357.0,328.0,346.85,330.0,329.55,339.07,481.2,152.2,23638691,"8,015,176,206.50",246718,329.55,-0.05116432233258106
5,08-Feb-2021,EQ,331.0,339.0,329.5,329.55,331.05,330.65,332.74,481.2,152.2,8843690,"2,942,605,821.75",97397,330.65,0.003332326621942272
6,09-Feb-2021,EQ,332.4,332.4,323.55,330.65,328.75,328.3,327.62,481.2,152.2,7637014,"2,502,055,175.00",102102,328.3,-0.007132589613124907
7,10-Feb-2021,EQ,330.0,334.45,321.25,328.3,333.6,331.2,327.45,481.2,152.2,8294890,"2,716,139,598.70",102807,331.2,0.008794598003557752
8,11-Feb-2021,EQ,333.55,335.85,329.55,331.2,333.2,332.65,332.21,481.2,152.2,8109340,"2,694,038,524.20",85697,332.65,0.004368463676791556
9,12-Feb-2021,EQ,333.1,341.95,333.1,332.65,338.1,337.5,338.0,481.2,152.2,9455332,"3,195,883,385.80",95799,337.5,0.014474624124688695
10,15-Feb-2021,EQ,341.55,343.9,338.25,337.5,339.75,339.95,340.45,456.55,152.2,5343350,"1,819,137,977.05",62165,339.95,0.007233037659883479
11,16-Feb-2021,EQ,338.95,352.6,336.5,339.95,351.3,350.15,344.96,456.55,152.2,13133247,"4,530,439,210.55",140711,350.15,0.029563086129058114
12,17-Feb-2021,EQ,350.0,353.8,343.65,350.15,347.35,348.25,349.01,456.55,152.2,10556444,"3,684,287,297.30",108209,348.25,-0.0054410214416114044
13,18-Feb-2021,EQ,348.3,353.3,343.0,348.25,345.6,345.65,348.09,456.55,152.2,6616466,"2,303,111,715.50",74272,345.65,-0.007493910268641102
14,19-Feb-2021,EQ,344.7,349.8,335.0,345.65,337.9,337.25,342.59,456.55,152.2,7211011,"2,470,446,109.55",84605,337.25,-0.024602207303408896
15,22-Feb-2021,EQ,336.8,339.15,324.25,337.25,327.95,326.9,330.91,430.7,152.2,7973772,"2,638,604,195.85",101820,326.9,-0.03117018135769989
16,23-Feb-2021,EQ,327.95,330.7,322.65,326.9,325.8,325.3,326.99,430.7,152.2,5397776,"1,764,998,501.50",59025,325.3,-0.004906480250859602
17,24-Feb-2021,EQ,326.8,338.3,324.05,325.3,335.4,335.15,331.81,430.7,152.2,4745325,"1,574,544,966.00",60773,335.15,0.02983035932466116
18,25-Feb-2021,EQ,338.0,346.75,337.5,335.15,342.45,342.2,343.18,430.7,152.2,7641813,"2,622,480,102.65",73036,342.2,0.020817168654126306
19,26-Feb-2021,EQ,334.0,350.75,332.55,342.2,344.7,345.25,342.88,430.7,152.2,12492748,"4,283,492,811.85",126197,345.25,0.00887343083130876
20,01-Mar-2021,EQ,349.0,351.25,336.25,345.25,339.0,338.4,342.06,430.7,152.2,6356872,"2,174,452,707.75",76502,338.4,-0.020040164557333817
21,02-Mar-2021,EQ,341.5,347.3,338.0,338.4,346.0,345.2,342.38,430.7,152.2,4929532,"1,687,777,763.15",59292,345.2,0.019895331477204792
22,03-Mar-2021,EQ,349.0,357.9,347.25,345.2,354.6,354.9,354.24,430.7,152.2,15005074,"5,315,327,487.90",142204,354.9,0.0277121004431784
23,04-Mar-2021,EQ,350.0,362.65,346.0,354.9,355.7,357.4,355.8,430.7,152.2,12043621,"4,285,150,119.85",104925,357.4,0.007019543072876999
24,05-Mar-2021,EQ,352.0,354.4,343.05,357.4,346.9,346.35,348.87,430.7,152.2,5689037,"1,984,744,122.25",59577,346.35,-0.031405778256713646
25,08-Mar-2021,EQ,351.0,356.45,347.15,346.35,351.65,351.9,352.07,430.7,152.2,4872019,"1,715,269,229.95",56365,351.9,0.01589721985892467
26,09-Mar-2021,EQ,354.0,357.9,345.8,351.9,351.05,350.9,352.23,430.7,152.2,5214028,"1,836,540,229.10",60313,350.9,-0.002845761738369923
27,10-Mar-2021,EQ,354.0,355.7,348.05,350.9,348.95,349.7,350.65,430.7,152.2,3037997,"1,065,268,342.90",41412,349.7,-0.0034256385198387918
28,12-Mar-2021,EQ,357.7,360.0,345.5,349.7,348.5,349.2,353.3,430.7,152.2,10034217,"3,545,067,703.25",104743,349.2,-0.0014308201038835122
29,15-Mar-2021,EQ,348.95,350.0,330.0,349.2,340.5,339.4,336.7,430.7,152.2,9257724,"3,117,030,814.95",95892,339.4,-0.02846547116532072
30,16-Mar-2021,EQ,343.75,345.0,334.5,339.4,339.0,339.5,338.75,430.7,152.2,5227735,"1,770,876,573.55",51857,339.5,0.00029459419862476466
31,17-Mar-2021,EQ,339.0,343.3,334.4,339.5,334.85,335.9,337.78,430.7,152.2,4202725,"1,419,616,542.75",46516,335.9,-0.010660450380504116
32,18-Mar-2021,EQ,340.0,343.1,332.4,335.9,338.25,337.7,338.2,430.7,152.2,7645856,"2,585,820,752.80",63309,337.7,0.005344430773274844
33,19-Mar-2021,EQ,335.0,347.5,333.0,337.7,346.2,346.05,341.76,430.7,152.2,10449989,"3,571,353,439.30",87512,346.05,0.024425345896350592
34,22-Mar-2021,EQ,346.05,355.45,343.3,346.05,352.5,352.6,351.81,430.7,152.2,9247050,"3,253,213,570.45",83384,352.6,0.01875099667589808
35,23-Mar-2021,EQ,354.2,366.0,352.95,352.6,365.2,364.65,361.48,430.7,152.2,14375142,"5,196,384,609.30",160418,364.65,0.03360371946647156
36,24-Mar-2021,EQ,365.0,371.0,355.45,364.65,359.0,357.45,363.14,430.7,152.2,10310319,"3,744,127,878.60",118277,357.45,-0.019942497217381394
37,25-Mar-2021,EQ,359.05,361.65,343.6,357.45,351.8,349.95,350.45,430.7,152.2,8907893,"3,121,746,175.65",104674,349.95,-0.021205205077311717
38,26-Mar-2021,EQ,355.25,358.9,344.1,349.95,346.55,345.6,351.33,430.7,152.2,6877101,"2,416,160,401.75",80362,345.6,-0.01250825020564772
39,30-Mar-2021,EQ,350.2,352.3,335.15,345.6,337.0,336.45,341.48,430.7,164.3,8237822,"2,813,079,004.65",92906,336.45,-0.026832487295574303
40,31-Mar-2021,EQ,337.0,343.5,335.0,336.45,338.6,338.9,339.29,430.7,164.3,5960197,"2,022,229,249.45",68274,338.9,0.007255528978679315
41,01-Apr-2021,EQ,341.95,354.95,339.0,338.9,352.3,350.9,345.91,430.7,164.3,5001602,"1,730,124,915.50",65225,350.9,0.03479620397616312
42,05-Apr-2021,EQ,348.7,349.0,328.15,350.9,335.7,335.45,337.13,430.7,164.3,5421081,"1,827,633,407.90",62358,335.45,-0.04502836858027237
43,06-Apr-2021,EQ,338.0,341.5,332.5,335.45,337.6,337.6,337.16,430.7,164.3,3517178,"1,185,863,055.85",39502,337.6,0.0063888487129055704
