,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,68.95,74.4,67.7,68.05,74.1,73.9,71.23,92.75,36.0,88439891,"6,299,880,475.45",181777,73.9,
1,02-Feb-2021,EQ,75.0,76.95,73.35,73.9,74.7,74.65,75.07,92.75,36.0,73020753,"5,481,443,076.20",143252,74.65,0.010097696031042602
2,03-Feb-2021,EQ,75.4,78.85,73.5,74.65,77.2,77.1,76.33,92.75,36.0,65076252,"4,966,988,329.05",123644,77.1,0.03229275658408426
3,04-Feb-2021,EQ,77.1,83.1,76.1,77.1,81.8,82.05,80.04,92.75,36.0,95917593,"7,677,498,320.75",203969,82.05,0.06222553696681654
4,05-Feb-2021,EQ,83.7,89.0,81.7,82.05,82.8,82.5,85.22,92.75,36.0,121275419,"10,335,013,124.00",281652,82.5,0.005469475804535051
5,08-Feb-2021,EQ,83.5,85.1,80.1,82.5,81.5,80.95,82.43,92.3,36.0,44535603,"3,671,206,180.65",109822,80.95,-0.01896661321699078
6,09-Feb-2021,EQ,81.4,83.15,78.95,80.95,80.0,80.2,81.05,92.3,36.0,56527410,"4,581,482,908.50",132051,80.2,-0.009308165251175282
7,10-Feb-2021,EQ,80.1,81.1,78.0,80.2,79.65,79.7,79.57,92.3,36.0,43516962,"3,462,845,051.25",105336,79.7,-0.006253929076299514
8,11-Feb-2021,EQ,79.65,81.2,76.85,79.7,77.25,77.2,78.49,92.3,36.0,65851076,"5,168,871,848.45",156698,77.2,-0.03187012876543882
9,12-Feb-2021,EQ,77.45,79.5,77.0,77.2,78.35,78.35,78.34,92.3,36.0,48490727,"3,798,707,933.30",104724,78.35,0.014786511771299082
10,15-Feb-2021,EQ,79.1,80.7,78.6,78.35,79.65,79.55,79.56,89.0,36.0,39681236,"3,156,999,146.40",82810,79.55,0.015199785981765856
11,16-Feb-2021,EQ,80.4,81.75,78.6,79.55,79.65,79.7,80.13,89.0,36.0,44803164,"3,590,292,179.90",94251,79.7,0.0018838310123738822
12,17-Feb-2021,EQ,79.6,85.5,79.15,79.7,84.15,84.2,83.1,89.0,36.0,109833018,"9,126,928,926.25",248130,84.2,0.0549253354521122
13,18-Feb-2021,EQ,85.5,96.7,84.4,84.2,95.45,95.65,92.51,96.7,36.0,256891275,"23,764,228,942.65",530075,95.65,0.12750077463798082
14,19-Feb-2021,EQ,95.95,99.85,88.65,95.65,91.5,91.2,94.53,99.85,36.0,184205581,"17,413,612,278.95",421744,91.2,-0.04764079880597638
15,22-Feb-2021,EQ,91.4,93.75,88.8,91.2,89.25,89.55,91.2,99.85,36.0,75628484,"6,897,516,918.95",194964,89.55,-0.01825776857356498
16,23-Feb-2021,EQ,90.3,91.6,86.05,89.55,86.3,86.85,88.89,99.85,36.0,68592567,"6,097,014,738.95",159823,86.85,-0.03061463581960666
17,24-Feb-2021,EQ,87.4,90.3,86.4,86.85,88.0,88.35,88.9,99.85,36.0,40874043,"3,633,838,985.95",111272,88.35,0.017123706078590928
18,25-Feb-2021,EQ,89.9,90.65,89.0,88.35,90.0,89.95,89.93,99.85,36.0,52500068,"4,721,133,380.50",114541,89.95,0.017947761630837
19,26-Feb-2021,EQ,86.9,87.2,85.0,89.95,85.2,85.4,86.12,99.85,36.0,87811972,"7,562,263,294.70",222782,85.4,-0.051907859602017936
20,01-Mar-2021,EQ,85.4,86.35,82.9,85.4,83.5,83.35,84.0,99.85,36.0,51758155,"4,347,923,685.60",129322,83.35,-0.024297491597721432
21,02-Mar-2021,EQ,84.0,85.25,83.05,83.35,83.4,83.3,84.1,99.85,36.0,39147694,"3,292,276,230.00",97814,83.3,-0.0006000600240056997
22,03-Mar-2021,EQ,84.1,86.9,84.1,83.3,85.95,85.6,85.75,99.85,36.0,55604904,"4,768,166,571.15",132258,85.6,0.027236733974898897
23,04-Mar-2021,EQ,85.0,87.8,84.15,85.6,85.15,85.8,86.37,99.85,36.0,62171034,"5,369,596,692.80",135952,85.8,0.0023337233462203955
24,05-Mar-2021,EQ,85.2,85.8,79.5,85.8,80.95,80.65,82.17,99.85,36.0,100394468,"8,249,022,725.40",238968,80.65,-0.06190020192269863
25,08-Mar-2021,EQ,82.0,83.5,80.7,80.65,81.25,81.2,82.1,99.85,36.0,49714873,"4,081,524,228.30",133754,81.2,0.0067964425964142094
26,09-Mar-2021,EQ,82.0,82.65,78.65,81.2,80.45,80.3,80.64,99.85,36.0,35236058,"2,841,554,772.70",97224,80.3,-0.011145626214916327
27,10-Mar-2021,EQ,81.35,81.9,79.65,80.3,79.9,80.0,80.37,99.85,36.0,36342485,"2,920,681,593.90",93327,80.0,-0.0037429862788345147
28,12-Mar-2021,EQ,80.75,80.9,76.6,80.0,77.9,77.35,78.57,99.85,36.0,54547934,"4,285,890,950.95",134096,77.35,-0.03368605765480659
29,15-Mar-2021,EQ,77.95,79.7,76.0,77.35,78.9,78.85,77.81,99.85,36.0,74971698,"5,833,525,179.20",151705,78.85,0.019206736389972612
30,16-Mar-2021,EQ,79.5,79.95,76.4,78.85,78.8,78.85,78.6,99.85,36.0,65198270,"5,124,364,642.15",131557,78.85,0.0
31,17-Mar-2021,EQ,78.7,79.0,74.25,78.85,74.35,74.85,76.39,99.85,36.0,47739117,"3,646,589,853.75",124563,74.85,-0.052061202543409735
32,18-Mar-2021,EQ,75.9,76.95,70.9,74.85,72.0,71.95,73.95,99.85,36.0,61825454,"4,572,010,797.35",134570,71.95,-0.03951467753226101
33,19-Mar-2021,EQ,70.85,74.35,69.55,71.95,73.4,73.7,71.96,99.85,36.0,63657565,"4,580,613,828.80",145276,73.7,0.0240313658619149
34,22-Mar-2021,EQ,73.8,74.65,71.75,73.7,72.45,72.45,72.91,99.85,36.0,43215479,"3,150,861,964.10",90179,72.45,-0.017106130428599542
35,23-Mar-2021,EQ,72.9,75.85,72.8,72.45,74.55,74.25,74.33,99.85,36.0,66644024,"4,953,716,867.25",137885,74.25,0.02454110891611716
36,24-Mar-2021,EQ,74.35,75.15,71.35,74.25,71.95,71.8,72.9,99.85,36.0,53558041,"3,904,605,850.65",113005,71.8,-0.033553301628630905
37,25-Mar-2021,EQ,72.0,72.3,68.0,71.8,70.05,70.05,69.98,99.85,36.0,57493782,"4,023,288,281.40",150705,70.05,-0.024675203271161905
38,26-Mar-2021,EQ,71.4,71.9,70.2,70.05,71.15,70.75,70.94,99.85,36.0,34963255,"2,480,312,672.75",74302,70.75,0.009943263740330721
39,30-Mar-2021,EQ,71.9,74.2,70.85,70.75,72.6,72.25,72.26,99.85,36.0,83791986,"6,055,225,149.45",115646,72.25,0.020979790469194626
40,31-Mar-2021,EQ,72.1,75.45,71.7,72.25,74.15,74.1,74.19,99.85,36.0,54265324,"4,025,939,312.75",113243,74.1,0.025283205309500012
41,01-Apr-2021,EQ,74.8,76.0,73.5,74.1,75.65,75.6,74.77,99.85,36.0,38540206,"2,881,549,566.70",88768,75.6,0.020040750883445924
42,05-Apr-2021,EQ,75.1,75.65,70.8,75.6,72.65,72.7,72.59,99.85,36.0,37343942,"2,710,870,896.70",95391,72.7,-0.03911489864601414
43,06-Apr-2021,EQ,72.9,74.3,71.8,72.7,73.1,72.85,73.17,99.85,36.0,38056228,"2,784,677,960.85",75493,72.85,0.0020611481017400735
44,07-Apr-2021,EQ,72.9,75.55,72.25,72.85,74.0,74.1,74.29,99.85,36.0,40294171,"2,993,517,351.85",82239,74.1,0.017012999660828143
45,08-Apr-2021,EQ,74.4,75.6,73.25,74.1,73.5,73.5,74.45,99.85,36.0,38186842,"2,842,969,093.55",72173,73.5,-0.008130126083250921
46,09-Apr-2021,EQ,73.4,77.4,72.9,73.5,74.15,74.0,75.41,99.85,36.0,57888088,"4,365,455,778.95",118956,74.0,0.006779686985379563
47,12-Apr-2021,EQ,72.0,72.0,63.25,74.0,66.9,66.1,67.32,99.85,36.0,77084143,"5,189,550,360.35",197595,66.1,-0.11289634634652934
48,13-Apr-2021,EQ,67.15,69.3,66.3,66.1,68.9,68.9,67.91,99.85,36.0,49363120,"3,352,111,360.70",101154,68.9,0.041487431161971955
