,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,49.85,55.4,49.6,49.8,53.6,53.45,52.44,67.2,30.4,10537553,"552,602,366.35",30016,53.45,
1,02-Feb-2021,EQ,54.0,55.15,51.6,53.45,53.1,53.4,53.36,67.2,30.4,11979786,"639,256,149.65",28840,53.4,-0.0009358915049051397
2,03-Feb-2021,EQ,53.9,54.9,52.5,53.4,53.95,54.0,53.9,67.2,30.4,8584468,"462,666,064.10",20966,54.0,0.01117330059812538
3,04-Feb-2021,EQ,53.9,57.95,53.15,54.0,57.45,57.4,56.36,67.2,30.4,24069542,"1,356,631,130.50",55912,57.4,0.06106025676124638
4,05-Feb-2021,EQ,58.5,63.45,58.5,57.4,59.45,59.55,60.88,67.2,30.4,31909754,"1,942,600,101.60",81326,59.55,0.03677199247578855
5,08-Feb-2021,EQ,60.35,62.45,58.15,59.55,59.4,59.05,59.31,65.4,30.4,8201504,"486,400,924.25",25386,59.05,-0.008431753157938537
6,09-Feb-2021,EQ,59.15,62.0,57.35,59.05,59.15,59.25,60.0,65.4,30.4,11395962,"683,730,302.85",32273,59.25,0.003381237371869794
7,10-Feb-2021,EQ,59.8,61.85,58.6,59.25,60.65,60.8,60.52,65.4,30.4,13888342,"840,547,468.50",43511,60.8,0.02582400895688064
8,11-Feb-2021,EQ,61.0,62.05,59.15,60.8,59.4,59.8,60.57,65.4,30.4,5963601,"361,199,954.05",23689,59.8,-0.016584128015534993
9,12-Feb-2021,EQ,59.25,60.55,58.6,59.8,58.65,58.85,59.6,65.4,30.4,4074956,"242,879,275.45",16836,58.85,-0.016013827250300317
10,15-Feb-2021,EQ,59.2,60.15,58.55,58.85,58.8,58.85,59.2,63.45,30.4,3945828,"233,591,855.20",12290,58.85,0.0
11,16-Feb-2021,EQ,63.5,70.6,62.3,58.85,70.6,70.6,66.64,70.6,30.4,57354880,"3,822,126,328.45",155803,70.6,0.18203831079291
12,17-Feb-2021,EQ,71.7,84.7,71.0,70.6,84.7,84.7,81.47,84.7,30.4,105678632,"8,609,919,219.75",287472,84.7,0.18208545715881286
13,18-Feb-2021,EQ,88.85,93.15,87.5,84.7,93.15,93.15,92.2,93.15,30.4,45153208,"4,163,082,028.15",129920,93.15,0.09509549538958861
14,19-Feb-2021,EQ,95.9,101.4,83.85,93.15,83.85,84.3,92.5,101.4,30.4,65963704,"6,101,693,047.65",240816,84.3,-0.099829232039788
15,22-Feb-2021,EQ,82.5,88.75,77.6,84.3,85.2,87.2,83.7,101.4,30.4,37712527,"3,156,557,020.45",146740,87.2,0.03382246590712423
16,23-Feb-2021,EQ,86.7,88.3,82.65,87.2,83.1,83.55,85.69,101.4,30.4,14036172,"1,202,764,498.45",55222,83.55,-0.04275907587353078
17,24-Feb-2021,EQ,84.6,90.25,84.2,83.55,87.3,87.15,87.61,101.4,30.4,15407692,"1,349,855,047.45",65178,87.15,0.042185516924627464
18,25-Feb-2021,EQ,88.7,89.7,86.05,87.15,86.3,86.5,87.33,101.4,30.4,9856511,"860,757,283.15",37827,86.5,-0.007486358028196527
19,26-Feb-2021,EQ,84.0,84.9,82.1,86.5,82.5,82.45,83.23,101.4,30.4,6626295,"551,529,661.85",32996,82.45,-0.04795236493222621
20,01-Mar-2021,EQ,83.3,84.2,80.6,82.45,81.0,80.9,81.96,101.4,30.4,4473304,"366,652,498.00",23554,80.9,-0.018978224941161415
21,02-Mar-2021,EQ,81.4,82.6,80.1,80.9,80.35,80.4,81.11,101.4,30.4,4179426,"339,003,024.35",21071,80.4,-0.006199647879525649
22,03-Mar-2021,EQ,81.1,84.85,80.3,80.4,80.6,80.65,82.01,101.4,30.4,7910798,"648,751,172.40",32093,80.65,0.0031046283862972146
23,04-Mar-2021,EQ,80.05,81.85,79.5,80.65,79.8,79.7,80.6,101.4,30.4,4502499,"362,913,393.80",17750,79.7,-0.01184921877504852
24,05-Mar-2021,EQ,80.0,80.5,76.5,79.7,77.0,76.9,77.86,101.4,30.4,4836960,"376,603,585.10",18851,76.9,-0.035763709284570844
25,08-Mar-2021,EQ,81.8,84.55,79.7,76.9,81.55,81.55,82.88,101.4,30.4,14980157,"1,241,617,562.40",62481,81.55,0.05871045255542473
26,09-Mar-2021,EQ,82.2,82.8,77.25,81.55,78.1,77.9,79.14,101.4,30.4,6577597,"520,539,122.45",30393,77.9,-0.04579037619032089
27,10-Mar-2021,EQ,78.7,79.1,76.55,77.9,77.0,76.95,77.34,101.4,30.4,3786508,"292,855,731.10",16518,76.95,-0.012270092591814219
28,12-Mar-2021,EQ,77.85,78.5,75.2,76.95,76.1,75.85,76.82,101.4,30.4,3944641,"303,037,109.45",17998,75.85,-0.014398154490346649
29,15-Mar-2021,EQ,76.4,76.55,72.65,75.85,73.5,73.6,73.56,101.4,30.9,4152352,"305,429,383.65",18428,73.6,-0.030112680059710684
30,16-Mar-2021,EQ,74.2,74.2,71.6,73.6,71.9,71.95,72.64,101.4,30.9,3631166,"263,764,144.65",14858,71.95,-0.02267359240145428
31,17-Mar-2021,EQ,72.35,72.6,68.15,71.95,68.45,68.6,70.5,101.4,30.9,3843901,"270,982,769.65",17142,68.6,-0.04767889860153662
32,18-Mar-2021,EQ,69.6,70.1,64.65,68.6,65.8,65.3,67.24,101.4,30.9,5656035,"380,300,929.75",23170,65.3,-0.04930049844945472
33,19-Mar-2021,EQ,64.25,67.0,62.5,65.3,66.95,66.7,65.13,101.4,30.9,6748587,"439,540,159.55",25681,66.7,0.021212916639193224
34,22-Mar-2021,EQ,67.0,69.25,66.35,66.7,68.2,68.4,68.22,101.4,30.9,4182860,"285,374,170.75",19346,68.4,0.025167871706926803
35,23-Mar-2021,EQ,69.35,75.2,69.05,68.4,75.2,75.2,71.95,101.4,30.9,12223535,"879,467,272.35",41539,75.2,0.09477840632728896
36,24-Mar-2021,EQ,78.0,80.9,70.7,75.2,71.2,72.1,77.1,101.4,30.9,19427869,"1,497,961,599.65",76652,72.1,-0.04209718666489071
