,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,"1,511.90","1,536.90","1,477.00","1,501.30","1,530.00","1,531.30","1,506.98","1,895.45","1,000.00",401486,"605,029,670.45",21031,1531.3,
1,02-Feb-2021,EQ,"1,549.90","1,559.95","1,518.15","1,531.30","1,541.95","1,540.55","1,539.72","1,895.45","1,000.00",440122,"677,662,679.00",21579,1540.55,0.006022447683326604
2,03-Feb-2021,EQ,"1,546.00","1,589.00","1,536.90","1,540.55","1,577.00","1,569.85","1,567.92","1,895.45","1,000.00",838170,"1,314,186,436.90",32868,1569.85,0.018840577872221154
3,04-Feb-2021,EQ,"1,575.00","1,595.95","1,565.10","1,569.85","1,591.15","1,590.20","1,584.44","1,895.45","1,000.00",473717,"750,577,111.00",18960,1590.2,0.012879721090674146
4,05-Feb-2021,EQ,"1,591.00","1,602.00","1,545.45","1,590.20","1,550.25","1,548.20","1,563.37","1,895.45","1,000.00",645291,"1,008,825,404.20",24370,1548.2,-0.026766828696770162
5,08-Feb-2021,EQ,"1,555.10","1,597.95","1,555.00","1,548.20","1,591.00","1,592.70","1,582.85","1,844.80","1,000.00",755764,"1,196,262,519.95",30688,1592.7,0.02833772348712227
6,09-Feb-2021,EQ,"1,601.00","1,602.60","1,571.10","1,592.70","1,574.00","1,574.80","1,584.61","1,844.80","1,000.00",519405,"823,056,522.20",21412,1574.8,-0.011302409188153284
7,10-Feb-2021,EQ,"1,574.00","1,591.00","1,544.60","1,574.80","1,567.10","1,569.05","1,560.59","1,844.80","1,000.00",719984,"1,123,601,036.75",33945,1569.05,-0.0036579394128208875
8,11-Feb-2021,EQ,"1,492.00","1,542.60","1,461.10","1,569.05","1,528.00","1,531.45","1,506.38","1,844.80","1,000.00",4748507,"7,153,047,213.40",215431,1531.45,-0.024255341647863027
9,12-Feb-2021,EQ,"1,536.20","1,568.80","1,522.50","1,531.45","1,531.80","1,527.45","1,547.37","1,844.80","1,000.00",1069067,"1,654,242,721.25",32235,1527.45,-0.0026153207231143227
10,15-Feb-2021,EQ,"1,535.00","1,563.60","1,525.00","1,527.45","1,551.00","1,553.05","1,550.29","1,824.85","1,000.00",1111388,"1,722,968,699.70",42974,1553.05,0.01662106109479211
11,16-Feb-2021,EQ,"1,551.10","1,564.00","1,521.00","1,553.05","1,524.90","1,524.65","1,537.53","1,824.85","1,000.00",426008,"654,998,857.05",19576,1524.65,-0.018455863876821965
12,17-Feb-2021,EQ,"1,524.90","1,529.20","1,499.10","1,524.65","1,510.00","1,509.35","1,508.81","1,824.85","1,000.00",588985,"888,665,174.05",27699,1509.35,-0.010085780946985423
13,18-Feb-2021,EQ,"1,518.65","1,527.70","1,495.55","1,509.35","1,515.95","1,515.45","1,511.97","1,824.85","1,000.00",595494,"900,371,854.30",21031,1515.45,0.0040333299850825455
