,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,130.0,134.8,125.6,130.05,133.25,133.7,130.26,141.0,56.0,15800000,"2,058,106,854.50",84410,133.7,
1,02-Feb-2021,EQ,134.75,136.8,131.4,133.7,134.0,133.5,133.9,141.0,56.0,10738562,"1,437,905,366.75",58531,133.5,-0.0014970062675931928
2,03-Feb-2021,EQ,134.2,141.2,134.15,133.5,139.25,139.1,138.41,141.2,56.0,21146786,"2,926,956,321.35",98287,139.1,0.04109162108909281
3,04-Feb-2021,EQ,139.75,141.8,137.05,139.1,141.0,140.95,140.3,141.8,56.0,18344056,"2,573,655,067.65",73051,140.95,0.013212118630724135
4,05-Feb-2021,EQ,142.0,143.2,138.7,140.95,140.4,140.2,140.92,143.2,56.0,9954380,"1,402,764,957.50",47846,140.2,-0.005335242959631614
5,08-Feb-2021,EQ,141.2,143.0,139.5,140.2,140.5,140.75,141.29,143.2,56.0,10642397,"1,503,674,116.15",62200,140.75,0.003915292419310212
6,09-Feb-2021,EQ,141.45,142.0,137.4,140.75,138.3,137.95,139.48,143.2,56.0,16102258,"2,245,978,353.15",67624,137.95,-0.020093966356505177
7,10-Feb-2021,EQ,138.9,142.35,138.35,137.95,140.3,139.85,139.87,143.2,56.0,11220712,"1,569,450,814.60",60146,139.85,0.013679118984674332
8,11-Feb-2021,EQ,139.3,140.5,134.6,139.85,135.8,135.4,137.37,143.2,56.0,11797598,"1,620,583,622.55",49560,135.4,-0.03233705916979446
9,12-Feb-2021,EQ,135.85,137.0,134.15,135.4,136.2,136.25,135.77,143.2,56.0,8268755,"1,122,632,484.40",38389,136.25,0.006258073065178671
10,15-Feb-2021,EQ,137.35,137.95,134.8,136.25,136.0,136.1,136.22,143.2,56.0,7807418,"1,063,548,680.70",37714,136.1,-0.0011015238859330978
11,16-Feb-2021,EQ,136.1,138.45,132.55,136.1,133.6,133.15,135.51,143.2,56.0,16238431,"2,200,423,614.25",71313,133.15,-0.021913597397478668
12,17-Feb-2021,EQ,132.1,139.75,132.1,133.15,139.0,139.1,136.69,143.2,56.0,15410572,"2,106,490,155.15",70819,139.1,0.043716786669455665
13,18-Feb-2021,EQ,139.35,143.9,137.85,139.1,141.2,141.55,140.56,143.9,56.0,14549793,"2,045,169,493.80",76632,141.55,0.017459912628511987
14,19-Feb-2021,EQ,140.4,142.7,133.0,141.55,135.5,135.4,138.28,143.9,56.0,17212311,"2,380,134,896.90",87715,135.4,-0.04441965107973456
15,22-Feb-2021,EQ,135.5,136.55,129.25,135.4,130.0,130.3,132.3,143.9,56.0,9555001,"1,264,103,373.15",57256,130.3,-0.03839387634737523
16,23-Feb-2021,EQ,131.25,135.6,130.25,130.3,135.1,134.2,132.94,143.9,56.0,10706432,"1,423,343,375.45",48717,134.2,0.029491740406782263
17,24-Feb-2021,EQ,135.65,138.95,135.2,134.2,136.15,136.35,137.23,143.9,56.0,7552240,"1,036,425,261.50",41062,136.35,0.015893884754015986
18,25-Feb-2021,EQ,137.1,143.0,137.05,136.35,142.2,141.7,140.33,143.9,56.0,19775340,"2,775,077,497.50",84911,141.7,0.03848703740503723
19,26-Feb-2021,EQ,139.35,142.35,136.0,141.7,136.65,137.1,138.85,143.9,56.0,12877803,"1,788,138,238.05",64055,137.1,-0.033001560128366414
20,01-Mar-2021,EQ,138.7,147.0,137.95,137.1,146.6,145.95,143.48,147.0,56.0,20686485,"2,968,013,140.80",106098,145.95,0.06255351073185533
21,02-Mar-2021,EQ,147.95,153.55,146.5,145.95,151.8,151.5,150.38,153.55,56.0,35563722,"5,348,089,665.55",179830,151.5,0.037321527649299746
22,03-Mar-2021,EQ,152.85,154.0,150.7,151.5,152.7,152.9,152.44,154.0,56.0,13219786,"2,015,227,560.10",72383,152.9,0.009198487985592863
23,04-Mar-2021,EQ,151.5,154.95,150.05,152.9,152.7,152.8,153.08,154.95,56.0,10111300,"1,547,882,561.95",51325,152.8,-0.0006542362025960813
24,05-Mar-2021,EQ,150.8,153.0,144.75,152.8,147.35,147.0,148.54,154.95,56.0,9713987,"1,442,868,985.95",56478,147.0,-0.038697289953684155
25,08-Mar-2021,EQ,148.0,150.7,144.2,147.0,145.7,145.05,147.07,154.95,56.0,11561786,"1,700,338,597.75",51333,145.05,-0.013354076211323118
26,09-Mar-2021,EQ,146.05,147.4,139.25,145.05,140.1,140.0,142.2,154.95,56.0,12371248,"1,759,152,160.55",59598,140.0,-0.03543608795810904
27,10-Mar-2021,EQ,141.4,142.65,139.05,140.0,139.6,139.75,140.29,154.95,56.0,8082556,"1,133,879,437.55",41812,139.75,-0.0017873105740955353
28,12-Mar-2021,EQ,142.25,143.5,139.25,139.75,140.0,140.05,141.53,154.95,56.0,13199775,"1,868,127,177.25",65395,140.05,0.0021443896709092414
29,15-Mar-2021,EQ,141.35,141.35,133.4,140.05,137.0,137.1,136.25,154.95,56.0,10062650,"1,371,013,172.25",51265,137.1,-0.02128891513784925
30,16-Mar-2021,EQ,137.5,138.55,135.5,137.1,137.5,137.85,137.22,154.95,56.0,9757790,"1,338,949,312.90",41623,137.85,0.005455550901537265
