,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,713.1,724.7,698.4,706.85,722.5,720.85,710.72,822.95,389.35,1117330,"794,113,476.10",31366,720.85,
1,02-Feb-2021,EQ,731.9,746.45,720.7,720.85,724.5,724.45,728.1,822.95,389.35,1753803,"1,276,941,735.05",30730,724.45,0.00498167500881852
2,03-Feb-2021,EQ,737.0,737.0,715.3,724.45,728.4,728.95,724.58,822.95,389.35,1579882,"1,144,753,081.50",28968,728.95,0.006192396284100177
3,04-Feb-2021,EQ,730.7,736.0,722.0,728.95,736.0,733.8,728.83,822.95,389.35,930297,"678,024,988.50",17754,733.8,0.006631369370350804
4,05-Feb-2021,EQ,737.4,740.6,720.0,733.8,730.0,730.15,727.91,822.95,389.35,886998,"645,653,472.75",17414,730.15,-0.0049865194347011865
5,08-Feb-2021,EQ,742.7,758.0,728.2,730.15,756.0,751.95,746.1,822.95,389.35,2158216,"1,610,237,664.45",40483,751.95,0.029419839891141386
6,09-Feb-2021,EQ,758.4,769.5,752.7,751.95,768.0,762.15,763.16,822.95,389.35,2718805,"2,074,883,722.20",58227,762.15,0.013473554330228232
7,10-Feb-2021,EQ,780.0,792.8,746.1,762.15,762.0,762.8,766.51,822.95,389.35,8686682,"6,658,404,120.45",170023,762.8,0.0008524870184132283
8,11-Feb-2021,EQ,763.0,775.0,756.7,762.8,770.5,771.75,767.28,822.95,389.35,1605676,"1,231,999,462.75",30031,771.75,0.011664789656005148
9,12-Feb-2021,EQ,770.3,773.0,753.7,771.75,768.0,770.35,762.94,822.95,389.35,1497926,"1,142,833,384.85",29773,770.35,-0.0018157063544848029
10,15-Feb-2021,EQ,765.0,774.9,760.5,770.35,765.45,764.05,766.26,822.95,389.35,914748,"700,939,007.50",15220,764.05,-0.00821172497651812
11,16-Feb-2021,EQ,760.0,771.8,751.6,764.05,757.9,759.55,759.44,822.95,389.35,1188250,"902,398,815.95",26822,759.55,-0.0059070793975939395
12,17-Feb-2021,EQ,759.0,761.95,746.0,759.55,751.0,752.25,752.63,822.95,389.35,1006265,"757,346,472.15",20215,752.25,-0.009657437143517633
