,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,587.0,621.3,576.5,583.8,615.8,613.25,599.94,676.9,207.5,2812694,"1,687,448,303.00",44855,613.25,
1,02-Feb-2021,EQ,620.0,650.7,618.5,613.25,650.0,648.4,636.27,676.9,207.5,4078912,"2,595,281,572.85",66932,648.4,0.05573510672292237
2,03-Feb-2021,EQ,659.9,668.0,631.45,648.4,634.0,634.35,641.56,676.9,207.5,3529045,"2,264,095,415.35",68028,634.35,-0.021906937274914107
3,04-Feb-2021,EQ,634.0,642.4,625.1,634.35,630.0,629.05,631.66,676.9,207.5,1822926,"1,151,478,536.90",41651,629.05,-0.008390107789467471
4,05-Feb-2021,EQ,632.0,646.0,615.0,629.05,620.0,617.9,627.95,676.9,207.5,2202933,"1,383,330,566.50",39233,617.9,-0.01788411273020607
5,08-Feb-2021,EQ,621.0,645.0,620.0,617.9,643.75,643.05,635.39,676.9,207.5,2427690,"1,542,528,325.90",76862,643.05,0.039895849645162684
6,09-Feb-2021,EQ,647.95,655.65,638.85,643.05,645.2,645.3,649.73,676.9,207.5,3422137,"2,223,478,303.60",80675,645.3,0.003492843229698117
7,10-Feb-2021,EQ,649.0,659.0,637.35,645.3,656.9,655.9,648.42,676.9,207.5,2813641,"1,824,410,377.80",69829,655.9,0.016293013357895347
8,11-Feb-2021,EQ,653.25,666.65,644.15,655.9,646.9,647.9,656.58,676.9,207.5,2694261,"1,768,999,281.10",48336,647.9,-0.012271974843778288
9,12-Feb-2021,EQ,649.85,654.0,623.75,647.9,642.35,640.1,640.77,676.9,207.5,6216143,"3,983,101,691.60",100152,640.1,-0.012111949307953118
10,15-Feb-2021,EQ,635.55,651.8,616.0,640.1,626.0,628.05,624.94,676.9,207.5,3836869,"2,397,810,138.00",63278,628.05,-0.01900463301469646
11,16-Feb-2021,EQ,628.5,639.7,622.0,628.05,632.0,630.75,630.14,676.9,207.5,2209598,"1,392,355,199.30",39266,630.75,0.00428980638790577
12,17-Feb-2021,EQ,632.0,653.4,629.2,630.75,636.0,637.75,643.36,676.9,207.5,3584057,"2,305,844,150.50",61021,637.75,0.011036769500753607
13,18-Feb-2021,EQ,644.0,645.6,626.6,637.75,626.6,633.05,636.32,676.9,207.5,1883851,"1,198,728,105.90",49150,633.05,-0.007396949055658908
14,19-Feb-2021,EQ,630.85,630.85,595.05,633.05,603.8,603.0,610.86,676.9,207.5,2933921,"1,792,221,084.35",42648,603.0,-0.04863221123907646
15,22-Feb-2021,EQ,603.8,607.7,583.6,603.0,585.95,588.6,591.43,676.9,207.5,3466097,"2,049,957,376.85",53079,588.6,-0.02417036092781366
16,23-Feb-2021,EQ,608.95,620.0,588.95,588.6,607.05,608.55,605.47,676.9,207.5,5335514,"3,230,474,841.35",103130,608.55,0.03333224252119393
17,24-Feb-2021,EQ,613.8,617.7,600.0,608.55,602.9,602.4,609.12,676.9,207.5,1068009,"650,540,591.30",16352,602.4,-0.01015740183488223
18,25-Feb-2021,EQ,607.8,623.7,604.3,602.4,622.5,620.85,616.87,676.9,207.5,2384168,"1,470,731,494.35",52441,620.85,0.030167830377167526
19,26-Feb-2021,EQ,608.4,615.9,597.5,620.85,610.0,610.05,607.33,676.9,207.5,3448159,"2,094,185,848.10",70300,610.05,-0.017548585841508313
20,01-Mar-2021,EQ,619.6,627.3,611.3,610.05,618.2,618.5,618.85,676.9,207.5,1894304,"1,172,295,929.10",29717,618.5,0.013756270811200011
21,02-Mar-2021,EQ,624.9,647.15,616.65,618.5,637.0,636.65,633.0,676.9,207.5,3305660,"2,092,497,397.80",64325,636.65,0.0289228621869011
22,03-Mar-2021,EQ,648.8,650.0,628.8,636.65,630.5,630.55,636.23,676.9,207.5,2123361,"1,350,945,728.65",38698,630.55,-0.009627599617560989
23,04-Mar-2021,EQ,632.0,648.8,615.0,630.55,641.2,641.5,638.61,676.9,207.5,3679029,"2,349,456,637.60",43843,641.5,0.01721672965380794
24,05-Mar-2021,EQ,640.8,641.85,613.75,641.5,620.95,617.7,625.15,676.9,207.5,1620601,"1,013,112,378.00",32231,617.7,-0.03780628135383779
25,08-Mar-2021,EQ,627.0,641.95,615.75,617.7,619.85,618.95,626.85,676.9,207.5,3257881,"2,042,194,454.15",54477,618.95,0.002021591275966017
26,09-Mar-2021,EQ,625.0,631.1,605.7,618.95,611.4,612.9,616.96,676.9,207.5,1553213,"958,264,319.05",32582,612.9,-0.009822703486133122
27,10-Mar-2021,EQ,619.95,626.0,611.55,612.9,625.8,622.6,620.53,676.9,207.5,1609145,"998,527,692.55",24100,622.6,0.015702467515821716
28,12-Mar-2021,EQ,628.1,631.75,612.3,622.6,616.85,616.6,622.9,676.9,207.5,1106334,"689,135,628.00",17208,616.6,-0.009683742555457897
29,15-Mar-2021,EQ,619.0,620.5,602.05,616.6,614.85,613.3,609.72,676.9,207.5,1304064,"795,117,193.80",28348,613.3,-0.005366302820111635
30,16-Mar-2021,EQ,616.5,621.2,609.0,613.3,611.5,611.0,614.6,676.9,207.5,1206829,"741,715,044.30",26121,611.0,-0.0037572534603427243
31,17-Mar-2021,EQ,619.0,623.75,581.35,611.0,594.95,591.05,605.51,676.9,207.5,2598606,"1,573,470,569.10",39974,591.05,-0.03319634297520935
32,18-Mar-2021,EQ,602.05,605.0,581.5,591.05,587.65,587.1,593.82,676.9,207.5,1811009,"1,075,414,569.50",25710,587.1,-0.0067054531262460415
33,19-Mar-2021,EQ,581.95,604.0,579.75,587.1,600.0,600.05,593.69,676.9,207.5,2863512,"1,700,045,128.15",60246,600.05,0.02181782200730975
34,22-Mar-2021,EQ,591.0,607.95,591.0,600.05,596.95,596.85,599.42,676.9,207.5,1512975,"906,912,630.10",31421,596.85,-0.005347159536402302
35,23-Mar-2021,EQ,599.9,601.45,588.8,596.85,595.5,595.1,596.01,676.9,207.5,1350302,"804,792,219.15",31121,595.1,-0.0029363668902409046
36,24-Mar-2021,EQ,590.0,602.6,578.05,595.1,580.95,581.0,587.95,676.9,207.5,2689937,"1,581,553,154.55",80138,581.0,-0.02397870179889594
37,25-Mar-2021,EQ,580.2,587.45,568.3,581.0,569.2,570.55,575.55,676.9,207.5,2936971,"1,690,362,404.55",56199,570.55,-0.018149948971221797
38,26-Mar-2021,EQ,574.05,592.95,574.05,570.55,589.0,587.25,586.96,676.9,207.5,1602949,"940,860,376.60",31810,587.25,0.028849815658333
39,30-Mar-2021,EQ,593.0,600.45,588.35,587.25,590.0,590.65,594.42,676.9,207.5,933525,"554,904,113.40",24473,590.65,0.005773001855506443
40,31-Mar-2021,EQ,590.85,597.75,588.5,590.65,596.0,595.95,593.76,676.9,207.5,846169,"502,424,035.45",19895,595.95,0.008933145534189002
41,01-Apr-2021,EQ,603.8,616.0,596.25,595.95,612.5,613.35,605.73,676.9,207.5,1338081,"810,513,138.20",33152,613.35,0.028778964550043362
42,05-Apr-2021,EQ,612.95,617.0,588.85,613.35,608.5,608.65,603.36,676.9,207.5,1296370,"782,173,791.75",24432,608.65,-0.007692345623155461
43,06-Apr-2021,EQ,613.3,624.8,605.0,608.65,622.8,619.45,614.52,676.9,207.5,1512152,"929,248,893.90",30230,619.45,0.017588597706142295
44,07-Apr-2021,EQ,623.0,625.0,608.2,619.45,612.35,612.4,612.97,676.9,207.5,1214445,"744,417,918.70",20836,612.4,-0.011446323778218748
45,08-Apr-2021,EQ,615.0,621.5,613.0,612.4,614.95,614.85,617.21,676.9,207.5,833770,"514,609,075.05",19726,614.85,0.003992671834927464
46,09-Apr-2021,EQ,616.85,626.9,609.0,614.85,610.0,610.25,617.83,676.9,207.5,1360268,"840,408,911.50",26594,610.25,-0.007509626345386877
47,12-Apr-2021,EQ,600.0,600.0,574.3,610.25,583.8,581.0,584.27,676.9,229.0,1534224,"896,404,538.55",37083,581.0,-0.049117952421158684
48,13-Apr-2021,EQ,581.6,595.15,578.75,581.0,588.0,590.55,587.27,676.9,229.0,1049508,"616,345,483.70",18471,590.55,0.016303549205945345
49,15-Apr-2021,EQ,591.95,597.15,559.0,590.55,574.2,575.05,571.78,676.9,229.0,2270249,"1,298,090,337.40",40840,575.05,-0.026597312519266225
50,16-Apr-2021,EQ,578.1,597.4,575.05,575.05,587.95,586.75,586.4,676.9,229.0,1931848,"1,132,845,280.30",45685,586.75,0.02014184119254292
51,19-Apr-2021,EQ,562.0,574.4,555.75,586.75,561.0,560.85,562.89,676.9,250.6,3335665,"1,877,605,681.45",69034,560.85,-0.04514534463990039
52,20-Apr-2021,EQ,573.8,590.75,564.0,560.85,572.2,575.35,579.52,676.9,250.6,2630705,"1,524,547,963.05",46902,575.35,0.025525061178234942
53,22-Apr-2021,EQ,570.0,590.8,566.1,575.35,588.95,588.65,581.13,676.9,250.6,2278786,"1,324,276,369.15",35359,588.65,0.022853228254738234
54,23-Apr-2021,EQ,588.0,597.7,577.65,588.65,582.65,582.35,588.07,676.9,250.6,1815472,"1,067,616,756.95",39163,582.35,-0.010760137975545092
55,26-Apr-2021,EQ,584.8,588.5,568.5,582.35,576.1,576.55,580.11,676.9,263.1,2356930,"1,367,270,648.70",38115,576.55,-0.010009575331535459
56,27-Apr-2021,EQ,580.75,598.8,573.75,576.55,595.0,595.6,586.72,676.9,263.1,1733010,"1,016,799,285.45",38185,595.6,0.032507234592729084
57,28-Apr-2021,EQ,598.8,606.15,587.2,595.6,593.0,592.45,596.61,676.9,263.1,2506260,"1,495,248,045.00",51165,592.45,-0.005302819547105209
58,29-Apr-2021,EQ,598.0,613.1,586.3,592.45,605.0,604.7,600.32,676.9,263.1,3162769,"1,898,683,772.20",55631,604.7,0.02046598601641847
59,30-Apr-2021,EQ,602.75,621.0,595.25,604.7,610.45,610.4,611.23,676.9,263.1,3022088,"1,847,177,899.05",49538,610.4,0.009382012691079744
60,03-May-2021,EQ,602.55,619.8,598.6,610.4,618.0,616.1,610.62,676.9,263.1,1066735,"651,368,734.80",15617,616.1,0.009294808050277936
61,04-May-2021,EQ,619.9,654.05,618.6,616.1,631.95,631.8,641.62,676.9,263.1,5956470,"3,821,760,864.75",92302,631.8,0.02516360034745979
62,05-May-2021,EQ,632.0,643.0,623.25,631.8,639.35,639.7,635.79,676.9,263.1,2287909,"1,454,638,188.95",37216,639.7,0.012426428088106789
63,06-May-2021,EQ,640.05,647.8,632.85,639.7,643.95,642.9,641.28,676.9,263.1,1499277,"961,456,600.80",28659,642.9,0.004989874691549545
64,07-May-2021,EQ,643.75,650.7,633.6,642.9,634.0,636.8,642.15,676.9,263.1,1722259,"1,105,953,374.15",32650,636.8,-0.009533556617467909
65,10-May-2021,EQ,640.7,656.5,640.05,636.8,651.0,650.2,650.81,676.9,263.1,2940598,"1,913,762,366.05",46551,650.2,0.020824373339631386
66,11-May-2021,EQ,645.9,672.45,641.1,650.2,666.0,668.25,661.73,676.9,263.1,3503310,"2,318,239,678.35",65787,668.25,0.027382347149223385
67,12-May-2021,EQ,670.65,670.65,650.0,668.25,663.5,664.65,660.02,676.9,263.1,1593136,"1,051,505,032.95",35887,664.65,-0.005401768705420196
68,14-May-2021,EQ,666.9,668.5,642.05,664.65,647.0,648.25,651.86,676.9,263.1,1678843,"1,094,373,944.10",37658,648.25,-0.024984161894834322
69,17-May-2021,EQ,650.0,668.4,642.0,648.25,654.9,655.25,659.14,676.9,263.1,1497726,"987,217,824.35",44298,655.25,0.010740417784742107
70,18-May-2021,EQ,665.0,689.0,655.0,655.25,678.3,678.65,678.41,689.0,263.1,5293348,"3,591,055,303.35",92143,678.65,0.035088688540458435
71,19-May-2021,EQ,679.8,687.4,672.8,678.65,677.0,679.35,681.15,689.0,263.1,2096140,"1,427,786,208.45",40501,679.35,0.0010309279263580606
72,20-May-2021,EQ,681.0,684.35,654.0,679.35,658.0,656.0,664.56,689.0,263.1,1943758,"1,291,741,679.20",41206,656.0,-0.03497566972624355
73,21-May-2021,EQ,660.0,663.5,643.0,656.0,646.0,644.65,648.82,689.0,263.1,2695667,"1,749,014,926.35",70220,644.65,-0.017453255087241715
74,24-May-2021,EQ,648.7,662.0,646.8,644.65,653.25,651.45,654.54,689.0,286.7,2281114,"1,493,089,768.70",40755,651.45,0.01049311379209339
75,25-May-2021,EQ,655.0,663.3,652.0,651.45,657.5,658.2,658.07,689.0,286.7,1228450,"808,400,740.85",24992,658.2,0.010308188860299161
76,26-May-2021,EQ,659.0,679.25,656.65,658.2,669.55,667.9,669.82,689.0,286.7,2464662,"1,650,870,830.85",39531,667.9,0.014629625222350562
77,27-May-2021,EQ,669.75,684.5,665.3,667.9,681.9,682.75,677.14,689.0,286.7,2885516,"1,953,894,930.80",48343,682.75,0.021990298622224458
78,28-May-2021,EQ,689.8,694.85,674.1,682.75,676.8,677.55,686.38,694.85,286.7,4109401,"2,820,619,728.35",62073,677.55,-0.007645409585091301
79,31-May-2021,EQ,678.0,686.0,673.05,677.55,675.0,677.85,679.48,694.85,306.6,1413697,"960,583,169.10",33248,677.85,0.00044267375667494946
80,01-Jun-2021,EQ,682.0,687.7,660.1,677.85,667.9,666.65,672.08,694.85,306.6,1612530,"1,083,743,078.55",29129,666.65,-0.016660853963930577
81,02-Jun-2021,EQ,668.0,701.95,667.0,666.65,698.45,697.5,690.51,701.95,306.6,3349283,"2,312,717,251.60",55253,697.5,0.04523734313405292
82,03-Jun-2021,EQ,700.65,704.9,682.5,697.5,697.0,695.9,691.16,704.9,306.6,3687431,"2,548,590,050.80",56775,695.9,-0.00229654184471606
83,04-Jun-2021,EQ,698.5,758.65,695.1,695.9,749.85,750.9,734.17,758.65,306.6,22014361,"16,162,276,284.60",349237,750.9,0.07606651525503416
84,07-Jun-2021,EQ,788.45,790.9,744.15,750.9,747.25,750.0,761.46,790.9,306.6,10826618,"8,244,042,995.75",166976,750.0,-0.0011992805754825753
85,08-Jun-2021,EQ,750.0,763.15,745.0,750.0,758.25,757.65,756.17,790.9,306.6,2981785,"2,254,730,560.75",61100,757.65,0.01014833105181534
86,09-Jun-2021,EQ,760.0,769.4,750.5,757.65,757.0,756.3,762.08,790.9,306.6,2950131,"2,248,246,504.25",49732,756.3,-0.001783414720187615
87,10-Jun-2021,EQ,760.0,763.0,749.0,756.3,759.2,758.35,756.64,790.9,306.6,3442696,"2,604,869,848.80",65226,758.35,0.0027068976354218677
88,11-Jun-2021,EQ,768.0,773.95,745.0,758.35,747.15,747.9,755.26,790.9,306.6,3178972,"2,400,942,926.00",69374,747.9,-0.013875741299783861
89,14-Jun-2021,EQ,750.0,751.0,725.0,747.9,741.4,740.7,737.91,790.9,306.6,1779662,"1,313,223,405.75",34977,740.7,-0.009673594178377876
90,15-Jun-2021,EQ,745.0,749.9,732.2,740.7,739.0,741.5,741.18,790.9,306.6,2202815,"1,632,691,132.20",41509,741.5,0.0010794765587425204
91,16-Jun-2021,EQ,743.8,744.8,729.0,741.5,730.9,731.85,734.51,790.9,306.6,1616971,"1,187,687,622.80",56355,731.85,-0.013099586648030126
92,17-Jun-2021,EQ,731.5,739.8,723.2,731.85,724.0,725.05,731.74,790.9,306.6,2110137,"1,544,070,238.90",34193,725.05,-0.00933495693605213
93,18-Jun-2021,EQ,729.95,731.9,706.6,725.05,727.5,726.85,722.25,790.9,306.6,2212168,"1,597,732,894.15",34514,726.85,0.0024795108784294584
94,21-Jun-2021,EQ,711.5,734.5,711.5,726.85,728.6,729.6,728.86,790.9,306.6,1695813,"1,236,003,931.00",32672,729.6,0.0037763098877876544
95,22-Jun-2021,EQ,733.0,744.5,731.45,729.6,741.5,741.2,740.93,790.9,306.6,2732042,"2,024,242,161.55",53310,741.2,0.015774055651083252
96,23-Jun-2021,EQ,746.5,751.5,729.5,741.2,729.5,730.85,739.89,790.9,306.6,2024549,"1,497,941,702.60",35126,730.85,-0.014062254075902558
97,24-Jun-2021,EQ,731.2,737.9,727.3,730.85,737.1,735.55,732.42,790.9,306.6,815571,"597,344,352.70",13921,735.55,0.006410278360919008
98,25-Jun-2021,EQ,736.8,750.0,736.0,735.55,736.9,741.4,744.35,790.9,306.6,1918673,"1,428,168,069.90",37900,741.4,0.007921772020410778
99,28-Jun-2021,EQ,742.75,745.85,735.8,741.4,741.0,738.85,740.76,790.9,306.6,1062356,"786,948,338.15",53728,738.85,-0.0034453673669885276
100,29-Jun-2021,EQ,743.8,763.95,740.7,738.85,747.0,747.55,753.64,790.9,306.6,4442304,"3,347,896,726.75",65973,747.55,0.011706269310293393
