,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,36.5,38.45,35.4,36.05,38.3,38.2,37.0,44.4,18.4,51185628,"1,893,740,421.75",67057,38.2,
1,02-Feb-2021,EQ,38.65,39.95,38.05,38.2,38.85,38.9,38.89,44.4,18.4,57099937,"2,220,719,655.80",69663,38.9,0.01815873501187104
2,03-Feb-2021,EQ,39.15,41.35,39.1,38.9,39.95,39.7,40.23,44.4,18.4,104638908,"4,209,551,295.20",115467,39.7,0.02035693706874442
3,04-Feb-2021,EQ,39.9,42.5,39.6,39.7,42.25,42.2,41.49,44.4,18.4,154097676,"6,393,797,196.50",183851,42.2,0.0610690333488213
4,05-Feb-2021,EQ,42.65,44.15,41.25,42.2,43.4,43.55,42.72,44.4,18.4,146833328,"6,272,581,073.15",193030,43.55,0.031489482256545465
5,08-Feb-2021,EQ,41.25,41.5,39.55,43.55,39.85,39.85,40.37,44.4,18.4,114554488,"4,624,246,176.85",191613,39.85,-0.08878729806228769
6,09-Feb-2021,EQ,39.6,39.75,38.4,39.85,38.65,38.75,39.0,44.4,18.4,49601029,"1,934,323,154.05",85610,38.75,-0.027991649436867938
7,10-Feb-2021,EQ,38.65,39.4,37.8,38.75,38.35,38.25,38.59,44.4,18.4,38714221,"1,494,013,291.90",60659,38.25,-0.012987195526811046
8,11-Feb-2021,EQ,38.45,39.15,38.15,38.25,38.6,38.75,38.72,44.4,18.4,33240680,"1,287,080,863.45",52090,38.75,0.012987195526811046
9,12-Feb-2021,EQ,38.95,39.45,38.6,38.75,38.8,38.8,39.0,44.4,18.4,24770265,"966,104,855.75",43931,38.8,0.0012894908298717311
10,15-Feb-2021,EQ,39.05,39.45,38.6,38.8,38.8,38.9,38.9,44.4,18.4,19106327,"743,320,516.45",32317,38.9,0.0025740039951727134
11,16-Feb-2021,EQ,39.05,40.0,38.4,38.9,39.95,39.9,39.33,44.4,18.4,46759963,"1,838,841,626.80",49009,39.9,0.025382073271417394
12,17-Feb-2021,EQ,40.0,40.8,39.1,39.9,39.95,40.05,39.98,44.4,18.4,71963620,"2,876,752,773.05",79465,40.05,0.0037523496185505323
13,18-Feb-2021,EQ,40.2,44.05,39.95,40.05,42.6,43.0,42.41,44.4,18.4,166636643,"7,067,187,790.30",180105,43.0,0.07107144217919403
14,19-Feb-2021,EQ,42.75,43.25,39.6,43.0,40.5,40.4,41.49,44.4,18.4,74472617,"3,089,703,052.90",102992,40.4,-0.06237033072645781
15,22-Feb-2021,EQ,40.1,40.55,39.1,40.4,39.45,39.65,39.81,44.4,18.4,38769981,"1,543,269,546.00",53718,39.65,-0.01873883688624778
16,23-Feb-2021,EQ,39.9,41.45,39.5,39.65,40.7,40.7,40.46,44.4,18.4,43031158,"1,741,207,300.25",52571,40.7,0.026137144367692766
17,24-Feb-2021,EQ,41.2,43.35,36.65,40.7,42.95,42.95,42.43,44.4,18.4,61230344,"2,598,018,448.10",69003,42.95,0.05380855598171497
18,25-Feb-2021,EQ,43.55,48.0,43.4,42.95,47.2,47.15,46.32,48.0,18.4,328616125,"15,221,674,097.25",337115,47.15,0.0932973606492018
19,26-Feb-2021,EQ,46.0,48.8,45.35,47.15,47.3,47.6,47.52,48.8,18.4,206095365,"9,792,957,327.50",257259,47.6,0.009498752157908186
20,01-Mar-2021,EQ,48.7,49.6,47.6,47.6,49.0,48.8,48.69,49.6,18.4,123674746,"6,021,722,850.65",169415,48.8,0.024897551621727132
21,02-Mar-2021,EQ,49.4,52.2,49.25,48.8,51.55,51.75,51.07,52.2,18.4,152393453,"7,782,188,874.15",207045,51.75,0.0586941192863768
22,03-Mar-2021,EQ,52.2,52.65,50.6,51.75,50.95,51.0,51.25,52.65,18.4,65329850,"3,348,466,894.90",101883,51.0,-0.01459879942115272
23,04-Mar-2021,EQ,50.35,56.1,49.9,51.0,54.3,54.25,54.08,56.1,18.4,213396105,"11,539,414,175.10",264368,54.25,0.061777359696243206
24,05-Mar-2021,EQ,54.75,55.9,50.35,54.25,52.75,52.45,53.29,56.1,18.4,112585811,"5,999,725,862.75",170332,52.45,-0.03374265757826267
25,08-Mar-2021,EQ,53.45,55.5,53.0,52.45,54.35,54.4,54.25,56.1,18.4,79729837,"4,325,004,283.95",118964,54.4,0.036503819019590544
26,09-Mar-2021,EQ,54.95,56.5,53.1,54.4,55.1,54.85,54.96,56.5,18.4,108574936,"5,967,807,111.85",148598,54.85,0.00823803285934277
27,10-Mar-2021,EQ,55.6,56.5,54.3,54.85,54.6,54.8,55.15,56.5,18.4,85630459,"4,722,718,833.50",112310,54.8,-0.0009119927672696093
28,12-Mar-2021,EQ,55.1,56.35,52.55,54.8,53.25,53.4,54.29,56.5,18.4,126521758,"6,869,322,508.30",156466,53.4,-0.025879447987820825
29,15-Mar-2021,EQ,56.0,56.0,54.05,53.4,55.2,55.25,54.9,56.5,19.15,107841399,"5,920,135,292.05",167100,55.25,0.03405759443171341
30,16-Mar-2021,EQ,55.8,56.2,53.5,55.25,53.7,53.9,54.77,56.5,19.15,67218075,"3,681,407,235.35",107769,53.9,-0.02473786248291132
31,17-Mar-2021,EQ,54.0,54.0,49.2,53.9,50.1,50.1,51.69,56.5,19.15,60727935,"3,139,269,580.90",116644,50.1,-0.07310946982413213
32,18-Mar-2021,EQ,52.2,53.8,50.6,50.1,52.5,52.1,52.41,56.5,19.15,158412104,"8,302,331,102.85",238551,52.1,0.03914394066850235
33,19-Mar-2021,EQ,51.7,52.5,49.15,52.1,52.05,52.0,51.08,56.5,19.15,108069373,"5,519,951,912.40",142753,52.0,-0.0019212301778939178
34,22-Mar-2021,EQ,52.05,52.8,51.25,52.0,52.2,52.2,52.14,56.5,19.15,48322688,"2,519,777,927.35",71068,52.2,0.00383877630716567
35,23-Mar-2021,EQ,52.45,52.65,51.45,52.2,51.5,51.75,52.13,56.5,19.15,42647877,"2,223,406,530.95",63183,51.75,-0.008658062743114758
36,24-Mar-2021,EQ,51.35,51.7,49.5,51.75,50.2,49.85,50.46,56.5,19.15,42597772,"2,149,654,615.15",82196,49.85,-0.03740593573763107
37,25-Mar-2021,EQ,49.9,50.0,46.9,49.85,48.3,48.2,48.31,56.5,19.15,66287150,"3,202,309,062.20",110101,48.2,-0.033659475351292656
38,26-Mar-2021,EQ,49.0,49.5,48.45,48.2,48.7,48.7,48.94,56.5,19.15,40617084,"1,987,780,218.35",62047,48.7,0.010320009031989485
39,30-Mar-2021,EQ,49.2,49.6,48.3,48.7,48.9,48.95,48.96,56.5,19.65,41700664,"2,041,778,743.35",64310,48.95,0.005120338887975251
40,31-Mar-2021,EQ,48.9,49.75,48.4,48.95,48.65,48.75,49.15,56.5,19.65,28483055,"1,399,956,488.40",50929,48.75,-0.004094171532663449
41,01-Apr-2021,EQ,49.0,51.2,48.95,48.75,51.1,50.95,50.4,56.5,19.65,52965110,"2,669,460,643.90",89354,50.95,0.04413956222487769
42,05-Apr-2021,EQ,51.0,51.1,48.4,50.95,48.95,49.0,49.28,56.5,20.4,49348313,"2,432,110,603.50",85377,49.0,-0.03902446155810724
43,06-Apr-2021,EQ,49.4,50.5,48.25,49.0,49.35,49.35,49.62,56.5,20.4,38527134,"1,911,813,805.55",63286,49.35,0.0071174677688641275
44,07-Apr-2021,EQ,49.35,50.8,49.35,49.35,49.85,50.0,50.14,56.5,20.4,35782543,"1,794,296,966.50",51733,50.0,0.01308523954865537
45,08-Apr-2021,EQ,49.9,53.05,49.85,50.0,51.8,51.6,51.84,56.5,20.4,85159684,"4,415,029,810.50",112904,51.6,0.03149866705937132
46,09-Apr-2021,EQ,51.9,52.5,51.1,51.6,51.45,51.5,51.78,56.5,20.4,41928206,"2,170,866,754.45",55933,51.5,-0.0019398648178268196
47,12-Apr-2021,EQ,50.0,50.0,44.3,51.5,45.15,45.05,46.39,56.5,20.4,87601428,"4,063,628,219.80",161747,45.05,-0.13380882361534363
48,13-Apr-2021,EQ,45.55,46.8,44.6,45.05,46.45,46.55,45.68,56.5,20.4,56028764,"2,559,258,716.20",89325,46.55,0.03275401966872904
49,15-Apr-2021,EQ,46.5,47.15,45.0,46.55,46.05,46.05,45.92,56.5,20.4,40230735,"1,847,471,410.70",62393,46.05,-0.010799241021759887
50,16-Apr-2021,EQ,46.4,47.05,45.7,46.05,46.15,46.2,46.57,56.5,20.4,31881785,"1,484,666,982.45",45758,46.2,0.0032520353863771945
51,19-Apr-2021,EQ,44.0,44.6,43.0,46.2,44.05,44.05,44.01,56.5,20.4,40713340,"1,791,714,623.35",72080,44.05,-0.04765444570550459
52,20-Apr-2021,EQ,44.9,45.35,43.9,44.05,44.2,44.2,44.76,56.5,20.4,32591936,"1,458,726,356.50",51880,44.2,0.0033994367014638094
