,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,CLOSE,RETURN_PRICE
0,01-Feb-2021,EQ,"3,539.00","3,557.90","3,483.00","3,501.10","3,532.00","3,520.75","3,517.76","4,010.00","2,100.00",544282,"1,914,655,841.25",44553,3520.75,
1,02-Feb-2021,EQ,"3,547.90","3,554.00","3,483.75","3,520.75","3,514.00","3,501.25","3,511.41","4,010.00","2,100.00",869950,"3,054,752,873.95",55014,3501.25,-0.0055539875038412845
2,03-Feb-2021,EQ,"3,526.05","3,544.00","3,501.00","3,501.25","3,522.05","3,516.50","3,515.79","4,010.00","2,100.00",786972,"2,766,828,345.75",66049,3516.5,0.004346129173754321
3,04-Feb-2021,EQ,"3,521.95","3,608.05","3,511.05","3,516.50","3,572.00","3,580.00","3,556.56","4,010.00","2,100.00",958717,"3,409,733,706.20",55126,3580.0,0.017896623646672438
4,05-Feb-2021,EQ,"3,616.00","3,616.00","3,530.45","3,580.00","3,541.50","3,541.65","3,560.88","4,010.00","2,100.00",1159183,"4,127,715,971.75",72807,3541.65,-0.01077008016366321
5,08-Feb-2021,EQ,"3,601.00","3,616.90","3,464.10","3,541.65","3,476.10","3,473.70","3,495.14","4,010.00","2,100.00",2388271,"8,347,351,050.50",137713,3473.7,-0.019372411944745593
6,09-Feb-2021,EQ,"3,505.00","3,505.00","3,455.00","3,473.70","3,468.00","3,462.40","3,480.45","4,010.00","2,100.00",951124,"3,310,336,361.80",58831,3462.4,-0.0032583180742289386
7,10-Feb-2021,EQ,"3,467.90","3,485.10","3,417.05","3,462.40","3,427.00","3,424.85","3,435.22","4,010.00","2,100.00",893690,"3,070,017,834.50",59472,3424.85,-0.010904315095276118
8,11-Feb-2021,EQ,"3,430.75","3,470.00","3,420.00","3,424.85","3,469.90","3,462.75","3,448.42","4,010.00","2,100.00",873772,"3,013,132,724.20",55743,3462.75,0.011005395938376239
9,12-Feb-2021,EQ,"3,480.00","3,489.00","3,409.05","3,462.75","3,423.00","3,421.25","3,440.67","4,010.00","2,100.00",618874,"2,129,339,987.10",39239,3421.25,-0.012057089700318713
10,15-Feb-2021,EQ,"3,429.00","3,445.00","3,403.00","3,421.25","3,419.50","3,417.00","3,421.26","4,010.00","2,100.00",513578,"1,757,082,435.25",40910,3417.0,-0.001243008239597998
11,16-Feb-2021,EQ,"3,432.00","3,432.35","3,385.05","3,417.00","3,392.35","3,389.45","3,399.62","4,010.00","2,100.00",693631,"2,358,084,848.65",44518,3389.45,-0.008095306791339851
12,17-Feb-2021,EQ,"3,370.00","3,404.85","3,360.00","3,389.45","3,364.65","3,364.00","3,375.41","4,010.00","2,100.00",866571,"2,925,030,579.95",60384,3364.0,-0.0075369242311129625
13,18-Feb-2021,EQ,"3,368.00","3,390.95","3,340.10","3,364.00","3,367.60","3,359.45","3,365.08","4,010.00","2,100.00",616156,"2,073,415,472.35",50158,3359.45,-0.0013534720105266018
14,19-Feb-2021,EQ,"3,359.00","3,383.00","3,320.00","3,359.45","3,331.95","3,331.20","3,341.33","4,010.00","2,100.00",765676,"2,558,376,007.70",49959,3331.2,-0.008444670661662101
15,22-Feb-2021,EQ,"3,350.00","3,373.75","3,317.30","3,331.20","3,338.00","3,341.20","3,348.68","4,010.00","2,100.00",666371,"2,231,462,523.35",41681,3341.2,0.0029974244611015166
16,23-Feb-2021,EQ,"3,349.80","3,368.00","3,325.30","3,341.20","3,340.00","3,335.95","3,342.70","4,010.00","2,100.00",484686,"1,620,158,230.95",36438,3335.95,-0.0015725275250275672
17,24-Feb-2021,EQ,"3,360.00","3,415.00","3,341.00","3,335.95","3,399.95","3,405.55","3,383.79","4,010.00","2,100.00",512568,"1,734,421,380.60",33085,3405.55,0.020648957348713637
18,25-Feb-2021,EQ,"3,420.00","3,425.70","3,374.60","3,405.55","3,407.50","3,405.00","3,398.64","4,010.00","2,100.00",586357,"1,992,818,895.70",50267,3405.0,-0.00016151412182452418
19,26-Feb-2021,EQ,"3,389.00","3,408.95","3,343.00","3,405.00","3,360.40","3,363.75","3,370.80","4,010.00","2,100.00",748717,"2,523,777,069.45",55541,3363.75,-0.012188516542497752
20,01-Mar-2021,EQ,"3,371.50","3,420.00","3,367.05","3,363.75","3,412.00","3,411.80","3,393.96","4,010.00","2,100.00",377869,"1,282,472,164.00",26836,3411.8,0.014183588205304076
21,02-Mar-2021,EQ,"3,411.80","3,450.00","3,395.00","3,411.80","3,447.30","3,447.95","3,433.09","4,010.00","2,100.00",383968,"1,318,196,564.70",35798,3447.95,0.01053984027192989
22,03-Mar-2021,EQ,"3,460.00","3,487.15","3,435.00","3,447.95","3,477.15","3,481.15","3,468.71","4,010.00","2,100.00",409493,"1,420,411,878.25",29793,3481.15,0.009582847430483099
23,04-Mar-2021,EQ,"3,450.00","3,514.80","3,450.00","3,481.15","3,500.05","3,501.90","3,494.97","4,010.00","2,100.00",537283,"1,877,787,747.10",43577,3501.9,0.005942979377895341
24,05-Mar-2021,EQ,"3,486.00","3,506.65","3,460.75","3,501.90","3,492.90","3,491.75","3,488.70","4,010.00","2,100.00",612423,"2,136,562,883.80",43235,3491.75,-0.0029026351408472095
25,08-Mar-2021,EQ,"3,493.60","3,508.95","3,451.00","3,491.75","3,459.00","3,463.20","3,481.55","4,010.00","2,100.00",463984,"1,615,381,187.00",26984,3463.2,-0.00821002605810861
26,09-Mar-2021,EQ,"3,473.50","3,489.15","3,397.35","3,463.20","3,438.50","3,426.75","3,433.80","4,010.00","2,100.00",589556,"2,024,419,132.40",45129,3426.75,-0.010580727016280989
27,10-Mar-2021,EQ,"3,451.90","3,489.00","3,438.50","3,426.75","3,475.00","3,480.35","3,466.27","4,010.00","2,100.00",270942,"939,158,562.65",18840,3480.35,0.015520573312375774
28,12-Mar-2021,EQ,"3,491.90","3,493.85","3,425.00","3,480.35","3,435.00","3,434.25","3,453.71","4,010.00","2,100.00",344205,"1,188,784,725.50",30293,3434.25,-0.01333430221855103
29,15-Mar-2021,EQ,"3,443.60","3,456.55","3,399.00","3,434.25","3,451.95","3,450.40","3,439.59","4,010.00","2,100.00",311078,"1,069,981,023.75",21856,3450.4,0.0046916051283183435
30,16-Mar-2021,EQ,"3,462.60","3,500.00","3,456.05","3,450.40","3,488.00","3,489.10","3,485.09","4,010.00","2,100.00",383099,"1,335,132,899.85",27364,3489.1,0.011153656950002144
31,17-Mar-2021,EQ,"3,488.00","3,499.00","3,446.30","3,489.10","3,470.60","3,467.90","3,471.23","4,010.00","2,100.00",378136,"1,312,595,848.15",24273,3467.9,-0.0060945998623793685
32,18-Mar-2021,EQ,"3,480.00","3,487.90","3,427.40","3,467.90","3,439.95","3,439.65","3,452.79","4,010.00","2,100.00",430166,"1,485,273,997.25",36056,3439.65,-0.008179501416149648
33,19-Mar-2021,EQ,"3,424.60","3,494.85","3,379.00","3,439.65","3,471.55","3,466.60","3,458.51","4,010.00","2,100.00",1312375,"4,538,864,514.25",58172,3466.6,0.007804564502103872
34,22-Mar-2021,EQ,"3,440.10","3,570.00","3,440.10","3,466.60","3,555.10","3,564.40","3,531.58","4,010.00","2,100.00",820046,"2,896,058,393.95",57104,3564.4,0.02782145023135385
35,23-Mar-2021,EQ,"3,570.00","3,578.00","3,525.00","3,564.40","3,555.65","3,568.40","3,559.71","4,010.00","2,100.00",461046,"1,641,187,962.55",42749,3568.4,0.0011215793010634911
36,24-Mar-2021,EQ,"3,536.00","3,568.20","3,522.00","3,568.40","3,536.00","3,537.75","3,539.97","4,010.00","2,100.00",480657,"1,701,509,043.60",41813,3537.75,-0.008626384207147453
37,25-Mar-2021,EQ,"3,535.00","3,564.80","3,429.00","3,537.75","3,442.00","3,443.85","3,489.89","4,010.00","2,100.00",486516,"1,697,887,924.35",43294,3443.85,-0.026900900240331538
38,26-Mar-2021,EQ,"3,455.35","3,515.00","3,455.35","3,443.85","3,505.00","3,504.60","3,496.14","4,010.00","2,100.00",273033,"954,562,111.10",22931,3504.6,0.01748635968217016
39,30-Mar-2021,EQ,"3,514.00","3,625.00","3,510.05","3,504.60","3,600.00","3,616.00","3,595.76","4,010.00","2,442.75",567450,"2,040,413,996.75",51482,3616.0,0.03129205123774881
40,31-Mar-2021,EQ,"3,616.00","3,655.00","3,592.50","3,616.00","3,610.00","3,625.05","3,629.85","4,010.00","2,442.75",441583,"1,602,878,828.45",38091,3625.05,0.002499638785032232
41,01-Apr-2021,EQ,"3,635.00","3,670.00","3,610.25","3,625.05","3,619.10","3,618.50","3,636.97","4,010.00","2,442.75",460658,"1,675,399,995.15",29858,3618.5,-0.0018085059909171974
42,05-Apr-2021,EQ,"3,635.00","3,720.00","3,630.00","3,618.50","3,700.00","3,700.35","3,685.16","4,010.00","2,640.15",807938,"2,977,380,546.30",63288,3700.35,0.022367834446940904
43,06-Apr-2021,EQ,"3,708.00","3,736.40","3,680.00","3,700.35","3,731.75","3,730.60","3,713.01","4,010.00","2,640.15",462351,"1,716,714,379.50",36505,3730.6,0.008141668857337692
44,07-Apr-2021,EQ,"3,732.00","3,820.00","3,711.55","3,730.60","3,795.00","3,808.55","3,784.79","4,010.00","2,640.15",633677,"2,398,336,795.90",43637,3808.55,0.02067946064449444
45,08-Apr-2021,EQ,"3,780.00","3,834.00","3,761.05","3,808.55","3,817.00","3,816.75","3,803.37","4,010.00","2,640.15",613388,"2,332,941,818.40",46400,3816.75,0.002150735882095134
46,09-Apr-2021,EQ,"3,816.75","3,843.70","3,790.00","3,816.75","3,797.00","3,797.70","3,817.34","4,010.00","2,640.15",526934,"2,011,486,641.30",43894,3797.7,-0.005003654826158055
47,12-Apr-2021,EQ,"3,777.95","3,850.00","3,750.00","3,797.70","3,814.00","3,812.75","3,805.58","4,010.00","2,697.35",1108910,"4,220,046,695.45",63705,3812.75,0.003955093225400219
48,13-Apr-2021,EQ,"3,814.10","3,847.00","3,729.05","3,812.75","3,748.00","3,746.00","3,796.13","4,010.00","2,697.35",411660,"1,562,715,920.70",36564,3746.0,-0.017662109532260217
49,15-Apr-2021,EQ,"3,751.00","3,799.90","3,673.00","3,746.00","3,696.25","3,692.70","3,704.88","4,010.00","2,697.35",494464,"1,831,930,892.35",38003,3692.7,-0.014330706219674028
50,16-Apr-2021,EQ,"3,695.50","3,733.95","3,676.55","3,692.70","3,704.90","3,696.50","3,704.10","4,010.00","2,697.35",251741,"932,474,619.80",20825,3696.5,0.001028528212795976
51,19-Apr-2021,EQ,"3,685.00","3,755.00","3,653.05","3,696.50","3,730.00","3,742.80","3,719.28","4,010.00","2,733.15",560398,"2,084,277,958.25",46271,3742.8,0.01244756840460326
52,20-Apr-2021,EQ,"3,731.90","3,752.75","3,690.10","3,742.80","3,725.00","3,729.90","3,725.73","4,010.00","2,733.15",331477,"1,234,992,549.45",24863,3729.9,-0.0034525707747565804
53,22-Apr-2021,EQ,"3,725.10","3,766.00","3,692.15","3,729.90","3,743.20","3,752.00","3,741.78","4,010.00","2,733.15",424370,"1,587,899,488.80",39779,3752.0,0.005907607499112899
54,23-Apr-2021,EQ,"3,755.00","3,760.90","3,640.50","3,752.00","3,651.80","3,650.30","3,683.93","4,010.00","2,733.15",491834,"1,811,883,488.30",39744,3650.3,-0.02747967514631533
55,26-Apr-2021,EQ,"3,661.10","3,662.00","3,531.00","3,650.30","3,546.00","3,539.20","3,558.62","4,010.00","2,867.00",1031406,"3,670,381,721.35",72258,3539.2,-0.030908643091837718
56,27-Apr-2021,EQ,"3,572.70","3,574.60","3,517.00","3,539.20","3,546.00","3,541.20","3,539.42","4,010.00","2,867.00",813608,"2,879,697,386.30",46189,3541.2,0.0005649398489318003
57,28-Apr-2021,EQ,"3,488.00","3,527.00","3,469.00","3,541.20","3,470.00","3,478.75","3,495.13","4,010.00","2,867.00",1498181,"5,236,339,000.85",97170,3478.75,-0.0177926188967934
58,29-Apr-2021,EQ,"3,496.75","3,505.90","3,447.00","3,478.75","3,464.00","3,468.90","3,471.18","4,010.00","2,867.00",611087,"2,121,194,900.55",41655,3468.9,-0.002835493037073533
59,30-Apr-2021,EQ,"3,460.00","3,468.35","3,437.00","3,468.90","3,444.80","3,449.00","3,450.52","4,010.00","2,867.00",436187,"1,505,071,263.50",34606,3449.0,-0.005753206866184968
60,03-May-2021,EQ,"3,439.10","3,478.70","3,431.60","3,449.00","3,440.75","3,439.25","3,457.82","4,010.00","2,867.00",570022,"1,971,032,750.50",40185,3439.25,-0.0028309095957368413
61,04-May-2021,EQ,"3,432.00","3,462.00","3,420.00","3,439.25","3,437.70","3,435.85","3,441.57","4,010.00","2,867.00",337838,"1,162,692,338.20",33801,3435.85,-0.000989076603154615
62,05-May-2021,EQ,"3,441.10","3,458.90","3,436.25","3,435.85","3,449.00","3,451.60","3,450.65","4,010.00","2,867.00",234116,"807,853,369.50",21050,3451.6,0.004573543896203347
63,06-May-2021,EQ,"3,452.00","3,491.50","3,439.70","3,451.60","3,452.00","3,452.05","3,458.99","4,010.00","2,867.00",384450,"1,329,807,097.60",34609,3452.05,0.00013036582116221496
64,07-May-2021,EQ,"3,484.70","3,484.70","3,452.25","3,452.05","3,462.90","3,461.25","3,464.83","4,010.00","2,867.00",189156,"655,392,544.80",19520,3461.25,0.0026615380298569136
65,10-May-2021,EQ,"3,478.00","3,478.00","3,403.50","3,461.25","3,417.00","3,413.80","3,420.64","4,010.00","2,991.85",694001,"2,373,929,735.50",53270,3413.8,-0.013803755154940589
66,11-May-2021,EQ,"3,413.80","3,434.70","3,396.05","3,413.80","3,421.00","3,418.40","3,416.48","4,010.00","2,991.85",455412,"1,555,906,544.35",33330,3418.4,0.0013465649995829665
67,12-May-2021,EQ,"3,404.00","3,445.00","3,401.15","3,418.40","3,438.20","3,439.55","3,427.66","4,010.00","2,991.85",252497,"865,472,987.80",19555,3439.55,0.006168043527249978
68,14-May-2021,EQ,"3,450.00","3,524.50","3,438.20","3,439.55","3,503.45","3,501.45","3,497.16","4,010.00","2,991.85",677498,"2,369,318,158.90",53548,3501.45,0.017836519542093754
69,17-May-2021,EQ,"3,518.95","3,533.90","3,496.05","3,501.45","3,506.00","3,507.25","3,513.46","4,010.00","3,080.00",338003,"1,187,558,394.15",30701,3507.25,0.001655086199722433
70,18-May-2021,EQ,"3,525.20","3,533.90","3,480.00","3,507.25","3,528.75","3,525.45","3,511.42","4,010.00","3,080.00",474368,"1,665,703,978.05",29549,3525.45,0.005175833074165581
71,19-May-2021,EQ,"3,535.00","3,555.00","3,516.05","3,525.45","3,537.00","3,534.40","3,540.01","4,010.00","3,080.00",688416,"2,437,001,089.45",32234,3534.4,0.0025354659928069623
